SubTask,Balance,Difficulty,ExampleType,InputMode,ModelName,Accuracy
postfix_traversal,balanced,medium,ZeroShot,hierarchy,QwQ-32B,22.22
postfix_traversal,balanced,hard,ZeroShot,hierarchy,QwQ-32B,0
postfix_traversal,unbalanced,easy,ZeroShot,hierarchy,QwQ-32B,62.5
postfix_traversal,balanced,medium,ZeroShot,edge,QwQ-32B,44.44
postfix_traversal,unbalanced,easy,ZeroShot,edge,QwQ-32B,70.83
postfix_traversal,balanced,easy,ZeroShot,edge,QwQ-32B,66.67
postfix_traversal,unbalanced,hard,ZeroShot,hierarchy,QwQ-32B,5.56
postfix_traversal,unbalanced,medium,ZeroShot,edge,QwQ-32B,51.85
postfix_traversal,balanced,easy,ZeroShot,hierarchy,QwQ-32B,58.33
postfix_traversal,unbalanced,hard,ZeroShot,edge,QwQ-32B,5.56
postfix_traversal,unbalanced,medium,ZeroShot,hierarchy,QwQ-32B,44.44
postfix_traversal,balanced,hard,ZeroShot,edge,QwQ-32B,0
postfix_traversal,unbalanced,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,0
postfix_traversal,balanced,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,25
postfix_traversal,balanced,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,0
postfix_traversal,unbalanced,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,0
postfix_traversal,unbalanced,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,0
postfix_traversal,unbalanced,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,58.33
postfix_traversal,unbalanced,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,25
postfix_traversal,balanced,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,0
postfix_traversal,balanced,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,0
postfix_traversal,balanced,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,0
postfix_traversal,balanced,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,45.83
postfix_traversal,unbalanced,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,0
prefix_traversal,unbalanced,medium,ZeroShot,hierarchy,QwQ-32B,40.74
prefix_traversal,balanced,medium,ZeroShot,hierarchy,QwQ-32B,25.93
prefix_traversal,unbalanced,easy,ZeroShot,edge,QwQ-32B,58.33
prefix_traversal,balanced,hard,ZeroShot,hierarchy,QwQ-32B,0
prefix_traversal,unbalanced,hard,ZeroShot,edge,QwQ-32B,5.56
prefix_traversal,balanced,easy,ZeroShot,edge,QwQ-32B,50
prefix_traversal,unbalanced,hard,ZeroShot,hierarchy,QwQ-32B,5.56
prefix_traversal,balanced,easy,ZeroShot,hierarchy,QwQ-32B,70.83
prefix_traversal,unbalanced,easy,ZeroShot,hierarchy,QwQ-32B,54.17
prefix_traversal,unbalanced,medium,ZeroShot,edge,QwQ-32B,85.19
prefix_traversal,balanced,medium,ZeroShot,edge,QwQ-32B,62.96
prefix_traversal,balanced,hard,ZeroShot,edge,QwQ-32B,0
prefix_traversal,balanced,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,0
prefix_traversal,unbalanced,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,0
prefix_traversal,unbalanced,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,37.5
prefix_traversal,balanced,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,0
prefix_traversal,unbalanced,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,11.11
prefix_traversal,balanced,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,58.33
prefix_traversal,balanced,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,0
prefix_traversal,unbalanced,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,0
prefix_traversal,balanced,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,16.67
prefix_traversal,unbalanced,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,66.67
prefix_traversal,unbalanced,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,0
prefix_traversal,balanced,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,0
mirror_tree,balanced,medium,ZeroShot,edge,QwQ-32B,0
mirror_tree,unbalanced,hard,ZeroShot,edge,QwQ-32B,5.56
mirror_tree,balanced,medium,ZeroShot,hierarchy,QwQ-32B,0
mirror_tree,unbalanced,hard,ZeroShot,hierarchy,QwQ-32B,0
mirror_tree,balanced,easy,ZeroShot,hierarchy,QwQ-32B,0
mirror_tree,balanced,hard,ZeroShot,edge,QwQ-32B,0
mirror_tree,unbalanced,easy,ZeroShot,edge,QwQ-32B,12.5
mirror_tree,balanced,easy,ZeroShot,edge,QwQ-32B,0
mirror_tree,unbalanced,medium,ZeroShot,hierarchy,QwQ-32B,0
mirror_tree,unbalanced,easy,ZeroShot,hierarchy,QwQ-32B,4.17
mirror_tree,unbalanced,medium,ZeroShot,edge,QwQ-32B,0
mirror_tree,balanced,hard,ZeroShot,hierarchy,QwQ-32B,0
mirror_tree,balanced,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,29.17
mirror_tree,unbalanced,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,0
mirror_tree,unbalanced,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,3.7
mirror_tree,balanced,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,0
mirror_tree,balanced,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,0
mirror_tree,unbalanced,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,0
mirror_tree,unbalanced,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,12.5
mirror_tree,unbalanced,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,0
