Formula,Result
76*-848+493+111*308/86*-389-350*274+-278,-314774.06976744183
761+-714-626/-88--718/831*813/776*292*570,150718.2727044347
44-911/940--643/518*-829*729/499*279/356,-1135.1634879960523
276*-207/-998+-336/-318*-786+-664/296-535/448,-776.6815127235785
-740/20/-379--324*423+-802/920/-776--891-638,137305.098748705
276+817+-825*-364*-631+811*344--533-377--140,-189208927
142*232+-657/885/704/136+-936/954--158+718,33819.0188601708
876*339/-279*948--695/-991*877*560+-607*937,-1922226.222030533
314*-548--45*358/-785*-16+-468*429--112+-271,-372674.64331210195
-610*-645*262+-378/535-435/-981*18/971+234,103084133.30167797
-598--779+103/-388/-63*-745*-487/758/378+163,344.0053356726613
-574--978+-573*-24--602/124/-350+875+108*-919,-84221.01387096774
552*-470*504+52*-306-289/478/-388--25+315,-130773331.99844174
376/-939/-749*940/892+-987/-430*-463-956+726,-1292.7459482453012
-121+964+-436-635/207-388--884+-483/295/567,899.9294795163623
862*-387--468+930/-877+179/-548+643*888*875,499277872.6129244
925/-54+957+-800--779/-424+-439*148/798+915,971.6145598535121
346/515--617-374/-822-218/555/945+249*558,139560.126416841
619/516/638-368+-965*-964*599/711--653+-329,783677.1551854741
400*214+715-832-330*-64*-158/476--571*-268,-74555.42016806723
-349+-458/760*994*259+712+-898/-860-492*-816,246690.95471236232
-568/-952/-311--197+103--619-820/722+-119/614,917.6685364007909
-139+-445/-620*79-224/604+-941+45+-88*-552,47597.33075197607
-404/166+-626*182*360/489+234+-910+547*-26,-98776.75275334466
-996-89*-459+-327/506+-773-475--504*915+127,499893.35375494073
-475*-989+149+821*453*263-944+-801+-154-243,98280901
742--448*-573--433/-471*-517--246*-984-340+-914,-498804.711252654
926*-376+-199/-203--280*-114+880/-524/-47/-655,-380095.0197589857
373/936-779--838-482--54+-347+-716*126/-744,-594.3434312103667
587--510*-560+790-886-630*447-679/931*-380,-566441.8571428572
948/-851*-983--128-464+787-941/-682+770+-684,1633.4255938330275
-968--182+-805/-258--926/491+-846-688*-771--968,529789.0061020856
951*-157--878*752*712--632*945+-435-959/-164,470549775.847561
-155/-728-667--23/331--969/822*684-413--111,-162.39643362404252
295*747--738+379/-718/421+314+-823*759--714,-402526.0012538127
625*603*934/-797*-693+-857--627+331+-937+-705,306067299.9661229
-149/-419+-606/574+75-533/124+193+-959-622,-1317.9985276338086
980+-911+-795+642-706/867*-665+626*-378--834,-235336.48904267588
553*-706/73+-834--713/293*-166-837/-623*68,-6494.78605382659
539+-219+980*541*148*421+-776*623-211*-98,33033992990
-344+64--506-27/184--891/539+-540--285*-722,-206082.49367790594
961--808+583-844*553/775/125+784/-830/-903,2347.183167334966
-295-485*188*-9-374/130/-453*-588/-344+649,820974.0108554775
-671--377/-107--57*-795--955/428*422*-680/35,-64283.702269692934
914/925*-74--777+-298+-663--909+967*-745+950,-718813.12
-127/-900+-247--228+976*101*200*554--114/509,10922220781.36508
-759*-306*-375*-677+-302+-365-643+702+-677/-563,58963483643.202484
635+717+630*-812*873*245+957-800+933+-142,-109415008300
244-515/-850*-444--529/-915+-811*200/-214-354,378.3540184512598
114*426*348+-612*692*636/-1+357+337+-357,286249153.0
569+-752*360*-265/-146+799+373--652-42-380,-489404.34246575343
581+-83/-410*-159*759--706/57/508+-272/-221,-23848.28875138756
-30*885*767/513+907/229--282*-975*-176/382,86986.88069501586
-353+-653--719+45/-282/-199/-579--920/-251/-435,-286.991575319091
230*-774/229*-220--230/-905*-250*-317+184+-502,150564.69680812565
-471/-589+721/176+626-195--417+-846--856/-763,5.774364063492203
689*-230*563/-408-379/-266*-806*392+-943/345,-231501.88013415886
-94+6*530-402--548/822*709/151+49*-290,-11522.869757174392
109-909/172-326-238/500*-844/500+252/-86,-224.41162827906976
377/-402/-757+885+-98/280+276--925*519-496,480739.65123885195
-635/346/-560*975*-294+337/-12+962+-440/-858,-4.994284496813448
773+723+772+-329/484+207+-129-831--787+54,2355.3202479338843
-407--910/-135+-946*-429*-445+20/267+404/-852,-180596544.14001277
744*-894/-48/423--804--423/-128/821/801/698,836.7588652410275
869*-477/942+541*193--42+-623/-562+534-872,103678.07350907814
419+-677+-175*456/260/610-65/692*92*-287,2221.6413560854007
282*421-903/331/-3+611-634+258*198*671,34396063.90936556
-668+967-336*-652--452*-213-943/-911+764/499,123097.56618835915
127+576*452*-771*817+328*500-44/-501*901,-163997383057.87027
-641*-664+-373/-327*912--193--701+-727+210--594,427635.29357798165
521+-655+-391+587-105/-21/-514+-564-159*167,-27055.00972762646
234*268+-683+-700+665/593-589/683*-84/563,61330.250083024635
-857-296-438*728*107/894+-363+449*162+-459,32599.18791946309
683+-809-729+577*-23-257--305/-639/64--503,-13880.007457942096
857+518+539+-470-184+-967*117+-412-132/779,-112291.16944801027
-459*188/-688--388/927--753/-396--951+-342*-430,148134.94145792993
402/162/303/302--46*-352/-416/-131/549/793,2.643575730453023e-05
-415+-669/169+-308*542--896/-242/771*-47+-549,-167903.73287750952
-235+530*-966-595*-661/-165-77/-874+-339*-439,-365777.5179599196
-670/24-810--894/-872*874-862*643/471--680,-2230.7526880149594
253/904/-146*-768*220*-572--851+925/510/314,-184407.92985236523
-797*-659*-390/-567--980*-745/-447/172/-525+762,362026.47926664207
-721/412-976-997+-263*49*-537*975/409/694,21796.277335245166
771*-44--305-99+918/94/384*-355+-577+769,-33535.02842420213
-747/379-513--886*466*414--883+701-25/-183,170931733.16563576
-563+765--464*263*-446*354+-640*933+-936*-265,-19267249166
644/-664*647+103-456/-320+717+258/-665+-545,-351.4750181175832
-455+-180*97*-498/233/-972/-611*-521--53+-991,-1425.7376807488213
595*-231*-721-563/-114+-312*992*801/291--487,98246403.24787484
801+-323/-98/-733--647*-201--357+-735--938*-245,-359434.004496478
568+-424+-673*282+505+-937/-784*944-851+720,-188139.77551020408
-342*449/-924/-382+786--543-676*-258+-642+-67,175027.56495206364
264/336+-716+-906-51*-967+19*905-596/820,64890.058885017424
-540*981*-706+-959*-89-134+839+-541+-924*185,373911015
-654/411/67*179*47--8*-346+-265--530+900,-1802.8076043141955
-756--339+-268--847+874/-119/327--193+915+-248,1021.977539639709
464*922--987+947-595/-482+223*662/-157-37,428765.94144620345
-471-749/-34*-611-976+227-643*115/799*883,-96398.91301627034
-380-59*-156*-181-441-647*-49/-495--840-239,-1666208.0464646465
-662--507+92*-611+-788/-518+701+-66*314--417,-75971.47876447876
