Formula,Result
51.15+22.29-31.2+41.45+95.56,179.25
-38.56+-68.72-0.15*-60.43*83.77,652.0531649999999
32.57/21.62+61.17+-57.29-33.9,-28.51352451433857
53.29--98.28-54.61*-34.66/43.21,195.3742721592224
-30.95-26.94*-65.71/0.5-47.52,3461.9848
-98.59*16.97*-75.08-53.08/-84.79,125614.89430121901
-30.53*34.41--95.32+-57.95+-10.0,-1023.1673000000001
-95.73+-38.33/-86.48/-62.37/-40.3,-95.72982366344655
12.13*-99.32+2.12--86.1-26.25,-1142.7816000000003
-27.29+-72.44+77.47+-70.18+84.43,-8.009999999999991
40.49/-68.19+-70.25-20.56-22.47,-113.8737820794838
-33.11/10.41/-80.95--28.53+-69.16,-40.590709134265936
-31.56--45.99*33.5*-8.57+-34.0,-13269.05905
74.11/76.58-11.52-33.5/-24.24,-9.170240650860594
23.61/29.26/61.98+-34.08*-78.0,2658.253018774164
-78.93*95.3*0.02--76.48--48.95,-25.010580000000004
81.7*-38.02--26.61-43.59-31.59,-3154.8040000000005
87.5*78.89/96.26*17.95+75.09,1362.2976277789317
62.18*-43.77*30.53/-87.4+-9.76,940.9381219450802
-59.48/20.52+57.34+-94.28--18.5,-21.33863547758284
-6.31*-54.15*-44.03*41.38+-59.3,-622598.9139011
83.38+-52.26+-90.38/37.38/-45.37,31.17329227504946
-35.36*6.98*53.65*-98.56+75.98,1305158.8823231999
-46.45*59.78-85.4-52.18/89.41,-2862.764603623756
-90.61+68.41/-31.05--20.76--45.77,-26.283220611916256
-91.82*-62.94+55.84+33.92-60.49,5808.4208
-92.25+-96.32*94.87/-57.34+-79.56,-12.446930589466348
-66.05--90.53-94.5*55.85/-16.2,350.2716666666667
-12.93/-50.12+14.27+-48.72+-7.71,-41.90201915403033
73.28--67.49*17.2/-76.01--57.97,115.97795684778319
-72.68*-32.32+52.09+99.38-62.86,2437.6276000000003
-32.39--65.12*62.09+-38.26*18.9,3287.7968000000005
-9.43*3.85*47.75+-46.8+13.96,-1766.427625
-76.84/-82.17/-44.75*-88.08/10.85,0.1696401302903723
-30.4/-24.95*60.31/25.95--87.9,90.73175059174226
93.3*98.11/-24.4/71.84+94.04,88.81797713041733
22.56+-26.95/80.82/-55.89-29.16,-6.594033690014623
-55.22*70.93+-75.05/-47.76*-35.96,-3973.2620958123957
22.41*65.67--54.03/-32.51+-13.63,1456.3727498308212
42.97/-54.55--99.6/-43.48+39.24,36.16157393814238
-92.07*-54.91/-23.32/94.49-51.09,-53.38432634380797
34.22/-51.05+54.27+-63.13-8.94,-18.470323212536726
70.77--3.85*-3.66+94.98/3.02,88.1293311258278
49.4-71.22/-49.89-9.35--1.19,42.66754058929644
-65.19*-24.98/61.64+-53.57-11.06,-38.21134003893576
-32.25*-91.4-96.8+-27.76/-18.32,2852.3652838427947
75.19--46.08/96.96/-60.6+-94.75,-19.56784236839526
61.63*35.34+77.04*38.47--60.26,5201.993
-26.35+35.54+55.45*44.85/-59.83,-32.3766471669731
-85.55-94.18*-19.35*97.95/64.63,2676.36265434009
47.94+-76.26/-56.22+56.27+-11.65,93.9164567769477
-56.52*36.58-57.21-38.67+-90.39,-2253.7716
17.62+-28.77*-86.03--40.53/-50.3,2491.897334592445
44.62+-80.87/-99.9-73.94*28.02,-2026.3692904904906
31.81*62.89*0.68*71.25/90.64,1069.3482138680495
-12.48/85.81--74.19*55.11/-9.64,-424.27519900547424
-91.51--70.88/-50.51/88.11*40.7,-92.15820973387305
17.83/65.95*92.85*-62.27/-33.0,47.367817761389475
20.14+4.15+8.8+19.96-27.37,25.680000000000003
34.62*66.72*35.2/-38.44*-95.69,202399.2692758377
-72.15*-64.62*-26.0--33.43-21.7,-121208.92800000001
73.36*-39.94--13.39/-87.14+-89.41,-3019.562060775763
-77.28*58.39/40.97-50.05/-75.5,-109.47570459405767
-79.92+28.02/1.75+-41.22/30.81,-65.2464487411323
73.68-73.98+16.55/-52.93*-66.2,20.39922539202721
-1.46+99.63+-76.37/29.24*-30.51,177.85702804377567
96.32+70.2/-36.33+56.22-52.26,98.34771263418662
48.47--45.44*-95.24/59.54+52.64,28.42431642593216
20.15--4.26--16.85+29.38+-92.34,-21.700000000000003
-50.37-67.96+-59.42*-15.56*-99.09,-91734.48656800002
7.94-38.96*-45.82*-58.04-90.16,-103692.163488
-79.45/33.34/-68.53--30.2*5.7,172.1747734334645
-5.72--74.66+-85.53--15.49--8.87,7.769999999999996
-98.05-89.06/58.48+57.62-52.72,-94.67291381668946
-17.44*72.72/-67.43/10.27*-12.59,-23.056982908887015
-84.92*8.57-32.86/-65.53/-69.51,-727.7716140658565
14.19*26.82/4.35/-40.05-26.14,-28.32448663308795
-70.61/4.41/-86.13+-22.14/29.12,-0.5744048581008077
-28.43-8.11--81.19*83.16-3.57,6711.6503999999995
-2.34+-9.31*3.53+44.16*98.55,4316.7636999999995
92.15/-21.09--62.98--41.58-92.59,7.600630630630619
75.87/63.71+-4.89-15.02+71.42,52.70086485638048
72.2--39.23-58.65--93.12--72.33,218.23000000000002
-20.37+-75.8*-44.31-64.26+19.11,3293.178
-8.66-28.56--31.6+90.11*67.06,6037.1566
39.41-49.26--90.77-44.61-76.01,-39.70000000000002
77.26+-40.61*46.77--29.12*12.9,-1446.4216999999999
33.45*47.94+-54.55/22.92/16.34,1603.4473440971844
-90.27+-85.97*-38.56--90.27*-7.74,2526.0434
48.5--45.95*76.61--89.63-50.59,3607.7695000000003
-1.22/26.59-62.3-6.65/-88.6,-62.27082547708409
-64.76+67.3+86.17+23.86/-5.99,84.72669449081802
-86.94*-0.35*5.13*89.92--98.37,14134.951238399999
63.08--67.55+62.36+-65.45+56.24,183.78
15.43*44.98-82.25*-5.28/80.18,699.457713295086
-69.8-96.02/-69.06+-33.81/43.83,-69.18100428696054
