Formula,Result
-74+-6/35+-63-80,-217.17142857142858
-96+24*22*90/-76,-721.2631578947369
-93/18*93/39/-8,1.5400641025641026
-27+66+77+-30*28,-724
3+55+71/-46*-93,201.54347826086956
8/-43+-43+-43+14,-72.18604651162791
71*21*27-53+95,40299
-90-27*-6/-22/52,-90.14160839160839
-30*95*23/47/22,-63.39458413926499
-5*23*68*-7+39,54779
44/-5*-96+15+-38,821.8000000000001
83-76*2*-69*-39,-408949
-51--38+92+-53--56,82
52*34+0-74*6,1324
50*72+-21*-48/-22,3554.181818181818
50*64--100*40*-16,-60800
89*-46-11--100/-9,-4116.111111111111
-87+-80*75*93*-18,10043913
78*-50*-32*95--64,11856064
-1-91/65-39-5,-46.4
16/-84+46/42/-61,-0.20843091334894612
95+37/45+-8*19,-56.17777777777778
53*-22--4/-73+43,-1123.054794520548
77--43--25+-18--48,175
-4/-97+38/4*21,199.54123711340208
36/-73/70*88-81,-81.61996086105675
-100*35*86--45+-90,-301045
-14/20+11*-20-48,-268.7
90/59*50*12+-79,836.2542372881355
-98/43*74*75--80,-12568.837209302324
-22+-60*31--59/94,-1881.372340425532
-5--54*-8-95/50,-438.9
-24*86+-92/-14--61,-1996.4285714285716
-62*65-20+-16+-79,-4145
-99-75-97*79/-43,4.209302325581405
-96-24+-47-66-82,-315
-83*81*18-81+-78,-121173
37+-92/18-26*54,-1372.111111111111
-6-26+-79--55--3,-53
78*-35/-52--36/8,57.0
1-80-9+-48/11,-92.36363636363636
16--78*22/-99*5,-70.66666666666666
77*11*-80+76/8,-67750.5
-24/62/-83*-27-93,-93.12592304702682
93*98-5+-26-68,9015
50/28/-50*-59-20,-17.892857142857142
-61*91--13+-4*19,-5614
-38*39*-74+-28/14,109666.0
73/7+65/70+66,77.35714285714286
-96*21-5--32/-71,-2021.4507042253522
-50/-97*11+-55--86,36.670103092783506
-90/-14*-4/-98*83,21.77842565597668
78/77*91+63+-96,59.18181818181819
-50*54+64*19/74,-2683.5675675675675
-70--66+-50-7*70,-544
74/-10+18*-41*-15,11062.6
57+-61--63/-27-59,-65.33333333333333
-59+48/-77-30*44,-1379.6233766233765
40*4*-22/93+-75,-112.84946236559139
51-92/17/-89--18,69.06080634500992
88*-63*55+-34/43,-304920.79069767444
-53+80-83+34-42,-64
44/-63/-21+-33+-31,-63.96674225245654
-48+10*-45/71+90,35.66197183098591
53/-23+-37/39*65,-63.97101449275362
-27--54*-92*-48/-86,-2799.8372093023254
54+-20/57/-31-55,-0.9886813808715331
8--83*16/-66--49,36.878787878787875
-70--2/13/79*95,-69.81499513145083
50+-78+37-30--35,14
-8/-79-30+-98/-45,-27.720956399437412
13/-99/-61*-36+29,28.922503725782413
48/-56*-7--53+-79,-20.0
-35--79+-45-91+69,-23
-45*51--12/34-32,-2326.6470588235293
10+75/-4+-36-18,-62.75
78*98*-32*-71-17,17367151
-97*-32/-96+-35+46,-21.333333333333343
-14*72--61-29+46,-930
-38+-38*-36*-55+-11,-75289
-27+1--54*20--82,1136
65*2/-35+97--74,167.28571428571428
47+-77/49/-14+23,70.11224489795919
31/-78/73-44--48,3.9945556726378655
-62*78*77*98-31,-36492487
-45/41+-54--64/35,-53.26898954703832
27-55*-90*47/57,4108.578947368422
-86--49--35/65*19,-26.76923076923077
-56-9-28+19/31,-92.38709677419355
86-32--96--88+-60,178
70/-26-60-81--2,-141.69230769230768
94+1+-74--95/13,28.307692307692307
51/82/-31+49/61,0.7832157459596807
36/4+-30*-68/-61,-24.442622950819676
25*74/18*-68*-2,13977.777777777777
28/-91*96+93-71,-7.53846153846154
5/10+-17+-62/5,-28.9
-55/9/73/-42-20,-19.998006813075307
29/-97/5-93/-63,1.4163966617574866
-12-63+76/-86-37,-112.88372093023256
