Formula,Result
5.03*0.08-5.7-3.7+3.84,-5.1576
9.56*(4.78/(7.73/2.42*9.57)),1.4948916744732421
(6.23*4.02**1-5.83)*6.88,132.19644799999998
7.3*5.24/4.01**2-9.64,-7.261159072393829
4.89+(2.83*3.37**1-4.3),10.1271
0.47+0.89+(9.95-7.72**2),-48.288399999999996
3.04+0.33/4.15/7.7-(3.37),-0.31967297762478486
(9.47*6.73*2.53+5.44/4.82),162.3733737053942
(4.75+5.37/(9.81+7.2**2)),4.837104622871046
1.54+1.98/0.79-6.76/(2.17),0.9311217406521615
8.64*8.09/6.96**1+1.93,11.972758620689655
(6.17+5.37/(2.9+2.89-9.49)),4.7186486486486485
(9.73*9.34)+0.31*6.04*2.05,94.71662
5.82/9.38/(5.91/4.45*9.98),0.04681253234120769
5.56**1+5.51+(3.58*9.11),43.6838
2.66*(3.25-(7.29*5.3+(7.72))),-114.66462
7.13**1+6.04**2+9.38,52.991600000000005
3.7+(9.0**2+7.28**1),91.98
8.76+1.24+0.04+7.0+1.53,18.57
4.52-4.69+2.58-9.36+7.25,0.2999999999999998
5.07-(7.83/2.21*(3.13*0.37)),0.9668674208144798
0.7**2+2.59/8.33*1.2,0.863109243697479
6.71+1.95+7.97**1-5.61,11.02
2.03*4.75**1+5.79**2,43.166599999999995
1.83**1+2.15/(6.05-(1.33)),2.2855084745762713
7.59+7.84-6.88-3.46/(5.34),7.902059925093633
2.27+2.4-0.19/(0.6/0.45),4.5275
2.17**1-5.45*(0.66*4.84),-15.239479999999999
3.46+8.11**2+6.11+0.13,75.47209999999998
2.9/9.72**2-4.65/4.94,-0.9106006999059245
1.99/2.04*6.89-6.04-5.53,-4.8488725490196085
3.71-6.78+2.93/5.96+3.27,0.6916107382550334
3.12+7.81-1.12*7.64*7.14,-50.165552000000005
9.38**1-9.15*8.17+1.82,-63.5555
(6.91+5.03**2-(2.4+5.73)),24.0809
(6.56**2-2.16+2.2*7.22),56.7576
6.0+4.53+9.73*1.5-6.62,18.505
4.79+1.01**1+1.76/2.83,6.42190812720848
7.38+3.82/3.41+4.29/7.72,9.055934085970856
4.06+(2.54/1.48+5.29*2.98),21.540416216216215
(9.26-0.37**1-(0.07/5.92)),8.878175675675676
1.32+(4.72/(3.59+0.95*1.35)),2.2887018984094407
1.8**1-5.87/4.66+0.91,1.450343347639485
6.83**2-(8.31-2.81/1.59),40.10619559748427
8.29-7.31*9.73*6.46-1.11,-452.295898
3.57/9.29*5.11*0.36*(7.88),5.570601868675996
1.1*(7.58/8.06-5.54)+8.39,3.3304913151364772
5.98+4.77-0.21*5.19/1.87,10.16716577540107
3.79/8.4/5.24-4.38/2.82,-1.467086436653596
4.35**2+6.52**1-0.58,24.862499999999997
1.49*7.99+4.29**2+4.39,34.6992
4.44**2-9.57*8.01-9.98,-66.9221
(1.49/2.86/2.91**1-0.29),-0.11096940859827453
8.07/1.97-(6.08*4.8-(1.63)),-23.457553299492382
6.71-(1.03**2+2.66)*(3.56),-6.536404000000002
7.25/(4.66-5.1-7.11*(7.76)),-0.1303637959060374
8.29-6.11-7.94**1-7.2,-12.96
2.7/9.08**2+2.96/4.34,0.7147761991301396
1.52+7.13-8.0*(3.17+(0.47)),-20.47
0.84**2-7.66*5.71+4.14,-38.893
6.83-4.77+5.59*1.16+1.66,10.2044
(2.63-4.74/6.74*6.69**2),-28.845358160237392
6.36**1+5.42/6.5-0.42,6.773846153846154
0.19**2+7.01-1.17**2,5.6772
0.16**2+2.36**1+1.67,4.0556
5.54+0.6*(0.42-7.79*6.1),-22.719399999999997
9.58+2.44**1-3.57+(2.79),11.239999999999998
7.65**2-(8.06**2-8.26),1.8188999999999922
9.87**1-(7.97+3.62/8.61),1.4795586527293842
5.36-0.76-(0.24**2-8.53),13.072399999999998
3.18/(0.01*0.9**2+9.29),0.3420053559329326
2.88/(9.91*8.39/2.42/8.43),0.7066425962386147
4.56**1-6.45/2.89*6.43,-9.79069204152249
4.96*(2.66*3.73)-1.96**1,47.252128000000006
0.84*3.96**2-6.31+(9.62),16.482543999999997
2.46/9.21/(0.19*6.66**2),0.031693734654367145
6.46-4.13*7.24**2-4.22,-214.244688
(9.08/(8.13/3.42**1+0.48)),3.177944246592165
(1.71/7.02**2-2.91)**1,-2.8753006063262476
7.99-5.54**1-2.81+5.72,5.359999999999999
0.58+7.78+1.12-9.29-9.83,-9.639999999999999
1.18*5.01/6.57**2-(2.55),-2.4130414989957116
6.46+6.8*3.78**1-2.79,29.373999999999995
2.89+1.3/7.79+(1.52*8.8),16.432880616174586
4.23/3.66**1+1.61**2,3.747837704918033
2.77/2.67-7.16/8.77/8.12,0.9369088962897238
6.92**1-3.65-4.94+2.99,1.3199999999999998
8.42+2.4**2-5.82/4.47,12.877986577181208
4.35*4.15**2-2.29/4.82,74.44277126556018
4.64*7.82**2-0.68-4.4,278.667136
6.49/0.51/8.2*6.42*2.99,29.789751793400292
3.66-9.59*0.4/2.58**2,3.0837125172766062
7.83+2.65/8.2-6.78**1,1.373170731707316
0.54-7.46*1.97**1-3.6,-17.7562
0.64+0.5**2-5.2/8.01,0.2408114856429463
6.68/9.85**2+4.75+3.9,8.718850009018526
(6.4/3.82-7.59-(6.07*4.68)),-34.32220732984293
0.8**1+7.1*1.06**2,8.777560000000001
(5.82/(2.16+6.49/1.49*0.93)),0.9370765390475573
4.98/9.27**2-0.2-3.14,-3.282047807068073
8.21**2-9.96**1+6.81,64.25410000000001
3.38+9.99+1.31**2+2.47,17.5561
6.14*(9.09/(7.0/9.72-3.81)),-18.063292356458852
9.86+4.75*7.56**1-0.26,45.51
0.07*6.98**2+3.78**1,7.190428000000001
(5.05*9.52-(6.22+(7.73-9.97))),44.096
7.46/4.51*3.72-7.9*1.93,-9.093740576496673
3.47**1+(7.45/0.11-3.12),68.07727272727273
4.86/3.35**2+2.17*(6.42),14.36445858765872
3.95/5.95/7.13-(8.26*7.79),-64.25229122773933
(1.68**1-2.88+9.97-6.89),1.8800000000000017
5.75-3.93*2.86-(6.56**1),-12.049800000000001
(7.5*1.85+(7.4/4.7-6.34)),9.109468085106382
8.73/8.23*3.7*2.57/5.95,1.6952442896964375
0.2-2.61**2-1.02/9.86,-6.715548275862068
0.05/(6.34/8.36*8.16*1.84),0.0043911577798037334
(1.22**1-1.49)+4.06-0.36,3.4299999999999997
9.58/2.55/8.62/8.27*7.97,0.4200208743541128
(4.9*5.9-1.16-(5.78+(3.18))),18.790000000000003
5.71*2.36**1-5.03/0.1,-36.8244
3.36*4.75+5.43**2+5.83,51.274899999999995
5.78-5.24**2+5.92-9.74,-25.497600000000002
6.98/7.52/7.92/(9.68*8.0),0.0015133767448531387
4.67*(0.52/4.55/1.57-3.0),-13.670054595086441
4.09+(9.79-(3.62-5.06+(9.32))),5.999999999999998
5.84-0.83*6.01**1-(2.32),-1.4682999999999997
9.09-3.33**1-(0.42*4.98),3.6683999999999997
6.2/6.36-5.83+5.27**1,0.414842767295597
4.53/(7.48/(7.31+4.28/5.51)),4.897468700563875
(1.01*6.04)+9.77-(9.55+0.55),5.770399999999999
2.23*2.42**2+1.13+3.24,17.429772
(4.11*9.49+3.1+6.15)*(4.22),203.63145799999998
7.96**2+2.44/3.44+3.7,67.7709023255814
0.49-4.48*8.09+(6.47**1),-29.2832
2.08-1.13**2+8.61/(9.66),1.6944043478260873
8.46+3.4**2+4.34/6.97,20.64266857962697
3.05/4.69*2.78-3.96-7.84,-9.992110874200426
(1.59-9.41-0.73+6.81/5.49),-7.309562841530056
(0.19+(6.3-9.14-(6.04**2))),-39.131600000000006
3.83-(3.7-7.94**2+7.0),56.1736
5.59+3.63**1-(5.45/0.08),-58.905
4.17+2.82**2+4.49-1.05,15.5624
7.43*3.59*0.74*6.4*4.15,524.25556928
0.87*3.45/9.28+8.46*5.72,48.7146375
8.82/6.33-(3.05-3.18/2.64),-0.4520896165445927
5.76-6.05-3.16**1-(5.89),-9.34
(1.61+(5.3/3.93-3.93-7.4)),-8.371399491094149
6.92/4.07+7.05-8.76-2.59,-2.5997542997543004
6.38*9.45/4.54*3.68-(7.69),41.18023788546255
7.6**1-3.92+3.39/6.31,4.217242472266244
4.61**1-(6.28/(9.79**1)),3.9685291113381003
1.63*9.17*7.03**2-7.71,730.98913439
4.09-9.49-(7.78**2-2.92),-63.0084
4.07-5.22**1-9.97*3.29,-33.9513
8.76/8.3-2.14**1+5.64,4.555421686746987
4.57*9.13-9.99-5.52*4.16,8.770900000000005
(3.83**2+6.4-9.35**1),11.7189
0.66**1-3.29*2.28*(6.02),-44.497224
7.9+6.34*(4.07+8.96**1),90.51020000000001
5.87/1.26+8.3-3.22**2,2.5903301587301577
2.22/(8.21-5.03)*3.97+1.69,4.461509433962264
8.21*9.96*9.57/3.99+3.47,199.59887518796998
(2.6*9.79*6.52**2+7.94),1089.9997216
2.31*6.05**2+8.71**1,93.261775
1.51/2.27+8.16+5.97/3.33,10.617991030678255
7.01*(2.36*7.84/(3.85**1)),33.68878545454545
1.5**1+1.5+7.35**2,57.022499999999994
(9.33/5.66*4.26)+5.71**1,12.732226148409893
6.22*3.3-0.32*8.55/4.08,19.85541176470588
0.26+6.87/9.29/(2.14**2),0.42147804260594635
1.75**1-(6.44*8.95)-3.03,-58.918
2.99*5.38-1.03-4.64/5.24,14.170703816793896
0.75+(8.66*0.73*5.25/1.66),20.743644578313255
(7.16*8.27/1.62**2-7.28),15.28256668190824
2.0+6.8*4.89/8.01**2,2.5182660251464695
8.63+(7.85-2.31*3.65*2.85),-7.549774999999999
9.75*5.72-7.77**2+4.71,0.10710000000000175
(1.52*5.73)-(2.9-6.57)+(1.44),13.8196
5.46+9.94*7.52*3.75+8.99,294.7579999999999
7.21**2+2.69-(8.32/6.01),53.28974059900166
(1.05+2.45-4.96**2-8.32),-29.4216
9.65+(8.42-7.7-(9.53/(8.69))),9.273337169159953
3.82-2.44+2.34**2-(5.5),1.355599999999999
(2.44/(7.85+3.16/9.47+(8.24))),0.14856592489148557
4.77*9.94+(7.23+8.62)*4.45,117.9463
(4.13**2-7.87)/4.72-(1.0),0.9463771186440675
2.72*1.14/1.03*8.7-5.57,20.621223300970872
9.74*0.49+5.25-8.1/0.07,-105.6916857142857
7.34/4.09/(0.91*8.19**1),0.24079499616187866
7.56*5.23-9.67**2+3.66,-50.31009999999999
5.8-6.43*(5.47-6.05*1.72),37.53847999999999
(0.05/0.65)**2+5.94/7.97,0.7512120154722222
4.69*5.23*6.61+(4.93+(8.13)),175.19470700000005
1.36**2-9.78**1-2.81,-10.7404
9.43**2+(9.84/7.29-6.25),84.02469423868313
(7.86**1+(6.78/2.05*8.44)),35.77375609756098
4.25**2-3.53+(5.76+2.77),23.0625
5.67*1.8-(1.25/4.74-3.3),13.242286919831223
5.91/6.86*6.93*8.46+6.19,56.698789795918366
(6.71-4.7+3.72-9.52+2.05),-1.7399999999999993
1.82**1+0.32+5.6*4.53,27.508
4.21+6.57+0.91-8.98/2.16,7.532592592592594
9.18-3.16-6.77*7.58-6.03,-51.3266
(7.03-1.42-1.04/1.39)-(4.73),0.13179856115107924
3.62/3.42-3.04**1+0.4,-1.581520467836257
7.21-(9.37*8.03-(4.29/0.58)),-60.63454827586205
1.99*(0.63+(3.9+6.09*6.22)),84.395502
0.99+2.1**2+9.02+5.38,19.8
7.78-0.14-0.18/7.17*5.2,7.509456066945607
(9.13/1.94)**1-(7.69-0.17),-2.813814432989691
3.5-2.95-4.06**1-9.92,-13.43
7.36*4.62+7.29-5.63+5.78,41.4432
5.0+5.16*3.62*3.79*9.72,693.1193129600002
5.26-1.44*2.76/(9.22/1.69),4.531503687635575
6.18+0.94*(1.19**2-3.25),4.456134
3.17-8.69*9.69+5.58-(1.18),-76.6361
4.75*(9.32-(1.62**1-(0.52))),39.045
(3.33*9.98**2-(7.38/7.62)),330.7008280629922
4.96+8.33-2.44+6.99-0.74,17.1
6.31/7.75**2+(6.24/7.58),0.9282762294114256
9.72+1.24-9.41/9.53+8.35,18.32259181532004
1.52**1-(4.98-2.73-3.62),2.8899999999999997
(6.51-2.28*2.59+6.98/5.98),1.7720240802675593
3.43-9.34/(7.6**1+5.36),2.709320987654321
2.59-1.53+2.26-0.64+0.84,3.519999999999999
4.62/4.54/(1.65/9.13-7.73),-0.13479716412020504
8.08*(2.52+5.36/2.87/0.28),74.25507934295669
(8.77+0.5**2+2.16*(4.57)),18.8912
5.69*0.95*(4.44-4.14+2.23),13.675915000000003
8.43-5.55/9.13*1.84**1,7.311489594742607
8.5/7.78*2.24+4.14/0.9,7.047300771208226
(6.03-(0.84+3.46/9.03+8.36)),-3.5531672203765217
9.75**1+3.96**2-(3.54),21.8916
6.74*8.45**1+1.89**1,58.842999999999996
0.85/5.91-(8.31/8.26-8.82),7.957770758307625
8.8-1.0**2+8.05*7.84,70.912
3.48**2-5.12+7.04/1.76,10.990400000000001
9.41+(0.46-9.58*(6.94**1)),-56.615200000000016
8.84+5.99+4.89-5.66/(2.73),17.646739926739926
