Formula,Result
6.47+9.17*9.24*1.53+5.07-0.32-6.15/2.5-(4.34+(7.75)),126.30812399999999
8.74-9.92+7.87-4.09*2.88/5.16-6.33+1.16**2+3.78,3.202809302325581
5.15-2.66*3.8/1.19*(8.79*0.52)-9.34-1.29**1+0.67,-43.63491294117646
(8.94*7.91+5.3)*5.81+1.59*2.01**1-0.73+0.75**2,444.6778739999999
0.35**1+2.7/5.54*7.5**1+1.22**1-8.58+9.39,6.0352346570397115
7.81*(9.13*9.41*7.24*2.76**2-0.5-9.81+9.8-6.31),36952.39672556114
0.8+8.71*7.87-(9.88/1.94*4.68*0.24**2+0.9/5.98),67.82434686384167
2.89*8.31/3.02**2+7.49**1+0.43**1-7.63-5.35,-2.4267931231086353
2.77+4.97/2.98**2+2.17+7.52**1-5.74-1.77/9.38,7.090960114457281
9.2/(8.77*(1.83*4.37**1-7.18)+4.8)-8.43**1+0.69,-6.971152818656444
1.08/3.71-(6.71-0.22+6.14-0.45)-2.84+9.6*8.66/1.51,40.3280587636779
5.67+0.87**2+5.96/6.69/3.52-9.73*4.45/7.44+1.87,2.7303005924279677
3.44**1+(0.6+1.83+5.84*1.79+6.17+2.2**2+0.28),27.6136
6.29/2.45**2+10.0/8.0+1.02*7.91**2+9.71/7.06,67.49271281735302
3.65**1-9.05/6.37-(2.19*8.92)**2-0.91-(9.91/2.87),-383.7420948474818
3.53**2-6.4/9.4-0.05*9.35*9.1/6.17-(2.91*5.71),-5.525556736439187
3.99**1+5.54/8.04-6.75**2+4.42-7.0/2.27+(7.4),-32.14714571416048
4.49+7.65+(0.93*4.43**2-(1.22**2-6.25**1-2.55)),37.702757
3.14+4.18-4.49/0.51*2.33*5.56**2-4.67+0.95**1,-630.5349198431371
9.85-5.63**1+4.46/4.65/2.74-0.59/5.93/3.59**2,4.562331174238657
9.73-7.8-5.71+8.32-4.99/2.91+7.5**1-(4.56/3.09),8.849495212357791
9.31**2+(7.76-5.61/(7.94/8.85/7.59/0.74+(9.87/3.65))),92.47719573834652
(7.85/4.51)/5.96-6.47+5.28-6.24/5.41**2-9.65*(5.69),-56.019658367221204
1.48*1.52**1+5.98+2.26/6.95**1-9.54/6.24*0.13,8.356029856115109
9.62*9.74*(2.01-(5.99+0.51*7.95+8.15/8.4+2.27)**2),-16348.029379355372
0.86/5.5**2-8.4**1+5.26/8.44+(8.31*0.5/7.04),-7.158148635482356
5.73+1.15/8.73-(0.43**2+7.21-9.23+4.86)+4.81/2.5,4.760829667812143
(8.82-7.31-9.51**2+3.52+4.71+3.6*6.98)+(3.27*3.63),-43.702000000000005
7.51-6.45-(2.88+8.56/2.16**1+7.91)-2.44*(9.82-(9.69)),-14.010162962962964
8.71-0.2**2-2.33**2+0.41+4.13**2+2.17-(1.16),21.718
5.42**2+4.59/3.91/5.66**1-2.5**1-5.84**1,21.243805131356584
5.96/4.19*2.44+4.52*9.54-1.52-9.69**1+0.79*(9.82),43.139339856801904
6.57**1-3.65+1.76-0.73*6.33-0.27**1+3.13-9.02,-6.100899999999999
1.19*5.54+4.32/3.39/8.03/7.46**1+9.93*2.81*6.07,175.98690404583658
3.29-2.85/0.55*6.02+6.66+7.19*1.17+8.94-7.59*0.49,-7.611345454545453
4.79+2.85+8.72**1-3.76*6.16-2.53+0.45/6.54*0.01,-9.330911926605504
5.05+1.6+6.51/6.36*(3.05-6.47*(3.16/3.34**2+(1.1))),0.6111256803419485
8.46+(8.59*6.78-6.47-3.47/2.52)/9.7-8.71-(6.21/2.51),2.4710733084679775
1.18**1-7.03+1.43**2+(6.69-2.59**2-3.77**1),-7.5931999999999995
8.16*(8.41+0.57)/5.07**2+8.65**1+2.25+(1.09+8.27),23.110693836583685
7.41-(4.46*3.14+(7.17**1+3.04+(4.86*6.55-5.94-5.0))),-37.6974
4.08/8.35+8.79/7.47**2+(4.27*(9.75-5.07*3.66)*(7.91)),-296.7894222445038
0.42*(1.12**2+5.02*7.25/2.15+9.13*6.68)-1.83-3.57,27.851696930232556
8.49*(8.93**2+3.37**2-6.51/0.46+8.16*9.69-3.62),1293.876221478261
0.62-8.4+0.34**2-(6.24+9.88/4.13)+0.87/3.56-9.32,-25.37226979350872
(2.68*9.73-4.42/6.2/5.88*5.35+2.28/(3.47+8.84+(8.98))),25.53484758985732
(3.93**1+7.85-0.83/9.97)/1.32/5.92+2.82+3.17*2.38,11.861420005470958
(6.5-9.75/2.28*7.04**1-5.97+7.4**1-5.91-4.28),-32.36526315789474
(6.34-7.46*(4.35*7.88/7.49-(3.28*(4.4*6.92)+1.61/9.1))),718.5451636139263
(8.01**2-6.63-4.28/1.34**2-(4.54+0.34*5.09*8.9)),35.204155633771435
5.96**1+4.04/4.65-7.63*6.53/5.06/(2.73/2.01)-(7.65),-8.070892433886824
7.59+(1.68**1-3.78/4.31*5.29-5.07**1+9.2*3.08),27.896510440835264
1.46/1.83*5.48**1-8.9/(1.95**1+(7.67*8.17**2)),4.354703787372858
(8.06-2.75-(1.4**2+(1.75**2-(3.94+5.67**2+2.88)))),39.2564
5.69+8.05+(3.75/2.11*(9.7-8.65)-9.42-8.39/(5.09+7.49)),5.519182106555956
3.36/1.19+4.47+0.98/0.05*6.18*6.38**2+9.92+3.23,4950.886092611764
7.62**2+3.14+2.72+9.53-4.29-8.94-7.04/3.34**2,59.593326817024625
0.36-(2.46/4.71/3.1/0.05*0.74/6.6)/5.77/7.89+6.46,6.811701158508137
2.48**2-8.98*2.51+(3.33+(1.75+1.55-9.16*2.81**2)),-82.087676
5.89/8.52/2.69+8.52/1.02+(3.33*3.53)+3.29**2-5.69,25.498935434459657
(0.7/7.88-2.85-1.34**2-9.1*2.13)+1.57**1-(1.31),-23.679767512690354
1.08-4.31-9.47+7.44-5.61-3.02+2.02/5.63*3.2-4.71,-17.451865008880993
7.45/0.83+9.71**2+5.48*2.2-6.22+0.37*5.06-1.56,109.40820361445786
7.11*5.35-5.69/7.29+5.1-5.22**1-1.22+2.31-4.89,33.33797873799726
9.59*5.74+6.27**2-(4.22**2+9.3-5.56)**2+8.84,-361.13404256000007
0.19/(1.1/0.2**2-4.69**1+1.15**1+(6.76*(5.01))),0.0032856283158906826
(8.8+8.99**2-8.04+(9.94/8.02-0.91+3.15/2.16*0.27)),82.30325149625936
0.5/3.68+6.5-(0.22/8.53)*3.79**2-0.46+7.17+6.2,19.17540039757378
3.02-8.26**2-9.12-2.56+9.75*6.31*7.17*3.64+4.9,1533.675823
2.12-7.33+5.13**2-0.36-(3.45**1+9.51/2.17)-7.1,5.814411520737329
6.59+1.71-5.42+0.55*3.93+(8.04-0.86/3.4+6.75)-8.13,11.448558823529412
3.49-0.54*8.66-1.2**1-7.44-1.94**1+6.48/2.78,-9.435464748201438
1.6+3.72-0.85/0.05/(4.56/7.96**1+7.69**1+0.65),3.412644588027018
(7.36-0.25**2+3.21-3.53-0.05)*7.08*5.5*3.88/6.4,163.5400903125
(4.6/4.03/3.85**1+4.22**1+6.62*3.26**1-5.92),20.17767771583255
3.48/8.41**2-8.36*9.19-8.71-4.06*0.75*2.59/0.36,-107.39628082400534
(2.66*9.6**2-4.06*(8.79*2.92/3.79*7.64)*9.02-2.92),-1652.5528916787332
6.43/9.51/6.74*1.08+8.63/3.47*8.09**1+2.46/5.23,20.698791112030943
6.08/9.16/2.9*(4.18-2.7*6.81**2+0.26/0.19)/1.07,-25.597698015865756
