Formula,Result
(83/59+57/(35+97/91+73-38**2+20**2+32/16-62)-43),-41.65051056750336
3**2+39*31+48**2+86/11/98+66/79/40/(21-89)*10,3522.0767058837346
72-10/54+(62/60+59)/64/35+69**1-63*51/33/31+18,155.7008529467098
99**2+19+45*84+35**1+8**2-84-(60+(35*96*47)-56),-144309
9*22-47+17**2-45-79+94**1-81**2+86*19-60-1,-4578
12-54/92**2+63+24/23/92-22**1-35+39+(10+(1-65)),3.0049621928166346
55+41**2+6*1/71**1-15**2+47+43**1+34*98*99,331469.08450704225
3+94*13/96-68+59*93*17**2+51+8-15/(11*40+85),1585749.7005952382
38/53**2+35*48**2+(99-56/60-61+45/(64*66-43)*20),80677.29545411986
15-27+9-31**2-22/73/(61+81*21-(34**1+(1**2-47))),-964.0001698815462
19-9*37**2-42*70**1-40*76/(1+60*35)/48-34+12,-15264.030144375694
89**2+57**2-59+22**1+8/(75*35*4/70/94/24**1),11253.32
(24/60**1+(59*97-(27/52)**1-62*34+1-40/54)*43-20),155414.22122507123
87**1-53/(77+5+26-95**1+56-9-(29*51**2+76/43)),87.0007031903986
77**1-3/94**1+44+64-86+(4-70/64+22*79**2+52),137455.87433510637
43/69*33-(64**2-60-89**2+73+(21-79**2+67-97-42)),10124.565217391304
40**2-(98+(33+97+10*30*62-63-35)/72/3)/(69*25)-42,1557.8931830381105
40+69**1-16**1+83-4/(79+35**2+41-98/(74*86/1)),175.9970259882549
(90*24/87)-65**1-80/2+53/65+95**1+59/6/74/49,15.64568271785021
67-89/45*18**2-67+46+7-75+44/(9/(56-52/(69+(88)))),-390.64147204529377
(88-39+27*93**2-78+88+51/51+62/63-(76-22+14/67)),233529.77517176024
(50/2)+11+36**2-82**1+70*24+69*5+94**2-38-56,12017.0
44+63+(78+71)/46**2-(15-80*65-9+60*24**1-96-89),4046.070415879017
53/40-71**2+75**2-53-47+96**2+92+(8*(85*19)*58),759153.325
(33**2+37/20/84**2+9**2+92-80)**1+49**1+27*93,3742.0002621882086
24**1+8*4**1-66-11/91+(22*81+90**2-44**1+25),9852.87912087912
92+5+77*(62+69/92**2-34+(82+79-62*(69-12)-86+64)),-259161.3722826087
85**2-56-35/23/44-88-63*(35-60)**2+74*59*59**2,15165751.96541502
31-69+89+30-19/96*(95/10)/83-55/15-70/(64**2-33),77.29345157210184
49-4/94**2-35/14*88*82/98-(92-41-66+97/87*6),-126.77174051900151
53**1-41**2-38**1+94-55-1+45-85**1+84**2+30,5418
94-69**2+13-27+74-13**1+36-17-86-83/98*48+12,-4715.65306122449
58*63-6*51+92/(58+4+24/99**1+2)+(17**1+(11**2)),3487.432075471698
92-41*26-65*37-48/(95+(30*29**1+19*95-44+32/57)),-3379.017604591607
(17+12/44*11**2+30+42**1-55/(26-4**2+49/33*21)),120.6644591611479
9+30*55**2+4/13/(26+93*(30-12)/93/59**1+21/58),90759.01153825081
32*68-33-20+89+79+93/94-33*4/83-(78**1-19/2),2221.8990002563446
62+99-81+64+13-85-11+70+84*45**2+25*2/78*49,170262.41025641025
13+67**2-90/45**2+44*59/1+98*53*77-75/5/18,407035.1222222222
5/58/12*(4**1+91-22+58-41*87+92*21-93)/5/18,-0.12747445721583653
81*94**1-51-68-35+6*82/77**1-24*44-66*75+22,1482.3896103896104
(11-59-2)+8+94**2+76/24-12+72/56*19-37**2-31,7409.595238095237
(39+(99-(73+57**2-65+29)*93)+(38**2+80)-17-17/96/(71)),-303953.00249413145
13**1-7**1+85+56+66*24**1+2-42+81/59*13+81,1789.8474576271187
6-47+20+78+54/35/10/61+95/43-54-80**1+53-61,-82.78816840041392
(27-11*(58/75+15-58/74-44-67+81*(1/52)/44/77+13)),940.1098975123975
99**2-35-17+26/(50+43/18-27)-50-99*19-33*19/67,7809.665861066658
(99-77/80/60**1+64/16)**2+(86/(13-67**2+71**1-(68))),10605.676447531805
30-(49*65-36)*85**1+84/57**1-77+56+36*26*16+39,-252639.5263157895
39+94-85+2/3*91*(48*(84-5/95**2+29+30/52**1)),330782.3867036011
72-82-2-36/58/17-40**1+29-6*(98/86-84*15/98),47.26913668434495
64-12*49*67**2-2-39/81+12**1-68**2+8*41*48,-2628338.4814814813
60/87*20**1+34/58-7**2-58/(4+83/71+47+63)-83,-118.12429733525067
97**1-(72+32-22)*(98+(86/3*(90+(50+33/87-33/(19-58))))),-339912.9911582671
(17**1+(82-88-90)**1-96*38*9)+6-19*1/(97+(2+88)),-32905.101604278076
79**2-11+91-7**2+(83*81/42)**1-(14**2-62-69**1),6367.071428571428
89/75*70-57-95**2+93-30**1-(58**1+82-31*40*71),78964.06666666667
43*(66*(58+(65**1-85-87/(18+(71**2+98)/77)+46-63*84))),-14783217.68
(25/(67*41**2+67+(74+87-48/58*62-97/39**2-2)**1)),0.00022162801116269823
(2/63+66+44-(11*32*58**1-17*29)**2+18*17-56+35),-396925533.96825397
87**1+(73-(76**1-8/57-63**1-76-22/43)*75*(50-61)),-52352.88249694003
60/39*64-86*(90+57)+1/13+2-80+(39*82*21+(96-12)),54620.53846153846
79+95-(35/73*18+(90**1+22+8/40-13)/46**1-8/96),163.29667460790154
53+(97-69*27**1-39/65*23)+94/77*41-56*2/17*52,-2019.3362872421694
74-56+14-27+53*(34*(26+63+32)**1-13)-(23**2+75/5),216814.0
20*62-92+(59**1+6+(17-14**1-24*(48-58**2+86*(5)))),70480
64*73/(19**2-97+98-(89+41**2-1+50-68)*26+77*12),-0.10560578661844484
23/61+86-57*43+77**1-36-(11-4/38*(96*(68+55*28))),13914.640207075065
84**2+51-72-32*44**2+2/72-82/41-87*77-56/(13),-61622.279914529914
47**1+72**2+(60-(58*81*78**1+57-60*44+75**2-57)),-364138
88/88+41*16**1-34*40+65**2-23-89**1+6*11*78,8558.0
11*90**2-93**1+88/(87-86/65/(23**1-(4+40-73)+20)),89008.011707945
51-78-74/2**1+67*91**2-42-25*73*63**1-(50**2),437246.0
