Formula,Result
11-32/63**1+47+84**1-17+48*52,2620.4920634920636
18+98-(68*(90/88**2-5)-17/(10*34)),455.2597107438017
11/53**2+98-23*72/90/(78**1-94),99.15391598433607
64+64**1+35**1-(42-2**1-(82**1)),205
52+6-20+(62*29**2+67)/56**2-35,19.648278061224488
71+43+72/41*37+4/87**2-14-5,159.97613822749403
(83-18*93-62-54+(35-82-73)*12/70),-1727.5714285714287
(63**2-56)-44-97+61*88+74*(58-(79)),7586
(57+(76-34-59+54+21)+60/(19+37*67)),115.02401921537229
9**1+3/38+42+11-58+66+98+30,198.07894736842104
69-10+90*8+49+13+65+70+84+77,1137
47**2+95/61**1-92/8+47+11**2,2367.05737704918
27*(22/8**2+93-68*6)/87-51/65,-98.43655503978779
64*72/4*73**2-(93*13+59)**1-57,6137683.0
79+(71-58+62*33**2+84/35/34**2),67610.00207612457
46**1-60/20**2+39-17+(23+76+89),255.85
69-42*43/91/17*44-46/13*(57+(70)),-431.75113122171945
23/78+60+(21**1+50/9+84-20/9),168.62820512820514
77**1+7*(40/84**2-80/80*92**2),-59170.96031746032
88+41-(80**2+1*(63+99+10/65)-82),-6351.153846153846
29+33*69+94-51-61-91**1-61+58,2194
59*(28/16**2+(81+10*9)+27+93*86),483570.453125
75/93/21/55/6**1-99/61+2+24,24.37716555141198
31/83**1-76*97+98**1+32-29/80,-7241.989006024097
56-4/75**2+5+23-(91+5+71/44),-13.614347474747476
75+97-36*76+91/(25*77-18**1+83),-2563.954271356784
29*18*(66-52/77*(63+71)**1-(1*24)),-25313.610389610385
58**1-(70-39/57**2+29-18+45/(58)),-23.76385837552138
29/5**1+80-37/57/17*41*79+39,1.1230134158926717
57+(18-20+60-52)/50/16**1+41**2,1738.0075
(37**2+1)*98**1+23**2+(89**1-61),134817
71*94*84**2-68*38*34/39-27+80,47089544.28205128
29-36**1-82+(89**2+93-25+80*10),8700
(46**1+31+72-11/44+49*99+76*47),8571.75
24*95/41**1+35*84**1-70+31**2,3886.609756097561
75/95*74*95/42**2-2+84*70*14,82321.1462585034
37-76/90+(79+50)**1-16**1-80*84,-6570.844444444445
40/58/23**2+80*51+96+29**1-5,4200.001303695978
(99/(60/(90*(30**2-26*97**2+94-38)))),-36186183.0
97**2-(54*24+13+44*20-10*85**2),79470
36/15*39/(72/13+4**1-51)-33**2,-1091.2575139146568
(61/1-43*20/85+(87/27**1-(78+2))),-25.8954248366013
25**1+89-85/93**1-93*(32-(68+2)),3647.0860215053763
12/16*(46*90-75/82-18/(16+48)/74),3104.3111738834873
86**1-48/22/90+50**1+(7+55*95),5367.975757575758
65+26**2+62**1+47+82/41**2+(44),894.0487804878048
3/78**1-33**1+75/58*(26/72**1),-32.49458443854996
40*21+55-15*65*38**2-69+47-35,-1407062
(78**1+35**2+11*18)-65*(57+27*91),-161909
55/18-80**2+89/(75/48)/69-35/52,-6396.792014121144
94/19+18*31-20**1+59*61/51-65,548.515995872033
57/82+60+16**2+84**2-(7/29/37),7372.688598186075
13*41**2-(31+27-36)**2+(65*40-2),23967
54*41-(76-50+74/7+22+57+96)/92,2211.700310559006
96*(43-27-4-(60-5/44-41)/46-28),-1575.415019762846
70**2-1-29**2+81/97+15**2+54,4337.835051546392
46*38+(73-36+8**1+11+3*95-(36)),2053
16+40/(1**2+99/33/21+36+20+28),16.469798657718123
81*18-41*78*79**2-(95-24)+24+16,-19957291
13-24*53**1-88**1-33**1-69-22,-1471
83**2+94+10/19+70/10-10*71-15,6265.526315789473
99**1+96**1-89*22-65/80-(12*95),-2903.8125
95+14**1+39+98*22-81+51*(11**1),2784
80**2+86/7**2+22*99**2-76/76,222022.75510204083
69+20/23-10+(6-65/37/10*47*61),-437.79259694477093
35/5/62+73*90**2+45+(99-55**1),591389.1129032258
27-77-32*(35-77*8+42)*16/38*15,108884.73684210527
98**2-50**2-65/16/43*83+(25*39),8071.158430232558
(2/34*(36/(65**2+14*(33*42*38+79)))),2.8513471546050325e-06
43*(38**2+87/(96**2-62/9)**1+65),64887.40622813156
(38-96+78/19/17*35-80/6)**1-(41),-103.8813209494324
43+46/52+(43/83**2+74-(56/97/87)),117.88422136209543
84-53+36*1-52-48/49*(78/63**1),13.787172011661808
2/81+72-99/50**2-19+43+43-17,121.9850913580247
66**2-62/21**1+67/(50/85/(84-75)),5378.147619047619
73+72**2-60**1+41/34+(75*42)+(13),8361.20588235294
3+41/4-31-29*65+16/8**1-86,-1986.75
95*52+55-73*64*67*9*91**2+3,-23329360698
86-91-69/21+57/75-57/96**1-9,-17.119464285714287
21-80-40-85-9/64*53*(55/78-18),-55.09915865384616
65+68+10**2-95+45-37+30-3*19,119
90+11-(90+67*(59**1-38*48*26)/(59)),53798.372881355936
5**2+(18-65*37)*32+52**1+87**2,-68738
69+71**2+24**1-(17*69-67/48**1),3962.395833333333
(69-6+81/(39+97**2-39/57+93)+83),146.00849028499553
54+88-(65*62)-(33-27/18*19*94*61),159498.0
80-22**2-82*25*(84*25**1-96*16),-1156604
(14**1+64-75+87+(48*21-(97-22/99))),1001.2222222222222
14**1+27-71+93**2+61*42-55/7,11173.142857142857
99**2+64+91-44*(45*98)**1+21**2,-183643
69**1+(6+63)/80*93/(67+(93**2-42)),69.00924746368457
26/61*95*68*49/23+58-39**1-(50),5835.029935851746
5**1+6*10**2-48*(44+54)/55+83,602.4727272727273
29*31+69*26-58/(97*50**1+99*(94)),2692.9959027974005
35/72/50+78-26-22**2-(45-15+81),-542.9902777777778
29**1+88-31**1-56/95+57*39*45,100120.41052631578
65*48*76+35-93/76**2-91/39+85,237237.65056555864
75**2-55/35**2+79*67-34-46+57,10894.955102040816
70-(87**2+61/29+67+26+10+61/36),-7605.797892720307
13+72**2-90*67+13/45/89-2-55,-889.9967540574282
28+47+59+52/84/71-(29/41/68+57),76.99831725888569
28*74*65-56/5/29-78/78+(92*64),140566.61379310346
24**1+79**1+49/90-66**2+83/33,-4249.940404040403
66**1+83-(88*58/5*(48**2-42)-35),-2308865.6
54-32/(20**2+22-31+(51*56)**2+52),53.999996077075174
47-38/26-26*97**1-49/44**1+3,-2474.575174825175
87*25-46-40*(27*46**1+(77**2+32)),-285991
90/9*61+91/53-49/70/75+36+15,662.7076477987422
47+42**1-32-(67*81/32/51+24+78),-48.325367647058826
27*82+21-89*(1+65-14**2+41)**2,-702734
52-3/(49+71/69-36-92)+57*(45+63),6208.038475836432
(89-79)*60-40-50*82+(96-1+91*62),2197
99/74-(36**1-13)-65**1+32**2-95,842.3378378378378
46+93/55+35**1-41-90+24+81**1,56.69090909090909
47-99/51/82*10+6/62+31**1-60,17.860045355671772
(30+12*36+14/28*(14/90**2+16**2)),590.0008641975309
82/96*16/69*11-92**2+90*38+9,-5032.821256038647
74+68+53**2-48*18*37/58**2+79,3020.4970273483946
(61*(91**1+98)/22*91/42*86*77+67),7518896.499999999
21**1-14*63/44/13+32/33+28*92,2596.427738927739
43-65/16**2+15-58-67/67*35**2,-1225.25390625
(80-72)/37+81**1+7/31*79**2+77,1567.4742807323453
12+58**2-72/3-40**1-1+40+85,3436.0
(5/56)+87+95+92+48**1-(38/(15**2)),321.92039682539684
67-99**1+12**2-41*65+30**1-41,-2564
26*57-(62+18**2-49**2+22/(15+56)),3496.6901408450703
66+77*15*1*(98/(91**2-51/(14-29))),79.66302930809715
72*(71+83**1-84-9-59/92+64)/87,102.91754122938531
10*97/66**2+43*(83+98**2+(45/(20))),416637.97268135904
90*(46**1-44-76)*5*50**2+(41+51),-83249908
53*89-87**1+5**1+89/23-40+38,4636.869565217391
(43**2+5-26)/37+27**1-43+77+26,136.40540540540542
(80/(39**2+11**2-80*46)+35**1-58),-23.03925417075564
73/51+78*(9+18-61**2+18+5+23),-284542.56862745096
78*14-76*48**2+62**1-54*7**1,-174328
4*89/34+34**1+19-10-70-83*81,-6739.529411764706
(22/25**2-(11+29*47)+58**1+72*27),628.0352
96+21/8**1-16/44*9**1+50*(70),3595.3522727272725
13-97+88**1-11/88*97-97**1+70,-35.125
56/4*32/85*29/8/76-58-5-51,-113.74860681114552
83/25-66-75+55+97/(9-(71**1+64)),-83.44984126984127
72-86**1+15**2-76+12*82**1-5,1114
43**2+(53*97*62*18*(18-88**2+52)),-44028468095
43*75-66-74*7+67*59*56**1-88,223921
(90**2-66/(32-83**1-59-11**2+91)),8100.471428571429
26**1+72**1-(6*89-(85-28+38**2)),1065
(61/57*9)*54+83**1-64*20-76-4,-756.8947368421052
(65*(47-50*67-78)+2-18*85**2+48),-349765
25-40*45-6/40/88-(33-38-6*23),-1632.0017045454545
(78-28/92-60/92-(31*83-15)*44+71),-112403.95652173914
51**1+90-24+25-(4**2-42*42/56),157.5
41*77-69**2+90-30**1-36*74/21,-1670.857142857143
33+(51*30-66+63)*2*64**2-50*42,12507117
57-22+20**2-56-(36+52**2+62*35),-4531
74*74+82/73+(45**1-34**2-80)*80,-89802.87671232877
(41-88**1-44*82*87**2+(1-1*(45))),-27309043
31/17+(51**2+19)+44/79+(77-29+89),2759.380491437081
23*30**2-84**2+89/89+47+(87**1),13779.0
88*(54/76*37*64*12*76**1-2**1),135032656.00000003
80*79/27-(79**2-61/34/85)/57-66,58.58321630681857
16/95**2+33/96/18**2+71*92*84,548688.0028338099
66-(70-52*87-64**1-84-2*21**2),5550
32**1-17*3/(8-87+37*72-62-15),31.979665071770334
50/38*79-62+59/78/87*(42+5-31),42.086478353266024
52**2-95-83-19-71/(92*(32+57-99)),2507.0771739130437
9*93*37-86+5/9+91**2-71**2,34123.555555555555
(61**2-(77+24)*50/67/6/43*41**1),3709.022098808284
54/90*(98-63)+64+33-39**1-(41-85),123.0
60*89/24-74*98**2+(72+19**2+20),-710020.5
92**2+42+18+91-10+84/61/11**2,8605.011380571737
(34/91**1+(45*55-54)-10+67+62)*70,177826.15384615384
53/(47**2-(50/76*(1-46-7*97**1))),0.019736971051135806
37+56/86/99/13-80+(35*78-78+49),2658.0005059539944
(32-(45/91+28/16-12)-66+(78**1+37)),90.75549450549451
7*89-97-23+54+94+69-55**2+(18),-2287
(21+96*29**2-78**2+87-69/90**2),74759.99148148148
86+19**2-51**2-5*63-43-1-69,-2582
93+(1-23+11+89/77)+76+43*72/30,262.3558441558441
(6**2+45**2+8-55-31-68+42*7),2209
34+30/39/89**1+1*48+72/42+5,88.72292875663662
60-(88**2-(60-(97-35*21/18+48/25))),-7682.086666666667
63*65**2-94*88+9+15/20-54**1,257858.75
55**1+94-40-34**1+20*38+45/57,835.7894736842105
54+11-32/(97**1-90**1-2-33/67),57.90066225165563
(32**2-9/42**1+93+(91**1-9/43)),1207.5764119601329
17**2+(82+75)+96/63-81*(14/54-67),5853.52380952381
35-88**1+46*96-43+(75*91+74-55),11164
49/64**1+14**1+68/55+85/68/27,16.048284932659932
27*42*56/17*76+57-29/(16/(73**2)),274298.42279411765
27-24**1+68**1+45/91+88/81*(15),87.79080179080178
(45+(58-91*55)-97)**2-(16+(74/82+35)),24989949.097560976
(41**1-(29*51**2-(65+92-51**2+86))),-77746
46+94+18+67*87+(15-8*6)**1+94,6048
57*58-75+28/71**1+3*28*13-(32),4291.3943661971825
52-40**2-(19*60-75-4)/98*28*85,-27315.14285714286
74/31-83-52*57**2-64/12-52-66,-169151.94623655916
(40**1+23**1-98)-81/15*39-97**2,-9654.6
10+55+27-(55+48*3)**2-57-70/68,-39567.029411764706
33**2-79-(68*68/26+90**1-67/79),743.001947419669
(34*49)+31/31+68/(4**1+9*53+71),1667.123188405797
7*(68+47)+44**1-65+60**1-75*84,-5456
29+(43*79+(18-42**2-13-(89*12/(71)))),1651.9577464788733
(89-19-28+86**1-32)*48/52**1-98,-9.384615384615387
54-5**1-17*19*37+(18**2+41*38),-10020
(95+33**2+(83/73*(3*65*45**2-6))),450144.6438356165
(68/(33**2-97)**2+92-23**1+28)-53,44.00006910119667
15/40/71/81*(33-16-64*87/92**1),-0.0028378807466376355
9+25+35**1-75+86**1+90**1+97,267
42+10/94*69-9-62*88**1+84**1,-5331.659574468085
(97-28+(59/15-6+86+98-63+61/69)),188.81739130434784
11/46*98-7**2-42*8**1+18/71,-361.3116962645438
97+68+97**1-92*(94**2-(90-51+57)),-803818
94**1+32+54-92-62*34**1+(45+41),-1934
23*54+77/12-(27/93/19+74**2+28),-4255.598613469157
27-56**1-60**1-49+72*37+27-88,2465
75**1+(73**1+42+33/62**2+50**1),240.00858480749218
11-45+30/(46/(39+(65/3+2**2-(8)))),2.9565217391304373
91-61*48**2-46/(42*71+40+(95+59)),-140453.0144836272
59-97*89/36+13/29**1-50*88-45,-4625.357279693487
67-2/93+45/3+32+77-31*69*5,-10504.021505376344
59+59-36-(11**2+66**2-40)-16+68,-4303
14*21**2-4*64-58+(57**2-77/86),9108.10465116279
40/2-19*90/(95*(4+(74+78-39/21))),19.88322520852641
5/83+26+84**2-67/7+44/68+2,7075.135871215956
55/6/73+98/90-41*84*43/17*97,-844994.3149520997
12/30-(79-(32-23**2-48+57*68**2)),262944.4
99+62/83/60*45/75-25+(83/39)/(29),74.08085626324927
33*4-46-95*83+70+(51+8*93-(31)),-6965
55*59**1-12/55**2-(73/63**1+84),3159.837302899121
86*76-12**2+88*96-(75*40/(65**1)),14793.846153846154
1+37-31-70**1-94/63/(83/93+12),-63.11573136343779
78**2+53/3*28*50/92+63-29+56,6442.840579710145
29+86-66*83+62/37**2-90**2-29,-13491.954711468225
27**1-83+50+24**2+88*72**2-59,456703
58/69/54**2+70/41**1+79*33/28,94.81474819496042
71**2-27**1-73-32-27/41+63+3,4974.341463414634
78-1*(86+68-7*85-41+60*89+49),-4829
(45*80/(71/56/79-64/72/44-86*60)),-0.6976738570589148
34**2+49+40**2-(14-(72/83)+13-80),2858.867469879518
64+31/39+69/91-1/(27*59*61+33),65.55310326568274
84/48/(60-33-(10+29**2+57**1+80)),-0.0018210197710718003
67+30/(91+31**2-27-55/(62-(16-48))),67.0292850096059
41+65-89**2+(4*21/98/55)**1-3,-7817.984415584416
16/(36-89*98)/(44**1+17**2-(93+35)),-8.985583754064572e-06
25*92*8+37-97+65*94*6**1-48,54952
90*5-42-52**1+63+32**2+13+(49),1505
41+64-74+47/37*31/62**2+(95+87),213.01024411508283
55**1-74**2+65**2-19/77+35*28,-216.24675324675331
86-6-27/(96*40/56/36-95)*43/72,80.17320971867008
33/62*50-42**1-27*(39**2+7/(92)),-41084.441444600285
85*79**1-86**2+67**1+(51/97**2),-613.9945796577745
(68-46)**1+22-31/98**1-2-74+76,43.683673469387756
87/95+70**1-58/41+(25-(22-64-45)),181.50115532734276
46-12-18+29-27**2+84-45*6+44,-826
15**2+39-(40*99)**1+34/68-56/97,-3696.077319587629
47*(95+78/20**1-13-(18+20)*69*70),-8622342.700000001
70-55+67**2+17-26/49-35*34*48,-52599.5306122449
25*5-33+14-94+20-75-(74/57**2),-43.022776238842724
26*94**1+(3-68*68)-18**1-27**2,-2924
(91-12+(79-9**2+36)/12)**2+(62*(14)),7564.694444444443
44+92/6*90/73-96*60+18*25+90,-5157.095890410959
80-96**1-(36*2)-14+(39**2+36-18),1437
27+9**2-1+16**2-98-20**1-99,146
58*41**2+93*96*82-46/6*54*22,820486.0
50-41**2-(11*87)-67*14+64+34**2,-2306
83-9-57/24-59-43+(7*22*77/31),352.14112903225805
80-80-(52*94-25/90+13-92**2-61),3624.2777777777774
