Formula,Result
-793.09/128.76**2-491.73**1-50.17/-379.03*(355.66**1+-244.13+-523.79+90.53/-963.95)+812.18-768.31,-502.48872982318574
-374.03+(904.87/-511.78**2+398.37+434.38/571.17)*-112.43-(-495.88*-12.43/20.93/(-337.05-(-125.62/136.52)*95.05)),-45246.7047998409
-231.35*614.54/187.5-678.82*173.99--567.16/-517.43--739.85/415.93--896.62/-367.6+-29.55--664.49+(-318.93+(915.75)),-117636.14866466753
848.61*(603.35*-772.12-822.9*-368.99**1+302.2**1-309.73**2-(-53.59-313.88**2+594.79*-712.58)),224510382.02180696
301.95+465.62-568.53/690.52/-984.96*773.44*-801.53--250.46/325.82*(109.54**1+113.18*-684.46+-465.72/-431.43),-59215.14346649565
951.06*-161.12-983.04**2-903.75**1+984.94**2+-58.62*(594.41+-105.52**1+-634.16--96.51*661.92),-3886640.5789039996
938.9/382.69/98.35+478.0-(-148.0**2+-686.99/661.38)*(438.02/744.35)--286.82/(509.16/(-112.77+(-357.17*988.53))),-185588.48858979324
629.52+(-882.99**2--980.6**2--539.55**2+402.55**2--378.67*90.68**2+-267.51)*-939.88**2,-3311372736368.6113
-882.9*-543.35**1--878.37-(233.16-99.29**1+-142.02--446.01*-945.54/460.05-(256.52**1--659.92/209.77)),481786.5845330704
-420.45/344.79*-946.43/-16.84--125.42**2-(-207.06/359.52/236.58*-817.91**2-766.95*-761.21)**2+-702.82,-342738314235.1517
744.76--229.23/(-384.56*-791.07)*853.48-886.53+676.71*824.65*-164.48*(-128.84*347.56+-428.1/675.17**2+892.48),4028308726164.6016
777.92**1+-34.62--625.77/(800.6*-754.0)*(103.76/-759.32--586.35+422.84)+792.01**2-466.32*191.87*(-289.44),26525034.651771307
49.18*-221.86+200.06*98.89-125.92+(942.41--162.9)**2+-252.1/505.45--970.64-584.16*789.03/-481.27*(584.32),1791039.6286032908
544.24*177.29-(992.93+-415.75/(-279.4**2-(314.76*274.24/810.09*-896.14+597.36/157.1/343.32-299.18**2))),95495.3834879409
-593.47/-454.03*-910.9*-284.01--156.73**1--14.19*-579.34+566.37+429.77/-339.28--204.6*-973.27+-923.13**1,130603.96090885185
567.26+613.43*595.56/-375.43/(930.53**2+822.78)+-614.76**1+65.92+(799.86--295.28)*(-951.81--832.58/-318.6),-1045208.6541436046
19.39**1+424.24+610.6**2-193.82*321.32/65.12--988.02*(831.59/178.74)*64.46**2+456.42**2,19680659.762788933
811.42+-88.2--546.53*282.64**1--294.89**1--699.98/421.12+-747.84+-913.43+-286.76+-370.56**2-391.93,15836.33778655016
715.66-(945.69/5.51**1+983.5)*766.41-219.18**1+294.02+288.88/911.38+-240.2--91.84+-395.12**2,-1040781.7508511826
306.85**1+-283.33+-330.15**2+-619.37**1-777.87/-495.74*-787.53--8.14/337.38+(260.31-(-809.86*-935.77)),-868412.9508317079
(-745.51*715.64)/691.3/106.36-203.18*427.74+-677.12--976.67--771.15-775.95+-405.96/(331.43/414.05+87.68/83.43),-86839.99122609916
(452.89*-391.4)**1+990.78+(801.19-(363.49**1+477.88/-48.23*-581.86**2+630.16-276.53)**2--18.07),-11258042002579.135
83.65+-340.13*(556.0-429.7*688.59/-304.73)/66.54--193.14/89.03**2-198.08+695.51+808.06/-19.49**2,-7226.435273928152
-102.62+53.64**2-620.99/403.03-341.21+(66.91+472.87-529.38**2+(334.29-(346.89/685.11-(169.09**2)))),-248346.31383086514
(-748.91/-256.79)--578.68--441.5**2+(326.32--822.8+-247.93)+(509.22**2--561.26)**2-858.29/-862.12**2,67530673857.17844
758.95+-54.72/-615.07**1+536.65+-552.16/799.16/-799.77+(-663.4/-31.66)+-245.92/-520.5/362.95/(367.64-487.13),1316.6437035230579
603.95/180.35--965.13+-792.09/787.65*-92.76**2+92.4*-984.48-74.57*-249.11*(-927.96**2+648.7*102.86),-14756672852.42239
-356.09**2--551.72/-356.42**2--604.67*984.12+-740.65**2--58.91+-204.79**1--999.71+-350.63*-12.86,-74931.74274304765
612.13+-999.44**1-(-573.89/(-931.54+749.16+61.38+964.31-(-484.04*-139.6)*-21.5*604.18**1+-338.49*(1.76))),-387.30999934618177
-927.43+38.47-687.88*963.95/766.64--447.22*585.55--142.23**1+-613.9**1+257.21**1-(-447.3+626.45),259722.181447146
420.97/-534.29*-412.26*-889.26**2-341.78*-130.59*(-198.83*550.79**1--577.9-(-16.89*40.39+-114.18)*(839.08)),24705509931.85481
-117.74+(153.72/-739.52*10.49+33.95--960.63)+-723.74--291.61+379.55/378.9-591.99+-507.14**2+-694.3+-861.78,-258895.51838375052
-667.01*978.34+240.05**1--560.95/(-30.83**2--573.04--944.35+996.73)+-631.66-924.42**1-920.56**2,-1501308.948251699
406.95**2+-711.56--535.1+282.02--310.37/-299.42-90.59-(148.42**2--513.7)*-710.49*578.74/-435.12/133.55,6113.394441684708
-528.62-(237.49**2+-925.94/(748.16-892.32**1-715.07*508.89/539.32*-499.85)*(-921.6-114.53-40.19**1)),-56933.07637129753
-225.58--394.16*-461.92/-109.0/304.5/(-618.1**2+546.32)**1+388.65/-9.42/954.36-20.93**2+139.93,-523.7581454048284
(-71.05+-441.66-983.04/-404.04+-370.92-(257.76**2+495.74*771.85+484.91**2--64.35**1+-9.48*-512.01)),-690014.246473567
697.46*(-517.62+-804.65*166.51+-413.67-(-630.38--720.16)-228.24**2+425.63*500.56*303.39-(110.8+-100.8/953.57)),44952028755.92161
459.02**1--788.76/150.82--235.91*877.21**1+292.16/597.17*749.79-605.13*(404.96+(-656.5+-558.03--824.92)),198484.9433595302
844.1**2--273.31--372.04/358.14/(708.28**2+(-908.63/(-332.04+-227.77/-152.76/597.8**2--952.15)+(632.33))),712778.1200020682
875.87**2+-567.49*110.28**2-723.96+-281.67**2-836.82/664.9--109.06-337.56*-655.09-588.47*134.33,-6072353.760481198
745.46--985.35+(197.68*-489.73*-817.64-333.43*-476.66/-323.24*(-838.38--89.48/(417.26**1+126.77**2+-224.44))),79569534.68915969
137.79+-895.35-383.28-768.21+(487.29/-482.71*783.29-165.07**1+(157.79--233.49+-677.27*(984.97*-749.97+-889.96))),500898230.8533103
75.12/-628.56*-408.63-936.67+655.62-63.71**2-289.88**1--22.68-(-456.31/184.89+-116.97+972.55/-660.23),-4437.467156980421
818.74*-486.8--891.42**1+71.69--825.45/692.17--268.89-(236.5*-167.22)/(-292.17+-574.29*-957.01--277.51/804.46),-397329.3674511544
(452.46+-788.57**1-915.48)*(135.41*534.05-463.27*183.13--551.51--401.54)-385.38+466.59--474.86**2+-701.57,14705611.010214016
-388.31-845.96/(-505.94*-499.21)/161.49/441.77--64.71/-974.8**2+328.78*890.21--785.76*-643.63+(15.99**2),-213188.0949681459
-666.55**2+-417.0*-733.99*837.69*718.99/78.45+746.37--959.62**1-891.24-(-535.28+-963.21+7.52--85.85),2349404093.535056
457.94**2+(4.06/131.15+-149.77*212.26)*-470.83**1--768.48+-218.9**2-347.51+151.7**1+-312.55,15129807.921719564
-823.27*-524.63/251.56*797.97+869.46/-794.99+147.46+31.55*62.76+-954.17*405.42/602.93/262.88+305.94*299.05,1463677.8922158834
-330.86/34.24+856.08+988.72+-221.35/-565.59*236.0--326.17/(-329.01+(-405.51+(39.83-734.67-764.9)*-531.83**2)),1927.498284583214
-984.87-973.84+606.45-355.51/775.96-(-567.64+-79.68**1--699.59+789.49-428.64+(-311.32/563.97+-555.05**1)),-1210.2361398814269
926.58+-763.47**1--236.49--351.22+135.36**1+-971.69**2+-313.36-462.03+358.28+972.57+555.55--230.4,-941953.8661
428.47-631.44**1-103.58+538.29**1--22.26/960.98*645.01/-517.56**1+-982.98*(589.4*657.38)*897.7,-341902695805.4276
273.99+-818.06+215.61/916.33+(-596.62--270.12*-920.45+-696.45+699.08+204.62-237.7/-255.18)--360.81*544.35-(482.71),-53640.01370333887
-226.12--885.72-412.49/166.24**2+521.45+784.85+-13.2+559.46+76.14*(-991.1**2-(-816.89**2+-970.22)),-23905426.375831977
(840.6*(-732.06*98.15*-177.48+-560.86*816.65+-314.27/967.35--422.9*-745.42)/-173.06*(-587.07/-544.69+-720.79**2)),30229354732212.734
-237.13+-287.1**1+-500.12+705.79**2--429.79--725.65/(81.15/-44.75)**2+-690.1*(-71.16+73.76**1),495971.3705105098
783.29**1-32.26*658.46--579.81--870.28*583.74--547.53/-20.92*904.08+955.13-(375.74--991.77-601.8)+688.04,465353.7976191204
-947.08/-809.41*-116.95-989.46/-157.49*-161.48/547.64**2+(861.75**1+(-603.52/-473.13-(748.54*393.85*910.2))),-268337592.20525008
565.29*956.27/335.92/721.51**1+-196.55**1-503.17*176.04*78.62/(-302.91-731.62+337.49*546.68*335.19),-194.43225804666523
-760.22-(-515.69+(-646.35+725.98+-612.49)**2+380.03/176.9--536.19/-92.5+302.44-298.41**1+-139.22*586.76),-202495.96402721346
-559.07*-148.56-496.48/(331.81--861.92)+850.03**1--473.92+-864.17--731.01**1+186.68*-325.71/(-106.69*527.23),84246.8942421856
81.67*545.72*286.74+399.02**2+-646.66/-920.94**1+-402.54*-945.75/58.05--163.29*-553.58*318.3-(-520.71),-15826437.129790753
-761.29+-643.57**2+-176.65-467.02*853.58*-122.96/(136.43**2-(-748.11/-281.59*322.84/-864.6+689.19/-810.73)),-412487.10320532625
-142.89*-548.94+-705.29/-200.12/321.85+-259.48+-152.92+49.38**2+-706.03/607.11**2+-721.09+-503.05/-11.9,79785.21314395829
(-85.12-(-220.06*-307.68/-341.07/111.12+-18.82-971.56*-782.24-463.87**1+-498.46*344.44**2+(-666.08**2))),58820821.70156258
-31.01+39.41/-120.71*491.1**2+977.66--74.77/-734.27*383.89/(626.61**2-24.35+105.65-307.98*-406.7),-77794.7357609962
(709.36/995.2*(-822.06**2+-193.69+-37.69*259.58*95.88+-834.85*826.76)*738.13)+803.89+65.74**1-(-957.35),-1212320092.5002296
441.89-(-465.97-(-273.87-958.88*487.44--261.41**2-(582.49*-655.19+262.83--758.57*785.43-(4.65*54.49)--831.52))),-613430.2725999999
-855.83-993.07*590.96*556.19*667.78/702.53**1--917.9/-219.36/-953.48/567.86+309.76**2+659.97**2,-309732108.6565569
