Formula,Result
-78 ^ 2 + -92 - 2 / ( -94 ),-6093.98
49 * -8 ^ 1 - -76 - 7,-397
12 ^ 1 + ( -19 ^ 77 / -62 ),35.6
( -61 - 13 * 38 ^ 1 + -61 ),-494
-62 / 88 - 25 ^ 1 + 53,27.3
-86 + 45 - 67 - -30 / -29,-168.03
54 / 27 + ( -62 ^ 2 + 43 ),-3799.0
-57 ^ 2 - ( -12 / -32 ^ 1 ),-3248.77
92 - 7 * 90 ^ 2 + -100,46004
98 * 79 ^ 2 - ( 77 + -97 ),611785
-28 - 70 - ( 76 + ( -34 + -47 ) ),6156
-29 + -62 + 82 + -56 + ( 46 ),-19
64 / -98 - -13 - -60 + -58,-1
-78 ^ -69 - -70 * ( 11 + 41 ),-4242
-35 + 44 * 39 / -74 / -54,-34.57
-71 ^ -92 + 18 - -89 - -51,-14
45 + 77 * 71 - -84 * 14,6843
38 - -2 / 50 / -38 * ( 76 ),35.8
-7 / -44 * 62 * -4 ^ 1,2542.16
65 - 1 - -46 ^ 2 - ( -49 ),2230
-73 - ( 90 + -73 / ( 36 + 57 ) ),-138.22
11 ^ 2 - 48 + ( 99 * -72 ),7201
30 / -43 * -54 / -67 ^ 13,12.44
-23 ^ 2 - 1 * 89 ^ 1,-3570
-55 + -16 ^ 60 - 51 - 35,-6702
-8 + 9 ^ 1 + -9 / 8,-0.12
41 / 45 * -87 * -17 - 2,81169.07
-8 - 72 - 34 / -76 / -69,-79.99
53 + -65 - -85 - -17 + -16,74
-90 * -42 / -39 - ( -13 + ( -31 ) ),-75.92
-6 - -39 * -2 * 68 / 13,830.92
( -83 * -98 / -10 + -41 / -34 ),82.75
68 + -55 / 50 * -1 / ( -45 ),68.09
54 - -19 * -45 + 61 * -31,-2568
-4 - 20 + 17 - ( -63 - -20 ),-1
-44 - ( 0 ^ 1 + 0 ^ 1 ),-34
( -1 * -61 * -1 ^ 1 + 39 ),-1905
45 - -86 + 41 * 0 * ( 47 ),-1884
33 / ( -85 + ( 81 * 46 * 0 ) ),-0.39
57 / 66 + 53 * -10 - ( 12 ),-517.14
45 - 67 / -31 - ( -93 / ( -81 ) ),57.85
36 * 12 / 75 + ( -29 ^ -17 ),0.88
-5 ^ 29 - -95 - 80 / -70,-5.02
3 + 60 + ( 86 + -34 * ( -83 ) ),109203
-68 - 8 - 55 / ( 85 * -8 ),-58.92
22 + 56 ^ 2 + -2 - ( -59 ),3141
62 - 5 / 2 - -10 + ( 15 ),62
84 ^ 1 + ( -31 - -76 ) - 65,1724
-87 / ( 90 / 49 - -16 - ( 80 ) ),-0.76
-53 + 96 - -99 + 19 ^ 1,-5096
59 * -30 * -40 / 44 + 2,80.45
79 ^ 2 + 22 / 34 * -71,-2856.44
33 * -61 * 95 / ( 13 * 94 ),-3135.0
54 - -70 ^ 2 ^ 40 + 85,5079
90 ^ 2 - 88 / 79 / -98,8011.71
29 ^ 1 - 45 * 27 - -11,-1175
-91 * -53 + -51 + -99 - -76,-117.57
87 / -40 - 60 + -9 + ( -17 ),-87.98
-39 - -50 + 18 - -27 + -93,-47.22
-29 - -95 + -94 + 46 / -64,-28.72
-50 + -100 - -80 * 43 + ( 99 ),-49.14
-10 ^ 48 + -77 - -34 ^ 1,-222
23 * ( -88 - 21 / -82 + -23 ),-3112.73
( 85 + ( -29 / ( 6 * -87 + -41 ) ) ),85.25
-16 + ( -18 * ( -21 / -89 - 90 ) ),1649.75
-76 + -75 - ( 67 ^ 2 + 26 ),1192
27 * 37 / 74 / -71 * 2,0.0
-40 * -57 - 6 / 1 + ( -77 ),2197
-67 ^ 1 + ( -51 + ( -80 - -31 ) ),-65.96
( 26 * ( -46 ^ -82 + -84 ) - 81 ),-1849
59 ^ 2 - -64 - 85 - 90,7875
66 + 71 ^ 2 + -90 + -5,5012
40 + 71 ^ 32 - -23 ^ 2,5610
( 65 / 2 - 79 / -72 - ( 64 ) ),4159.56
-29 * -5 - 94 + -54 * -48,2643
27 - 37 ^ 2 / -10 + 24,-1308
-40 + ( 55 + 70 - -15 - -59 ),159
-80 * -7 - -53 ^ 12 + 95,2661
-69 * 42 ^ 1 + 38 / 29,70.31
-98 * 74 * 24 * -39 / 48,-8349.5
-1 / -31 / 81 + ( -23 - 2 ),2304.0
-55 - 2 / 12 ^ 1 - 60,-115.17
-54 + -57 - 88 ^ 2 ^ ( 75 ),-7780
76 * 60 + 55 + 23 + -75,4680
-64 - -4 + -35 + -10 - 98,-239
( 50 + -33 * -47 ^ 2 + -93 ),72854
-4 ^ 1 + -66 + 46 / -90,-114
94 ^ -81 / 27 / 26 ^ 2,-0.0
-6 * ( -31 / ( -20 ^ -50 - 38 ) ),-6.82
67 + 38 + -97 - -30 / -85,-95.59
-65 ^ 1 - ( -97 - ( 3 - -80 ) ),7986
39 + 36 ^ 1 + -67 * ( -17 ),1214
-59 * 16 + 12 - 22 + -67,-1000
4 * 35 / -71 * -23 + 14,59.35
20 + -55 * ( -93 * -90 + -9 ),-88585
29 - 85 + -86 * 17 / ( 2 ),1734.0
95 ^ 2 + 69 / -32 - 80,8943.34
24 + -93 * 16 / 73 - 3,0.62
37 * -98 - -65 - 44 ^ -1,465
-15 * 54 - 62 / -29 * ( -45 ),-615.45
