Formula,Result
(-11-11)*(11--17-45--40*79-16--62*50--79--2/(-43/32+4)),-138748.56470588237
89+-24*65**1+9*57*15**2-(17*-73)*-98**2--42*64/-37,-11804682.64864865
8+(14+-61*-54--76)-94*80*98-74*97/-79+(80*38)+-63+43,-730457.1392405063
4**2+53+-98/(-40-16**2+-62+-92*50*87)--73+-15/6+71,210.5002446587011
57-32*66+17*-93*0+(-25**1-27/(43*-19-88/19**1-(52))),-2079.9690945237667
-96-24--86--22**2-33--17+73/-10**2-(64*-53/(-80*-42--5)),434.2780237741456
-69/-24--39*58-64**1+-80/-15*-71**2+-16**1-17+-42**1,-24759.458333333332
-65/15-3-36/90--20-75+-8/(69+-19+-13**2+25)*-10**2,-71.24397163120568
90**2-65*41/34*-74--9+-97--32**2--29-(-53**1-81-30),15029.29411764706
(-86-(22+-64**1+-87/-70+24**1-17*47+9/32/(-11+88*33))),729.7570456397215
1+10**1-0-77**1-68**1-(36*(-4**2-41*(-91*89)--88)),-11956850
81+51**2-32--9+86**2--88**2-(72+-91/-59--9+-77**1),17793.457627118645
-57/99**2+-14/(66/-32+-40*-100**1+-78*53*34/-52/78*42),-0.00838293932098824
-84**1--78+4+-58*-50/13**2-18/35/45*6-62+-60*-86,5113.091191885038
-18/(-66/89--39*-92+-88**1-33--16**1+-80-47+(-43+-45/49)),0.0046575896140106715
82/99-(11**2-42+66**1+78*-16-97--91*-81+33-42)--71,8651.828282828283
34**2+-45+12*39/-62**1+(61*61/-83)**2-46+-90**1+-70,2907.2993411656735
-13/80+50*-64+(70*-78**1-9**2+-43/99*42-14**2+-73),-9028.404924242424
-99--41+39/(-94+86)**1-86*-43+83**2+-89--58*(-74*-59/-4),-52871.875
-66-(58*(-44*-13**1--89**2+(11+-48)*-90**1--66)**1--32/60),-689628.5333333333
-75*-36**1+-85+32**2--95*-30+83-36**2+(77*-28**2-9),-60801
-16+-65*-13+38+7**1--99/(-85**1-(-89*-33)**2-84)**2+-5,869.0000000000014
0/-24*(45*-42+-50-40--23)/62*-8*24/97**1+(72/-80/89),-0.010112359550561799
85*-7*11+-89/-37*-93/-75-94/-21**1+-30/-43**2-(63+-57),-6543.524881834627
-76/-88/69-(94/(61--36+64)/-76-65)**1+-69*58/-35**1-(-24),203.36305586099635
-50**2--63/46/-92**2+9+-67*(-18*51/18**1--50*-35/-98),-270.42873323920685
-14/71*-2-24+(-61/-29)/-70/-3/47**1-(81/25)+48**2+69,2346.15457931251
97**1-(47*-15**2-92--68*-41)**1-24--3-83/81--93-(75),13547.975308641975
-77--40+88**2--61**2+29*-30+47-87/10/-93**1--22*-90,8625.093548387096
-59+-45-96--94/61*14-(-71**2-(36**1--26/-10/-56)-(42*27)),6032.620199063232
-91+-37--86/-78/-77*89--38**2-98**2+-100**2+-44+97+53,-18180.72560772561
(75*78*(97/96)*-82/-31*39-(-14**1+-23+73**2+(16**2-18))),604249.939516129
-4**1-28/24+-23--56/-65**2-(-46/-2/-47*-19+15*-11+(10)),117.52220655503798
-16*(-84/(-28*87*-39/8+-18-37)/-55--74*42*-31/-74*17*67),-23727648.002067287
-16*-26+72/(30+-62)/(67-94+-17-74)+28*(-93-(-84/96)-20**1),-2723.48093220339
-94**2+21/14*-69+-23-51*(-9--87-(-64**2+(9*(60**1+-1)))),-194755.5
-75--83**1+(-35+-98*(-17**1--30-(-56+(57/-9-73**2+-12+22)))),-528671.6666666666
-82-83/(-34+-65)**2--80+55*(71**1+-74-35**1+-42--13*(52)),32777.99153147638
54*-12--25+87**2-59**1+-2**1--28-(29-80)+(7--31/-39),6970.205128205128
(-67*93*19*-19*66)/-47/44/(-11--15)--96*(0*(96/-92)*-54--77),-10555.268617021276
-73+(16**2+1/51-91/6*-75*-30--62*(-26**2+-8**1-87)),-81743.98039215687
-27**1-66/23-19+89**2-27/-81/71/77*77+29*(22+-66),6596.135129618289
-39+-20**2--90**1--10/-53-34**2+41*-84**2-91+59+15,-290818.1886792453
86**1-(-69/98*52+92*(-2+2*88**2+65/(-96+-81*14*(-72)))),-1424589.4610825495
-85+44**2+-91*-46*37+-5*32*(-37+-37--71/91**2-43*-46),-147908.37181499822
17*-96+83/(91--22**2-(41-(-29**1+-68*(-90/-5*-35-59)/(75)))),-1631.9265287334615
-89/-53*25--16**2+-48--69**1+61--87+(36*-93**1-54-(55)),-2990.0188679245284
91/9--28--64/25/20*-96**1-(9+88/1+59)+-88/70--64,-67.43403174603176
-6*86/(-97**2+(33+(-78/-71-13+-29+99/-5**2+-88+-39--14))),0.05412287612473825
31--66/(28+-53+31/30*84-92-60*-71+-8**1--96*-98--56),30.987135004483257
93-27/(81--74+39**1+-61+82)/86+(-30/96/83)--78-99+-34,37.9947746909759
-85+85*-28*54+-26+-28/(-94*70-(47/77)+97)+(42*52**1+42),-126404.99568141848
-93/5+-56**1+23+-40-50**1+(-15--92-46)-(22**2+-9+-55),-530.6
(70--30*-8/-87*8*-6/-76)-59+19+(21**2-49**1--36**2),1719.7422867513612
27+36**2+18/-90**2-(-67**1-64/63/-24*(54-41**1+63)),1386.7808465608466
(-2**2-70**2-(9*-69+-77*99+10+-79**1+37*(-48-(55-53)))),5259
30--63/84**2-96*-15*(-45+84/68)*(-75-41**1+-2+-14+65),4222448.832457984
