Formula,Result
93-28/32/(69+59),92.9931640625
38/15*86/88*92,227.76969696969695
73-74-12+56-2,41
28+26-30+97+17,138
69-67-70/56+14,14.75
(4+2-45-18+(30)),-27
(94-(88/43-(74/15))),96.88682170542636
75+76/18*53/31,82.21863799283155
28*38+(15/92)+60,1124.1630434782608
(77-(93/60-59*(21))),1314.45
89/58/26+61/18,3.4479074565281462
2/57*66-2+68,68.3157894736842
6-(52*35*1+(6)),-1820
1-(60+66*18)*77,-96095
72/59-(51*(63-11)),-2650.7796610169494
37+47*82-27+(81),3945
5+34-49*63*(8),-24657
72+91/8-46-37,0.375
32/(27*93-3)-31,-30.987240829346092
(89/(25/50*53-37)),-8.476190476190476
12*(46*25/89+48),731.0561797752808
36/73/(17+78/76),0.02735726427357264
46/15*91/79/62,0.05697563631414183
46-2-97+81-27,1
36+(14-70/2+50),65.0
54+22+68-75*69,-5031
(78/(56*41/99-(92))),-1.133587786259542
12-68/12+46+20,72.33333333333334
19*14-(83-41)-81,143
63+56-34+10-63,32
(94*(25/27-92-59)),-14106.962962962964
65-17/47+26+(28),118.63829787234043
(83-4)/92+82/8,11.108695652173914
11+82-(74+61)/26,87.8076923076923
63*23*(39/6-83),-110848.5
51+66+78/52/34,117.04411764705883
11*59/51*90*60,68717.64705882352
82*76/(26*(83+(53))),1.762443438914027
28-45-13*5-15,-97
96*95/24-24-40,316.0
80*91*59/98/(21),208.7074829931973
58+30-96/15*97,-532.8000000000001
37/43/60*30/(12),0.035852713178294575
(27+5-(14/56/82)),31.996951219512194
(85/33*(56+70*74)),13486.666666666666
40/86*50-70*52,-3616.7441860465115
85+79+19*43+75,1056
4/98+(72*39-35),2773.0408163265306
90-91-49-67/25,-52.68
(6*88/54)+48-8,49.77777777777778
91+52+37*73+63,2907
14+62*(94*15+33),89480
28+92*70+8*81,7116
95/36+(75+45+62),184.63888888888889
31/53*59/58/38,0.015657637913912954
85-70-31*29+(88),-796
83/55+(95+92+(48)),236.5090909090909
84/94+83-25*(20),-416.1063829787234
79-57*21*1*91,-108848
(87*59/37*21)*44,128186.27027027028
