Formula,Result
-808.6/-323.31-(745.96+-793.46)/289.67,2.6649849282204565
-947.55--92.58/-97.34+-785.98*(-132.95),103547.53990076022
(179.07/867.86+960.67/739.29+-730.76),-729.2542154050329
-973.54*215.26+-260.14/(-639.18*(-325.67)),-209564.22164970124
(100.48/-184.12+-564.96)+-833.41+-821.54,-2220.455731044971
-185.07*-782.25-421.03-915.98/-220.39,144354.13367768502
(-316.27*(-50.39+(-766.48-134.11)/113.68)),18442.383647114708
-977.9-(-314.21*(452.35/903.96*-716.22)),-113591.75568229788
301.36+-261.56-(-193.16-(-636.37+-445.74)),-849.1500000000001
181.74/952.25+638.62*(-913.78--780.45),-85147.01374675763
414.41/-756.54-871.7*-443.05--309.71,386515.8472298888
989.0*(26.44*-388.42-756.91*879.64),-668641277.6907998
-37.82-(42.65+(-435.31*-913.24--467.17)),-398090.14440000005
(699.56+75.83/-52.73/639.51--492.26),1191.8177512770887
-824.43+799.81*-945.04+-525.62*-378.27,-557850.595
-331.84-392.51/-566.03--830.8+-747.26,-247.6065561896013
252.98-955.46+(981.31--678.69+309.26),1266.78
-712.12*475.26/-381.75+583.9*-243.35,-141205.51057642436
(72.1/-897.9/462.07*-94.96+(455.97)),455.9865021384459
-553.42/-756.88+609.21+-723.29/(-178.46),613.9941389638486
111.93/-964.74-597.88--990.99-(198.35),194.64397910317805
-374.31+-129.22*882.16/394.99/(359.15),-375.1135541101059
198.17/-498.15+-576.23+411.4/-322.52,-577.903391713049
-897.74*-793.37/640.98/-506.9+381.28,379.087903944998
-398.24+-145.91*(-997.74/720.2--156.96),-23098.134967120244
624.08*(844.82+-113.3+-787.04/(-638.88)),457295.8093936389
-706.67/(510.68*915.49*(-738.32--376.28)),4.175011191754976e-06
-112.19+444.45+(237.74-534.22/-24.09),592.1760066417601
76.19*(-995.5*-872.67-911.67)/995.75,66402.27756952045
(-560.1/418.49)*-649.61/(10.88*-417.84),-0.19124684592558677
-317.59*-379.29*619.9/-758.31+-907.38,-99379.4494846303
333.15*846.3*-663.55+916.02-343.04,-187083928.91974995
-13.21+-587.99*-264.01/107.79+866.91,2293.86365061694
(202.04/(-926.08+533.97*119.89/-421.2)),-0.1874091974181665
720.64+921.33*863.99+680.22*994.73,1473375.7873
-936.75-971.17+-114.64+748.19--950.08,-324.2900000000001
-450.7+(-299.37/-732.37)/-14.22-(436.45),-887.1787460472385
623.1-915.21-36.6+322.09/(-203.68),-330.29135310290656
-117.79+639.17--637.46*(-186.48--732.19),348389.67660000006
-615.56/-450.2-877.7*145.57+-862.85,-128628.27169657931
788.81/-462.07*-168.46-966.28-235.74,-914.4381777652736
639.83/876.94-533.48/-269.42/30.99,0.7935116008342337
-25.86/-222.39*-58.41*-174.22-(115.27),1068.0398546337515
341.45+(-983.57-762.78/601.04/903.86),-642.1214040893792
448.19*226.02/209.42+618.27+-555.14,546.8464731162259
-763.08/6.68/57.0/663.94+699.86,699.8569815087674
55.17+911.18*399.56+-647.59*(-638.98),777923.309
-189.55+-364.81/771.13--472.97*397.46,187796.63311504674
-185.98--452.34+994.49+-180.73/0.13,-129.38076923076915
62.45/-688.5+828.94*(958.77+-286.95),556898.3800955701
-271.74-600.06+-298.01+(-711.04-686.55),-2567.3999999999996
-224.5+-715.17/(-639.44/209.34)--531.25,540.8825031277368
-360.15+-879.2/-175.7-832.96/-354.59,-352.7969367180029
134.58/(507.92/-696.57)/-285.77/582.63,0.001108512253987698
(-186.38--396.64+-665.48)-505.57-119.59,-1080.3799999999999
-156.56/-725.6*798.78+(-986.18--653.57),-160.26022491730973
524.62+132.65*-670.15/(-813.72/-366.23),-39484.42663327066
-48.16/973.36*-594.64*-435.66/(708.69),-18.086664616039712
-647.67+(893.99+399.91--927.78+-738.74),835.2700000000003
(386.59*710.13-50.43/113.41--984.1),275512.8120302178
506.11/30.78*713.53--927.66+-50.39,12609.715363872645
(649.03/921.19)/-148.7*314.3/-184.69,0.00806316575960367
-62.68+-711.15-639.9+757.77+-488.12,-1144.08
-72.76--171.85-(-66.52--109.86*-541.95),59704.237
-618.43+741.36*(-721.91/935.54)+-195.57,-1386.0708869743678
-885.6+474.93/(-251.14+864.61-97.53),-884.6794859867426
-356.18/(574.55*694.82-892.85+-196.78),-0.0008946566734418821
(361.92+-13.81/-182.01)/-286.1*910.03,-1151.440426712691
677.66/65.8/-701.31/56.05/-298.96,8.763694393762822e-07
340.64+(-979.68/429.57+938.85)-162.47,1114.7393938124171
(988.52*180.62/887.27+-801.8*(-260.07)),208725.35728517812
(20.33*-195.7+210.75-340.98*(-390.67)),129442.82560000001
66.69+-618.75--588.66*-468.16+(601.81),-275537.3156
253.93+-457.06*-482.63/-558.59+(819.22),678.2434177124546
-328.88+-289.32+207.22/952.72+601.56,-16.422496431270588
502.95+-921.64+-699.84*(881.77+-959.44),53937.88280000005
281.61/-166.88/732.35/8.0-340.18,-340.1802880282652
(-52.73/-303.37/819.91/-206.7*370.63),-0.0003801185373263182
-164.42+(93.48*-589.63--300.78)+670.74,-54311.51240000001
-724.09*-985.57-568.3*-908.75+275.73,1230359.7363
-69.04--682.15*372.06+-34.28*886.58,223339.7266
82.75+-580.49+-580.83--946.4+-982.67,-1114.8400000000001
-782.4/73.92*465.31+885.03-945.72,-4985.724415584416
364.26/-369.34+-34.7+368.31-756.72,-424.09624573563656
-268.67/6.29-774.44-314.44+-903.88,-2035.4738314785372
-23.95--79.28/580.65/-608.14/816.27,-23.950000275050098
783.19+-706.16--455.29/(849.92+(303.34)),77.42478521755727
-665.82*-382.96-402.43+-885.68*-969.89,1113592.1724
-943.22+883.32--777.47/901.4/43.26,-59.88006209275731
-849.42/920.05+957.2+364.9+568.74,1889.91676756698
(-137.85*971.72-832.73-664.44)--687.63,-134761.142
235.16+879.63*411.62/555.69+325.25,1211.9842601090536
863.47+-727.37*19.58+1.11*919.66,-12357.612
-934.02/(-16.17+51.06+-133.67*-261.82),-0.02666162797426999
-419.96/-801.77+-540.52*97.0-(-904.07),-51525.84620888783
431.96/957.63/-557.03+877.6-623.79,253.80919021970612
369.37--318.08+-83.5*(-7.83/-532.22),686.2215512382098
-414.32*-813.04--685.38/-818.32--146.85,337004.7452547854
-214.68+(795.3+199.68*806.88*(-383.1)),-61723647.94704001
-581.2+(218.43-500.08+985.25/757.06),-861.5485839959845
