Formula,Result
(74.02--10.83/-10.19+-73.13/25.01-1.23*-9.49)+54.51*24.78+42.45,1474.91
-44.58-(-50.43*(-84.66--25.91*-82.7/(-52.94*34.31*49.14)-59.43)+96.25),-7406.08
11.41*-42.27+-13.74-54.0+(-32.28/-12.55)*-18.99-17.04*21.02+84.87,-872.2
11.15-30.06-28.82/10.32/60.36+16.81+3.32/-32.06--9.85*5.01,47.1
-35.71--62.12*(89.62-73.56/-97.03--17.01)*0.95-73.81-15.3-43.15,6169.43
-54.29-23.71/90.58-89.94+86.14*41.1/(6.17+-83.85*71.84)/43.26,-144.51
34.21*-43.1-(-18.82+-83.69/-84.92/-61.7*-62.62-63.72)/-31.81*-23.52,-1414.16
-42.5*-67.06/(-11.14*-21.28--36.73--17.31+89.28+(-73.46*93.27-71.1)),-0.44
-98.59--60.55--32.94/7.07+-46.22/(-10.45*83.61)-(-6.9/26.28--49.24),-82.31
(-46.42-37.54*10.04)/(29.58+-55.41-(-23.94-(-19.14-71.87*(14.49*-2.99)))),-0.14
(-74.9-87.33)--0.78/-23.74--90.78+20.17-49.25/92.8--94.49/-49.62,-53.75
-37.41+-74.01*-19.16+55.98-14.5/-19.76+(-12.67-96.62--94.7)*(95.69),41.22
-88.31+20.63+16.98--26.78*12.82*54.87+15.58/-37.21+-72.59+-51.78,18662.46
(-88.75--1.22*-43.55/-0.21)--80.4/84.85+95.34+65.14/95.15+38.22,299.45
-3.48/41.51+88.02-39.94-46.68/64.08*94.89/(20.69*67.0*57.67),48.0
(-5.49/(2.96--13.33-18.52+52.47--25.44)*19.82)/42.55*-34.25*48.19,55.77
(90.76*68.53/18.82+-47.1-23.24/-53.08/-99.1-84.19--29.51+59.69),288.39
(-51.84/25.65/-33.91--91.01+-47.26)+(86.76-(-6.99*-24.02/-75.02-88.42)),221.23
-96.07*(75.71+76.44)/-86.08/89.83+11.05+-56.8--71.14--60.11-69.38,18.01
-19.83-(-55.16--43.64*(34.98+-23.47--24.66)*(94.72/32.81)+85.85--35.66),-4643.07
6.56/-6.06*-42.47*91.3+(-17.83/-99.21--27.56+2.8/-61.14/26.23),4225.18
21.38*-54.13/-15.17/(-34.49+-93.46+(-69.88*4.52+20.33/(-66.77+9.81))),-0.17
46.8*-53.27*-14.49/38.29+-63.48-52.46/-9.33*-39.86*69.18+(-93.1),-14717.89
(25.34+-6.39*21.85*-9.29-22.82/7.24+52.92)/(-20.11*7.91--59.18),-13.74
77.85-(9.44*(0.34*(-25.52+34.85*(39.18+-19.32-(95.12--39.09*-9.98))))),-35058.57
-70.22*0.66/-13.46--20.05--50.51/61.6+82.07*-11.67/21.19-49.75,-70.64
54.78+-37.85/-0.16/74.48/-64.58/-36.43/-47.9-45.87/20.27/54.97,54.74
12.13--69.53+39.92/-68.08/39.03*-56.19-51.9-(55.82--68.97)*-99.49,12445.96
74.16/(-91.99+-76.48*(-12.57--10.09/-14.29)+-93.3*71.44*-91.86--64.44),0.0
53.47-(39.95+-67.97+-38.25*-95.55+-7.37+-23.04/-58.24+87.3*-81.12),3515.45
-40.24-56.61*-52.37/-19.72+(-12.18-42.36-54.73)+21.11+14.87/32.38,-278.28
70.15--46.02/-67.88-73.48+-87.32-56.82--96.34/-40.18-71.93+-92.73,-315.21
-84.08/38.48+-26.92+(51.31/99.44/-29.45/82.63/2.65*23.03+-85.95),-115.06
51.65/(-62.58*-71.34)/-75.35+26.27-72.74/(82.2*-9.48)*49.61--41.19,72.09
-98.54*(-7.75--30.59)+(84.48+(-80.13*7.15)/72.86+-86.09+-33.4+(-67.6)),-2361.13
(-45.13/(-43.07-95.02*-89.82)/-44.83/(35.29*(37.77/-11.8+-17.22/48.67))),-0.0
1.74*51.74-(-99.37--70.88--27.35-67.48+-80.38*-74.05--20.4+61.53),-5875.42
34.69/(-27.6/(-85.66*-44.37+(52.8+(-67.93/-32.59*-50.07--29.32--34.59)))),-4792.6
43.67+-91.55--86.34+0.98*-60.55*-28.59+17.37*60.0+59.93-27.63,2809.46
57.09/11.07/35.85--32.22-(-5.96+-96.8+46.58/-57.79--17.68+37.78),80.47
-29.0/(27.32-(-88.55+81.9+-85.16)-85.91*17.68*12.42/(-2.58+52.08)),0.11
6.61*96.89--73.77--75.08+-30.52+-25.41/67.32+28.19-(-25.52/-48.96),786.06
-66.54*35.73-33.36+59.01--71.7*-86.05*-58.54/-78.04-(-70.9--28.45),-6937.5
-17.85*80.79--8.49/-45.66+-15.72*58.77+83.17+20.4/20.26/-57.52,-2283.0
-50.05+49.0/(41.22/(-96.14-13.42*-43.08*-25.6)/16.07)--50.12/87.65,-284616.21
50.64+-75.15+-61.43/52.47+81.3+(-34.49*(-20.76*-10.83*(50.06--46.68))),-750106.42
94.11-97.9/32.03/-56.52+-42.78+-48.36/98.37/-2.68-74.07+(-34.72),-57.22
41.52-(-5.81*51.29)/46.7/(27.53/-53.45/(58.8/(-18.16/45.64*-22.11))),-41.28
-36.01/-52.59*-79.63*(72.56-64.86*86.0)-56.51-(77.8+48.75)*-32.86,304284.54
23.46-(34.05/-43.68)+68.71/-70.76*-14.57-47.52-12.62/-34.96/-59.54,-9.14
41.41+10.98-13.6/-46.94*-37.84-7.51+77.38*12.12-19.38*54.64,-87.16
-94.15*(26.96+-68.63/45.56+-38.03+(55.72/(-94.72+(-76.67/-53.23-56.25)))),1219.15
(84.7--62.26)*30.71+-53.9/4.58+33.86+58.63-14.15*(-81.28+17.0),5503.43
0.85*51.98*-67.49/(47.02+-70.68-25.97*30.79+-6.26+-97.62*(51.87)),0.51
-12.14+35.06-6.13-71.79/-27.66+(-83.27/-87.27+8.2--17.03+-0.85),44.72
-32.91+-26.92/55.19+45.25/-67.43*94.68+68.22/42.2+37.86/-88.72,-95.74
92.38/-24.2*-67.55/(81.96/-98.88-(-17.02/-75.23)+24.96/-22.45)/87.77,-1.36
-87.42+-58.9*(69.45/59.14-(4.41--62.15/(50.54+-69.7/-20.26*-76.14))),85.84
32.45-(93.37*-27.13+(-93.46-(-97.14*(33.49+-84.3+-14.92-21.24/-53.44)))),9005.44
-23.9/78.61/58.9*-22.4*-38.81*-67.75/-32.82*35.95+-75.01*-90.08,6423.88
-60.22+6.3*-24.97*38.88+(-40.47+36.82+56.3)/-6.2+-62.62/87.51,-6185.68
-84.65--2.75-79.24/(95.88--92.13--74.95--64.55-86.18+-15.2)*-80.4,-53.73
62.42+-82.78+39.59+-4.39*53.42*(20.56/-9.72)/18.61+22.8+-69.26,-0.57
(-12.59+55.33-38.78+86.93*-50.98*89.7)--16.7-26.41+-64.95-64.7,-397658.12
(-23.77/32.9)*58.7/-14.36--76.97+59.8+-14.52--95.22/-78.95*-54.29,190.68
-39.09--31.61*-73.29/-21.43*26.48+-94.53*(-49.56+-67.52/55.63+65.8),1403.11
89.42*-73.95*89.65/-28.1+-24.06/6.2-83.4/64.61*-53.01/-31.36,21090.75
84.93*-18.8/50.11+13.46--80.88-6.18/62.64+-12.49+-97.46/-6.4,65.12
-13.62+-40.59+74.4/-31.4-(4.16+-22.01-(73.48+-33.9-77.83/13.6)),-4.87
-42.15--13.32/-32.33/1.03/97.49+(46.87-(22.36+-70.26--99.76-7.83)),-39.31
-91.0-(79.5*(-55.11-38.51*-54.33/-45.63/(83.1+44.58+-34.64/-94.92))),4318.71
89.36+-81.31-56.09/(-83.49/63.67*-41.91--21.3)+56.63--94.93-45.47,113.4
85.81/-28.02-41.54-66.53*54.18+-24.97+26.92/-73.77*64.6*-50.16,-2491.71
41.41/8.05/-29.57+1.03*31.83*23.36--24.13*93.38-2.48/89.76,3018.91
-20.51-(96.78/-16.53*74.5*(20.61-94.88-41.53)+50.41--28.08*-14.44),-50175.47
99.04*-11.98*-23.44*-31.39--98.42/-30.82+(-6.03-(88.27*-30.44+-14.01)),-870312.55
-99.88/51.66-21.73*95.97*52.28/98.4*63.11+16.36/83.69/81.94,-69927.16
