Formula,Result
+0.8-6.91+1.64*5.135.99,36.8
/0.56/0.97-0.27*9.897.04,-67.49
/9.34*//1.86*1.660.37,0.41
/6.91-2.2+3.63+4.36/,16.86
/0.72*7.89++-8.071.21,7.67
-5.65-/+5.47/0.557.88,-9.35
/6.58/9.27+7.4+6.352.74,9.19
-+*8.0+4.6*7.677.83,29.31
+7.6/3.79-0.12/1.253.8,6.52
+9.44/1.77*0.13*-3.04,111.68
/9.19-5.1-8.26*5.598.91,-49.59
-7.33//*5.31+3.22.06,6.69
*8.65/0.59*0.34+*+,145.77
+6.72/2.9-2.6/5.762.24,5.26
*8.36*3.67*8.28--9.72,2459.55
*9.43-+/7.99-0.840.24,20.42
/2.19*8.89/4.45-8.317.52,-6.74
*8.53/--3.61/5.337.15,0.3
+//6.46/*-2.151.07,7.97
-0.68+/*2.87--+,1.0
+5.61-++6.83/4.963.83,4.2
+8.6*6.05+5.12+3.77-,49.43
/4.66-3.95/0.99*7.060.99,8.47
*7.68/3.01-6.4/5.360.73,-3.73
*5.98/6.29+9.97*5.566.43,39.52
/2.99*6.74*4.75*6.064.48,-25.04
-0.02**/0.68+5.277.39,-8.97
/4.66/2.7/7.29-*1.02,-0.99
/7.49*6.43/9.27*3.212.62,8.81
-7.48/1.56+4.87/3.686.36,31.21
+1.88*2.34*6.04-7.157.02,95.92
+2.22/3.33+1.42/7.139.37,5.33
+1.23+8.39-++6.87+,18.17
-3.74-3.39+6.75+8.9-,11.26
/--+/0.56+8.727.75,9.33
+4.39/7.67+6.02-1.872.71,4.82
/-/8.71-0.34-6.088.7,-12.98
-9.44*4.2/4.04*-4.18,-30.86
+8.56*7.2/2.11*6.179.21,18.91
-5.33-7.15-8.11-6.39*,-16.72
/6.2/8.41/2.78*6.346.88,0.29
*-*7.97/2.59*6.350.19,4.09
*-+*+9.47/4.087.27,10.17
+4.91*8.17-9.37*4.083.09,68.86
*7.66/8.17*8.84+7.337.47,59.36
*2.79*3.24//--4.44,2481.45
-+/9.09+8.72--9.48,2.49
+4.05+0.07-7.75+9.295.4,0.17
-6.2*6.07*3.68//2.65,-443.68
-9.36/6.49-5.19*2.87+,-18.32
-7.03/4.7+*-7.52.83,11.16
-7.51-3.97*5.82+5.480.23,-28.12
*+-4.22+9.15*4.775.95,40.8
*8.34/0.36-6.42*6.35-,-3.02
*1.75-7.52*8.78-1.91+,-9.72
+2.78-6.93/2.77+**,14.69
*9.01+1.92-7.23-5.643.94,2.34
+6.5+3.75/8.7-1.854.53,2.2
-2.25/0.49+2.7*5.525.19,27.71
+3.25+3.45/3.65/0.03-,36.37
/5.03*+--+/9.08,3.48
*7.24-7.11-*+4.325.81,290.27
-1.46+9.18/6.95*-8.89,10.78
/0.69*4.77+3.13/-9.85,14.06
-3.18*6.83+0.61-2.77+,-6.7
/8.57*-*4.65/8.121.03,76.59
-6.74*0.83/4.25-1.72-,0.62
+0.94*3.99*0.03-+0.64,-4.89
/-*5.7*7.11-3.615.59,15.98
-1.64+0.85/+-9.36*,-7.06
+1.2/4.24/4.85+7.033.41,4.73
-3.34-4.69-4.78/1.574.06,-6.52
*5.23*9.9-/+7.022.05,59.23
/1.3/0.86+4.39/9.197.12,1.64
/3.32/6.32+4.1-7.83-,6.65
/2.84/7.03-*/8.293.59,-2.15
/8.23*+/3.79+4.075.46,10.82
-1.41*0.33**-8.767.52,-18.19
/4.49**-7.12*3.011.52,3.95
+7.65*0.26+2.63-9.718.84,94.17
-*-2.24/4.27*3.03.32,-1.93
-5.89---3.73*6.841.55,-9.4
/0.52*4.05+6.62/7.00.95,21.31
-6.32/1.15/4.53/1.714.28,6.29
+2.34-4.79-3.21*3.340.3,7.42
-6.94/5.61++-7.824.33,9.73
*6.45*9.08*-+7.436.05,127.89
+8.03+9.17-6.62/5.461.19,19.23
*0.4***6.89-6.12/,123.0
*7.43+7.43*4.91-1.119.27,51.38
+5.5*9.49*4.53+4.223.84,190.76
*4.72+/*6.52*5.542.68,40.39
+*+4.24-2.42/5.974.04,5.54
/3.75*2.36/2.77/0.698.96,0.71
/8.0+1.72*6.69-6.936.88,323.62
+3.88-5.31--+4.26+,-9.85
/3.75-1.05/5.92/+6.74,-4.05
/1.1-7.92*5.55*8.618.07,69.51
+4.48/9.1*1.47**2.52,50.21
/5.52//+2.37+6.513.48,10.25
