Formula,Result
+681.09-725.85+-748.93/453.0/-779.78*693.87+205.46-420.88--706.2-98.35,3184.4279814498755
+521.47--684.65+665.41--864.98+591.58/-26.77--563.38+532.46+-24.75793.12,-319.23248322624147
/623.94-629.47*168.83--422.5*984.2/962.66/683.55/84.82+-583.44*,70594.83892627146
*118.74-497.64+261.99--680.02+*+358.99*649.95--696.23+606.75743.44,-393269.81490000006
/456.03-83.76*327.11/-772.69*-467.61-157.83--868.04*195.92+-273.03915.87,74107747.60998298
-543.65-297.96+484.48+34.31+73.14--892.18*-484.93--/666.04-833.47,-325048.0975830552
+-553.54//--790.02/593.1-515.13*434.35*273.89/-826.0+-71.02-760.77,-1384929.6773060893
*-67.94+-727.07+263.5/11.63-++-214.19*/+-218.67+-818.59-442.77,45552.048669548574
*167.64+-308.28/-363.19/-711.95+-426.27--716.84+711.27-990.5--604.99-998.71,-50513.97039673947
--719.67*446.71*860.12/-913.43+990.65--908.5*-+-753.1+476.65-328.81,351243958.4248359
/-156.58*477.18/-743.91/753.85--933.77/-501.85+465.83*234.05*-873.72-533.05,117434403.06782115
*-596.72/902.78*449.54/419.66+-380.53/-815.4/++780.81+973.19-618.02,1676.7540878232871
-407.33--516.68-981.0*943.94-665.54*932.31///-560.75*697.47881.45,-629118.9661476286
/80.37*-144.35-268.98-376.62--207.82/-252.91//-746.39-832.9114.39,-1285.6372612745017
/++-790.77--844.02*-147.77--127.58/-971.04--491.12+443.84*-125.39-227.63,8398.977885770037
/468.26-132.91+/+-913.09+/*442.8/-743.85-920.39+350.18989.79,-1372.19339888183
*-384.54/328.35*573.67-950.82/-/730.07/209.12/-354.28*357.05-274.11,-209274.02745213686
*-379.13+-870.2+---144.89+-551.22+464.02+450.91--686.61+649.29655.8,1182.6556814525395
/42.15--60.82/*/710.32+496.9*-210.57*-999.93+-3.67--485.08-400.09,-772822.794567021
-599.64--897.26/-765.73*-996.39-878.18/612.41+-527.22+530.68-978.03-690.88,3022.7664767647675
/-890.77+-582.2/71.49+766.67-937.22+179.18-545.63--562.25/-442.69-319.18,1866.1562939552937
*-264.57+-109.16*70.08--265.64--351.64+**-668.07--238.17*167.25-84.03,183529.5794
*-239.9*--213.83/802.71+-107.67-300.38-*+587.76/-744.82-638.36,-2930964.9394988767
+941.17+-222.68+24.03+-496.86+924.67+359.64*-406.07/-711.23/250.94389.52,128.9446858842585
/261.47+-447.2/-268.28-702.76/-248.51*911.14*-982.72--138.19/-336.34-636.71,37039.82978929186
*-969.23-20.37*70.26-*-729.58-344.87/-329.24-917.15/972.67455.12,1793.0351090140516
/-261.43/238.76-381.62/--928.83-/-534.85*-656.06/-929.15617.25,-764.1784601840561
-71.39*-242.41/-92.43-*+-151.86*-183.23+-969.23*158.96*-749.02655.62,58054.297516009254
/-453.46*-614.48+409.18*-645.65/-488.49*-760.49*++207.71--832.59-12.97,-22208016.293208413
+-605.38*125.18/-209.36/465.43*566.53*678.94--898.99/-210.09*-911.12/,-1019.0779982751369
/776.01*764.26*-955.06--442.34/-790.84*404.11-/--215.63/785.01-101.73,427964.8387337515
/-823.02/793.05/-399.04*353.51*671.52+-385.17*674.75+-421.83*16.67-282.59,1340568346.7947326
+127.82*-34.18-729.81+537.64/982.23+*-866.04+124.58*-580.4523.37,-13714276.357949762
*254.26--660.93/151.51/906.39+622.13/-855.69/-189.18/-448.76/-278.06880.88,-168048.06206864482
*-997.92-686.33+-219.73*413.13*66.96+-700.23/644.94*-437.11+498.46-759.2,-20056769.255810708
*/+649.02/218.76*-409.37*637.42*497.83+11.37--119.98/-650.48757.56,-1581302.5671782687
+-508.9/-502.11+89.12/-413.81/881.37/-980.83-198.58*-524.61+/573.59,-106331.85208645841
/-471.3+-643.99/-999.1*215.48*970.73*-427.38+301.93+-290.25+93.34416.49,-168574986063.61948
-230.95/-197.57/-832.89*-600.56*-510.86*784.91+802.97**/-508.68931.26,1001.0810599152802
*-323.93-640.23*739.31*-423.67/-496.13*-715.77*454.29-47.34--965.91598.78,32789.30643645303
+484.65-264.21*89.92-*+105.25-270.48--109.65/-814.0+608.89156.59,507872.45399999997
/244.55*891.27*-337.49*+*880.13-*/778.21*77.97/153.02353.39,24698325433.750183
+/-230.96+-549.37-*--214.85--456.65+886.74/-939.33/-396.63-440.09,-354.30538134867857
*908.76*994.74-72.38+-909.66*-106.52--608.31+-461.06**+-276.37-134.93,65768957.091812
/-329.26*-226.24--802.88--696.76/-580.33/-712.02+-*642.43--440.13-613.85,-283314.38274011435
--169.93*270.07--348.29--909.99*-469.35+765.57*-155.58*183.1--431.7176.54,12751654.0064
+939.14*407.87/-117.03*-288.66+-715.89+-602.46+-259.45+-122.91+328.62497.73,-85328.05798953441
--197.46/-922.22+-562.67-275.42*993.91*865.98/402.53/-925.24--828.25106.02,-481.8019465995371
/-457.15/811.72+194.8+-69.01-626.64--50.86*-+-246.75+-852.02564.94,86217.54960889726
/452.43/801.29+973.65+-333.24*136.65-629.55+-412.2--455.92**508.18,341250.3426799076
/970.85-826.57-899.96*-406.94-937.69*933.66/524.9/-521.55--456.21-858.62,381684.44889712374
+501.26-955.79+114.95/-677.65-840.63*-965.12-+*175.48/536.27175.41,-385716.0989282124
-767.26*-317.75+-257.89--977.82+459.94-298.59/826.51+979.12*-251.98388.22,-180139.28896444972
*613.03*-551.38-695.93*748.37+356.95/971.77*-849.57/-843.79/-420.31354.72,-235500156.85867554
*701.91*+/198.94+880.44+-24.26*791.51*538.54/893.08-884.48-317.3,-1466088.4789737915
/-709.58/506.06-759.66+520.94+641.67--19.64*632.23*819.88/-992.65488.08,1054839.3109947857
/271.64/87.8-627.92/-484.22*-676.62/985.55/-847.39*-967.53/-106.69-951.46,0.004830676590239523
*890.34/-210.11-647.16--346.54+-151.36/223.62//*852.29*-608.7-876.67,-3103.122625547774
*40.36*-+618.6--388.79+-/786.96--978.23--737.76/374.32352.2,7724977.969041391
-267.18+190.67+473.63+-873.79/-572.24-+/-92.71*-157.67*-508.15-270.14,-81036.95545272752
+496.14+-914.05*-624.42*/+-224.07*127.79--139.62+---338.47948.55,-58770759.14675399
-560.99/423.02///493.96-446.11/-905.09*333.93--531.72-51.66-566.38,-365.47364839687384
/-225.98+-195.83--488.57+611.13/818.05*-787.13+930.24+-942.2+-733.4-107.18,-3848.107679560102
+-413.2*//230.63+404.52+-968.91--980.2--45.78/258.28--490.44-148.49,-2644.01301264835
-301.46-/*-845.32+-694.82/-883.97-159.96-282.88*256.45/340.29791.23,-586938.8418975128
+-898.77-946.17*/*732.51/-58.69--326.14+++-390.25*-742.47-620.85,572045.0742477218
-91.79-310.2/748.48/19.95/640.83-854.18*381.78/*+-56.97-,-6829.500400293707
*-62.46+-678.89*176.07+-796.58*472.5+-191.18-895.48-543.17/-366.83/,-187831.5376787594
+14.14/-219.2/-999.56*-64.64/841.08--233.7/-512.66+-22.35/710.16578.31,-7.557605888205618
--872.48*-589.6--722.21*-718.84--776.49+-803.09-620.64*231.14+159.07-720.02,-1020923.2974
+-88.26*679.32-925.6+419.07+893.5+-527.08/-919.31*-334.54+684.57405.0,631978.0282458899
*-703.14+-373.46-434.65--815.72+-306.51*583.16+736.81*-779.48+-739.75-83.18,1270366.814
/557.94--513.48*-720.09/215.54*-216.14+495.44--556.72*669.26+-442.33-715.6,-61010.65842692044
-465.03-992.85/466.57/-378.43*-336.56+-888.6-458.75+89.04+-185.63-41.48,40095.42518040674
*703.31+-186.66--238.11-**939.18--754.74/-931.84*-323.2*-375.12-698.84,-179263.6011520794
/626.94--387.76--930.74*728.44*87.84-654.61+44.9/-644.91/437.97134.35,-41885102.269641005
+-471.81/712.51--+-619.38-544.69+904.68/-611.37--282.26--872.74798.15,-134.92876695758355
--712.16--514.52--902.35+-480.83-66.73/397.69//+-165.36/915.86-25.43,-434043.86181926145
*206.36--808.38-163.64*963.77-487.51-201.45+708.59+-792.52/795.55866.45,-638530.0913281493
+122.55/509.79*661.29-587.49+-714.07-241.47--795.63+//907.03774.26,995.4327920611541
+-276.81-702.62+-787.1+-221.6*-851.85-+/-317.58/-481.88*882.5987.59,237148.9479759066
-104.31+999.28/850.97+164.23+-135.68/-577.42-605.67/-++-956.0,-1981.248678383004
+-542.04-623.0*-189.73--534.61/979.35*-689.69+809.69/-328.86-453.14*,-102940.46790690772
-326.7--741.38/-135.33/-381.71/736.34/-1.43*730.74+704.92*20.5-763.95,-14592.894675194731
--687.69+-59.46-93.3/+/+-43.33-813.15+-269.47/-332.99*,-1079.4914279564864
-+/377.03*//-463.87+-343.5+-580.38+507.15+699.43+673.6-801.57,223.43827609848324
*-750.44/628.1+942.08+-357.17/-836.45*24.08+990.99+*--99.34-904.94,-33553.662163940055
/-222.22--603.84/448.48*982.12*-497.91--224.4*-818.58+-369.66+-687.47-657.76,-354962.52779060195
/959.82+-78.93*-893.16--789.78+-287.97*-91.81+377.33/390.93/-531.73-,671033.045620322
/810.96-22.8/462.16--543.55*-867.87+-881.02+*+-830.51+-933.09-,-765996.9387167819
*-611.04*826.42*-961.0/-483.38+//492.62--176.47/+--789.31541.83,1200242148.5177996
/170.67*884.8-64.41/-788.7-459.83+*-122.1*677.65*-880.79-312.08,541.2555274472022
+-587.69+/+-863.75+++641.54+-937.13*-488.1*379.9-645.57-571.37,-119709589.4483
+-156.72-948.12-658.94-401.81*-935.24/-88.36-200.01/250.09*113.47-592.47,623.2965757444921
*-942.0/970.74/-660.13--575.67*859.83--194.27/-/382.18--991.65-297.02,167333.78536011788
/-657.02*-727.18*762.06*-295.9*-941.92*-950.27/-221.17*806.09/312.39870.03,17965421563.012985
/-455.95/477.1*363.17--645.7/-298.67*-248.81+-70.43/220.46/912.82-,86.24314670282024
--788.72/-398.11+-433.44/99.28--903.18/-424.98+76.73/-200.76--522.44/,-514.9754962288478
+-291.01*625.58-110.22+-495.45*979.2--631.38-486.89/+*-85.5149.43,70758.8521403509
/368.43+777.17--813.26+-422.3/-578.31*-554.6-957.7-41.11-681.25-141.15,26.947208968756087
