Formula,Result
-71428758*/-848692/+,333565.16
242-44*-189/-773922*-,712067.07
335-308*123+356+-776+,-103168
-165-863-469/203*-678-,795.71
-162-341--379-331/740+,967
41976893/-804-+896+,925.35
-193151*-178626//588-,-29731.28
-811778913*/-491--205+,-710839
349-485--789--237586/+,1631.17
426882--54-752+--884-,429.18
600-794*-223*-997-955+,150312.21
-563613--315+-376345**,128229
-685-309/622+-581+668+,711.22
-952-674/-272910/--66-,68.47
760799*-732635/-980-,606266.17
-965-136/188-175/-396*+,367.48
766279+362-940/*501+,1546.39
213-728-222/-329/-374*-,539.27
-951-974/112*-458+-318-,-251.02
436457*-728*328--593+,197603
-729-999*366+95-113*+,414019
-260-397-755-+456*-505-,-210.47
715-462--332+-590--439/,1874
554-574+-440-648--336/+,-317996.0
-624-250-166//-420396*+,-166944.62
-404-573*956/-762+-739-,219.15
68220-631969*151/+,3901.44
27218+604+639455/-,915.6
-295888206*-396-663*+,204820
-739403-873/-681*-924+,1113.22
10863140*+145-747*-,78183
-476557*524-446*+-660-,-498176
75653+32+319-482/-,901.66
751-736-839/--882-47/+,768.93
671168/281/-954--512*,1466.08
-67496*850/-738+-87-,87.1
897324/-776+-280-664*-,-186693.23
213-77/-700-10/-381//,-2.82
533-248--507+-157666*-,-104288
83-35/883859*-773-,-759272.37
-267-796/967/-912*-76-,75.68
91-152+904+-238-703+,2384
380-844+-910-687684/-,-253.0
-848-618--387-476*-596-,-185038
806-226221--12+-612-,51376
779-373+289890*-123/-,2089.05
197-87*369+91+315+,10656
-901398*-577--639+-190-,-263.26
79399/-953/-917142/-,-946.34
-635699-331/-176/-539*+,-200871.13
472-309--401--555-211+,2224
737633-883--131/--876+,-138.99
805993/-81*-952303*-,-413233.66
-853116/-579723*-880+,419489.65
142118--84-705+-65-,1709
816414*228/-277/971/,-0.01
37854222*+5616*-,10617
50-366-587-957-353/+,1000.88
-957238--783--921-781-+,718889
529-142*-311/169/-626-,626.63
-151-789*-867+191-978-,117103
-435-826--893-992/-332-,835.1
-635-111-363413/-803-,-1328.41
730-430+980--295/-278+,-1489
-605-314*-525+43-332/+,-364.04
881-238779/34*--284-,898.42
-38648*-488/-979714/*,31.66
972-879-142*-780++-440+,-88.99
798213+894--849+-417-,-315
-112816+-546-95/+174-,-1138.25
850930/532/-666-628-,38.0
273910/-938/-813+-33-,846.0
-638-742*100/205*529+,970990.8
-99753--76497/-604/+,-32.0
296591+565+893+-594*,2441
-709514-734/+168-230/-,-707.58
503-155*231+969273/-,-77737.16
-778419/-147--879-149/-,-5.89
52-871479/+-250-432+,732.18
-666-591+181+66493++,32281
-637918-223/-333/248-,342.31
418-540+-483542/--685-,562.85
-863-374602*946+427*+,-71512.09
-497282241/-145*483*-,55829.62
622-472+453-59/+349-,-1001.68
164-35977*+19137*+,-32484
563738*-809-547-489/-,-247157.88
9-539+213-851837*-,-713030
-440-524+161231/449/-,-964.0
794-801/447-598/681/-,-0.99
-71-155-190-78*--840+,52986
