Formula,Result
-849210-95-944*999*-407*-847/+-909766+-746/-651--374148*910*+867+,-12551785.027564757
5714+659+-735-230/-157/-85+-786-371*405/-304745+-905797*+528-,721355.5974859664
-474-966-384*823/+772+855--762--609313*-421-530-827*/-104--369259/+,629264.2970392714
-321-350-249*-212-445/+-77+-617+-877269/-31/+994+715-819+--247+887-,-88304.61238250553
-68582/-617-1/+398214*-263--757-374/177*+-287+-767-882/+321+74-,22400447.288275767
914730-94+-765-573--705-982*+-289+-98+-128--943-405/-314698/+646+,692831.1214616718
337315-689/--408+718-429-696800*126-707/-518/--263-654/-520/143/*,-1217.5307438171365
-11-91--990-203*-7/+-324+801381/+164+333-647*505*502*15/432/+,-8457643.300415574
-194954*-50682/-946*-476*-657-777/+-806-300*322*-624---883--326155/-,2719241.157782105
-417143/-922-714--828+-550272/481*959/+499-507-550*-504*157*-410+,-22064843134.930275
-559411-700*-213/-127/402/211-875/334/-799464/-428634/-381*--234+,6.694667925644353
-14166474*-152721/77*-867-140*-665-63/+95-772*+437960*--463-,-420560.7885652643
462-103+562-116*-71/-261750*--37-497+395--963-975/-357/540/--639-,-195531.19717797518
-659-602*295+-433-200+452-170/--562+342677*--914718*--112/113-158-,821417.1882352941
-84413976*321---887+-104+-477+-958-922-634*648*+-166+500-39/508/+,-382861140.0252372
-882-858689*893/25*-814*--769-648*+150+-804/600/-149+-607+-420+-671+,-12974188.846584545
-521-540/866+-510256/-814588/-817/+375170/750/164*-809/-291/-504*+,868.9542752274706
-873-314*915-582--961392/290/+966-420-411+42--875+-74352*-289/-,270781.57286132505
630102--955335*723*--320+175+-650265*+368870/+878-473945/111/+,231134203.42749777
-792-80-645+-689+207-597*51*--489-128/--747+807945/-573420/530*-,6300303.785540674
-585-861+-403-230*+791*890--50-31*254/-206*827*+710-756*-931/+-721-,-950048.3209083843
-658574/-640-968/--48-985*--44-632+-821-409/-627/991/+81620/38/-,-46776.66459828592
164-364*-859883/-388//-854184*+-504-89*+62+-233705/-139-969*--48*,-37174.66699627822
-226-828-644--75+122263*-744/516/-750*987/-71*620/593/828*-594*-,824.9679379500656
-539930903/-20377/-630554/+874706/-76--50--264+165-737*+279+,-123029.18372695452
684988/-75*-933*-136452/-981/+-534192/--736+765-742*483*--89-146-,274674133.2194573
190-77/-472812/-886+-263-175*912/682*--394-720*430*+-803280/-855*-,121946414.27790871
732-160*-648-771---268+52--202994*-177/846/-45-870*422+0*-947/+,-117433.53366408696
286266+-699--723262/*-900--59-194--733237*-443/-448208*+780+324+,-202005.38718487756
847-260-839*-312+-756-779/298*-722*+79+689+-903567/-957*--432--171+,-426980.6233062331
254-831-213*202*-262*534*+826-255+-590925*731*-513--669-797*-472/+,-5001956474957.646
-444-314/-377-691/+765-42*187/-396*-762*446*--478-573/-69+61-380+,23123530469.47561
-9-73359*-227*+-26130*-672/-784*+-786-989*--843--806-303*+-177291/-,5420008.367175994
-690-651*-568--694+912568/+517-855*+-242-338/-371*-354-289-35+614-,-443154.76714726223
-321-538/-305/-772+-687511/-796/-456/705/+-794--6582/+-940782*-235+,258.3586263723929
-709-31+-458-256*/77080*349*78/--58--902+35-739/-721*-675*-367/-,-145004.24278259106
-503355685*+-629-583*--553+19620/-469/433/-930/-651/697*-181+946+,-123461.00000000883
-62610/-635+-141-354--89913*478/+106-225*/805-117406*+128559*/,-1853.2463126625807
227990+662--928-210*388/-198/+912164*811*-528*-906+-926-133*--460+,64046090690.463295
250482/-469*19/538+322-872--630-893*-444/-360/+-576758*390*+-834-,-170275754.78049123
-7419360-+554-163-516/488-545*--346--938--579--824+239+805+-929+,266983.1638888889
-522662-922/+-621-630-639*+163+-413--116-90-148*-381--934--70313/-,-387906.49436216586
480161--478202*+-754905/+669-417-885*+387--730-1000*-25/+12-930*-,-486817.83314917126
-23043/285/-486*374*-966346/+-708-668-365*-659/+968837/-806734/-,277085496.194128
972-212-288/-527*-780/+368612/-371--16380*-852/-374*--535+661-76*+,-515738.9725049244
540562/-700+-202683*+27-474/347/-590+914525/+-541-952-517+-836-,-137134.77993413273
-582359607++-690-824*--421185*-772-926/-854-99/-852*-617144*--948+,-703892.7420642712
-290199*553/288817/-227--743+615265*940/+-762+-956632*--695-101*/,159539.66710337828
201235*-561/633+590-144-97*-162*-516*+-136--488-32-363--784/+54+,-1167612404.3815343
688435680*+389-659/903/-577651*551*+-49-434/836*-907+-835-894/-,158436361.06651413
