Formula,Result
76-848*493+111308*86/952*+350274*--278+,-314774.06976744183
761-714+626-88/--718831/813*776/292*570*-,150718.2727044347
44911940/--643518/814*729*499/279*356/-,-1135.1634879960523
276-207--998/-336-318/-786*+-664296/+535448/-,-776.6815127235785
-74020/-379/-324423*--802920/-776/*-891-638-,137305.098748705
276817+-825-364*-631*+811344/+-533-377--140-,-189208927
142232--657885/704/136/+-936954/+-158-718+,33819.0188601708
876339*-279/948*-695-991/877*560*--607937*+,-1922226.222030533
314225*-45358*-785/-16*--468429*+-112--271+,-372674.64331210195
-610-645*262*-378535/+435-981/18*971/-234+,103084133.30167797
-598-779-103-388/-63+-745*-487*758/378/+-224+,344.0053356726613
-574-978--573-955*+-602124/-350/-875+108-919*+,-84221.01387096774
552-470*504*52-306*+289478/-630/--25-315+,-130773331.99844174
376-939/-749/940*892/-987-430/-463*+956-726+,-1292.7459482453012
-121964+-436+635179/+388--884--483295/567/+,899.9294795163623
862-387*-468--469-877/+179-548/+555888*875*+,499277872.6129244
925-54/957+-800+-779-424/-39833*798/+915+,971.6145598535121
346515/-617-374-822/-218555/945/-249558+*,139560.126416841
619516/638/368--965-964*599*711/+-653--329+,783677.1551854741
400214*715+832-330-64*-158*75/--571-268*-,-74555.42016806723
-349-458760/994*259/+712+-898-860/+492-816*-,246690.95471236232
-568-952/824/-197/103+-619-820722/--119614/+,917.6685364007909
-139-445-620/79*+224604/--941+45+-88-552*+,47597.33075197607
-404166/-626182*360*489//234+-910+547-26*+,-98776.75275334466
-50189-459*--327506/+-773*475--504915*-127+,499893.35375494073
-475-989*149+821453*253*+944--801+-154+243+,98280901
742-448-964*--433-471/368*--246-984*-340--914+,-498804.711252654
926-376*-199-203/+-280-114*-880-524/-47/-655/+,-380095.0197589857
373936/779--838-482--54--347+-724126*-744/+,-594.3434312103667
587-510-560*-790+886-630447--679931/-380*-,-566441.8571428572
948-851/-983*769-464-787+941-682/-770+-684+,1633.4255938330275
-968400--805-258/+-926-760/--846+688-771*--968-,529789.0061020856
951-157*-878752*712*--632945*--435+959-164/-,470549775.847561
-155-728/667--23331/--969822/684*-413--111-,-162.39643362404252
295747*-738-379-718/421/+314+-823759*+-714-,-402526.0012538127
625603*-601*-797/-693*877+-627-331+-937+-705+,306067299.9661229
-149-419/247574/+75+800124/-193+-959+622-,-1317.9985276338086
980-911+-795+56+706867/-665*-626-378*+-834-,-235336.48904267588
553-706*73/-834+-713609+-166*-837-623/68*-,-6494.78605382659
539-219+980-967*148-421*+-776623*+211-98*-,33033992990
-34464+-506-27184/--891539/--540+-285-722*-,-206082.49367790594
961-808-583+-37771*775/125/-784-830/-903/+,2347.183167334966
-295485869*-9*-374130/-453/-588/-344/-649+,820974.0108554775
-671-377-107/--57-795*--955428/-908*-680*35/-,-64283.702269692934
914925/-74*-777*-298+-663+-909-967-745*+950+,-718813.12
823-900/-247+-228-976101*200*554*+-114509/-,10922220781.36508
-759-306*-375*-677+-302+-365+643-702+-677-563/+,58963483643.202484
357717+630-812*873+245*+957+800-933+-142+,-109415008300
244515-850/-444*--529-915/--811200*-214/+354-,378.3540184512598
114426*348*-612692*636*-1/+357+337+-357+,286249153.0
569-752360*-265*-146/+799+373+-652-42-380-,-489404.34246575343
581-83-410/-427*759*+-70657/938/--272-221//,-23848.28875138756
-30885*455*513/-89347/+-282-975*-176*382/-,86986.88069501586
-353-653+-719-45-282/-199/-579/+-920-251/-435/-,-286.991575319091
230-774*229/-220*-230-905/-617*-317*-184+-502+,150564.69680812565
-471-589/721176-+626+195--804--846+-856-763/-,5.774364063492203
689-230*563*-408/379-266/-806-392*--943345/+,-231501.88013415886
-946530*+402--523822/709*151/-49-290*+,-11522.869757174392
109909172/-326-238500/-844*500/-252148/+,-224.41162827906976
377-402/-757/885+-98280/+276+-849519*-108-,480739.65123885195
-635346/-560/975*-294*327-12/+962+-440-858/+,-4.994284496813448
773723+-141+-329484/+207+-129+105--787-54+,2355.3202479338843
-407-910-135/--946-429*-445*+20267/+404-852/+,-180596544.14001277
744-894*-48/423/-804--423-128/821/801/698/-,836.7588652410275
869-477*-758/541193*+-42--623-562/+534+872-,103678.07350907814
-435-677+243456*260/610/+65692/92*-287*-,2221.6413560854007
282421*903331/-3/-299+634-258198*671*+,34396063.90936556
-6686+336-652*--452-213*-943-911/-764499/+,123097.56618835915
127576452*-771*817*+-480500*+4465/901*-,-163997383057.87027
-641-664*-373-327+912*+-193--701--727+210+-594-,427635.29357798165
521-655+-391+587+105-21/-514/--564+159-328*-,-27055.00972762646
234268*-683--700+665593/+589683/-84*563--,61330.250083024635
-857296-438728*107*894/--363+449162*+-459+,32599.18791946309
683-809+729-577-23*+257--305-639*64/--503-,-13880.007457942096
857469+539*-470+184--967117*+-412+132493/-,-112291.16944801027
373188*-688/-388927/--753-396/+-951--342-430/+,148134.94145792993
402162/303/302/-46-561*-416*-131/549/793/-,2.643575730453023e-05
-415-669169//-308542*+-896-242/771/-669*--549+,-167903.73287750952
-204530-966-+595-661*-165/-77-874/--339-439*+,-365777.5179599196
-670600/810--894-872/874*-862643*471/--680-,-2230.7526880149594
253904/-146/-482*220*-572*-851-925510/314/+,-184407.92985236523
-797-659*999*-567/-980-745*-447/172/-525/-762+,362026.47926664207
-721412/976-997--26349*-537*975*409/694//,21796.277335245166
771-44*-305-99-91894/384/-355*+-577+769+,-33535.02842420213
-747379/513--886466*414*--883-701+25-183/*,170931733.16563576
-563765+-464263*-446*354*--640933*+-936-265*+,-19267249166
644-664/647*103/456-320/-717+258-665++-545+,-351.4750181175832
-455-18097*-498*233/-972/-611/-521*+-835--991+,-1425.7376807488213
940-231*-721*563-114/--312992*801*291++-487-,98246403.24787484
