Formula,Result
-7271/93/53*90+,89.49
286729*-4661/+,-457.25
6645*-63--7727/+,-150.78
-48-31*95-100/-75/-,1488.0
-827-100*-51+-31/+,-9.71
-8643/96-28/--23-,18.43
62-4372/+-1-39-,23.51
1179*-83-85**23-,-6209
9252/77/70+61*,-133.98
-8872/-33/3987/-,-0.67
125-6587+-17//,-356.65
-60-6514/-32/93--,-60.0
-75-89--13+74-56/+,24.88
-10083/52--5415++,-810.02
-26-8534/-24/+-83+,24.08
16-35*55*-59*-47-,-761.74
-18-85/4243*-95*+,0.21
351424*-20/9-+,-96.2
018-8/-57*-40-,-636.86
-2158*-27/35--14/,-22104.44
4434-98*+25+8-,60.65
7435*-7488/+34+,2623.16
-2494/95*-94*-83+,-2634.43
-4270-1397/-80/-,-112.01
-3277*-85--19-20/-,-2490.3
-57-89/66-36/-73*-,-47.08
-584*-97/-61*-57-,-13276.62
-37-38/76-85+-73/-,72.0
20-64-5/--32-11+,-13.8
2251/4451/--91*,-88.92
3695+-92-95/-18*-,53.43
83-17/97+-96+26-,-66.65
4377+-76-70/+59+,59.8
77-92-93**47-15/+,8629.87
-9123+-99-48-63*+,-3089
-5348*16/-60+88+,-28.0
-78-99+-49-6*-36/-,-6.0
-96-61/89--92*30/,-0.04
5533*-12-77+11+,-21692
-5620/70-39+-67+,-27.97
38-63--6622*-22/+,-0.05
43-18--63-14*--31-,-790
479/7771/+13-,-11.86
72-96/71-77*-50*-,-273350.75
125+72-67*+-11-,-4787
6614*60/18*-62-,-250.0
162--69-13*/25-,-908
-48-99*36+48-25-,3227
-2327*21*37*-40-,-482440
-11-34+990*--62+,17
2364-8*97/+-15+,-49656
9340+57+6-53/+,69.89
81-15*-64/-84*26+,1030.06
87-6+38+94--53+,21
-6560/-1867-+0-,-1.35
77-9929*-68/+63-,79.22
382+-7118/43/+,85.05
44-31+-7780/-5/+,-97.81
46-8-69+-440*-,254
-4158+84+-9+21+,61
64-35-69-35+-11+,54
96-3*-81-80+1+,-214
8770/-65--32+13+,48.17
-723369/-27-13+,-187.48
71-100+-66-74+-95*-,203.22
9854-547*+64+,-270
-3496+-95-84/-52/+,3.19
-57-88--81-30+-62+,172
-54-10-82-+82-91*+,5768
4197/7*-41*96+,-25.31
334282*-1*+-54+,6703
1119*21/-4885/-,10.52
-914+8631/-42*+,-203.52
-3569/-95-40-49/-,94.53
-45-91*-72-55/73*-,-95.07
202393*+-30--47-,97.25
-26-8235/+53-29/+,-31.24
16451/-76-+-24+,-118.37
-3-83/48-15/-96*+,307.24
-3418--15*15/43-,1235.0
-2773/84-0-98*-,-84.37
57-68*-82+-7474/-,1518
466/60-5*-78-,219.58
-90-24*-35*3865**,2408.29
-81-14/25+-37-79/+,-5.71
40-3686*--4+28-,4623
-98-54-46-49-10*-,400
-11-82+0*65-49-,-139
-41-60+-66+76*-36+,-159
-4862+-7494*97/-,1.03
-1346/-49-38*-41*-,-22344.28
5319/-51/-54-48/-,-18.06
-73-11+94-25/-77*+,357.52
12-76/-8-79*+6+,7115.84
-4-15-53/--4760*-,2816.25
-8-99*61-67--84-,748
-1998*-88+-96--19-,67
-65-54*98+38/-79/,-114.58
-38-25-60--54-96/-,-73.56
-11-6/45-45*-70*+,141751.83
