Formula,Result
* 0.1 2 ^ + 0.04 0.01 * - 0.07 0.07,0.07
+ 0.1 * 0.08 - 0.08 / 0.05 0.01 + 0.04,-1.13
- 0.04 / 0.06 1 ^ - 0.08 / 0.08 0.02,-4.71
/ 0.01 / 0.09 0.01 * + 0.05 + 0.06 0.07,0.69
+ 0.03 * 0.03 * 0.06 / 0.01 + 0.09 0.02,0.05
* 0.08 1 ^ - 0.02 * 0.07 - 0.04 0.02,-0.02
- 0.04 * 0.03 1 ^ + 0.03 0.07 - 0.08,-0.06
- 0.07 / 0.04 2 ^ - 0.05 2 ^ 0.02,-15.93
1 ^ - 0.03 + 0.04 + 0.05 0.09 / 0.05,0.6
/ 0.01 / 0.01 / 0.02 + 0.09 0.1 * 0.04,8.06
/ 0.07 * 0.07 + 0.09 / 0.07 0.02 + 0.08,3.67
/ 0.07 2 ^ 1 ^ 0.01 - 0.08 / 0.08,-243.06
+ 0.05 + 0.1 - 0.08 - 0.01 - 0.1 0.06,0.06
1 ^ + 0.04 2 ^ + 0.01 0.03 / 0.02,0.7
+ 0.07 + 0.01 + 0.08 * 0.01 / 0.07 0.04,0.18
/ 0.08 + 0.01 - 0.09 / 0.08 0.04 / 0.04,-1.05
+ 0.04 + 0.04 - 0.09 / 0.03 0.1 * 0.04,0.09
/ 0.05 / 0.07 / 0.04 - 0.03 - 0.08 0.06,595.1
2 ^ - 0.08 * 0.05 0.09 / 0.01 + 0.04,0.12
2 ^ - 0.05 * 0.04 1 ^ - 0.07 0.06,-0.06
/ 0.09 0.09 * - 0.07 + 0.05 2 ^ 0.01,0.02
+ 0.03 - 0.03 / 0.01 2 ^ 0.03 + 0.01,-99.91
+ 0.07 / 0.04 2 ^ + 0.05 0.06 + 0.01,4.13
+ 0.02 1 ^ - 0.04 / 0.1 * 0.08 0.04,0.01
+ 0.09 2 ^ - 0.05 * 0.01 - 0.05 0.1,-0.01
- 0.02 + 0.04 + 0.02 - 0.02 0.08 - 0.1,-0.16
2 ^ - 0.06 + 0.01 0.06 * + 0.01 0.09,0.01
+ 0.09 * 0.07 0.09 / + 0.08 0.05 * 0.06,0.12
+ 0.01 + 0.05 0.07 / * 0.08 0.04 / 0.01,0.18
- 0.04 + 0.03 / 0.1 / 0.04 + 0.05 0.03,50.04
* 0.02 - 0.07 0.1 * - 0.03 2 ^ 0.01,-0.0
