Formula,Result
662/35+7776/+,4392.01
401+86*912^+,8235
22971^*27+26-,2135
3056^9355*5/+,1065.0
23941^*92^-,2081
483433^67^+*,57504
972^28+762--,3661
80922^472^+/,0.0
3718/902*85/+,7.2
785622*+7884--,1232
1246^31^13--,22
8145*16^851^-,58235
762^79+2499/+,5855.32
92312^21-/42-,-41.89
122^23621^*-,-1282
9152^128653+*+,9949
3673891^+37++,263
662^7596*-47*,-1677
42351^-591^*,66
8842/92/671^+,67.02
49552^53+24+/,0.02
6335/86-522--,-1393.2
2572^-1545/+,-3208.67
538+8949-71/+,104.42
521^1744*-43+,-629
6512^-7873/+,65.64
8227*2/301^^,33210.0
741^70312^*-,-80846
81*89692^-/,-0.35
98163165*+16+*,165720
8226/631150*+*,761.61
113683/+203*-,-273.52
82402/-39-5*,3.0
533066^+152^+,293
55862^*7357/+,406781.28
982^/662^+,4356.14
6574-34512-+^,1722
501^62+2331--,104
182^54+80-74+,3297
6227*83/18/34/,0.03
9310/8367+58/+,40.78
14571^-8066/-,-44.21
831^97+552^+,3205
1758*55/46/*,0.76
9416^6051/-94+,8929.41
37312^/1373*+,624.04
3534/60+5369+-,-41.97
10591517^/-2-,4.07
33632^/17-71-,-87.98
40136+*77^45+,69.94
91912^-7495/-,124578.22
333856*+1234*-,1753
7189+945347^/-,158.23
1015*517437*+-,-2839
90431^/52/74+,22.02
83771^/42-98-,-138.92
7198*4140^-63-,-1771
2854+8185/+96+,219.95
31833340-95-/*,-25.65
681*803477^-+,115
751^1+3877--,-2850
6288-49-71+29-,-76.3
671^6874/84/+,352.6
1960*49791^+-,145920
7661662^//51+,76.01
4876+745-22/-,-26.27
9870/561^*31-,109.4
5610+187/91/+,46.03
11^334513-/-,2.22
439615*562^/-,42.67
4941^/38*49+,87.75
10642^-8437/+,-4082.77
369955^/702^-,-4899.52
518623/82*+21-,218.96
409748/50/+83-,85.04
491^52-8167^+,-2.67
62^5957*39*+,131193
255322^/+4-,-1.95
1612*94/441^^,46.04
7590/6/5936/+,8.47
402^4240/17+-,1599.94
6374/88*2*3/,49.95
206^7698/42*-,-50.57
351^16-2844/-,18.36
61235039+76+*+,2398
477530/35*49-+,48.07
341/21-452^-,-2045.64
3975/19^49*13-,-9.95
952785/6347*/+,12.0
793361^*1629/+,2623.0
501^9998*-64-,-9723
6724^40*24*49-,10517.86
802^62-2826/-,6337.66
82690^*4277*-,-282
194+43+61+71^,270
1895-111^89-+,-132
1385+4437^+8-,37.12
305237/46+4-/,-1.27
