Formula,Result
5391*5523*+77-93371^*-39-939*65/37/+841/+,2615.145945945946
132^73+14+92+76-4640/-53-972^+322^24-23--,8649.85
82^96-75-14+781^/3166++2822/-382^+332^-,339.19696969696975
561^4472/14*48/-282^-74222^*+71+205960*/-,35158.816109541745
7949932^9764*36*361^-60-+9573*38*+2*+55++,991325
7036/6359*83/+7969*-1546*+53+9651*78/57*+73+,-998.0247863247864
2563^991^-3963+452^+45+42682^+1980*36*+*-,-61632
5694*48*25+198/37*-18-959/2452/2047/+*81--,201591.77643662484
9365+25-4282^*+3312462^/66+*59*202^/+96+,3631.827925330813
446058*21/+7-31-5979*99*421^852*-96+/30/+,169.55186479484246
2173/201^/12+47-9077*-5253*201^/+58-5947/-,-6886.427687569989
612155-+63-97-4-1787/62-49*+552/-3198/+3+,-3189.60896082571
8278*9/40*795314/-71+16-31^-66-552^+-/,-9.632076803614288
3760/83+21+6280*-462^-96-8058/-58-65-50-33-,-7275.545495495496
131^49+355246*2*50/58*88/*20/2/9487-*64/-,-55.68665482954546
9098/23*942^+985/47*-2281^*+767-161^-+,9031.145978391356
5145+8246/-6874/87/+97+84-731483*75*77*/82/+,26.227953798527967
481^411^3212/92/+1^-842^-68-242^-39+25+,-7629.028985507246
6858^862^+37+6174/+86-53+56122^*-2497-91--,-431.17567567567585
812^*5221*38*7761*70*31/+85+38+9052/10*--,-52199.821339950366
5648/882^/63+8924/632^*-58-32-5777*+6010*+,-9743.37484934573
1271391^*-391^-73-5077/+25302^*+772^+30-,25608.64935064935
3899/77943*26*7615*15/64601^-74-/21^/-/+,0.6014021413218471
932^1942/-5-7347/90/68/+4212*-60+57+82^+,8296.547872837078
7811*343715/+2341/-35--57+502^-7637*93*51*^,13335730.094308943
557-1454*981^*+7328^40+39+7393/+46-7345*-+,70985.78494623656
81371^-9410/-91+4055*56561^/+9+387762-*-+,1765.6
472^53-59332^*-2891*-8211/4455^/+3936*+88-,-63326.996149511644
4747/61*61+652^+56+575/-13-16-321^-702^+,9154.6
70491^-4513/-8-96572^*+481782/2^/81-81+-,310796.7495342028
1857*9+3825*42/93/-18+6952/38*251^*+6355*-,-1151.6662924888733
85502^+59+64-44-67162^*891/+76+87/-27-30+,2340.9760227413176
284629/-15232^/+86+7093/+77-751^-43-32^+,-24.299786992899058
2521/7296*141^/+171*-50+27-7795/87*+232^+,1100.4205513784461
121975/7990*-601^+83--6046/4*28/2/342^/+,7197.746747261564
28461^642^9770*-90+74*-522^-3497*-23-60-/,0.00015466964221597405
7443/37/13/83+5878/+6778*66/-14+6684*902^*+,18650034.565349378
584563*77/+2681/56281^/35+*-2281^*-58-86-,-117.05836139169473
22^9193/761^*+121^+151^+73+29+49332^/+,207.3750435583433
9859/742^+4022/-9022/86/-11-9820*+40-24+9-,9492.795266420611
4991-791^-1982^/+22+34-6559/40/7028/-55++,-80.49311621570108
39524448*172172*--232*23/+*+152^-54-8572*-,181348.6956521739
6981-81+874*/26+651^+43797/146*952^/-++,562.2806173328057
5577*65/9+57+1899*1^+740*-8380*-65-7899--,-5028.338461538462
352^7670*47/99/+6+92^-65-6313/-99+43+68-,1158.2971945312372
99488/692^73+14/+3582*-79--17+4912*9634/*+,4389.904125286478
309599/-581^21++771^+43+5623/9*27*+7520*+,5935.344751866491
262^54030*592^*993*-14-2^/+99742^*-46+,-541402.0
9088/33/649*6626*19/37/96/91^*+8731*+1-*,101.41205084760706
4134*802^+2259/+63202^/-37+95-170*2637/+-,7665.512678653229
57+562726*-452^-29+23262^*+18-992^46++-,-22723
24182/50*+79-821^+32+65-20+36622^*+3526*-,137254.60975609755
531^55+935766*10*--49+449+16/921^/-2611*+,37969.963994565216
3353-4494/2^+245*-8282567083*161^*23+^/++,136125.8976750954
291^7520/65*397-61-476258+19-61-4061+-/+*-,37207.289473684206
5695152^/+1514-74+95^9645*78*-442*7447*--+,-330383.5777777778
43-1221^*^4466++5469/-9921043/+8+51-++,2984.449949443883
3120/8+3068*23/541^/2542^/-442^+627*-+,1834.0927923898132
393*45/43-2981/62^*+79-302*+3698-4796/*+,907.2680555555556
3149+9-39-7681/38*-58+66+72-822^-52+24-10-,-6657.6543209876545
3698*73784+2175/+1^/+76835+879*2/6*+*-,-145167.956182473
6220-3990/74/-29+531^42^+48+65+12--4-25-,-128.00585585585586
273*86+6865*+561^-57+3881^*-49302^/80+-,4268.945555555556
581^28-357*+5332/728575*+/-48+622^+872^+,11661.999767609092
9552+602^^44+40-1965-842^*+78-55+5999*-94-,-334872
6611/8162*9*22/291^*+822^+992^-9410/+96+,56599.581818181825
2788*715/70+61+212^+6928*7*74*+126579*-/+,479.53597501463986
8261^/6746*57*+442^-51212^+761^-7534/++,174156.51357466064
8428-1724+1043*92/+53/-954/+9799*-229719/--,-9592.5369965912
7347/78/525*15*-682^-175*871^/-2759*65/+,742.2193822074232
887893*3/771^*-6469/8*93/911^*-28752^/+,-186105.2557359514
8292+51+75391^/-6622+92+29-68+32-17692^*+-,-80900.92307692308
8798*7*74*2^8276/7*-8850/-8640*-4-4235*-,19505189590100.688
456180682*2*+67112^/+2350*16+27/-/24/-6+,50.98550671200096
51^7129-771^*+6839*-43421/+8520*54*78*--,7160902
8037*50471++93++881^64+2345++92+9216/+2^+,104115.0625
612^88-66/6-33132^*+85^4-956*716866*+*-,-2292198.9545454546
8785+16+871^+56-28+2177*+621^+92+8594/-28-,1989.095744680851
401^37552^/-68-75+68+14-6147/57*52*54-64++,3957.881385616318
8038-23-311^+6497/92/28682137+/13/2063/-//+,49.99994178788729
6872/9632*+1563*85/921^*65--40+821*+9693*-,-6690.8790849673205
4151+822^+19721^*-571^-16-17+2344*+61+76-,629
1313/14*70/2353/+7018/811^*+981^+521^-37-,324.63396226415097
9175*68*30+402^32+6++9760/+8233*442^97-/+,465771.0881185427
3191^*71-61151^*+45082^+68-9487+60--*-,665
5639*4-8647*-42+8296*24/-1276/23*174331*+*-,-4474.631578947368
3376-1369*26*902^*+4*811^-69+16-682^+43+,188912800
69452^/9711^/+74+32-41+2973*30*+631^50++,63655.03407407407
8249-63+282^-3521/11+662^+76+73+*6/*43+,1613.1190476190477
2083*41*6884*712^^+4852*-522140-47+*-41-1+,64069.133108510214
762^425/11+20-1^-6959/35/+2+3281*-571^-,3137.8734140435836
390/84251^-92182^12-16+9852*218/58-*+++*,-9818.459259259258
882940+-472^+596*+71+1057*20*8741*391^**+,1585891047.275
6192/951^39-981^+342^-27941^+1077*69/+-+,-1133.4963768115942
493861^/-1787/45*48/-7821*51/68*51*6*-17+,-1449.6466448046742
212^36301/-651-55-50/+77742^*+99+601^-+,422138.18
211^2+28+94621^*81++671^-311555*3577*-/+,4670.983422459893
9082*63*82/601^+7-30-48981*84-*-642^8--,1221.0
250/302^31+61482^-35631^*-112^+25+63*+-,270095.04
951^405/+6891/583893/-*-13801^*+3267*48*-,-101812.03533026113
652^55-6650*2/-941^+2126*87/-7157331^-*-,3530.7241379310344
238*97*3253171^*391^1+69-596752^/*+-*+,140885.98613333335
312^696835*741^/+813923*33/-+2192^**++,1170.3439803439803
39792^+792^+78+421^-3227*50*-8744/6/-45-,-30688.329545454544
75734*-9+84-64+871*61/+43671^/+5755/35/-,-1939.9615898366376
1344822^-10-2252*9*1/8248-892^+9432/-*+-,-81867684.5
7522+67+7889*44*72/52/+3358735222*+85-2^+/+,316.583359084768
3487/5983/961^*7152*-59/801^*+885*93/38*+,-4635.331307470034
7033289+67-70-472^+7271/-5401^/-3719*-*+,46416.20187793427
568842/+8628/182^*+3830*73*272^/1-83-37-+,1127.47266313933
697067-5911/-20*28*2*51^/+33-152^288/++,-264.9545454545454
51491^+84-42-7867/81^/+981^-5912^/-52-,-175.85508140375288
