Formula,Result
--*-50.8*-463.34/585.47712.12,-19343.844949502894
+-134.03+/+251.03751.49+-136.8,1413.07
--790.35/96.72/-334.02908.9^-531.52,-790.350544783826
/-516.36+478.26^996.22156.18-341.92,-1319.810177819373
/493.88*-617.491^544.41+^,1244.1953056729662
-262.95--+467.87--414.21955.28,-1835.8072068028819
1^--787.632^+-686.72,113893.1069
/857.33+//-465.711^769.22,2.59212931763381
61.35^+848.74*604.76^--644.14,722287.5976
1-+-846.452^--414.2131.8,-172539.88999999998
*-0.79++/-594.84--918.11+,-573.3785037784144
--523.28*814.06/-568.08-180.34-221.13,2262.1796262615057
-870.061^-/*-845.27-831.28,-702616.2856
*596.33-103.362^-784.36*-216.61,-133201299.576656
2^-214.421^-889.83*-147.24,-85042.63280000002
-73.96^+552.371*+-37.996.47,305171.1869
*-669.57*45.47+943.09+849.79-397.88,-28712251.241011
*66.78+929.88-57.64*544.7*^,-7751733058.57467
/917.1-30.97+-429.21*^-149.2,44138312.09352825
+60.97-545.17^-366.51/756.49--300.77,-996.29
--768.821^--719.532+649.78,-422263.33839999995
--356.49*430.14--583.15*-970.55-331.42,251781.62099999998
*447.49-//^*972.75-828.89,-49675.90623063479
/-269.79+-847.66/-758.77863.98/-838.36,954.9241156463344
*-774.2*-531.47/325.88/-604.63997.45,-81280840.63927676
+-771.06/939.53-404.62^-301.85-823.79,52.740311653038816
/-708.59^620.88*210.81*-511.68+,1940.3403819915482
+-894.26--178.04/+-630.11-955.82,-1072.2986746016013
-635.31*-631.86+-284.58/422.4132.37,3733.8829094023044
--692.33-901.942^284.29+-,6829.6684
1^2^^236.66-134.68+-393.66,55479.6156
+199.28+541.02/616.63*705.68-286.35,740.2969484558799
+-159.71*-168.76+253.84-/877.39,-44299.40839999999
*129.26*--178.35*/*396.77,5086861295173.058
/++^/-651.04+-734.58355.5,358.2326307345718
^245.972^/711.971^-123.25,-506532.06090000004
+-781.84-197.04^978.35+99.76577.25,-1085.66
/904.19*956.672^809.11*587.84,363723881.05938935
2^+^--650.34+-393.58989.53,-60029.479999999996
+-673.95+/1^-657.79^-667.37,-1373.3600000000001
-836.781^-69.87-446.83-467.73,1681.47
-80.962^+-644.3-*-347.88,414747.48999999993
-412.16/-374.841^+-590.7+,2032.79
*723.772^-^*-150.22-416.36,-336764579.02157193
-834.43^+979.19-*745.33+897.88,959606.4861000002
*-525.281^--667.21-*794.49,-416843.8472
/-441.16-*1++32.48-449.34,-1092.9
*534.26-283.34^+-517.52*583.05609.75,79024.5023
/-287.61/*1^--521.41342.1,-342.09801582565484
/189.14+479.62/-708.54*591.55-823.49,822.6865852893902
*^/920.54764.7/+-880.26-965.01,210853.01408232126
+-17.4--852.22^-147.99*424.33373.67,-739.2982614945914
--296.86^29.83-555.11^405.18*696.49,-114570879.37637602
+-77.31^703.33*272.78/*749.77,-79.9259996605279
*-899.51*-447.87+444.04-30.29-+,178887198.264548
/-407.44^-76.91+/+159.92509.81,-1531.0605239890783
1^-921.9*^251.74//,973.8931882100579
2^-740.56-982.4-64.49*440.28,520035.4563999999
2^+206.45*-588.15/-59.33,5202.984499999993
/-283.93*406.54-582.48-176.74-884.9,237225.64920000004
*216.11^-967.89/-466.74--139.5-487.9,491.02252694671046
--839.97*191.05*-459.73*-651.2740.17,-11711.911384497422
+984.36/-642.35*/+570.9-102.98,1898.994160446208
1^^-791.81*-873.64*-303.3317.59,4660579.670908
/-120.611^-*2/394.19,-155386.16821644912
*-45.58+58.69559.12+641.43-^,29556.279399999996
*-302.14/377.74--390.932^-471.8,222887.18577955134
-499.92+554.02+-34.69/^-937.89,-88.40748179424023
+-648.66+665.35*+790.0--962.89,-1412.4099999999999
/817.461^-++/-481.55,-0.002158262723600458
*55.79--868.99*-118.4-439.96/-,0.009038281498104525
2^-582.74*889.1*-488.57+,5426264.5513700005
-164.711^/780.362^+,-4218.0504
*735.7/666.18*-987.53*-159.73700.7,55547006.28564974
/274.51--381.722--+-152.84,480040.82846031646
/144.92+*--877.72--230.68-300.92,-346.3858497211623
-579.28+685.461^/-^,-1144.8700000000001
--521.04281.63^+257.47/742.53-596.25,-779.7553333333333
**2^-396.55-+-439.25,-142686249.42045
*-395.46*-477.321^+/164.3,-13384875.884151997
--566.37/**214.31-197.89*-420.64,18020102.302575998
+-998.51+-324.64--157.12+-391.47-338.17,-100.74425455889599
+714.07--888.08/98.29/^746.75,572.8584045680143
+---284.12*^617.51*-741.98,-153114142.77576402
*-939.17+-119.81--228.97--96.49^,112464.3977
--+^1^-812.44-517.29,1721.58
*/*211.29*-468.35--525.93-634.25,28980631616.743694
1^+624.7206.82^-488.37--,451.13
+-62.18*-969.67+-167.81819.47/246.43,-62.18603822536719
2^*971.48161.72*++-532.28,21384978.274752
*473.25+-658.22^/764.92-548.45,274157.9063999999
/812.81-286.22^--37.17+-310.48-89.56,199.05263384449825
/-968.8*-829.27--816.76212.66/-,-2.1549548633836652e-06
*---596.652^++219.25,-191749.907
*-702.592^+-257.17*309.97,117596847283.5043
*657.78+-853.57**/*^,-231363878.980494
+-928.64-^*-927.67357.5*-846.22,-280448499.25949997
--704.311^+-356.23*437.58/,-412662.2108
1^/*1^395.16+756.91,758.4660279380504
--893.18*-41.47-766.822^+953.16,1068846632.4865893
