Formula,Result
212-436583^--9052^-414418/-2272*143+-,819075.009569378
7443001^/590-949423*669*-717/--40276*-,257498.22476987448
-3542^952-708/7291^/+461-683*--330868*+,-96893.0018444894
510242+615-846*-93--583--889292-3342^*/*,521532.0000272914
42669^-381+7292^+-244-568*760-+337+24-,105863057
8062+7842^-151236/-471/-533*/-756+553-,34189.27594551801
661-812-6002^/430737/-375*75/-90/--352+-,-232663.90534364645
902707*774-687/-183844*3651^+92-283*+-,507104.1266375546
839289*118*154-3151^--133+726--901+16-,28609333
4062^-6208881^*+532+829-2442^*+243^,-33248821
212-3618752^*+276-471^/+-404-5271^++,-276391349.87234044
-306-289/-2631/-159-2^+203+-2331^+-731-,11518.058823529413
-6301^-51+-96975*508/-360/-246+-196/921/-,-1491.0000000115256
569794*623/-162--496--128-61930/-6062^/+,1092.178171057131
6652^177236/310*1121^+314-733*/+-117+,672614.5
554-680-515875-7971^--3661^+-769-738*-*-,183443474
-91-78*690-622131^--36827*--469-*+-184+,7029842
-44274905*-01^+-8651^-327327^-475-,-173526
-103-369*-3741^--112+40123-1000/+49++-975+,-85617
-521902546+-788+34++129947/+5312^+811+,304691.13621964096
-4192^1281^+782--960-519-90222*-821-/+,81.00003163943481
-1403791^--7252^+-200-362^/+355-66-,-525806.8456790124
-710-303666/+-620212/1^+-113-339/-411^/*,-713.3876133381425
598-339267-15/-648^-611/760*185*-131/-/+,598.0001277211165
-98-1627252^/4171^--597667/--706--244+/,-2.135320755358744
1682^319-6732^926-633-1^*--397+-864+,144085110
4851^806-905/+0-175*--542+-621555/--23-,-31.246192642947193
-999744*-613868*--4359851^*--29557*-748-+,76038
-227-793+712*9192^+9768352^/+729--820+,117947.00139983506
6652^-906-155102-+--630-6572^-126580/-,-221636.21724137932
512-789-7971^+-31^+-58945*+/103/-46-,45.999911918600404
-936841+-489+-1902^+-370+-594-7091^**822+,384914
133-2973621^*+-818276/-3922^+-210/-614-,46689.96376811594
9122^9941^+7982^--361*705/453+-,195549.70070921985
-903528/125/660*405/96/-663-372/-690-69/*-,-10.96797418857029
92-728--900538/+-8472^--928653760^*+-962-,113205.3271375465
-638-342-780/1^/995-171*+-972-37139/+873--,161994.51764903867
-933-633-755*+-904--109-868-201-361*-539*87*+,-686646.0121641166
-8929521^+4592^+356-700^--954-897-110*-+,110761
9297222^-387-304-760583*--305+-163-97/-,-471797.6804123711
-23973*5311^+-273+146-929-6852^-105+,-470933
411739/831-7882^++-9332^-69-781*+-58+,816541.501588441
2431^25-734*9732+*-823-505/--897698*+,-17373103011.370296
9952^-222-141/+-74--885+-224-779455781*+-+,1344410.8794326242
-5467082^*753579**549-490/--959+-122-653/+,-273253775.6927618
259-684/-199+8582^+-2262^+-314+-265+834-,684247.6213450292
164-633-1781^-882162^472+628-846*-/++,1147.0016603696863
929-579-408^/228-518*+771-302/127*+-667-448*+,798879.768752038
242251-454+718-623/--684298/-565-981660-+*+,3558.582018162819
282-989/759/35*407*-6132^*-307-200/233*-,2010560.7241269178
997-465-820569/-527-179*/639+640742148*/+,206888.55887521966
356-576190/4731^-360+-4231^-430-741/-+,663.5487179487179
-450276/-9652^/-30699^+-434359/-201947*+,169378.20891539988
-685-8992^--183-8572^-713+-529-589/--510+,75067.10186757216
67743*721-960/-7441^/+12238*-297189+*+,36304.00100946461
-51^-5598671^*-9022^524--8286*++,1290676
-45-47-4801^*--439-5472^*-806--794+816+,-131613740
