Formula,Result
+56.63/-21.68/21.86^23.64^-96.41/-86.06/-62.892^-79.0835.88,20.75
*31.67-81.36//-81.37*-6.58*/+79.7457.16**/*-98.53-87.2,-231111.52
/-5.32--47.92^21.031.92^-82.36/6.82+39.212^-/-81.22,-150513.06
1^+83.232^--2^-75.65-61.24//3.73/72.7520.77,83.23
+-15.87--64.32*^*73.15/-15.4-82.911^--72.111^-50.03,-574.05
*-91.742^--1^+27.75-94.93/53.29+/22.94+29.73,-201730.99
+-53.39+7.07--24.032*--37.492^-18.46*-10.72-87.26-12.87,46.08
/47.68*56.09-82.53-0.72+/*57.11/-95.09*-10.91-19.81-45.16,9922.89
+-78.592*-67.65--79.62*-87.28*-56.062^-0.28*-2.47-16.16,-74492.18
1^--83.33+43.19-6.07/-18.2642.341^-+-57.67+34.42-3.86,-43.93
*-49.64/-29.39+2.37/-56.14/24.631^--32.49*-53.062^-27.53,-39654.03
*76.39+38.79/-52.11+-20.04/4.96+-91.437.71//-61.35*-24.48-13.09,1.97
--50.38*-40.91--90.071^+35.23--56.34*-76.91-59.881^-31.15,922.49
-82.47--68.382^--42.85-55.57/26.46/-23.76-60.380.65*22.1,40902.04
1^*-86.02*8.39*31.82+91.212^-82.99-8.25-25.34/46.2,5468.94
--86.992^+55.67/-58.51^--46.97/-41.36-33.6+-40.53+-5.46,-3218.73
/77.252^--27.7/-25.67*-31.9-9.84+-40.95*73.411^12.83,974.78
*89.9+72.64--51.45+-76.87/37.18/97.17*-46.34-24.332^*-45.39,10483.47
2^+-53.34+-96.731^+-39.83+-97.17-5.87+40.91-68.06/-17.63,-2845.21
2^+32.17-19.72-1^-6.05/29.22+34.191^-69.6-88.88,1166.76
-74.56^-37.152^--+75.32+-22.76+-9.962^+52.62-82.1,2879.07
2^--0.25--39.11--3.51/-4.07-6.55/*62.87+76.4421.59+-80.44,-3606.32
/60.68*8.07/-30.77+-93.611^--14.71/14.7/-88.9922.09-49.07,-16.57
-50.35--76.71--40.44+-52.4*-1.95/42.77/49.63-57.18/64.61*^,219.91
--16.05--97.131^-23.621^-14.25--53.66*/-19.8185.98,17.68
/49.19--45.09/88.08-/2^/29.77+-14.33--89.4341.8--76.5,955.31
/-59.42*29.06*-53.43*-98.44-^*14.52+-78.182^+-92.09-20.73,-750723.31
--48.621^+-31.26+-91.612^--74.2934.491^*-56.63*-36.98,209454.55
*18.11-13.412^--50.83+-82.982^--12.69-92.59-52.46--4.23,2944.45
2^^-1.95+-53.94-49.7755.3/-6.49-0.98^-15.8411.33*-11.41,7.47
-*1^-32.11/-28.03--50.82*51.32^63.71+-92.53-25.39-88.65,-4031.74
*^1^+-24.76+17.82/-59.36-71.29/-31.172^61.21/17.51,20.93
2^-7.71^+88.88/^*19.53-62.82*45.53*-42.03--39.58,576258.74
*-38.99*70.38*-63.96/-31.5--53.22--15.96-48.26+/-59.25/3.3,103899.58
1^-25.272^+-26.73*-2.57+-44.13+-7.15^-71.18*-71.64,3473.87
-/*33.38--75.69/-48.6422.6-+-91.252^-81.551^-45.11,9226.57
*-41.191^2^+-47.55-84.04^+-9.65/-2.18-11.7--70.52-^,9383.98
+81.972^--29.53/-31.34/-58.262^+-7.05--63.51/22.54,-836.74
*96.42**1^+67.74-67.1835.26/*-89.27/84.91^+45.28,-4866.4
+9.95/42.43/-52.861^+72.45--58.39/-61.94*-35.99+-26.31-98.76,-58.76
--24.49*-66.85+-66.55+-95.22-*+-45.21--+80.5667.98+-76.52,-4659.78
/77.61/-60.431^-33.34+-88.87--88.882^*55.33-28.56+1.81,3030.99
/65.78/18.73-39.561^+-55.46+-9.621^+*2/-19.38,-344.53
/-64.051^-66.13+-+-32.892^--76.2*-79.575.81-68.45,-1316.16
/26.09+71.26*84.592^+-97.922/--43.05-96.81+-59.41/67.94,-0.0
--84.15*14.0/-40.79*-56.312^+-47.03-9.64--11.18-72.98*-73.99,82726.02
*-0.591^--84.47*92.44*-46.64+-41.862^-3.02---,-180011.29
2^+-60.191^--80.27/-7.13-54.92*-65.49+90.67-92.6-2.34,2721.39
-96.242^2^+-94.22-51.452^+87.16-51.94*--97.73-8.21,-125610.42
1^-*-15.82^*-59.76/-23.61*-48.4+-3.88*-89.692^69.68,-435383.98
1^+42.84+-28.78/-59.152^+-84.352^-45.53-92.99*82.69,179118.2
/88.08*97.38^-62.46+-73.12+69.79+-63.96/-22.761^+57.2130.25,-93.93
/3.18--97.56+-50.4-93.33**-78.18+-17.45+-44.96+47.03/-10.97-48.54,3.34
25.1^+-0.53-63.06--55.06*3.88/70.871^+-24.5*-21.52-,676.53
2^--20.18+-46.7+16.88*-73.021^*-82.6^-40.714.83+-26.09,4928.92
*69.14-11.9*+-83.211^+53.911^-^*52.72-74.29--68.34,72462.1
/+--89.12^+97.062^+-+2^+-0.23*28.45,-46155.17
*87.02+94.34/-81.85+46.38--72.55-57.06/-33.45-85.05+-12.68*-27.33,7742.3
