Formula,Result
56-46/-49*-702^-,-292295.6521739131
9-84-13*--542^+,-1815
-68-30^76--37-26/+,848
78-100-3684*-0^,2530
9822-66^94/+46-,109.5531914893617
-2349*-51*17^-2+,-485.0
60-4^-67-91*94*+,-140883.0
-79-57/26-70*--14+,-3585.3389830508477
-36-25+-63+-77-49-,44
-5-56-48*-2020*/+,-2672.0
-751^-39+212^-,-535
6823*-82*312^-,-11909
66-992^*-2439/-,-646865.6842105263
-5469*15-86**94-,-5110
-78-866^*-85+84+,623
62877/65*88/+,61.250501336898395
-37544^-11--16-,-26968
-97-22/-611^--39-,104.4090909090909
-272^23-82-39///,665.060975609756
-115316^*-94-65/-,-30900.276923076923
24-7862+37-44*-+,1522
-45-39+-512^-5+,2522
-624^-66+81+-43-,-3786
1826/-741+/71-,-71.00935550935552
491^-347^-95/-,48.473684210526315
88-9^-38-18/-37/-,7744.057057057057
704^-472*+-55-,2746
181^-4671*+90-,-72.64788732394366
-20-96+-28-36/-28//,-116.02777777777777
-8861-38/86/-75/-,-88.00024887800897
65-71*27-71-27/-,-2725
44-25/852^^34-,-7260.76
39-16-28+-37-16+,115
1336/-40+-97-9*-,-30.638888888888886
65-73/63--25-4+-,-163.8904109589041
-78-90/-62382^/+,-6084.042936288089
-1117661/8-*/,-0.011156186612576065
-8617-57^--89--88+,-102
-112^-65+-53+-56+,-255
-88-46+5664-53^*+,-54894
-632-64/13*29/^,-6.224137931034483
-5362*-431/--32+,631
-76-756817/44+*-,2999.0
90-2298*-81-36-*,-2064
30141^*-72-41/+,417.3333333333333
-3232-31/3725/--,-30.47225806451613
-766-55*--5354*-,5693
-9592^-9691*+,9016
65-73/67-98-14/^+,21.987637821583697
4522^-28--76-,117
-7-19--81--3662/+,34.41935483870968
8460*611/--4+,72.36363636363636
80-69*-6087*+-88-,-288
70-79*1867-61*-/,-0.4092570036540804
1910+57-12-45^-,-190
601^36+58-19*+,-1006
65-13-93-24+--49+,32.875
-652559865*//+,155.33898305084745
7543*-25/7945/+,-125.56521739130434
029-67*90*-9+/,-0.0
-12-46-11^-6096^-+,1472
472950-89-/87/,-0.025725232621784347
752^-19-29/+-67+,5617.206896551724
16-442^+-33-100*-,-5312
1113+338--48/+,21.625
-76-100972*91-/+,61.989268083279676
-761^-88-73//25-,-99.66666666666667
85-5867/62/-21/+,85.00066487837312
4220*68/43-38+,41.352941176470594
-98-41^/-3552*-,1844.5
312^42--9-81/-,-403.1111111111111
-4696-19*-3224/^,-39.614035087719294
-11-9^-629759*++,-121.01480066841728
-5710/5373*+35+,3798.25
22-72/-55281^/^,0.6001984126984127
-39769*-9*-49+/,0.00011214114832535885
