Formula,Result
-622^-84--47-19/+-291/-5*-26*+-56-741^*+-99-52*-98*+,-504416.38
17581^+66252^5-302**+1-22/--5-76+402^-*-,-218454.0
-1422/449-26/-74^35+*-341^/--525429--281^+-84+/-,2.88
5999-39*+-362^-74-6-4*14/-46/--731^-24+-35--82-,-2366.04
28-19+-98+40-56-4526/*5777-82*+*+-7926/-341^55++,606286.73
74-521^*-100+141^-35-70-1^-65+56+-44-61^/-82+,-3731.33
9610+92-71*-7192^-1766*-39*-90*76615*3*-/+/++,-6426.0
-68-86/91-52*-57/-639-*57-97+655-151^-88++3-/+,-46.43
76973/+-6962/3/97/84*+-67+1--26722^/--42--20+,-38.37
4948--5-100951^-93--53+-28-70-2^/+-251^--35+14+,24.0
63-951^+-6844*+801^-93-562^/+222^-4-3546+-+,-2697.03
4745-71*+62-16*1624^-49782^/+-222^^-23-+-792^-,2592.01
-1464/-122^+14--7853*--98-662^/--55--24-77/20/0*-,4030.76
3941/-16+-252^+58-79-724-21/-77/-13-50/-47*+81+-*+,-10139.03
87-14-31*+-72/-53-100-94/29-99-91--33-2^+-100-22-93*/-/+,579.0
-18-302^+-74+84-1-512^/--45--1124/-83/+151^--91+,-1050.99
-61-14-90/-51*942^/+49581^*--57--64-32+-50+-84+99-,-2896.0
-78-2461*-89/-23*44-100^+7657/-63/-842^*-96-15-70*-,-1855.6
9186--5416-172^*+-460/-491+*-82-+66-4-9*+-1+-,4700.73
-42-682^/-4/-25+-32-25*-87*-62--24-92^/+6381/46*-,69481.53
-5122*-53-87*--131^--21-60-662^--2072*-56/-481^*-/+,-5720.0
-3597/-752^/-541^-372^+-632^+-74-87*+-93--50+-89--,-1178.0
-1857-7*--751^-42--16+-33-282^-691^--40--5491^-+,4466
672^-83-3/--80-92/-71-23-29--50-37^/7--97*-51-7/+/*+,4462.85
-671^89232^*-94-1^+-18+26-11-362^*+-60-92*+-29-,-308120
855*52/-38/-91-23/--2-58-23/-5924/-791^*+36-100*+-+,3351.01
-3535-13+908*95-19/961^--3588/35/+-6+31+/--39-,35.48
-30-17-801^-32-587/++-19-84-362^-781^+52-16/+*+,-24509.31
-61-96*49*712^+-12+02^+-9184-45/4339432^**-/-,291973.0
4239+-65+-94+5473/*-96--17-10-221^/12-50/-6083*-*+,86348.45
-30-87-27+22-49++55+-74--5--55-66-901^*--792^+60+,-1323
-3-6723*-851^/-7232-991^19-411^--2--15/--+,-22.33
1-13-87-86-57/--635926-9614*-98--602^-87-94*+-*+,-744290.49
131^88+-84272^/--69-25+63-96---251^--3199*-95+-,-2808.88
9352-54-8*-97--51+89+80-681^*+902^--56-20-43+,-13587
45-98/-89-39-74*-73*-82/-90-611^66-61-*-51/50/+/+,2656.31
-8727*19*48-6266*/-31+-782^+4-111^/+-5016*-85+++,-47491.36
-65-6--222^+56--1138*85*-862^+-76-92*-82/+29-17-,42189.0
-3-31*75-942^/+1764*79/--36-682^/+16-672^+96-,4323.23
-63-39-164^*131^+-84-7697*-1^+-232^+-42-91/--27+,-556.45
68-5753*+-30+7-536/+*-11-3336/-60/+-26+-8498*66--,249408.82
90-51-51+44-18/3644-13*10*65/-38*9348*39*-33/-*--,209762.28
2-38-67*+-20-70+-4-25/-47*+17625+83*12-41-93/*+/-,2686.67
-92^38-54-100^*-611^+90+-73-82-24-961^+-5193++/-,2122.91
