Formula,Result
+ 3.43 / 0.27 - 9.05 * 1.18 * 3.22 / 2.48 - 8.93 / 7.06 - 9.05 + 9.09 + + - 6.81 6.98 + 6.19 - 7.34,-29.49
- 6.05 * 5.13 - 2.98 * 6.11 + 2.03 * 3.09 + 4.6 / 7.51 + 9.53 * 4.94 - 0.9 + 4.66 + 6.09 0.67 + 1.66,-15.27
/ 7.82 - 5.48 - 4.82 - 7.1 - 3.38 * 0.45 - 9.87 * 1.37 * 3.43 - 6.81 - 5.73 + 3.68 6.93 * 2.13 + 9.18,-169.77
* 8.05 - 7.59 / 7.58 - 3.88 * 3.15 - 7.12 - 3.88 + 7.36 * 9.05 - 9.52 - 0.78 9.39 / * 1.06 8.41 * 2.78,36.38
+ 2.44 / 0.36 / 5.51 / 9.8 / 2.01 * 1.85 5.55 / / 9.17 - 5.93 - 1.11 * 1.72 3.85 - + 3.95 / 0.58 0.07,12.53
+ 2.99 / + * 8.68 * 9.62 + 7.15 + 3.46 - 9.61 8.56 * / 9.95 + 5.85 8.54 * - 8.04 4.18 / 2.01 - 8.98,255.16
/ 3.81 * 3.59 * 9.39 * 6.76 / 2.82 - 7.93 * 4.9 + + 1.02 * - 7.08 * 1.46 / 2.12 * 4.16 / - 0.6,-371.0
- + - 6.51 - 3.92 + 5.79 - 7.23 3.07 * + 0.68 / 7.07 + 7.4 + 5.11 * 1.21 1.21 / - 8.11 + 2.66 9.32,7.58
- 4.03 / + / 6.78 * 2.63 * 6.05 - * - 3.64 / 4.93 - 6.63 * 9.48 * 8.38 4.19 / 0.69 / 7.65 + 1.67,2.83
* 2.51 / 3.74 * 7.12 + 3.17 + 9.58 + 9.76 + 4.66 + 9.45 * 9.68 - 1.63 + 9.67 5.32 + 9.99 / * * 8.07,34.08
- 7.88 * 7.39 * 6.48 + 8.33 / 8.41 / / / 9.19 2.86 * + 5.21 - 0.94 / 9.79 - 1.45 6.67 + 7.3 / 2.74,-2037.38
- 4.78 + 4.52 + 9.56 * 1.26 - 6.36 * 3.27 + 6.1 / 4.65 * 5.34 / / 7.69 + - 4.14 * + 2.77 + 7.51,0.18
- 6.19 + 0.65 / 9.47 * 9.26 / 0.27 + 7.71 * * - 0.45 + 3.63 + 3.67 - 6.74 * 9.54 * 5.61 1.31 + 2.33,-54.09
* 4.65 * 1.82 / 0.61 / 5.51 * 2.45 / 9.39 - 6.92 * * + 1.68 0.6 / - + 0.28 * 1.98 * 8.35 - 9.7,-15.17
/ 8.07 + 7.85 * 2.28 + 6.49 + 4.01 + 6.16 - 8.78 - 6.27 9.9 / * 6.81 / 7.91 * 5.78 + 9.8 / 2.08 1.73,-53.22
- 5.77 - 4.75 * 5.7 / 1.05 - 6.99 * 7.08 1.23 / / 8.44 * 3.59 + 2.82 - 9.22 + 4.8 / 5.41 3.07 - 9.61,-0.05
