Formula,Result
- 4.54 + 7.02 - 6.41 / / / 1.76 + 6.36 / 0.47 - 0.82 + 1.09 3.57,6.86
/ 6.17 * / - 7.85 - - * / 8.33 + 9.93 / 7.49 + 5.87 / 4.82,0.03
/ 4.52 / 2.94 * 6.85 / 6.84 + 6.04 - 3.76 + 9.42 - 9.46 + 9.6 1.27,-3.4
/ 3.83 / 3.94 1.18 - * 7.08 - 7.39 / 0.27 0.18 * - 4.64 4.18 + 1.05,-6.54
- 1.4 / 2.6 + 0.67 + 6.14 0.93 - 8.76 7.85 * 8.38 * 4.92 * + 2.27,-61.1
* 6.02 * 1.72 * 2.84 - 4.57 / 1.02 + 2.54 * 10.0 / 7.44 0.66 / 6.11,1.54
/ 9.68 - 7.34 + 5.95 - 4.27 / 3.73 + 8.38 0.32 + + - * 0.98 2.1,-19.57
- 9.4 - 0.22 - 5.57 * 9.93 + 8.87 + 3.55 9.16 / 9.03 / 1.95 - /,93.04
- 7.68 6.46 / - 0.54 / 6.33 * 3.82 4.61 - + 9.99 - 5.27 0.91 - *,-17.31
+ 1.27 + 3.62 / 3.48 * 8.67 4.57 / - 2.68 + 4.01 * 9.9 6.71 + -,62.1
+ 5.41 * 6.96 * 7.42 - 3.72 / 0.54 / 1.57 / 7.01 + 8.52 - 0.14 3.57,-18.67
+ 3.78 - 8.47 + 2.9 * 4.17 - 3.72 * + + - * 6.05 6.49 * 5.94,-1648.04
+ 6.21 + 9.44 + 4.18 / / - 9.5 * 5.63 + 6.99 2.58 * - 4.53 6.78,-176.49
* 0.69 2.6 + * + - 1.55 / 6.43 - 6.23 - 1.19 - 3.19 + 4.54 1.83,1.23
/ 7.26 + 0.82 + 9.54 * 9.63 + 5.34 4.3 / - 5.2 - 7.79 * 9.66 3.29,35.45
+ 2.77 + 9.49 - / + 1.44 * 1.14 - 2.68 - 5.91 * 8.31 4.17 / 0.69,13.63
+ 4.62 - 8.79 - 6.95 / 1.06 / 3.43 - 5.69 - 5.73 * 8.78 * 6.29 4.75,-261.65
+ - - 8.9 6.15 - - 1.6 + 5.12 / 4.66 * 5.5 / 1.87 4.16 * -,-10.93
- 0.63 - 0.7 / 7.53 + 4.42 5.66 / + 4.95 - 8.05 8.21 9.9 / - 9.73,-8.59
- 5.69 * 7.84 * 4.78 * 7.5 / 4.89 + 9.56 * * 6.14 / - 4.8 7.42,-7.73
+ 3.8 + 1.48 1.15 - - 1.77 / 6.68 - 5.24 / 3.48 / 9.48 5.71 / 9.29,8.32
- 5.35 + 3.88 * 3.95 * 7.19 * 6.71 * 7.52 8.25 * 2.58 - 2.71 / 3.86,3.17
- 0.31 / 2.93 + 1.06 / 5.64 - 6.48 + 0.17 * 5.56 / - 1.79 - 4.58,45.83
/ 1.05 * 4.21 - - / 1.05 * 5.82 4.82 - 2.65 - 5.86 3.25 / + 9.56,-7.72
- 3.42 - 2.07 - 3.91 + 4.27 - 8.73 - 7.68 + 8.25 / 3.88 - 8.14 0.59,-6.88
+ 0.91 * 4.93 / 2.58 + 5.44 6.39 * - 0.57 + 6.05 * 4.11 - * 9.45,162.99
+ 5.61 * * * 3.21 - 4.41 - 2.03 + 1.45 + 5.95 + 3.16 / 0.18 4.59,70.31
/ 9.58 / 2.73 / 3.65 * 1.62 6.4 / - 8.0 + 5.02 / 6.88 2.16 / +,42.15
* 5.89 + 0.95 / 3.16 - 8.72 + 1.24 * 4.05 7.24 / 6.08 - 1.13 / 4.05,0.71
* 4.31 / 9.94 - 1.04 + 8.83 4.12 + 5.18 6.95 * + 6.0 / 8.66 * 2.29,8.89
/ 3.55 + 3.48 * 2.02 - 3.44 - + - 1.97 / 7.47 8.68 / 1.43 / 0.94,-42.34
* 1.86 - 8.8 / 1.27 + 8.48 * 8.39 + 2.73 / 6.02 4.69 * 3.62 + 2.06,137.77
- 5.24 + 7.81 / 2.12 * 8.46 / 2.34 / 3.1 5.49 * * + 3.0 / 2.07,-2.57
+ 5.67 / 7.7 5.41 - / 7.22 / 0.24 - 7.7 * - 1.1 * 3.69 * 8.27,-17.57
* 0.28 / 4.03 * 3.29 - 0.31 - 4.11 * 9.52 4.78 + 2.87 + 4.61 * 5.99,-82.25
- 0.91 - 9.34 - 3.2 / 4.52 3.9 + - 6.61 - 1.86 9.1 / 7.53 / 7.07,-24.08
/ 2.45 * 1.13 + 5.28 - 6.44 * 3.31 - 7.87 9.19 / + - 5.89 + 1.49,24.94
* 2.97 / 0.11 + 0.21 / 3.5 - * * 6.34 + 6.24 / 4.11 7.1 / 6.77,-0.0
+ 4.08 * 1.44 + 7.96 - 3.69 - 3.21 / 7.33 / + 5.91 + 9.47 + -,9.52
- 8.91 * 8.19 + - * 4.33 7.41 / * - * 4.17 0.41 - 8.27 / *,9.02
- 2.69 + 7.06 / 1.54 - 9.19 / 4.13 / 6.24 + + 1.27 + 5.65 / 9.34,-4.35
/ 9.89 - 2.05 / 6.1 + 2.83 - 6.61 + 1.88 / 9.02 6.02 - 2.52 + 1.16,0.8
- 3.24 / 3.66 5.14 / - 8.01 + 3.05 - 7.45 * 9.18 - 7.83 * 6.26 8.18,-126.7
* 6.75 - 5.94 * 3.51 * 9.97 / 7.3 / 9.18 7.32 + 8.96 * 4.02 / 8.49,40.99
/ 1.48 - 0.28 - 7.84 + 3.99 - / - 7.56 * 5.76 + 9.29 8.33 - 6.72,-14.2
/ + * 4.22 - 2.72 + 6.31 * 9.78 + 4.83 * 2.6 * 1.92 8.14 - 6.61,-74.7
+ 2.35 5.63 * + 4.85 - 4.5 + - * 2.9 * 2.02 / 1.91 / 9.67 /,37.39
* 3.88 - 1.52 * 0.87 + 7.44 * 5.98 * 6.8 + 7.34 + + - 7.73 5.38,307.81
/ 7.76 * * - 1.06 1.91 / - 7.86 / 5.63 * 7.96 * 7.08 8.2 * 5.15,-2355.78
+ 3.72 * 8.42 + 7.39 0.14 - + / + 5.27 / 5.99 * 3.88 9.0 - 4.28,-18.2
- 8.62 * 2.75 / 6.25 * 2.83 + 4.82 * - 9.79 + 0.49 + 8.98 / 1.78,8.31
+ 6.15 + 4.04 - 6.93 + 5.1 - 6.37 - 4.16 - 4.9 6.02 * 7.51 + 7.17,-32.85
- 6.8 / - + 5.23 / 0.61 / 7.5 + 5.15 - 5.9 5.7 + 0.29 - 8.94,-5.16
/ 5.85 / 1.37 * 6.55 - 0.79 8.92 / 3.7 / * / 9.54 + 2.66 / 5.96,0.1
* 9.49 * 7.42 / 1.62 7.01 + + 2.91 * 9.53 - 8.29 / * + * 4.25,10.2
- 9.26 + 8.12 + 4.16 / 5.82 9.56 + * 9.78 + / 9.37 / 8.54 - 0.15,-85.71
* 9.85 + 1.97 + 4.01 / 5.13 - / - 3.08 + 5.41 + 0.49 8.12 / *,24.23
* 8.45 + 1.19 / 9.4 / 2.55 * 8.05 * 3.86 5.7 / * 3.57 * 6.23 +,9.23
- 8.78 + 0.69 - 6.99 + 4.35 / 0.67 * 2.96 9.79 - 7.19 * 3.92 / 9.95,8.71
/ 4.53 + 9.05 * 9.02 / 1.82 + 6.63 / 4.89 * 1.53 3.37 * 6.13 * 7.05,248.88
* 0.79 + 6.31 / 9.68 / 6.92 / 1.13 - 9.19 9.98 * + * / 6.79 3.38,-0.63
* 5.5 + 4.23 + 4.92 - 7.91 - 1.19 / 3.43 + 9.33 + 0.28 7.72 - 6.51,14.5
- 5.35 * 9.8 / 7.0 - 7.84 8.75 + / 2.87 * 6.71 - 1.31 6.51 + /,-9.3
- 4.37 / 1.65 * 4.63 8.86 * + 2.51 * 9.56 * 0.62 0.51 / * 9.04 1.87,-0.11
+ 6.46 + 1.93 - 5.73 + / - 2.48 / 7.29 + 9.89 * / / 3.12 7.11,2.63
/ * 7.69 * + 3.87 + 8.47 - 8.8 + 3.69 - 9.47 6.66 / 5.04 + 0.8,23.41
- 7.6 / 6.23 * 5.09 * + + / * 8.45 5.3 / - 7.14 + - 2.13,-41.44
* 8.82 + 7.61 - 0.91 + 6.4 * 4.18 - 6.2 * 0.98 4.49 - 1.25 / 5.26,66.62
/ 9.97 / 6.67 + 5.04 * 1.67 - / / 3.28 6.08 * 4.03 / 0.15 / 0.34,8.97
/ 9.14 / 9.49 - 5.33 - 2.76 0.17 * * 1.28 - 6.29 * * - 6.77 3.14,-40.05
* 9.67 + / / 0.39 * 5.35 * 3.15 * 7.39 6.0 / 6.67 / 9.68 / 6.28,0.5
* 3.51 / 2.27 * 2.01 * 6.27 + / + 7.16 / 4.71 * - * 0.48 4.68,171.66
+ 6.01 / 8.76 + 4.19 + 0.81 / 1.98 6.83 + - 8.53 - 0.17 / 0.44 6.77,17.5
- 9.92 + 1.64 + 0.62 + 4.77 / 6.34 / 1.4 + 0.45 - + 7.66 + 9.97,45.68
- 2.04 - + + 6.24 / 6.67 / 9.4 - / / 1.44 + 8.28 7.11 - 8.37,-11.08
