Formula,Result
7338-58+5049/21*36922023*6939/-26+2710*+/+*+,867.0423981933417
8672/65/9688+80+7781*92-+9+29+7889/+36-*+,1250039341.3707867
9949+509*+11-96101/82*+69+87+97-7692/4*--,-384.695652173913
416867/-85-3234*-375330*+23+2659*679878*/*-+,666.0697307115216
7995/59*89*55+2337/+45-358384/-80+2778/-/-,4376.943921790955
27553*17-92/97/1467/*40*+536+532+-9152*-+,-4696.780621767897
9925/9799*-875*-5433*62*+94+849243*2+*3*-,-896437.6266666667
6359*7485**29*84+2191*61/+12+3628*-7268/+33-,23379046.386692382
52699*26*+28+5015*78*-593198-2019*-79+/+56+,-42218.16032608696
5499*40-1157/69/3*+9692*84*17/+1884101//-+,42789.49074348275
1885-9728/8*34/-421254*-66-5319/-9453/98/++,-742.586501929471
4997814379*-*-7227++86+32+885/16*378759/+/-,321853.6275269932
776/83/10*6634/72*2666/92*1315*79/5712*-*/+,1.542194818871097
3055*2128++6139/+42-88-51+308*31*38/31/-62-,1553.2483130904184
7364*4438+16-2250*-9678*-+51-15+194314*+48*-,-33615
40285623*87//11-74-/18*62*21*22/20/14-1480/-,-11.621919766871835
4278/85-9622/99/*9712*+3116255/+82-*+513/+,872.8105107014197
960*74-7061*24/+122016*13*99*77/-765*3/--,5828.821428571428
1747/42*9044/59*58/-878*+34-78+7-2+61+5-,675.015652041128
5077/2*96+2-44-2761+9957/--4665*15*+1+15-,44801.03554340397
642646*54//23-768/21*60*+3-335+39/-16+21-,11940.915273132665
67435*30*76*11/-2691*9940*577527/16/61*+//+,-28910.798334034793
5682/891/1736*-52*+7057*6521-/-64+7168/92*-,-132.11540718965398
522779/95/-1+582/8474*+6829-95++-93-22+1+,-63.39211234495532
8431+654876+2614/57/43/+*68/33*24*-61+83-+,-93836.86774734373
985981486*30/+*70*28+24+194294/92/9984*//+-,-79587920.33333333
289147*392436/+*+9684*+9356*-8427/54/11*-70/,172467.69958847735
8955/1846-61+*34123822-*5/20*9522*-6449*---,-3688.657707509881
3069*189440*26*1443/11*+1035*-4824-1510*--*-,-1753642.4651162792
2499+860*73*-783537/61+85545/38/-3724/--/+,-34915.59509520534
563728438*+6+5193*81*-53-4547*-+845979+/-/,-0.00014502939885539375
185/48+40+21-20+62111716*+/-37-579512//-34+,80.173851590106
3039/55*44*33*9789/4429*54**81/2116850**/-+,62357.89414044096
3558+8820*39754/6/-57+294+48+6641*11*++--,28272.875
2443+51+3381*-2621*-14-827097/32-29+61-86+*-,-4978.175257731959
171097*71*7172+7069/+29+52-/+56+1117485*+/+,524.4071440819605
8846*217/6635*46534441+42-/70/67+8135*-*-*-,6049.075747508305
589+5451/+640/44/8583*+1143-8231*+27-23+--,775.0554144385026
466597+99+2612*5*73*+60-48-40/7951-83-21-/+,8.489144736842107
8678522352/56/+21-+22-+2932/78*42*82/+28+30-,165.21369103457516
809772*76*25*83/-26+16-7-369*-6257+99+-73+,-170778.77108433735
14183870-98+79*+13*75*58/+99+24-755361+95+/-,88088.36528625639
676998+55-484/33*-75+/5188**569674/29+77+/+,4488.201340195003
8667/55-7770/5364/23169688*3+70+/-2934/--*+,-73.59150174644304
7562/8239/1/+290/77*+6015/-84256/88/79//-,-140151.29664736695
8151+99-11+292/+6976*-8094-33+4533842/-*-+,-6574.406832298137
435764*181-50+17*+41*44/38*27*-121660*47-+-,-3531055.679144385
13363264*+82+633251+/+649636*-60169169+-*-+-,-7367.759036144578
348293/26*-9843*27*58/-8740*-1856/-4379*15*-,-56385.93581492664
586187/-8961/62/-3053*949*453223*+2319/+**-,-1096956340.6194186
8234*82*66/86-3394*-20963681-74/36*9337/+/+-,274.0009139375474
7735+696479+9189*-1820*44/45*7*25*93*5*-++,-82838456.81818183
4020+14-6664/+9811*-6165*+2039*-6849*1*+33+,5519.03125
897996/+9176/-21+2014*+212/58*20*+187/24/-,12569.518405388471
9592/80*1618*60/+80+33-6/2426/+14+7871*88*+,487381.32452619844
46665141/5813/87*-1522202792/8+56+89-/+*+*-,4603.464116238511
4361/98/79-7917*-287186*40/31/71/+209565+*-+,-4206.375065023365
521335/-1090/88/14*51*58*2699*84-54+22-*-66+,-131752.11601731603
7358134*89/54-887/-/-4785*2/15/87*-3551*-,-13296.416043542275
7150/5539/+7544/-79+98-3611/62*24/-1757/+52+,23.74453073242547
4415658/+6247/-*46+7261*+6+55-356837+*60*-,-215948.41452677918
4119*38/68*8270*/2421/+6480/7866*4510/+*-/,-0.00015351273252663897
