Formula,Result
296 -129 - 275 / 626 * 465 /,-186.93
-907 -932 -452 * + 6 + 718 -,419645
-185 -590 + 268 / -583 / -304 -,262.0
60 -974 / 306 + 911 241 + /,-0.0
186 868 + -509 -196 - - 191 *,676
-274 760 - -160 68 * -988 / +,-1022.99
-827 -65 -382 215 / -439 - / -,-826.85
-950 -790 / 58 * -409 / 507 +,507.2
-970 -33 * 202 -458 / 12 / *,32010.0
-1000 380 / 737 + 908 -120 * +,-108225.63
435 303 - 22 951 / 277 * +,-36.94
712 -601 * 38 / -204 -929 * -,-172828.84
-577 -458 374 / -765 / + 644 +,67.0
-150 997 - 835 -116 / - -923 -,-216.8
-731 -690 495 / - 330 318 / -,-730.64
-972 352 * -10 / 639 + 189 -,34664.4
-45 -734 + 638 + -320 / -371 -,-90
-650 934 - 738 - 308 -606 * -,184326
-135 767 -762 / -885 -470 + - /,0.0
878 401 * 548 819 / 638 + -,351584.94
-224 151 -999 / + -816 314 / +,-226.64
784 631 949 917 / -337 / / -,153.0
-609 909 + 649 -551 / + 658 -,-356.58
-456 898 / 274 574 * -778 / -,201.65
-867 -482 - 417 * -883 - 314 -,-61943
150 115 / 382 -203 / -713 - +,976.12
-40 -483 / -526 973 * - 612 -,236614.04
-295 -891 + -479 -252 / -356 / +,-1862.68
-658 108 -963 / 54 * - 902 -,-1553.94
956 869 575 / 33 239 + / -,956.0
87 -388 535 * - 310 - -438 -,-101350
102 -140 + 961 - 867 -290 - -,-1876
-590 -517 / 313 + 874 * 840 +,280.35
711 -541 * 682 573 361 / / +,109711.67
571 378 * -703 / 654 - 158 -,214323
-980 982 / -159 - 38 -689 / *,159.08
-661 -296 841 / + 451 + -539 -,328.65
-78 332 / 405 * -972 -387 / -,-97.66
-302 -74 * 349 + 206 -221 * +,53434
149 122 -780 / 500 -874 * / -,149.0
-93 305 272 * -68 / -770 * /,-0.0
928 -418 832 378 - + / 23 *,-51.33
795 -474 629 / 883 / - -654 -,476.0
-295 843 / 702 / -902 * 865 /,0.0
-138 -661 -11 + + 455 336 - +,7134.35
-205 -786 831 / - -846 558 + +,-493.95
138 -344 598 * -82 / -976 * /,-0.0
-20 140 / 717 / -180 / -265 *,545.72
679 -72 * -327 380 608 - + +,181825
-223 165 * 894 -600 * - 427 -,-37220.51
-956 -842 - -107 741 * - 506 +,80110
-569 -154 424 / -899 * 108 / +,-565.98
-57 255 / -550 - 196 + 905 -,-159.22
92 -5 -195 * - -869 -351 + -,56219
-387 845 / -775 / 894 + -68 +,-962.0
762 -349 - 59 - -810 -908 * -,-735306
-710 -223 + 508 + -982 -176 * +,-1290
-328 101 179 -374 + -179 + * -,37446
-968 -911 / 452 -930 * -435 / -,967.41
913 -12 -64 + 858 + -442 + -,573
750 16 347 + 690 749 - + +,344
4 -508 708 / -641 66 + / +,4.0
306 -117 + 768 17 457 - * /,0.11
32 712 869 * 617 / - -252 -,1180.71
786 -455 + -599 -851 / -609 * -,520.64
-567 -867 * 299 - -978 - 924 -,730731.21
680 -172 + -845 - 656 / -24 /,-0.09
250 795 312 * -580 / -524 / /,247.91
-620 -880 -518 / 675 - 72 + *,372806.72
-362 -522 -332 * -98 -189 * / -,-365.43
698 575 / 893 * -199 + -189 +,-578.02
150 -45 328 162 -578 / - / +,150.0
807 -295 -923 * - -832 -303 * +,-19382
837 -882 867 -799 + -619 - - +,-1439
-907 -399 * -199 236 532 - * +,279152
-455 293 646 - -409 -804 / - *,-243213.99
569 150 * -759 495 - -194 + +,71002
566 -633 / -249 * -692 * -968 /,300.75
189 275 - 0 539 * -436 / +,-86.0
-962 787 * 763 -303 -514 / - +,-756331.59
816 -181 884 / 876 481 * - +,-467.0
-25 -645 * 418 896 / 95 / -,-3025.0
244 -921 + 212 + 542 - -438 -,-569
105 486 / 617 - -40 * 94 /,262.46
510 459 / -1000 + -460 -413 * +,310421.11
130 444 -308 / 83 / - -760 +,-629.99
-98 786 - -764 818 * / -960 +,547418
957 908 / -372 + -187 -536 * *,-42819.95
521 -665 716 / - -245 / 143 +,476559
-969 -606 + 256 + -327 -823 * +,-270440
-477 -780 + 977 423 + -410 * /,-2203.97
-31 -628 - 173 102 / -462 / +,597.0
736 881 29 * * 577 - -514 -,-24634
-291 608 + -382 -399 + -178 - +,1026
402 670 / -414 - -301 287 / +,-1.05
-976 725 / 322 - -370 934 - +,73.26
-425 906 + 543 - -590 - 245 +,786
-453 497 / 328 + -753 -600 / -,325.83
896 -562 / -423 -750 * + 283 /,317531.41
-137 -865 * -688 - -912 - 67 +,2169.16
