Formula,Result
525-274/385/478*-250+-11-163-218*-258/--448--310994-3/-10--724-++,161.56
149-235516--217-237-635/+-996-96/45/--774+-375-126*-55-/271+911+,-46214.4
-869961--427/304-746+215565/-647765+733181398744-414+-/--/-,-1830.0
6-3-173+-418-486-694820*-826-633*-733*834*-775*-993-697**-37/-/-+,-236.0
694-577-210+-654-723-901/*-99+-542-605-759--269545-695--589+35/-,163.14
-839-849/762290*-841-62*-*414+213116/+-6+18162+--48361-479/+*,167499.29
78503/-156-936/-724*-517227/-576*503/-186-94*19022755*-73+/+*/-,0.16
-291-806628-818--717-/223/-138477--558-721+-58--123319*-137*386/+,-15215.08
-190675/621+-407+190--320+-844+-635+-809932-29//-391-392*955/+-324-,-1636.95
611-818/-468-929--469--904-704-891+-598-886-305-75*++863592/++661+++,829.19
482287/524/770-659/+-262296247/-378*+-250*-983/--311+-453-141523+*-,172685.26
-478723-987*+-29+-531-381-241*-423/-88+566-486-508/+*+-342432967*--,166688.08
150675/648--584-315/-25*-563/-374990*136/--341+751-138-971/-1/+,-2119.22
-903-111860/991*+518-904-6-308/991/144*-811*-276-915*762919+/-,-2305.04
-392-142601-470*-391*-395-+154127/542507*519*404/-725*-991-20*/+-,294851.8
573909*-840610*--249400-364*562--320+365--846-836*-904++406-92-+,179554
403-66680843-827/+938866880--245-784723+-761-822/-469/+590+/--*+,18391.71
27-511--553-520/+-986-117/-934*234/-638*364/-174*--997+755-620*709+,9576.72
840550*792911*185-994-818*-330*-778/+/-438/--300+521-526/+181-109--,463361.83
407654910//-794-861/--762+360559/-747/-483--178-520*-707-122-545-,-94613.61
-995-743/411/-733436/532/-388*/835*372*-342+971/253+-661661/+847-,-2526.25
-651772+-788*147*136109-36//-32+832-125-192*-192/-935/-671-367/+,97751.01
516940-641/50*-682-883+--873-433*+-609-913*--98255266+/-426+-754-,-176565.09
40-446*-809/-189-872*-306-316/452/-954/-914*--808404--545297*333/+-,-162635.46
-531-97-956**-822/889/848-302/883*-462/833/--842+125421/+300418**,-126174.33
413-962595/331*+19496/95354*76481/-*-853/-31790/654-168*+/-,-122.16
-21-872*312+616694-95+-507-284-780-400*-524-55/-6546*51+/-/+/+,18625.03
319-969*-718791*-324/-663+-646*-709-356/+-576372-+--838260*-747-520/-,215523.04
-397950-726658/195/313-93/--505-150/410/+287-319*863/--593-729*-+,430843.9
-760262214*--272420*-993-32/-877/+-264+2769*-103*--400-680-468*+-,322277.8
-276819-696735*-586/-397*-60+-233-754*-407+205463*-41/+467--979++,595882.85
939583*600-665-797/455*+-143-33+502-646*-379/-661*+-752+-593-228*-,-155114.52
-470754-191-535*--339138*+-215+898--784+-116--4164/7*+54+-498/,179731.52
-426-800+782-303/+-772-922-18-550-226/555*32/988+-599+355-57*-/++,465.41
858-705--393+-242-734/-669*-868/--245299202/39+/133482-83/-438+--,3617.75
299-429/375-30/693*-507969*+-577+909+-169-558/+632238*365*413/-,358412.18
491-214642/750/-160*-609/756917-512+*213*194/-818-*-51*701*--92/,847078.67
-928-963734*--263--151-925+866-741/-+452-391/+493274--79/-341*+578+,700464.73
-824851/293-829-989+-104+576-824/+-129275/-20--466-727-653/--74--,531.37
-316-314--268--522-407--619960538/-109-49*+/-41--321-+-746-70*-847+-,-52640.88
-943-155/153-788*94//-629-45/-886+762+903++-716--775-1900+-616+*+,526015.94
969728-328-844-901*-216*-139835-867*+847-968519/243970*+746+/-/-+,244.13
-951-331-206/-82/164395*-776+737-500*114*984481709-367*-760-*-/-,-65555.63
-750-917--147248/-634/166*953-772/799*+-764+-86636/+-824-303*-624/+,-235.96
-560-778-908-311-4-403/-295*854/+/--440912/860*+-257-345*-127+-714-,-86445.89
398557/509*-832-781*94/+277-244--9+-367+-816+-99133-109*706//+,6068.98
81671+566--903-753*-249/+-79771*-364-450/-220862+360921/+-488+*+,58239.36
298590*947616-276*+/694*64-763/468360/*-192*93/826/+-572-604*-,-537237.18
-934503-520+903-/-308/440-490/+723+-285+778-616*-689/-909+547/-659+,897.71
865-242-906-857574*-202/845/+104-531874-986/194-416--293*413-+*-+,-78321.78
681560-886*239/-38/786+-751/511*-394+-29792*-685886-696307/-*-,-580577.73
-509351-703504/+-155+-435499-823*-992/--263687/659/988/326*-841/-,-1865.38
-217131/-736/887*146*906-450/+829-223*--751440/780/220*-868*+973+,186255.85
-490879-31464*-7*-592-451--329--772-194+-497--857195/195389/*-+,-99548.31
208-190--229-866+-1+-941--471+-897--10019341-722/710*624207-+*+-,-69740.52
21146*120/319723/584/+-882+-840128--440875++-500+893--405897/+,1070.0
23-981452-990-74*-12/+-154+-304-837+349--46/-49/+-522708/839/+,-4495.66
-358-112-24-551+164-53--390-731-640*--408-303*-495*-590/867+-101/++-+,466524.95
545-945740*467198**412//984+-577+-260+855-245-48--82565/61/+/+,142.66
181692--327*-430424*-642*-322571/767*-226-846-639-795696*-473/-+/-/+,-992673.45
-188-713--929-464*+-939-372*735/-934-301+34--577+778-210/-723/518+-,429997.85
73772726*53*-566--23-875/-105+-204619372*+-3-269/-504*+-623/-/,0.0
757-354/-595-501/+140140*+898352/--641364*777/353/-961*-999/-933+-,20438.66
561365/-450--248+682--102295295--88+*-534/+-273--683-534-12536*++,210816.45
