Formula,Result
-450951/385*516*236183/6627922+/-453*+*,226090565.09385124
616-366-78+820--68--609444/37*+87--199-,369.25
-6446468--704+-646-746747*-563+-393--409+/+,660.998841149594
-614209*860-141*709/-124/+994-371--672-380+-,-3238.620728877565
-112462212*/-713+557744/702846/-459/301+/-,208939.1420878101
-430-392+483+678291-791-/-514149*711778//+,82498.59145563122
25-230/444400--455*+-598-339++-352-303/--732+,-21691.285235630163
290727*187-532-547897-221*+-883+664717/-,108644615.0739191
927-88409/51*--20-491+--293-654/317*--596+,-9620.046772541365
-88731/138+-808-192-248-143//743/-832/--121+,902.3862545937117
506283*-610*957+-967242*907122-/343/-351*+,-87349908.56992574
463-278-737/-138289/-650*+180+-199662*-994/+,464.7753714731332
-409990/2-749*--568+302441*557+-496-981-+,131097.58686868686
-183896-713*-642-56*-402/*-117/-398+*-203-298*-,-35522432137.69231
-150-795-806**946-638*--735676*511/+600-152*+,100673059.67123288
592-212798/-663/--275174*+862579/-45*--165+,-47947.76796689322
185645620*-746712*-985+-235-155-536*-949/+,-156636.45521601685
811563+285-59/--88--916--715+-399--4366*-,2066.8414374363247
-57868/219327*54-810941+/-951*-543/-853+*-,-29556256.69642733
837689702296-597/302-*-205-622-//-35-5*+-,-536.2375546798742
310-451*-272-304*-864-132289/-33+-47-584*-/-*,-21.973955192388544
-785904*-966974+-59-955/5/-732*-691/587//-,42195768995.07919
467607769461*+-462-/940*285-553--161*-691*-,17533714265.005672
733-25*9660/-508-294/-137253--256--31*-*+,-18058.23537414966
-698-918-552/627806/-14/318/+-249145/-507-+,-1201.6198979581927
762-179+386-611562*-849*--387841/-789/313/-,-291531121.00000185
840-589-260/73-862*362/361460*139/880/+/+,839.9868651382433
-199570-894-176+/-977714--210413-762-76/+-*+/,-0.22988049932154947
-564174+-470-626403682/65*765*+-626-445*/*-,147888932.9090909
283180-124*+6-977/--21733/+333715/-683/+,-22040.003886440645
701986+692-950-+-283--977--382-770/455+941-+,738.4961038961039
-596236438/--473-395*+-275478+508-94*+940-+,137282.54337899544
-749563-906*-707/--855+-466606/-550*910*98*+,37718171.26963263
830-155+709--665+-441-556748*+133+-248-564-+,415826
-55433/-256/634*390/927-511882-463+799//+,-926.579653167773
-965982301/-919*358-779563*717*779-*+-974+-,112576854866.18936
