Formula,Result
/-80.17*-39.35-20.14/-84.4-70.68,-19.3
/-15.3-16.93+78.24-92.89*-66.79,2.58
/84.4--75.22*27.0*-72.0-16.35,1959.23
+++-67.12*94.662.66/65.77,12131.71
+78.74//-7.5567.61*-2.37,-186.95
/-88.8-20.25/-61.82/99.89-26.61,-4.41
/-41.96--85.58/26.67+-82.64,83.95
*14.08+-67.9-29.1391.52*-6.45,8882.37
/51.49/69.83++71.77*-83.56,-5997.14
+56.72*86.43/64.36--21.5*,5557.69
*/+47.43+52.75/-92.8767.04,-2667.8
+93.59-4.73-*/31.94+,179.56
-17.6532.41-+-*+-88.03,932.33
+-35.85+-/-73.28-34.12+-96.61,-129.38
+-98.72/-81.7947.53++-83.67,-71.59
-27.18*-92.57/51.33--6.89-58.1,-604.36
+-24.09+-11.19/88.78*14.58-57.52,-348.1
*/+-12.81-18.05*46.42-40.5,3135.76
/-77.53/-86.48-40.81+-28.4516.81,11.62
/46.35-11.6+*+-28.9781.48,93.54
--11.13/92.59*31.79+71.95-,-224.81
-86.7-23.36/-23.11-78.81-+,-85.52
-53.05--79.04-51.13+--44.06,10.72
*-0.71*-*65.033.34+53.23,53.22
/29.41*/65.26/*-79.25-,0.36
/-5.02+-88.59-16.87*-7.02*,595.23
*89.8+40.39/-0.59+37.08-42.17,-39.96
/70.33--45.53*-3.93*/-44.15,1.65
/10.95*34.04+/+42.690.06,100.55
-96.86-23.29-56.58*52.964.97,-3419.92
+-99.69-81.87/31.9++-89.76,-88.43
--2.28-74.6+-63.07-48.54/,2957.36
-81.73*-54.149.35--3.43+,2651.1
+-/-8.0-+12.33/-64.03,71.89
-54.32+-97.43-/-8.3625.18,-5371.58
--23.49/---27.62*-49.06,-95.51
-33.74--63.5-73.87-58.88*-0.84,-0.61
+-29.64**+--76.48/43.87,0.63
/-92.26/-0.46--62.68*98.3298.45,-9541.72
+-+24.73/6.0/91.068.23,120.89
--89.32/9.13/-96.42*-73.56/,-89.43
-24.89+75.39/-53.22/-21.17-31.28,-156.17
/-13.26--59.27--63.72+12.432.78,84.32
--90.27*11.27-6.0-*85.15,-10.07
+41.17+84.18/-61.0420.12+-14.12,26.98
--88.57-70.64+-60.7342.45/-21.44,0.38
/59.73+-22.85+13.43-/74.11,38.24
/-24.14*-87.6/31.86-34.86-12.21,-0.0
-*--82.92+/-45.36-92.72,113.37
///14.02*-44.8522.77/-68.27,0.0
+-66.36+51.12-12.7820.07-*,32.57
*7.26*-52.43/89.28/-68.9-95.71,-33982.98
*-95.47+90.41/64.5660.89--19.52,-8652.02
*43.56*+--8.17-63.22--0.94,-25173.88
/44.63+-36.67+76.7368.12//,75.17
*-64.57-//--29.48--88.37,-2018.87
*-+2.35-11.1613.17*-66.93,801.82
-81.89+-18.2512.46-32.15*-87.54,-207.37
/19.39+36.76/-77.27*-36.96+,133.78
-77.6*58.58*-15.7272.11*-11.67,-5612.59
/-79.63-62.11*++-18.06-99.9,103.62
-*-98.0+-67.47/-2.92-98.41,17.99
*-45.37*-30.2563.32/+-62.214.04,14.04
/-41.46*78.48-32.28+11.47*72.45,-2777.69
*-24.12+72.54*-47.78-8.23-72.78,26869.57
-68.68*-42.08--61.4587.44-21.41,-53421.55
--45.83*-96.97+/+44.32*,4352.47
/-61.99/-97.8769.78/*70.6651.49,-0.9
*-3.45-10.07+-70.6114.15*16.37,-19.99
/-11.95/39.49-62.79/+-13.41,-5.13
+-57.56/+*-18.04/-95.22-69.01,-69.21
//-12.18+3.14-/90.69,-58.34
/87.58/19.35-*25.78-14.05,39.88
/49.65-50.4/-+-6.46-1.54,4.43
+5.42+---55.53+12.727.78,-154.13
/52.1--40.76/-10.65-81.08*-35.74,0.04
*+-27.38/63.4581.53+/,-1327.32
/-74.04/26.0775.75--52.84/30.17,28.54
-/-99.64//82.03*--65.67,-0.37
-54.23+90.29+22.5994.49+-52.84,57.1
*48.74/--9.87/4.93*32.85,947.32
+11.06*98.82--69.96++-96.12,-7046.25
--81.27*3.37+-41.57-55.6376.07,-72.88
/74.13-*/15.88--30.21,-34.11
+-54.27*-41.59*62.1655.28/54.95,-54.94
//*--2.67+-50.58/31.62,80.89
/-97.27+-61.72+*--97.34-6.79,-131.44
--17.54*79.12--5.3299.63-*,222.93
+-46.87--*86.27/39.7886.4,-3307.94
*-80.4*-4.46/**45.16-55.32,-5899.23
/9.2--41.61-+-14.5775.3,-51.12
+10.75*24.72+-73.56-48.64+-20.36,27.77
/6.36/13.78++*--67.88,-124.0
+-28.12+64.4262.39/--68.2565.98,-69.75
*-31.21--87.76/-98.22-23.2/-86.1,2759.33
-58.5658.73+9.62+50.15+72.28,131.88
*-26.24-/+/++-90.59,718.18
+-48.1/++-68.34-6.31*-14.56,60.07
*-31.05/-24.41/78.7810.34+*,35.22
/-13.92/-64.94++*-34.8-87.72,87.03
