Formula,Result
-8235-98-84/65*+47-1/+64--9+22-35/-8997*57*+-20-,-140.74862155388473
98-31-2*-421174/-52-96-71*65+-1959-92/-599*-+-/-*+,-2506.008268601143
-524619/--79-13-87*-69-73-70/24*+4050/50*-/+70-21-,-145.49065790798616
-25-57*-32*3-82/4-4365--6453/-*+41+-17-/-35/62-55+/,-0.4106792188731953
-93-74*-57/-7128*+-40-264-9-2/-25+/-99-66-82-47+/-*-,-2033.3967858200851
-248329*--6294*+-93-80*-66+3+-86--8147*+-95-15--44-,-7383
-36-32*61/39*73--89+6+-97+-70-136+52-5988-68*-/-*+,-1966.3100089921834
8120/-55/64/65/-19+-90+-4048/9075+-8039*+*-73/-97/-,-109.34777931663996
52-31/21-48*-272*-52+--62-14*--47+--17+94-23-69*99-+,47.322580645161224
-20-22*-54/-81+2351+29-57/--523267+*+-17-68*-52*+81-+,-65355.63937621832
57-19*-77--74-82/67227917**-90+*-25/+2+86--7149/-,1052.3201991040316
-50661**61+96688344-12+99-21*+88+/-88-5-30*--/-,-348.4032941176471
-412-13-971--78**-100/-7619+8-415682*/18/-84//-*-+,8778430684.140001
77795-86/-35+/58/58-38--61-60/--70-19-677/-46+*-/+,7.0002754855430345
264*12/-92*-5153*-97/84+-95-6082/-40*20/79/28*+,207.405720020922
-1487-15+/-4/76+71-79+-51-47-90/+-47-6588*-19/--54+,428.57902046783624
27-42/64/-20*-70/-70*-47-28*+7775*78/+97-75/-81/--2+,1332.223387317415
6-62--89+5534--1857/76/67*-43-46--2091-76/-34+--/+-,-41.8855184909967
-57-9-95-42/+-46-658/--85--5518--8--84-5/69*-25-+-,-1044.1583333333333
49-33--11*-6595/-82/-32/50/+15+61-37-2/-61-846*-/+,-948.0602475487711
-564695*--85-37/+27-26-85-15/53-74-*79/70*-78/72*+-,16797863.01881629
9778+786*--56-1*-64+-87--46-12/90/*-30-72-92-92/-,-372.9574074074074
83-36+-4062-9320-78/-8663-16*+2342*+91-59-8---/+*+,-2303.5798394290814
4995*4967-53+2591/+45+*-25+17+4551*8*-7343/-,294794.14847942756
4830-21*1/49/-92/+-4047*-1659/91/-54--100+75-20/-,1777.6824080897404
20-76+-31--16--23-1*-381/-9-4/2+-80+5723/-83---,240.69122383252818
-3177/58*-36+6599/48/--22-74*-79-84-14-20*-*90/+-13+,-27.485565495217394
4921/93*-68-5923*--91-4673-35*-/-26*--38-56-25-80*++-,71029.05699481865
-33-91-12-55/+-3+78-88*-18/59/66*-91+52-23*96/--50+,-318.51793785310736
-6690*-85*-92*-12--6+1597*-42/88/55/-43-2972*+/+,-46450793.92627892
-3929*-46-61*-76+68+85-66*31*-46*24/+-70+50--54+71+/,0.0034521497816366463
-1418/4-31/+75+9714/-6631*-46-9/29-0-74/-49/+*++,48957.688428059395
86-94--39+-74-10-90/-3726--97+5432*3532*-88/+17---/+,140.96131633244403
13-64-24*35/73*-31-6727--16*+12+51-69*+-58+-42-16*+/*,-14.816246486143097
-31-46-46-84*--33-39*48/3016*21*-18--99-20--10-/--78-,93.01074640445023
-2-55+80-15*-77/67/3+5489/-89--814/+31+-49-57-,-83.9236149981161
-1648/18*-44-48/+-1119-2315--49+80-84*96*-228//--++,234679.00757575757
9618-178*29*--27+3-30-30/-33-69---12-74*93/92*++,2458.6774193548385
11666/--8+-39+-8265*5/-27-20*31*7795/--355*-/+,38.786358710745965
423944/76*+91-96/+7575/9/+-48+-58/-94/2--95-76+,169.01233734307493
3325283*73-3620*3671-*54-73*37-51*-45*--32-**-/+,33.00046117905559
305/-43--7-98--25--1082-61+/-4643-83/7342*-10-+//-,-110.56247993376027
-32-67-66-22*73/-52*7/+-7-94/-5--43+-44--55-37-72*++,2456.691931356315
-64-1-90*+-48/-2170*+-98--17-34/27*+37-100/+-7856*+-78-,-5574.87
261225//25*89-74*+61*8-69--1281/-+0-8+-17+-29+,-319102.68518518517
-51-7662-42-76-4755-3315*-2/-65/-9547-18+30-*+/***,223866.25350018585
-52-46/-67/-58/8/1981/69*-7125*-65-73-8670/+-60+--,-1722.9322387698594
7959--52+5156*+34-30*84*--9082*-2944+16-23-37*/-*+,100135444
-30-619+62*-4--43-176316-58+71-55/85/+/-11-51++/+,-13.64628542582912
54-28*-78-8581--72-3541*-*+-9484+30+--100-22/--17+-92-,124214.45454545454
6991/58-28-54+-100-*--63*909/55*50/76*-22*-16*92*+,27072745.758241758
91-51-39*16-66/-16*--7956+67+-45/+-25-35-60/-3591*+,-28527.273232323234
-159-25/4312*1*51/-1-2--40-27*-58/-31-72+29+--,83.09833671399595
87-58/-26*-24/-30--668*+67-607/59/221968/33-/+*-,-308.21825393802544
-69-59-8/84*12*-904*6526*+7947/34*58/-67*40*-*-,21435619.888481293
-15-99--645987-/2+-51*--4374*-4033*-93+16-4347*-+,-3675.285714285714
5228-351*+-40+-97-68+0-99*-87--99+-9*-48-75-85--+,-3362
7-26--77--60+-100*-91/--65+61+76--15+35-13*-75--61-,469.1868131868132
-3972-2829*-9*-41--18-814394/85/-6+-69-80/*63-*/-,7156.0031810963255
40-99-10/35*-58-23/-+5052*79/40*39/+7-77-4-+61++,-27997.744725738397
96-65*-91-64/68*-30*-86/-46*--70-29--50*79*--71-14*45++,-159328.50290697673
73-91/24-44*93*-98+-75-1597/3833-93-9-42--31++*+,98382.66171972358
-7515/2657-/-18/-14*-45-8*-56*83*-43--121-21/*-11*+,2898217.9731182796
98-22*3/-9342/52-11-833*+/-0+2120/+19-24--7+,-767.6165703263554
64-29/97/47/76-84--1375+-53+-27-24*--50/-12-81*+*-41*-,1823679.9995159253
435526/56*40*13*648/-9*/--3561/-79-62*50+--60-,5562.117537070053
-107545/-89-83+-34--24-43*21/-487*-9834-42+31--**,11165.873015873018
-35-30/46/7473/10*-5279/-97*85*8-69-48*+/-54-73-,16.52304126072221
495/34*-25*-19/-97/10-71/--46-10/+41--51+-37-42*-88/+,-114.13766497794359
39-26+88+0-57*-132656*-56//-11/--10-51/-24*+-90-92-,801.2486631016043
-42760*79*-17/45*+697*866*--6176/-64*+-48-68/-+,-337573.9256965944
81-82*5372+73---91--8-75*--54-95/+97-81--60+85-98+++,-7097.4315789473685
-999419/15*-56/+-580-66/55+--53-71*32*-86/--80--24+,-1543.860858541703
52-84/70*-92+896084/+-50---7346*25/-70*-6268+*-40+,-56676.73333333333
-8678+-31+77-23*-84+-59-38+411*+-44---48--52-29*+86+,-147343
-25-95-34/-7432/69/--2927/+-3-81-31/+41+-35/64*--56-,109.88576885016123
9794+41-65/-17-74+963*-3*-92-+-86-6*36/-23-92+/-*-,-1069.2290746934225
8312/6448/-79/+-35-15/-41/-864/*-2344/74-15-4/++,-76.4885483757435
-8-9-83/-64--2257/63/-6-86*-94--6+-41+66-5832-/+,231.16435935890595
8932-82/-31-13/758540*91/+/+11-46*-65-46+-9045/-,576.8834289499268
-7377*-36*-4949**1--97/-74/-97-35-54*+/-71*51-49--77+,-921.5268206580901
6928/61-4465-7-784492-*-21-/6610-68-25*+*+*--,170.90517928286852
34-42/-25/74/83-4969-92-18+-63-73/-36/14/+9127+++*,0.003937474656652737
33-30/37-8079/3-12/22**44/+-85--19+*-24/-44*-37+62+,79.19472573839663
6228*79-57/44-1938*92*-88-74-27-23/42*-+43-41-//,-82967739.3946065
9768-69*+47+46+-3074*+69+-36-67-4313-64/+-46+-50-*+,-5652.3125
-63-16--11+2686/+-62--3546*23/26-11876097-97-///+*-,6931.565034433155
-65-50-30*-57+-78+-40/-24/--9430*-60-21-40*+*-14/-39*--48+,6127342.558482143
040-8+2334/+-81+-403-62--47--224*+43--8440*+/*/,-0.0
32-69-8-79-68/-76+*+-7761*-19*+90--21-29/-62/+72-89+--,-89667.72479225282
-9686/75/90*-55-53-93*95/+-57-1214/*-26+-21-62/26*-,-0.1189188274512265
-348549/-83/-69*+-35-78-6*--27-9146*-100*--61-55*+14+,424479.44209491025
9584-24+-27-28--2-39*22/-44/-61*47*+69+3287/+-37-,136.47603313571506
59-81-6697++4-87*+-59-54/-69*-*-50/10-97*81++-23-2+,7984.6458024691365
-75-67-93-23/5/53/55*-53*-16/36/54/-55-41-90+*--74+,7123.001429985239
-2319*-42--82*66+-54-8996/54-7418-98*96/-*-47*-32--+,-113749.44791666666
53-64/-26/-63/1*33/85*-33*59/464/-4-43*+-27-20/+,-3223.7365360363506
96-56*815*98/21-76+/76-49*/373624-5496/82+/-/+-,-1650.9294206475365
-458962*-16*-67**-66--29-27/+8566/+5725/-66*-6-5*-,-266188068.93582493
-29-14+-55-19/4924/67--2137/91/---26-96/-55-67+/-79--,128.1534229783394
