Formula,Result
-6 -62 48 -100 * 12 / -75 + -94 + 56 + -26 + -43 - - /,-0.02
-96 -22 * 22 * -74 23 88 94 * / -27 -72 + 43 + * - -,46537.82
15 -51 - -53 79 / + 17 / -11 11 - -91 96 * -10 / * -,105709.44
29 -74 * 15 -16 * + 23 -39 * - -33 -4 / + -47 -5 * -,-3574.75
-40 -59 13 + 58 + 57 - -86 - / 64 -98 * / 31 * 38 *,0.18
-93 75 / 46 / 59 + 65 - -22 - -9 + 70 - -60 45 * -,2636.97
80 -7 * 59 * 48 / -53 * -23 - -55 73 84 / 11 * * +,27030.56
-71 13 -40 / -45 / 44 / - -84 96 * -74 * + -73 -12 - -,596725.68
25 87 / -20 33 79 -34 / - 79 46 + 79 47 * + - + +,0.29
-53 -49 - 0 -76 - - 5 -33 / 8 -16 -37 / - 62 + / +,-40.0
38 37 / -57 / -82 -88 9 + -47 - * 11 / -22 75 - - -,-384.88
-77 13 - -50 -44 * 39 * + -64 - 76 -50 / 32 / - 91 -,85679.06
-44 69 * 18 -61 / + -33 + 21 39 * 24 * - 56 81 * -,-7639.42
97 -3 + -18 -6 / + 10 81 / + 10 48 * + -96 + -34 -,510.49
21 -76 36 + 89 + 10 + -45 + -96 - 14 * 20 * + 97 +,30918
-12 23 23 + 62 68 * -4 * / -84 / 67 * 30 / - 10 +,-2.0
66 42 / -10 / 78 -49 33 - 18 + -41 -41 * -12 * / - *,-12.26
23 39 / 69 / -17 - 63 - 3 -44 -76 / 17 * -18 * + +,-42.53
-49 -81 * -86 - -68 56 / - 42 28 / 20 -25 + -56 + * -,4147.71
-65 -13 - -88 - -100 - -92 -8 * -56 / 83 * + -25 + -61 +,915.57
-20 -64 29 / - -63 - -53 37 * -22 - 3 - 92 - 0 - +,-0.01
-97 70 - -79 -98 * + 12 - 96 -16 / 25 * -46 * - 50 -,4358.71
-94 98 * -86 * -68 / 28 - -33 96 -89 / 65 * -29 / / +,-11759.12
82 -99 -69 14 -39 22 / -11 35 -84 * 34 / - - * + - /,109029.76
19 -31 / 25 * -39 / -49 -23 / + -35 46 * 10 + + -42 -,-1557.01
-60 59 * -20 + 52 + -16 - 43 -26 - + 39 - -14 + -38 -,-3517.65
40 -95 -15 / -44 * - 13 23 - -16 - 52 19 * 89 / + -,296.44
-38 -39 * -35 -67 * -21 / -79 / 88 * -6 / - -67 - 46 +,285.73
33 -21 + 44 + 12 + -46 -98 80 / - -25 - -98 / -37 / +,7.31
78 -24 * 10 * -1 92 / 69 * + 58 - -80 37 + + -82 -,-18698.91
40 -53 * 32 -45 / + -28 -48 / -87 - -53 + -17 -12 / + -,737.29
-38 -19 * 1 / -89 * 81 74 * 65 * -93 / -95 * - -39 -,-338005.84
88 72 / 15 * 69 + -36 + -39 / -2 - -55 + -35 -10 / +,-53.3
-90 -64 / 18 - -65 - -75 + -87 15 + -98 + -33 - -92 - +,-177.59
84 -95 -28 + 31 * + -29 - 11 -62 * 35 -5 57 * + / +,82575.73
-5 -93 / 21 / -100 4 57 / 21 * + 28 - 13 -3 / - +,-107.82
89 14 * -35 * -75 * -6 57 / -74 - -73 - -37 + -20 - -,-36823.89
60 60 * -77 * -22 -66 - -66 + - -55 -77 * - 26 - -3 -,-281436
28 -85 / -43 65 * 20 -10 / - 46 -71 90 40 - * + / +,0.47
-7 44 * -22 * 49 11 * -2 50 * - 31 86 / + 88 + -,6048.64
-70 -81 + -21 / 41 / -45 79 30 - 79 -36 * + / - -55 +,-55.02
-69 31 / -8 84 - * -33 93 * + -4 + 62 - 16 66 / +,-2929.98
12 94 76 / 56 * -91 / + 11 -27 + 16 -61 * - 55 / -,20.84
74 -84 / 91 62 * 25 59 96 / + 98 69 - -71 - * / -,-1980.0
15 23 81 / -34 / -11 21 51 + / -21 + -50 -76 * - / +,15.0
-27 -46 / 75 7 -65 7 - 4 / + 79 -36 -36 + / + * +,499.55
-15 41 - -100 - 72 - 39 -45 18 * -85 / / 60 49 * + -,-3004.53
-21 -83 86 / + -93 -70 * 62 - - -70 -38 / -99 / -75 * -,-403643.93
-13 -9 / 88 43 / / -66 87 * - 63 -16 * -37 / + -37 +,-9.6
12 -91 -47 * - -6 -5 / - -1 + 19 + 17 9 -5 * + -,-4454.2
-58 89 + 92 / -78 26 4 - 70 -82 - -76 * + 93 + / +,122.99
-92 39 69 33 / 51 / 91 * 37 / 36 / -57 * 80 / / +,-53.0
10 50 - -83 - 27 + 97 -60 / -34 / 76 / - 45 - 16 /,84.0
98 -77 * -60 -60 * + 74 - -3 -73 - 19 / - -50 - -22 +,-3910.68
62 96 64 / + -8 -93 * 2 - 64 + -56 - -40 -42 / + -,-1187.45
64 -70 + 99 - -41 + -62 -58 * + -76 29 + 50 * -39 * +,8651.34
45 17 * -26 21 + -80 -79 / - / 23 -38 / -96 - 22 + +,-9.84
-80 84 -97 * / -82 74 * - 5 45 / 17 -85 62 * - / +,6068.0
56 92 * 51 -91 -69 / + -65 -40 15 -30 + / 54 - * - +,5410.79
56 21 * 58 / -90 * 13 - 3 -69 / -76 92 - * 2 + +,-472199.93
-76 90 -93 -98 * / -50 + 96 + 45 84 - -16 + -75 - - +,2830
-24 27 * -68 / -70 * 83 55 -7 / 94 34 + -91 - * - -,1230.87
-98 -50 * 47 62 + -58 - -26 92 * 2 / + 37 -21 * - +,800.0
