Formula,Result
0.04 0.06 0.05 - +,0.03
0.07 0.1 0.03 / /,4.29
0.07 0.05 0.09 + +,0.21
0.06 0.09 0.03 / -,0.27
0.05 0.05 0.09 * -,-0.05
0.02 0.01 0.01 - -,-0.02
0.05 0.1 0.08 / -,0.75
0.08 0.02 0.08 * -,-0.08
0.04 0.01 0.08 - /,-0.17
0.09 0.02 0.1 * /,0.02
0.07 0.05 0.06 + *,0.06
0.08 0.01 0.07 + +,0.16
0.05 0.1 0.04 - -,-0.11
0.03 0.01 0.06 + +,0.1
0.03 0.02 0.02 / +,1.03
0.04 0.09 0.01 - *,0.01
0.09 0.07 0.07 / -,0.91
0.04 0.07 0.06 / *,0.03
0.03 0.04 0.08 + *,0.08
0.09 0.02 0.03 / *,0.14
0.05 0.05 0.07 / *,0.07
0.04 0.01 0.1 + /,0.35
0.04 0.02 0.07 * +,0.04
0.01 0.04 0.06 * +,0.01
0.02 0.01 0.07 + +,0.1
0.02 0.06 0.02 * /,0.06
0.06 0.05 0.07 - +,0.08
0.01 0.02 0.07 - +,0.06
0.05 0.1 0.08 * +,0.06
0.05 0.09 0.04 / /,8.89
0.03 0.04 0.03 / *,0.02
