Formula,Result
- + - - 2 / / 4 6 4 4 / / 8 8 1 6,-7.17
+ + + + + + 4 5 * 2 9 2 4 1 / 5 8,34.62
+ + * / * / / 2 1 7 2 2 2 7 * 3 5,22.57
- + + + + * * 8 5 8 5 8 5 / 7 7 8,331.0
+ + + + 3 6 * / / 6 4 1 7 1 * 8 5,60.5
- - - + - 8 * 6 7 7 6 * 5 8 / 7 4,-74.75
- - - + - 2 1 / 6 1 8 * * 4 3 2 1,-26.0
+ + - - 3 * / * 9 1 2 9 8 / 5 5 2,-42.5
- - + + + + 6 * 8 6 7 8 * 2 7 9 7,67
+ + + / * * 8 9 7 4 8 4 * * 2 8 4,202.0
+ - + + / 5 6 * 1 4 * / 9 8 1 5 8,8.96
+ + + + / 5 3 7 / 4 2 * 4 2 * 4 1,22.67
+ + - - + 2 8 / 1 3 5 / / 4 9 3 8,12.81
+ - - - * 2 5 * 7 6 / 8 7 * 9 4 6,-63.14
- + + - 1 / / 4 8 5 5 * 7 2 * 6 9,-34.1
- - - / * 7 5 8 5 1 / / * 5 9 4 3,-5.38
+ + + + + + - 4 3 / 4 7 5 3 2 1 2,14.57
+ + + - 3 8 9 9 / * * * 9 3 6 7 8,154.75
- + + - + - 5 / 6 8 5 1 6 * 5 2 7,17.25
+ + - - - 2 3 / * 7 9 9 6 6 / 4 2,-6.0
+ + + - - 3 3 1 / * 8 2 9 8 / 6 2,11.78
+ + - - + - + 5 4 3 3 / 1 8 9 6 4,9.88
+ + + + - - / 8 1 4 3 2 * 9 9 7 8,99.0
- + - - 3 * 8 5 9 3 / * / 7 3 6 6,-45.33
+ - - * * 9 4 4 / 2 7 / / 2 3 7 7,150.62
- + + / / 8 4 8 * * 8 6 8 * 2 5 7,387.25
+ - / * * 7 7 8 8 * * 7 9 9 / 2 8,-517.75
- + - + / * 9 6 2 * 1 6 3 * 4 1 7,27.0
+ + - + - * 2 5 9 3 2 / * 6 7 5 8,18.4
+ - - - - - * 4 8 4 3 8 6 7 * 2 5,14
- - + 9 / 3 6 4 / * * / 7 5 9 5 6,-5.0
