Formula,Result
+ - - / 4 6 1 * 4 8 1,-31.33
- + 4 * 4 5 / / 7 5 4,23.65
- + + 6 * * 9 3 3 1 5,83
- + / 6 8 * / 5 4 5 9,-2.0
- + - 4 6 * 9 3 / 8 4,23.0
- + - + 2 9 7 5 * 8 8,-55
+ * * 5 8 2 / * 5 4 8,82.5
- + + 8 3 2 * * 1 2 5,3
- + + 3 / 8 1 * 5 9 6,50.0
- - + + + 8 5 8 7 2 2,24
- + / / * 3 4 5 7 5 2,3.34
* * * / * 6 5 7 2 2 9,154.29
- 5 / / / / 5 5 8 6 2,4.99
- - - + - 2 5 1 5 3 1,-11
- - - 1 2 / 7 6 * 1 6,-8.17
+ * / * * 8 8 2 4 1 7,39.0
- + - * 8 4 1 * 1 3 6,28
+ - + - - 1 3 6 4 3 7,0
- / 3 8 * * * 5 8 4 5,-799.62
+ 1 / * * * 7 9 2 5 8,79.75
- - - 4 / 6 4 6 / 1 8,-3.62
- + * 3 5 * 2 8 / 4 4,30.0
- - / * 3 2 7 / 1 8 8,-7.27
- + / / / 5 3 4 3 2 1,1.14
+ - / / 1 9 1 / 7 5 1,-0.29
- - * / 2 6 7 * 3 7 5,-23.67
- - + 7 6 3 / * 7 7 8,3.88
+ - + / 4 9 9 2 * 9 2,25.44
+ + - / * 2 3 1 6 7 9,16.0
/ * / * * 5 1 9 4 6 9,7.5
- - / 1 5 / 5 1 * 7 1,-11.8
