Formula,Result
*740.29158.31827.6871.06*//*,990.1218540490246
-760.35-944.99736.33*-354.14-+//,450.147090418886
-615.19-788.59--256.65-462.94--**,-245933368.15377405
*273.67*759.43-385.36--/+,-771.2428293199839
*731.34--559.81564.72**+*,-308629068.118056
-888.01-407.56-24.65449.12++-/,832.0574884291843
615.6942.02-228.98378.96698.85+++-,275.15999999999985
814.52-301.86123.47707.26/--//,74.52050217388948
639.56-626.92356.76-404.33*-*-/,-143471.88056358747
523.01+617.3-849.63+--++,682.43
-414.46259.72*-16.4-425.03+***,1263.0024503311256
-289.83-539.6255.38965.75644.13/**/,317.12048472822255
176.41-993.32917.79663.5-19.6++-/,-268.2592534436823
-840.95766.04-676.87-879.21-445.68+**-,455879128.193108
502.22774.66123.66*163.41+///,-338.8137386297334
-955.7-493.3819.36+-455.45*+-*,-568599.2995000001
*806.56-529.53769.9-37.95*/+-,-118.59332445753796
-70.25808.29260.62803.11-412.62*+*+,-330380.58820000006
-554.88-327.96982.25915.09-144.72+/-+,-370.70837363196745
885.6-730.21--330.75-++-,-886.7500000000001
/383.65-255.59/-504.74-///,-504.7398861563521
-860.67326.2572.26426.53272.8/+*-,-20290143.993170135
-513.93-977.9-280.24147.27529.8*-++,78305.78878831747
-747.34226.93-480.28-673.64-829.4/+**,-81452540.82731457
-148.94797.26-4.86868.69/*+**,829050.0864000001
691.8991.46/-812.03/*/-,-683.160563067167
-996.44926.31-802.86-395.65-620.77--*-,744468.5665999999
824.88324.4+-637.92960.36+*-*,-609104.4432
+-145.02458.29-183.16260.78//--,-446.87310672824026
-979.44523.67-997.4962.97-772.97**-*,-90808191.02054615
421.42-305.98-309.76-***+-,47892461.37798399
410.29*277.87119.48331.59*+*/,39769.664675054235
-864.34--188.05-746.64-937.19-*-*,-823826.6746
727.34*-353.14218.56-68.88//*-,727.6963038118347
159.8518.14167.06532.55325.85++*-,87259.06839999999
497.49684.45-852.55-589.46-+*-,-144770.526
938.1-494.23-85.4944.3287.15--/+,1180.77702385529
--855.11161.13-187.55/-/-,525.1727446864664
+946.75-81.14+496.33/*+-,1055.1120454729512
-442.37-906.16364.04/-*-*/,311309.1724
-850.41541.01-172.06-793.83-682.73+///,-682.730010027991
853.75-807.41560.2318.14-699.28++*+,-451838.472
372.6-750.13-618.11--/-+/,617.2409108530991
29.91790.92515.41-507.27530.73/+--,-407619.21344756044
-191.29/-864.11-989.916.66+-/-,-782.9580493694662
+120.68-249.7697.86650.37**++,-113330642.79964037
-645.04/-498.38828.45466.07+-+*,386965.6352
776.39-198.8/-211.75-218.24//*+,776.684171068483
141.48-790.96715.19925.29486.21*/-+,661594.8851
-72.69-203.7462.15+-**-,6841406.948949999
-202.76196.77+-994.08145.75-+*/,583.6315875912408
355.48-143.49860.16-520.96175.91*-+/,-106.94438056758938
-546.73-117.96-845.72-907.54-232.49/++*,-703264.9480000001
301.99+-53.4138.5-862.56++--,-1675.16
--914.58-481.89849.46-395.69*+/*,-335679.20597213146
672.6590.87492.47-664.41*/*/*,-2928.0940863493274
179.74*-174.85-317.12701.71--+*,106695.66780000001
-209.21+-955.12-262.3-982.85+*--,250162.606
-98.98-923.31-343.67--484.04*/**,98120677.41361849
*513.64-586.73-848.85-427.45--+/,1007.1654359542545
-946.36-305.08-872.79-35.74-142.38*/+*,-288721.3391385694
*-665.7360.2119.05-681.37//-*,323557.7467747509
829.67208.54/-758.18639.42+*+*,215798.44619999998
261.01680.25-878.74-260.96+**+,481390928.51820004
990.7318.08158.99-317.76-+-*/,-839.8262695064096
-462.97-270.35*-505.26923.76//+-,192.63903275480732
-713.47799.97884.29-385.4891.04+**-,-167783.60102405315
235.1650.86874.21-866.7601.2-+*+,-567285.3206000001
-264.3-228.87271.76*623.83//-+,-60490.45728764459
424.61-21.36394.72584.17997.95--**,14420.702559363599
752.29767.62*56.99-862.83/--/,-134.58040234555884
-402.23*907.55391.91462.12-//*,461.9437517551764
-312.06--323.07/281.69*++-,-23945.2244
-43.9442.68718.14508.15537.03+*++,346026.219
-759.33-223.21-65.4-475.97160.47/*+/,22.34311507470897
933.14624.07969.76*470.69+--*,-75.94878496259936
316.72+-822.07-81.36657.74/+/*,-127.74962219758243
783.22184.18-902.49-933.57++++*,-4178.152019763275
-730.73+531.16-399.45////,1.242726763608221e-09
222.5288.32961.15933.0387.31***-,30675424506.376637
-718.34219.32-225.8371.2475.77/+**,35574408.05304
-51.6897.15385.24354.69-894.27/*-+,-1120.124862556035
589.85-188.73-939.82-530.9361.63/++/,-940.2560420348741
-951.04600.59438.1-666.57342.01+*/-,-165344.1641445412
-3.44387.43-652.92-954.12-***-,-77137043390.1599
/433.08-997.78123.4504.9-*/*,136885.16956774727
-548.09-380.73944.79-699.96562.94-+/+,712.3284776613349
916.56-849.82-865.41-389.89326.32*+*/,674077321.555872
-176.22-6.87185.38-595.45316.32/**-,-2526.0543473480293
349.07756.95415.47532.42*-/-*,-264631.89798843476
