Formula,Result
*-++//**724-635804-354-722**//-140833182723-692*-274-889*111753490,159508.81654675904
+-+-+*/-791-558789*569-183///*-80844-111183-412**-980290381506-951,-108384665.53494284
-+-/59595/-466103/*-*****/-26814-848247-960-839504576-170177783,675068073242377.2
-++--430//***/-226-539-754419301-731-926-860-252772***-277165-168-237,-10179794667.096218
--+-+-+++/*-557697-193//332772-576*-483-934-872-281-41-974-666-196462,452543.54861924937
--+++*732-110-54/*336-910-566////-451-589-66-70916/*-704881-774216,-81051.1109831008
+++++++**/-312216-901776-496-698/-162-727-786-575756//*633-262-855-836,4948.956610200979
+++--+-+++++-+-292-248741226-449-33617-92274-138-460-499-33359-350,-547.8225806451613
--+-+-**/254396-861-188575-515/**-845241221-823137/*953180269601,59640781.10364888
---+--851/967-643115*+344300-438998**//*812-764-139582-285-555662,-46413494.782101735
++--++*269-210380673/*/*69783340-992281/*/-561-10256123318970,-54327.55310262605
+++++--+/-483-8748/110100277-292////654-229587772-432-454-74-809,40161.90272251707
+-*--548212**///-967-10438499461120587/383-40**/-539-353-53-886,71458.68224841481
++--++-379**-37534-551/77231-303*-254-139*-228936//213-906-937189,-10708579.096523289
++---+-+-+*/66482-370/-93728-48352-910-521/-333-298-890-2735895,1418.320703645675
-----++-698*441-819/-935817-33*-619-596100*410-743/*-237502832920,296737.8531653093
------/--895*//55691941-461421*-867-81744260712/193340-779-742,708501.2349750914
--+---*-259164/*/665-393978-174553*//614-41651-657-357/977-178-94,-43296.02210715373
---+++*-++/507-557/235860161654*84846424-682/732391880745493,-41875.76485481708
-++-+-++++907**781743-98162-393-768-342219321/-210193-740/354-773,-56868326.630126886
++++--139**-251-596931*-480792**-836-183-161-858//-978-926-257*-18-300,-163520374.43196544
--+--+-*-24723//*-72958-19-96796*898-45597620*-899-920*-458-467,-637130.8640350876
-++--+++-139-417-713//*168778857-172835-747/-88151-56/-761-458-586,1972.2851837927299
++/-+--+--833-69516672-138310535***52147773859-525-830*627756,-10820451221
+-+***//*-717-430504-780-870236-698-969/-574-61**/*249104-972669-824,-234936632.90902206
+-+-+//-681-488-570/395654////-121962-1722992*327690*513-643-853,471336.99946696986
+---895-454/*/463-312-649443**221-823-468*/-//-423580-492477177863,-85119889.08302316
+-+-++--/693-564-715-524-877-195*-414356-525*-7898*//-619-204-517117,-193662.91540562068
+------+-665-832*/718-617-24663542512520//-722-71114975*98-508,-51471.160514681826
+--**-440-403-354////-947330-182459983*345643***/-459-2522-895-451,-61522693.92857147
--+--++**-342-588/-318-810264/706-62/*425-605-41655-8811*616-136,277046.3666520966
++++---+/132-892/-263-319-46144*+755-410-591//-213-4786-835818238,-449.5757120160929
---++9//**/-606632260249-258-296783991/-962-977/*/-100-560318905,-324876.53037177096
-+-+++-/890407//-925-699606-966-317-978/***-806-328-391-527-125756592,435796920.9968262
+---/304-536//***/416878-337820-709-669-571122606//*923-774268917,-1137.454524406614
--+++/*-138-552-24-633/*-121764-116*26294+*//-168459-61-732-354-838,8744.592202389515
-+-+---194//-181083790/*771268-584/309-201--549712/*27261530,-397485.27560452267
