Formula,Result
-4.7-74.76-9.26-44.08-21.65+*++,307.07
-6.47-61.92-6.55/-*/--,8.82
-83.59-92.1127.81-59.82/+++-,-104.6
50.77-18.297.636.35-96.68-/*-,-147.45
45.9-50.26-0.6352.6782.26*+**,5786.0
-90.55-11.45-11.6-11.56-56.57-+-*,-135.71
70.28-79.2199.46-25.25-99.11*/**,-1512.38
-96.17-29.74-87.3-79.21-38.43-+++,-172.43
98.08-62.1-73.02-34.16//-+/,71.93
-98.81--71.21.534.11*/-/,-0.17
/78.08-81.6340.32-94.14*-*+,2593.34
14.282.71-40.9985.9611.46-*/*,-593.47
-91.83-25.45-97.1/-0.82/*+-,-0.86
-91.66-71.42-95.23*73.82*//-,165.49
-2.0-2.6657.27-66.25-88.77+**/,10001.64
-99.85*-82.81+12.18***/,34367.94
-91.4536.46-37.8860.57-93.47*-//,-5661.49
-99.9-64.19/-92.4-1.76-*/+,-113.42
-19.0539.68-84.18-52.6574.76*/-*,-11.97
-14.2889.953.0479.4650.4-*/+,2348.5
13.74-35.66-3.8217.47*/-*-,-147.35
-18.5894.3253.57-55.8/++-+,-58.31
-94.873.4419.8452.0-58.06/++*,-26.73
56.4757.22-28.3549.52-43.07+--+,-3196.41
-89.29-91.512.93-81.0614.08--+*,8252.25
-32.8886.1488.59-80.98---+-,24.31
5.122.3890.2131.82-31.8/--+,-108.49
-38.25+--84.6129.61-+/-,153.44
-22.37-41.39+-51.0-+-/+,-107.84
51.37-66.2934.68-47.1-64.0*+/+,3041.27
+-35.19-45.51-37.93-39.18-+*-,1606.14
37.32-17.3336.71*25.53-*/+,-77.17
-64.4438.8229.73-49.2495.8/+-*,2529.35
*37.38+-4.3783.63/-/-,-110.56
9.66-29.450.19-18.04-98.47*-+-,1815.32
-25.09-77.78-85.4482.24-76.39++-*,-2037.87
45.07-40.03-45.384.55+-*-+,-94.32
-25.9264.7676.85-3.43-31.64+*-/,-292.74
-7.88-55.2659.77-18.14++-/,-306.46
52.88-56.6354.2165.5339.48/*/-,52.3
67.7758.53-59.1446.01.99++-*,-3977.73
-80.7436.3723.54-72.06+-**,284440.94
*22.95-6.4527.6-51.64/*+-,93.55
/61.91-88.0-18.6932.51++-+,-88.61
-12.3359.7317.85-44.18-83.8*-/-,3637.03
-88.74-86.3162.4378.91-23.47*+//,-1791.3
2.51/-23.7526.09-45.42/*+/,48.43
-17.08-63.2580.2740.26-16.62/++*,-0.47
/-33.71-95.9781.7-18.82-*/-,-83.47
26.1651.733.274.4320.28-/--,-4.96
--60.0513.96*-19.47-+*-,25.88
-30.11/-12.45/-76.06-//+,-105.67
-9.1761.96+52.0-97.18++++,-77.77
74.24+-56.7473.6-62.04+//+,12.22
+80.08-23.04/93.41*---,2854.86
-60.4980.2261.1419.6277.3*-+/,1596.2
-81.68-97.7520.93/+-*+,8093.37
46.3659.9128.6591.9390.22-+-*,25.65
-11.53-81.89-17.67-79.6497.31+-*+,143.17
8.65-95.0123.2299.5-23.76/+/-,80.82
--31.08*49.964.78//--,8.62
62.47-18.0953.3264.39-81.06*+**,-60272.66
20.08-53.91-77.5681.3162.69//**,10.76
48.89/-42.14+93.91/-+*,1575.31
-47.61-26.04-20.72-21.39-4.63-+--,69.69
-33.5479.75-41.29-86.83-39.28/*+-,285914.81
20.94-68.25-28.95-90.5156.84-//-,35.95
-/-77.12+-87.93*/++,244.58
/-50.81-93.68/-39.82-/+-,-39.0
-87.03*-42.6441.59-58.81**/+,-85.44
-38.51-39.2650.56-49.91-55.35-*//,-53.68
65.3956.5854.7839.16-70.49*/*+,-2785.7
-56.0-46.9637.1111.42-/+*+,-1792.56
60.02-6.75/96.49-22.59+*//,-7.65
16.46-51.1294.01-17.0349.23/-/+,-820.09
-25.49-55.99-69.16-60.36++-*,-1185.4
95.34-2.4326.1+-49.54+--+,151.74
-21.58+-20.9616.2672.15+/*/,74.76
-68.1595.2-65.82-57.87-64.26+/-*,6487.86
-77.56-89.69-57.4292.750.08/-/+,-78.2
81.23-52.4559.62-88.68-5.48/*+-,-130.0
14.5248.31-42.53-49.68-16.62/*+/,46.19
-91.71-69.28*47.61-99.88+++*,-55.2
-38.662.2220.7483.25+-++-,-48.72
-67.582.33-21.99*73.24+-/*,-10.75
-3.0427.14-95.37-57.52-82.1/+/-,0.95
66.9755.2-71.19*-97.24**//,-140.35
82.2118.2-71.55-82.3990.87*-*/,-7470.94
-76.834.6*--1.97*///,-137.08
84.87--20.73-73.9970.49+*/*,-1940.55
17.173.39*-27.83*/++/,46.35
-91.96--39.846.071.74-/--,124.19
-91.87--84.5888.3994.42-++*,-5712.94
-11.17-80.98-6.6-54.52+/--/,100.51
76.2748.78-36.7110.187.08//*/,0.69
-16.2894.16-1.8694.32/-//*,6.47
-20.5649.1-12.3797.2881.09/*/-,20.56
