Formula,Result
46.16-95.6833.59-51.4940.21-98.9726.6784.0688.91-43.3666.75-11.5127.63-13.556.41*-/-/-//+-/*/+,-194.58
-44.59-34.5960.3119.76-48.3719.68+62.9417.5345.91-4.48-3.61-91.842.5910.56///*/-**/-+**-,-46162.82
-25.78-34.52-81.63-50.3346.2461.5791.378.72-3.844.88-54.0125.8256.7615.4-20.56*/*/-+*-++*+/+,-2293.93
73.9166.87-14.6849.7813.5221.6655.92-49.4785.1351.6-78.92-58.38/-52.28-46.77-/-*-//++**/+-,-4536.02
-95.48/25.9575.14-9.7936.2224.5242.66-12.5788.9676.45-51.7695.0873.93-17.16++++/-++***-+*,-651941.28
-71.5222.6255.02-95.76-30.5564.49-37.51-51.4257.68-74.98-1.09-92.95-42.4768.32-42.17*//+--/+/++-+-,-1329.15
-83.79-26.6376.6594.07-22.477.0420.5585.124.5712.82-99.2864.86-10.9470.9570.82++//*-/**-/**/,-79.31
11.77-85.64-33.6374.17-0.84-12.499.5677.532.91-19.48-48.85-34.77-23.5-6.3665.57-+-//**//+*//*,48.17
-59.6510.165.6535.35-26.2138.9587.0245.1824.56-81.26-31.0767.15-16.7-49.7940.4*+*//*-+++**--,-7127.0
-72.293.1-42.1145.73-50.290.6596.48-33.32-23.93.89-61.78/-94.51-75.9412.48--+*+-**+++/+-,-76203.57
87.0313.94-3.847.8959.31-60.27-80.2512.47-65.92-17.44-56.8663.68-35.83-3.49/+//+/*-*-/++-,-4880.82
65.1227.2248.39-19.0355.86/-57.43-88.83-51.39-10.1769.13-29.0910.2669.08-32.83-/--/-/-++-/--,-16.19
-56.9943.8779.6745.89-2.75-56.12--92.2648.68-51.1-11.3-51.02-92.98-56.1357.25--+-*-+-/+*-*+,-4070.24
99.37-13.0-16.99-98.5415.463.06-25.19-63.0160.89-71.21-72.8826.25-40.3433.63-+-/+/+-*/-+/+,2926.65
0.8928.688.682.52-2.2318.06-35.97-43.6-53.97-61.16-35.51-69.34-68.49-55.8175.87-*++/-//*//**/,-16256.73
-50.96-84.010.62-22.1596.4717.75-86.24-97.56-81.32-7.7268.81-36.2-46.8438.82-37.9*//*-*/-++/*+*,4329.17
54.0442.8430.5975.5834.41-94.9543.33-42.2732.59+95.54-48.3417.46-31.65*+-*/-**/*+/*+,-174650.68
-56.27-81.1443.18-31.0348.11-45.85-42.16-7.1826.97-90.6448.1629.68-38.6827.853.07/+-/-//*++*/++,-235.49
-94.9273.2964.1152.07-13.1658.9766.3-23.45-25.9-51.07-68.78-47.7229.455.145.72//**//-/*/+-/*,133.61
10.23-62.2754.36-35.51-62.12-86.86-22.2813.929.84*53.15-84.89-42.61-12.9129.92++**/-+++/+-*+,10579.31
29.67-83.2745.94-19.67-2.2811.2674.1913.0425.6693.1763.5659.9445.93-15.18-60.49-/+-*-+/+-*+*-,-9836.27
39.2494.1124.39-84.499.06-47.87-52.27-53.2491.559.52-29.66-69.86-5.2383.86-6.18-/+++*-*-/-*--,112.9
-65.0353.571.1863.85-58.2752.12-63.89-0.9533.13/79.8835.914.8384.29-51.59**-+-**++-+/**,-209792.79
++-15.992.5765.65-71.97-4.07-97.99-24.7487.87-14.33-90.2985.3316.83-41.21/*+*++-+--*+-+,1145.21
/-5.99-86.77-67.1234.2621.11-37.33*26.57-71.7421.39-23.3240.7613.4821.8*-*+*-**+*-*--,-46376.39
61.49-69.7291.09-30.15-80.1646.52-6.29-66.8716.88-57.2138.45-45.58--18.3558.03/-*/-+/*+++*--,-2819.34
74.78-66.95-91.76-92.96-18.52-93.54-75.53-80.1619.2566.4750.44-73.57-62.0615.987.59---+++--//*+--,239.92
-78.61-94.863.92.1112.34-57.4650.94-10.2649.16-90.64-5.77-44.94-54.94-26.288.92//*+-///+-*-*-,6047.06
-31.9326.9879.48-63.551.7692.03-5.4716.8965.356.59-73.83-36.74-91.9764.2747.34/*/+-++++*+/-/,110.16
-67.3-82.3-49.146.13-2.44-2.03-58.02-67.0196.77-29.56-43.09-77.98-56.869.0869.25+/-//**/*/+-*-,-3896.01
54.5646.0647.44-9.7754.677.51-23.44-16.3364.12-97.18-25.93-10.8-75.97-26.11-36.79/+-+**/+--+/+/,-10113.01
-45.57-27.41-12.0577.02-36.65-47.1491.26-75.89-78.474.791.17-78.345.63-1.75-38.48/+/*/*++/--*-+,949.35
4.59-69.4965.975.872.58-74.9743.55-35.82-61.85-78.187.11-28.9731.89-19.1877.85+-+//*++//---*,246.37
89.8653.9452.9716.6331.2637.42-39.23-85.7816.0114.37-39.88-52.7918.97-9.1666.0++++*-**-*+---,-54629.84
-55.26-70.72-11.4570.24-69.9763.43-23.938.53-80.85-85.4686.39-72.9438.444.08-32.69--+*/-++*/+/+-,1.51
+-8.1877.67-44.4979.51-42.4918.31-5.93-89.1829.8949.22/-66.013.51-34.5*-/---/*--*-+/,3026.02
16.6729.8219.9389.061.2-69.6454.03-63.468.3363.98-5.31-1.03-35.1841.79-13.04/*--++/**/*/++,1967.0
39.05-53.9232.29-75.2-94.07--63.21-58.0944.53-62.4110.99-13.99-98.47-98.32-61.73+/+-/*-////+/-,-106.53
-56.8155.42-66.94--83.9927.56-78.83-94.3349.05-30.47/-38.48-0.5-21.9872.51-*--/-/--*//*-,218.47
12.17-1.32--86.37-47.93-21.78-80.147.63-92.0674.8392.2742.45*2.9477.36/-+*--+/-+/+-*,4007.88
-41.02-74.02-61.2-42.8933.7694.3971.81-59.3149.2641.5236.75-43.99-63.89-97.22-90.64-++*--//+++*++,2656.42
-10.3881.8247.2915.7388.0640.75-68.098.8676.95-85.67-89.139.583.23-56.7445.14-*-+**+///-/+/,592193.28
19.24-37.8921.08-37.3461.235.27-22.6822.87-26.78-80.5717.89-90.354.02-74.8358.19+-/*/*-+**/+*-,457.16
/-16.3265.6711.63-90.0192.17-76.2423.966.43--96.24-19.6--34.84-87.58**/-/-*++**--+,-97705.57
50.9257.85-25.7-92.72-80.97-64.4196.01-40.26-96.12-40.1842.1193.55-39.6818.0196.94*/++**/-**+-*-,-507531.41
12.35-62.3976.74-48.7442.786.939.5377.2496.6-98.1818.9926.84-9.5962.495.27*+//**+**/+-//,6567.12
74.8-62.4990.52-67.1312.7675.0962.54-74.37+-71.481.3826.53-76.32-35.4720.63-+*//-/+*--/+/,4739.49
