Formula,Result
30.26 68.42 6.16 / -73.91 -41.84 -89.89 -93.29 65.05 46.22 + * / + + * * / -,-437.74
-95.76 -56.67 -94.41 69.32 81.01 -76.43 -63.28 74.14 59.81 77.11 - * - * + / / - -,-4780.01
8.12 -56.56 -71.07 -71.96 33.36 -38.89 17.45 83.97 -45.93 -94.78 / - + + / - + / +,11.35
-49.94 -99.39 56.83 -7.44 88.99 25.83 94.98 -40.74 -25.75 -50.09 * / * - / + + * *,279063.01
73.85 30.84 -73.79 65.1 29.68 57.89 56.23 55.04 22.21 81.3 + / - / - - + * -,-90.29
18.55 -77.14 15.69 88.77 -5.83 -68.28 66.28 -91.51 -77.29 - * / - / + - * / /,-66.82
-40.95 -3.2 -25.14 67.58 68.24 67.26 -99.13 62.83 -20.15 18.28 + - / - * / - - /,-44.09
67.95 91.34 + -28.58 -20.47 99.96 -3.42 -26.26 -53.22 9.85 + - / * * - / / /,15667.95
-19.33 77.5 -5.47 21.3 34.44 64.61 -2.4 -74.91 34.68 -10.53 * * - - * * * * +,-11566.09
17.7 81.92 28.52 27.65 -70.96 -75.42 / 69.21 44.13 69.77 * - / / / / / * -,724.89
59.04 + 52.66 53.72 -58.97 22.54 65.59 88.28 -63.02 28.21 * / + + / * * - /,-1037.48
26.56 79.2 -6.95 -15.91 84.4 -66.53 3.61 -81.24 -66.52 -16.39 - * - / * / / - -,-125.74
76.01 - 7.61 16.61 -38.54 -71.28 96.91 / -88.41 97.28 / - - / - / + / /,-30.64
11.86 -67.28 -99.03 55.29 + -75.12 34.33 32.06 -33.39 14.53 * - - / * - + / -,-592.35
-31.03 -75.53 -1.64 -94.6 34.64 -16.68 -22.79 - -77.89 -8.91 / * - / + - - + /,124.6
-67.84 31.19 -13.13 1.08 46.71 -37.14 / + -6.68 - / + + * - / - - /,-1477.17
99.82 1.23 82.22 -93.75 -43.5 67.0 52.18 45.68 62.48 -94.27 * + - * / * * + *,-625217.34
-49.59 -81.2 28.97 14.78 20.43 -81.5 97.61 -46.02 - -31.52 - - * - - * / / /,4426.19
40.28 -17.24 -8.51 93.38 -33.59 -17.49 79.04 -56.81 92.99 91.49 + / - - * - * / +,-582.49
-3.69 85.48 41.18 -70.4 -21.04 -77.43 98.76 -32.62 -0.44 -39.76 / - * / - + * * +,-2918.44
-17.89 96.43 -93.87 -17.72 -38.67 23.84 81.45 60.97 96.12 -53.23 / / - - * - / - -,761.7
-78.24 30.19 -25.7 -76.79 29.59 -72.79 -19.31 -24.3 -52.25 -4.0 - * / / * + + * /,-2158.98
83.76 99.8 -45.34 32.03 -63.89 47.27 68.54 -38.29 -66.93 -85.94 / + * / - / / * -,-296.54
-46.1 -25.02 -99.14 43.78 16.5 14.87 + 85.63 38.34 89.37 / * + / / + / + *,1352.79
-89.83 -88.9 33.52 -49.55 -24.3 -92.14 81.78 98.66 -14.69 -86.19 + - / / - * - * /,-268991.86
-86.29 -4.54 -42.66 68.08 95.4 38.14 98.2 51.15 -96.32 - * - + * * - * / +,350798.97
-19.15 97.59 34.22 87.33 -91.62 1.82 -21.22 -66.71 48.23 / * * - + * - + + -,402029.11
96.29 - 10.06 -53.66 -59.64 -60.11 41.4 -62.23 67.17 -3.56 + - + * * + * + -,147979.11
39.43 -55.46 -25.1 -84.43 -32.46 / 12.06 -0.14 -20.99 55.35 - - * + + - - * *,-54761.36
* 17.07 -13.93 -81.5 -27.85 35.11 -81.5 -57.31 88.06 88.81 - - * * * / / - *,76.9
-35.63 -98.92 -50.02 -11.08 90.07 54.38 -68.51 / 12.42 -41.43 / - + - * * + + +,54053.02
-95.82 38.05 -77.3 37.66 23.39 11.54 79.37 -22.89 -32.87 / * * + - - - + - /,25609.09
-29.45 / -41.54 -61.15 35.57 -92.23 -40.4 8.54 33.26 -53.7 * * * + * * + + /,816791.06
* -76.86 -65.69 -74.53 -2.33 -91.88 30.37 59.41 40.19 10.13 * * * / + - - - *,-11626.95
- 72.25 28.0 80.95 2.91 -27.5 -42.46 -37.33 -55.36 36.78 + / - / + / + * +,2151.14
-39.43 43.64 + 26.35 51.03 -9.22 49.56 55.57 42.0 68.7 + - / + - / - * /,162.34
56.1 46.73 -79.1 -96.4 -93.35 -96.0 -56.1 88.04 + 58.63 / + - + - - + - /,155.08
14.02 - -42.03 53.68 -15.52 -94.66 94.25 -79.46 / 89.02 + / + * + / - + +,-8753.94
-41.03 -10.49 40.11 -10.81 29.05 73.14 -4.46 -73.5 7.28 -8.82 - - - - / + * / -,59.04
79.19 -75.58 -69.52 15.1 31.44 -43.46 35.09 + -74.36 -45.68 / - + / + * - * /,-1083.05
50.11 72.24 18.07 + 24.63 -25.57 -80.36 52.97 -88.06 48.77 - + * / + - + + /,378.35
-21.6 -14.12 71.44 9.04 -63.95 89.12 -80.2 -7.15 50.74 -72.11 / / - + / * / / /,80.4
7.82 82.21 -88.35 98.75 90.59 9.07 50.0 12.98 -85.66 14.69 / + - * + + + / +,198.27
-90.54 -80.0 -98.27 -31.22 -95.52 17.67 54.08 + -48.1 71.85 * - + - / / * - -,-3181.25
89.86 -67.58 86.53 -78.78 -81.34 51.15 -35.41 -88.69 -76.12 -13.44 + + / * / - * - *,6703.42
-31.12 -69.02 -13.44 77.37 -96.89 -75.82 53.8 - 27.74 96.96 * + - * * / / / +,214921.83
-70.27 -39.36 -55.32 -13.01 53.73 -2.15 85.48 -50.93 -78.56 -99.1 - / * + * / + / -,-150.4
-68.0 89.09 -54.3 -19.15 0.43 34.02 -45.77 21.7 -72.06 -66.33 / - + / * * - * /,767.36
42.25 -23.76 -21.96 -91.61 84.32 36.02 / 73.26 + 14.56 + / - - - + - - *,803.02
-65.62 * -44.93 58.08 18.03 59.6 48.79 -35.3 64.7 -16.34 / - + + + + * - *,2680.79
35.3 -73.51 -92.77 49.36 -60.13 -73.27 + 32.67 -51.19 -95.72 + * * + * - * + /,-81902.81
54.89 97.64 72.41 54.52 -94.48 55.28 -44.7 -5.27 -24.46 21.39 / - - * - / - * +,-4538.08
- -72.43 67.74 -72.91 -13.56 81.5 29.15 76.08 -26.73 5.69 * / + * - + + / /,2314.36
40.9 37.59 -16.57 -78.77 34.42 5.03 -99.01 75.51 -18.62 41.32 / + + + / * + - -,-2358.39
70.38 / 4.93 -94.62 -34.27 67.06 -16.41 67.15 + -92.38 / * + - - - / - +,-160.21
-28.1 75.03 -55.66 -53.22 98.66 -47.66 -58.08 41.3 -27.56 - - / * * * + / + +,182331.88
-91.1 -44.77 91.33 -63.25 40.8 + 99.63 -13.29 84.85 + * * - * / - + - *,47391.15
-88.55 -25.87 79.81 * 26.66 -74.71 86.89 73.04 17.6 24.86 / - * / - - + * /,4.02
* -69.26 21.3 42.03 21.4 11.56 -82.56 56.02 -87.93 -94.17 - + - + * - - / /,123.27
-15.32 -24.69 42.06 -72.39 78.66 -52.26 -80.87 + 65.71 -81.1 + * / * * - - * /,279862.38
-11.45 81.62 1.94 91.51 84.05 -41.95 -49.08 96.6 22.74 53.16 + * * + + - / / /,-107717.94
60.99 -24.28 16.96 * 70.2 13.13 67.55 -34.08 94.73 36.98 * / * + / + - + /,-6972.31
-29.61 78.39 85.84 -69.88 -54.18 4.76 29.86 * 67.71 -36.22 / + - + - - * - -,5959.93
92.74 -89.73 -75.06 - -94.62 66.87 -66.28 -6.3 25.72 -85.37 - - * / - / + / *,-13.11
-58.24 -71.74 -86.11 82.83 -76.59 -82.19 -26.28 84.55 40.92 -2.65 / / / + / + + - -,127.77
10.93 -30.87 - 97.0 33.1 37.8 48.28 52.6 -7.07 1.75 - - - - - * / / +,-235.31
56.87 - -72.28 2.98 -5.14 -4.94 47.08 -26.17 58.57 31.07 - + + * - - * * /,-453.36
8.94 39.49 73.47 -59.07 32.96 67.83 -80.78 -24.59 * -4.95 + + * / + * * / +,-1.65
-45.73 -44.96 33.89 80.72 68.03 -55.05 -70.54 -82.98 + 66.49 * / / * - / + - +,47.21
- -33.6 19.31 -48.56 75.33 -82.92 20.46 84.39 70.46 -46.11 - / + - / / + * *,35948.35
-56.66 92.34 -99.18 48.23 -34.1 58.23 4.9 8.85 -77.0 * * / + / - - * * +,-5748.43
-18.7 -38.81 * 22.1 22.8 -61.02 96.08 14.51 93.32 -97.2 - + - / / - + / +,-219.12
26.96 -2.21 39.32 59.96 -61.98 -87.18 -64.54 -63.34 97.61 80.89 + * / + * - - - *,5540.4
0.74 56.86 8.65 15.15 29.06 -32.0 4.26 52.19 84.19 -35.29 + / + * / + * - -,-196.79
85.48 87.19 - -21.34 49.73 17.16 -96.66 46.88 -12.35 76.08 - + * + + / / * +,-4358.59
51.9 89.48 96.16 -42.79 -31.51 + -64.47 -76.89 -44.99 8.76 - / / * / / * / -,-43.14
-62.29 77.24 75.45 73.13 + 77.54 -10.92 -86.14 35.97 26.88 - - - * - + + - -,947.79
29.36 17.57 * -21.0 45.62 / -55.65 -40.14 -77.62 -2.19 * - * - / * - / -,-2093.79
42.67 82.74 / + -85.83 -62.76 + 64.44 0.07 -10.35 * + + / * * / * -,27027.28
16.59 46.35 -79.22 32.13 -59.32 37.52 40.56 37.58 56.92 44.13 * + - - - - - * /,2498.67
-2.11 -29.42 98.28 14.65 27.28 70.68 42.13 -12.74 -5.3 30.43 / - + - - + + / -,-1865.6
-67.38 60.56 61.94 18.59 -41.46 73.99 11.5 -38.74 -85.01 7.77 - * + * * + / - /,-38562.01
42.32 25.64 -10.14 7.73 70.96 35.42 39.65 54.97 -72.84 / + / - / + / / + /,-9.48
-85.27 -86.84 31.39 14.5 29.24 -82.26 -85.37 28.42 -38.43 -93.67 * + - - - - / * /,3597.41
68.28 44.39 27.57 -10.76 -41.65 11.9 10.99 66.37 28.64 14.69 - / * / + + / / *,-27.96
-83.84 24.73 86.95 + -25.07 37.01 35.59 -99.6 -50.4 + * / * + * / + + +,1158.48
79.9 4.41 51.16 76.69 -72.08 -12.63 58.56 * 33.46 -12.52 * + + + * - / / -,516.68
89.34 -46.9 13.82 66.18 -43.06 + 16.63 -64.44 -99.51 / + - + + + * + + /,-3.05
/ 70.58 -59.07 -59.96 64.4 87.7 -86.27 -89.47 3.01 -5.57 - + / * - + / * +,-3.91
31.62 95.6 76.55 -61.24 -58.46 78.77 / 30.61 -10.12 72.76 - * * - / / + * *,243876.91
-74.21 -22.7 -35.78 56.4 -22.17 70.96 50.59 33.5 -31.55 + * / - - * / * / +,-16.93
25.42 * -78.9 47.97 -2.19 -26.24 7.04 -73.0 20.42 41.6 - + - + * - * / *,1131.56
18.96 21.26 22.59 / - 90.03 -80.81 2.35 -53.19 -19.71 + + / / + + / * *,-574.59
16.36 -51.54 -76.72 25.33 + 38.09 * -28.41 15.36 -5.46 + / * / * * / * /,35.48
-12.18 -16.97 -56.17 -61.51 65.0 -25.78 14.34 73.53 92.51 -24.72 * + / + - / + * /,-2384.7
/ 69.18 -26.59 62.46 -29.58 84.7 73.47 12.53 -64.54 -26.89 / + / + - + / - /,113.45
-8.5 -92.78 70.32 95.44 -69.34 91.72 -87.44 57.99 59.34 10.96 - - * + * + * + +,5272.46
-91.42 -32.57 -34.61 -26.59 + -66.78 -71.98 -29.38 37.8 -77.06 + * + * + * / / *,3607.84
38.66 -4.04 + 67.71 -12.15 -88.74 90.72 -74.08 36.49 -8.06 * * + / - * - / +,21814.15
72.65 -69.77 48.47 76.24 -29.14 81.41 * 70.77 -33.26 24.06 + + + - + / * + +,-5046.92
