Formula,Result
-++-74/5435-9680,-217.17142857142858
+-96/*-242290-76,-721.2631578947369
+//+-93189339-8,1.5400641025641026
+++-276677/6428,-724
/+9255*/71-46-93,201.54347826086956
+++-8-43-43-4314,-72.18604651162791
*-**7111275395,40299
--90///27-6-22-100,-90.14160839160839
//**-309523470,-63.39458413926499
+*-*-52368-7-75,54779
++*/44-5-9615-38,821.8000000000001
*83*-*762-69-39,-408949
--+--51-3892-53-56,82
-++52340*746,1324
++50-40/*-21-48-22,3554.181818181818
/-5064**-10040-16,-60800
--*89-4651*-16-9,-4116.111111111111
+-87***-805893-18,10043913
-***78-503795-64,11856064
----1+9165395,-46.4
+/13-84//4642-61,-0.20843091334894612
++95/-5124*-819,-56.17777777777778
+-*53-22/-4-7343,-1123.054794520548
-+-+77-43-25-18-48,175
+/-4-97-/38421,199.54123711340208
-*//36-17708881,-81.61996086105675
+-**-1003589-45-90,-301045
-+/-1486*11-2048,-268.7
+**/9059501264,836.2542372881355
-*+/-98437475-80,-12568.837209302324
-*-22*-6031*-5927,-1881.372340425532
---5*-54-8/9550,-438.9
-+/-2486/-92-41-61,-1996.4285714285716
++-*-165204-79,-4145
---9975/+97-64-43,4.209302325581405
*/+--9624-476682,-315
+-**-8381-2881-78,-121173
-+37/-9218*2654,-1372.111111111111
--++-626-79-55-3,-53
-/*78-13-52/-368,57.0
/--1809/-4811,-92.36363636363636
+16*/*7422-995,-70.66666666666666
*/*7711-32/768,-67750.5
**//-2462-83-7793,-93.12592304702682
-++*9398-50-2668,9015
+*//5028-50-5920,-17.892857142857142
+/*-6191-11*-419,-5614
+*--3839-74/3314,109666.0
++/737/657066,77.35714285714286
--*-962182/-32-71,-2021.4507042253522
-**/-50-9711-55-86,36.670103092783506
*/*/-90-3075-9883,21.77842565597668
++*/7877916380,59.18181818181819
+*-5054/*641974,-2683.5675675675675
-+-51-66-50*770,-544
+/-16-10**18-20-15,11062.6
--+57-61/-63-2759,-65.33333333333333
---59/48-77-3044,-1379.6233766233765
+/**404-7970-75,-112.84946236559139
--51//92-87-89-18,69.06080634500992
+**88-6398/-3443,-304920.79069767444
-*-+8880833442,-64
++//44-63-21-33-31,-63.96674225245654
++-48/-10-457190,35.66197183098591
*/53-23*/-373965,-63.97101449275362
--27/**-54-9263-86,-2799.8372093023254
-+54//4857-3155,-0.9886813808715331
--8/*-836-66-49,36.878787878787875
--58*//-2-787995,-69.81499513145083
-*++50-783730-35,14
+*/-8-7930/-98-45,-27.720956399437412
+*//13-99-61-2329,28.922503725782413
+-*/48-56-7-53-79,-20.0
/-+--96-79-459169,-23
--*-4551/-123432,-2326.6470588235293
--+10/7564418,-62.75
-***78-26-32-71-29,17367151
++**-97-32-96-3540,-21.333333333333343
+--*-1472812946,-930
++-38**-38-36-55-11,-75289
--+-271*-5420-44,1136
-++*652-3597-74,167.28571428571428
*+47//-7749-1423,70.11224489795919
-*//3140734467,3.9945556726378655
-**--627809831,-36492487
-+/-4541-54+2135,-53.26898954703832
-27/**55-904757,4108.578947368422
-+-86-49*/-3565-56,-26.76923076923077
*---56928/1931,-92.38709677419355
+--/8632-96-88-60,178
---/70-2660-60-2,-141.69230769230768
-++941-74/-4513,28.307692307692307
+//-8182-31/4961,0.7832157459596807
+/364/*-30-6823,-24.442622950819676
**/*307418-68-2,13977.777777777777
-+*+2874969371,-7.53846153846154
++/53-17*-625,-28.9
-/*/-55973-4220,-19.998006813075307
-//29-975/93-63,1.4163966617574866
/+/-1263/76-8637,-112.88372093023256
