Formula,Result
--+-++-88*-62-99/-92-68-7167*63-92//***-13-6740348748,11701.693937345053
-++++--41**-5862-3398/-3576*32-9825*6315//-24-8010,-92456.49052631579
-+-+-*++-6430**/30-43-96-835957-43-69*-74-28/*-31-9228,-3342.964504283966
-++++-++-/*-7195-96-36-4*64-44-82/*97-661831-8642-60,-3019.40625
++-+--++/-73-60*/2968-71-5101598**/-4519-5160-93-67,-7313.431166150671
+-++--+-*/68-8316-37///98-4321-1710*767051-169328,5375.897950213988
+-+-///*///462143-44-1858-574/-19-45-2993/*-8-8611,-59.876791954057396
-+---++39*///24-43-112040-995493-16*//4025-98-61,-178.09256590585494
+-+-/+-75***699321-4-6645-25-65*-14-2//*68-74-1599,-3907919.0761904763
+++-100+//*90-37-96-99-14/**/*-50964450641//471073,-349185.9394043172
-+-++/423/**/32-66-83-9634**-8273-63*364169*71-3,375811.3987217947
++---++-+-*5316-38-30-44-61-40-82-72//-38-9392-83/74-31,871.3917850873711
------83***/567124-9054/-16-6093**/-968136/55-23,-61500.941642351994
--+--+-+-52/**/-75-1613-789487/-74-100-52-7-3239/-4342,-206.80135005065856
+----++---38-29///-441951619/32-68-48/-3863-991598,240.14508636788048
+*-----+-68-171792*-4615668-38-4//**-28182860-15,-16.08
+-+++-84-3824*//**69-732-4874-6248*/*366999-44-72,-362811.1891891892
-+*-++++--840/*/936857-19-1883*26-841914*92-81-43,-1468.1029411764707
-++-+-84896*/*//*-32-62-56-28-521435/-7636*/924556,-282.0897959183674
--++*+-+--+--56-96-10-3127-56/-876-30-3011-72/76-6232,-138.69086021505376
---+------13*/-384816/*6981-82807581-311193/79-13,-127.09787367104441
--*/-++--+-9**-9223-85-31-65-33*-97-22*-61228-70-48,183308
-+++++++*-7354*4053/-66-10-59/9776/91-550-45/-4565,-373.6313765182186
--++++-*/-59-6-4245/90-17-53*48-6/-7-81*/-80-3-15-32,-372.2076978939724
-----+//98-31-8840-31**/-26-78-5269/*32-827641*2879,-949.2798657200185
++----+-+-84-52-98-8836661/-1912****-74-60-6-3191-38,-78455092.41666667
+-/*/**/-714036-29-48-47/**/76-728-9757**-34-8565-98,-189240.8351851852
*++-+++-+--827587-77**-34-11-8062*57-18-57-18-32-8-39,62199
+-++-+-+724*6967-78-17*/-/3715-78354-2566*34,-4687.569230769231
+---++--*2096-52-31-44/1984//*288-63-9*-10201657,2199.8311287477954
++++---+--22-45*/64737-43-2*8-3968-91/7867/-68-77,361.4603394658554
+-+-+-+--+---*9411-63-757651305484-547117213-19,1263
--+-+++---52-9387-24507240*-19-73*552181/*-6928-71,-137475
--+--+-//*-1920-63-8662-7917***-740-39-57*-18-91-88-56,1859.2380952380952
-+----+++--76383250/62-80887*-46-9518-84-52*603,-4399.775
-+++++/-30-88-1-36/-71-66***45-8231-75//-487421*-94-75,2738274.444980695
-+++++-+89/46-8190-2813*/-4438-99//-31616947*3276,-2286.943687457074
+-+--+--+22-42-9-42-53*/6922-50/*-60-54-46-74*20-8817,148.4802371541502
--/++-+/**-753-11-82-95//82-6-1212/-3-22-4*-8981-98,7163.814547918207
-+-//**/*-42-751028144738/-36-60/*-6466-100**7711-75,69130.19767077267
---++22-11-9854****/-51-82-2431-7//**32-59998120,-508.03685636856363
-+---+++/77-4279986685-95*//768-23-8995**-36-6355,-124357.07246376811
---+++---+82-15*03-72/908114-85312436/*66-9592,37.896440376303076
-+-----*36-66619*-7598*/*-51-143-4-86//61-972399,5803.0449189985275
+-/---+-93-72-4657/727//86508*/-732168/3880-49,248.43169312169312
--++--10**/*248-62-6589*/-6233-580/3433/-53-7687,7278.333912126358
--*--+--+--9798/43-22/-366944/9329*-70-503219-7656,-3768.2259097723863
--+--++-39*58-30-58-33*/4367-80///28-703337-43/-5-57,-1741.7447633164838
++++-+--*32-68115552-81*//3776-13-50**17-6964-958,86091.87246963562
+*+--++--71//*-455645-1183+*-266681-62-72*97-6654-56,-6392.276094276094
------+-26*-94-90-39/8228-87//**87-9-92086-50/80-14,8598.268453195233
-++*-//6934-64/1198*-22-65/-4241***83-7785-8/-14-40,-1379027.5183447008
+*-++-+76*65-5980*/36-36-57-59///*-28-2924-5991-2261,-3835.9936983920034
+++--/4763/*-335921**205983/73-69*/*-866810-5359,212335.36187025535
-----+79-80/98-25**/*53-9488-4812***-33-92-1-99-840,-267867.6254545455
---+///*/8959-415438-91/**-756177-37-/49-4340587,93735.94627715569
----/5040**/*//**-8492-82-53-30-257423404466*-39-87,120372.19186639469
++-+/081+/-27-946*//*/*-105673-5790-22165/2266,-56.08537797090697
--+/++//+/50111411-73*-33237338/184422//37-96-38,-745.6014559626949
--+-++++*-62203317-17*394798-16*/-18-2074//-753381,445.42805836139166
+-+++--+/--90-49-632117**712759*67-70-85-66-28/2011,-117888.18181818182
+--++-*-45/*-949128-28-3/-412*46-39-25//-687599,1473.0064646464646
-+++++---+-4662-95-24-29//-7648-4-82/-88-33-2062*-7764,4982.0625
+-+--++-*-29-56/-1946/767363/*289336-54/-8284-93-28,1733.9872405989697
-----//**-99-5151-11966989/*/7589-73-32**62-51-4641,-145893.0236037234
++++--*--54/*-59-62389111-33*/**-547769-923024-71,182514.62573099413
+--++-+-77-14/25-174-37*/*-49-9-1526*/272-69/-5-24,737.525
---+++-+75*-7486/-110-29-9**87-20-18/-8-28*-35-23-91,-15680.787323943661
---++--55*74-11*//-569980-90*-89-4741/*571718*-4496,10223.803030303032
+-----93//4689-87//*60-8727-85*20-56/505898*-5661,-2259.1702866346072
--+-+++33*/63-377/73-31*-4970//-8265-796355*-96-12,-4552.289726469882
--+--++/*-1663-40-47/-1819-74*/-834444-29*/-72-97-17-86,145.85580366459368
+++++-+/*/*-85-7220-21-7487**-98-7641+-55-62-801-97,49748.142857142855
--+-----/*4561-98/4167/56-44-50-1819/-5096*6955,-512.8702504407462
+-++++*/*-65-65-28-38-44//1232-2377-4213/*/22-26-3288,5712.219959388438
+---+3965-53/-25-4029///*//*/-19-1089-742275733955,-871.9999898467698
--+---+----91-74-73715812/-41-18*/*-25-91-24974039-54,-4933.680555555557
-+-////*//*481275319-91296277-41-47///-38-65974,-6.001450653731877
+*-++8915///46-60-63-90/**1039-7-58/*76-24-56*-2074,-1381.9262435889639
--+-49//*/*-4071-6794-39-66-6/-8330//*/586-16-8437,44.21839626383188
-*--+/-32-84-49*///8732-99-2083*/-100-17-38/-2329*661,109.77789554693354
---+--+-49*//71-43-55-70-10088266375//*/3161957669,-151.11819691284495
+-++--++12///376979-6258-8143*/754521/9513587,271.1763692786029
++++-93/-5-37//*/**4547-4826437150-68**-96-9688-67,811045.5695235864
++--+--+--1132-98/-2533/-896499/89-18/5419*-100-4016,3977.0005399388624
-++++3/88-72--1045/*/*///-25-14-1-7869-5524-584812,-412.21033755516515
++-++---+/**386769-696-4029303/-24259*42-67-91,-32109.24
