Formula,Result
*---+--16/-73-5568*-54-59-95-87/084,-2953.327272727273
*-+-88//-11-4696/84-3//*5-6541-21,-65.04164378503258
*+-++/*7946*-908383*87-100387,1306.666666666667
++/-*5677-4*///97374445-41-61-47,4213.945713895714
+--+--2415/*-81-8155*-19-48-41*-44-85,3060.290909090909
-+--+-94-39/15-9326-6120/*-2710-61,297.41248016922265
--+--51-9178***/-54499-27-92/-13-32,19594.41193181818
+--+-67/66-422011*//-54-12-412978,158.75435540069685
-++++--39/81-9350357932/*-6661-27,-42.24014336917563
---/*1831-12///*-567-4831-214116,-103.4892793138761
++-*1420/6448*//-8933-66-66*-9098,-8544.030303030304
--++**6199-63/*-5476-9-95-43/45-73,-382254.38356164383
--+++-98-7135-211781**/-1855-6514,-7305.818181818182
*+-29**-88-68-98//***-9974-34486372,36503.19047619047
-++-**65-33-67*-81-6576/7919*3387,136780.15789473685
++++---30-706*-60677851-82/-2649,4099.469387755102
--**/6010-6899*/+/13-4885-6440-55,-40351.388020833336
+-++-/-33-12-476-87/-8749*--810-32,-30.04591836734694
++-+---61-80-30-58/*-899787-48-3170,11.770114942528735
--++-12*52-51*/*68-20296561*26-15,8029.137931034482
+---+81*276176/*7838796*4415,3249.5714285714284
+--+++--4154-1644*23-98-56/99-3644,4425
-+*-61-54/**-95773036//*93-54-2746,-2998.3768115942025
+-++*-124463*//2323-9461/-90-58,-7.141457680250784
--+*-9656/4885-45//**-831365-854,-5139.5768382352935
--+/-189/*/*1035-77-4123*-2284-15,1866.3166861228658
-+-++-/12-66-2162/-14837/44-7670,-68.0865231259968
---+++-129096/*1858-21-8855/-8599,253.84380753346267
--++49*84-6161*///35-441891055,-5068.976020827624
*++-30*/5765137*/*-5689-95-2535,-1250.9789473684211
--+-99*67565*///93153193-54-73,-3575.0019886692103
+--/-77-60*-9946****-1227-33-31-7152,10632455.283333333
--+/*1484-48-96//-99-27-77**-8830-95,-250728.45238095237
++--/*-59-71-55-5*46-71*32-38*-79-42,5296.836363636364
-------9386*7890/-2019/14823-22,-7282.37962962963
++-+19-24*/*/-51-7561241558*-6533,-2117.925
++/68-69*-81-96/+///-84-99-5345-7843,7775.015138083623
+-+*/-36-92-10089//-88236//252836,90.23733571878657
-+-*-7/476392*//*-51-65-64971158,-151.33817092128947
+++**996118*49-29/*/-74-587388,3539.0583855799373
--+--/-55-414//-8263-267/-1792-89,137.5103730074568
-+-**-38-86-716758*/*/6267-179-46,256362.5953565506
+++-+*-41-1091*13-4743/4-38*5585,5829.894736842105
+-++-*15-27/*-88-7926/23935-5171,-582.8290598290598
-+--**48-9497/*-397437-28/-93-9758,237504.95876288658
-++--/*-81-241-97/9542-63*-82-45-28,3751.88443670151
---+-+-/-80192-25-1-21-46/-9021-44,-22.714285714285708
--++++++79-99-858694-4133/53-53-52,18.41509433962264
-**-5663*-45-55**///1054-59-668146,-6003.17719568567
+++++//66-47-34-46-62/-52-9/275-76,-63.15425392852177
+-+++64/+3144-20*057/67-23-95-99,-11.113043478260877
--++-*4073*69-65-13/-70-59/49235,4885.464218455743
++--8983-14///*-93-42-61-57-97/-9558,18.3504877054548
+-**--56/*-378790/821057*-98-8772,-8539.433333333332
++---543833//681629-/*7915-15-32,-7708.853448275862
-+-/--+-2-42-7516*-12-56-845-16-17,-725
-+-+++-88-42-30/*-952872-43-10*-40-50,-2109.8888888888887
-/--+-63-98-674*/-4421-38**5817-57,56052.619047619046
+---++-58-23*/-6454664625/-272-72,-121.72222222222223
+++--/-7654-37-93--98-8-10//-15-9828,-3971.7445335276966
++++-+/*68-19-68-4*5016-2-35-1867,-769.0
--+-47*141*6255**-2380-92/34-77,-165837.80263157896
-+--9-87/**+/*-8598488561104950,-183753.41666666666
++++-6///-67-596066*59-82/34-63-87,-4931.539395773718
+++-*44-84-4/**46-45-13-60*3091-97,9076.5
+++--37/3459*-72-46*/91-40-18*978,4050.550117702448
-+++-6430*/95559/*-638837*-2263,-1456.837837837838
+---+-+-66-58-17-346567*-9954/-64-3,5211.333333333333
++++//1114-7298-33/+4088-98*49-42,-2092.0740826633682
+-*++-/4174/85-82-57/-56130-12-44,-118.46806225963223
++++-+6488*/24-65-6857-70*-25-32-36,877.8923076923077
-++/91-4/**-15-7783-5//-651-6195,8829.651928640309
++++++85-32*80-19-6-1044*/-7-56-15,-1700.875
+++--++35782-57-2*/452161-3063,337.7142857142857
----+-*/-375926-773972-13/60-967,-27.63841807909605
-++-++-3*-17-3958-2-8268/43-50-75,-379.86
+--/-2666*1571**/90422655*6-36,-4482.39393939394
+-+48-46/**/*-87-34-36-9354-95/5696,4438.172807017543
+--/*618-64/*-7114-63-72/*-709084,59.041666666666664
++++-+29/*29-6-34*48-971058-976,4830.411764705882
--+--198/*656871-86-80*/-55-25-95,105.98653686826847
+++--+-42/-1684-25-10087-71+*10-81-55,44647.857142857145
+-+-*/144628*/*87230-9-9-17-10,179.32173913043476
++++-+++5647-94/-747647858-6017,-5564
-+--3/-38-7//-53-53-8***5648-92-28,8037111.446428572
++-+-+*4650-84-82*5194-19/-984268,7138.666666666667
-++--+2*-63-97-6351-68*4459*-38-68,6069
-+-+-//-1008493385**65-97-93-36-12,-586421.0128008192
+++--/-79-72**952242/55-289358-69,-87694.93849206349
-+--84/***/88-6982-30-66-4495*446,3062.478260869565
--*--18//5-66-73-7*/-1110-52/9296,-83.15905431386686
----/*/86-29-8958-52-4256//3863-91,-195.73893513013613
++----25-60*3961/-4730/0-9-1-32,-3430.4333333333334
+++--18/-48-53+3272/+*36634713-94,-108.7492683060728
---+-+26-12-61//*-8765-797334-95-25,118.98057915727415
