Formula,Result
--43*54^78267,-328602
/52-4-^10188,0.63
--86^962*886,-9694
-10+^43^55122,32.22
/-+731449/2517,43.24
/+^2615*570,-319
-/+5171^4914,167
--^452*609876,6709
-/3755++297492,-194.51
---7877^368533,1333
-+/*5315873285,-55.86
+-+484731^8218,146
++/796252/4024,1075.95
++^882^94217,8854
+++^7624889,5955
-/5177//91020,0.52
+-*8355^88140,2977
-/1^342^182,-324.0
//514-/105764,-0.05
-+/268594^162,-349.69
**5353-^51165,-14098
+^721+^45225,2078
-^^111/898879,-69.01
-^512**456947,-269811
+55//+39394957,55.54
---+9539417887,84
---/9648874113,-139.0
-98/59+2*6786,98.01
--23*/59687372,-33.88
^+/86^5429429,65.51
+-26/^2169672,97.96
++-46^2329979,-7360
+/+3681/275626,7266.0
/*/5668-462693,0.24
+-+8421^45135,95
+-^15276*1327,500
-60-+9920/2291,-58.76
+/9855*/931477,2.31
-+^882*97281,13904
-*38^181*4519,333
-+92^8456/8745,7146.95
+^^29246/7598,887.77
**-882617^2560,385.57
++^2128*342,634
+*/495979/8737,23.78
++*96754*6574,4820.5
+*-*7327848440,1843
*73-+648/6529,20860.38
+/6989//137234,3.3
++2853*74^361,7259
-*48*/91571086,-22.04
*56-/*6697643,3901.62
+*/2481/669238,141.88
-++^25189186,126
++87*79^80121,6427
-^8728/*648893,26.44
++54/9884*9465,291.17
++^45512/8148,17.69
*-+-230783232,-72
/74++/5842275,0.66
-*3065/66/9646,63.38
-+^391^45240,2024
-+25//79539129,42.01
-+81/224*842,7137.02
+/1/68^75136,28.5
--5326*/103362,-5.79
*41++^2119878,8077
-+-2446/129,-49.33
+-57/73^6326,50.99
++-121/218854,87.0
++92/3740^241,121.33
++74^8569*5445,-4721
-43/*587^801,9.38
+*8449-3^771,658
+-^22961/1770,422.76
+33-^562^5550,-21
--*132338/3240,336.2
--17*759*316,-844
*61-*/23111438,13969
--++422177390,-45
-/63^221*4089,-3557.14
--/696688/5590,-83.3
--^452^99118,1997
-+*422^326045,75
-+*646152*696,3614
--+50^3314297,-28
*+5722*56-2446,-1153
*///361433774,74.0
--1659*/989181,-43.02
---683696/6699,-6598
-57*/*63287284,-2001.0
/-^34270/9193,1086.98
+++^31554844,228
+-/5146-918511,11.04
--/6875^53295,-6655.09
+^642/66^6916,4096.01
++17*9157-5418,5208.94
--*184674-7111,694
-^+2241*26186,-49
+70/**90406548,4945.0
