Formula,Result
+ / 56 43 / 65 + + 4 * 2 10 * / / + * * * 7 24 9 ^ 61 1 42 15 32 68,1.31
- - - ^ 27 2 / 50 ^ + 6 6 2 27 / * 35 96 + - - 88 57 * 27 78 / 52 94,703.27
+ - + + * 92 76 ^ 98 1 / 35 ^ 91 2 1 + + + 40 ^ 70 1 / 80 20 / 8 9,7203.89
- - + - 31 / 62 62 * 33 60 / / 26 53 48 / * * 68 4 22 - ^ 79 2 / 96 17,2009.03
- ^ 30 1 - + + 1 20 * 78 82 - + - + / / 66 24 5 ^ 48 1 5 71 ^ 83 2,-13161.45
+ + 33 19 / * 92 69 + - - + + + 95 ^ 30 2 ^ 29 1 18 19 98 * 70 - 85 66,54.82
- - - - ^ 57 2 * / 53 96 12 / 43 ^ 83 2 24 - + + * 72 28 92 50 / 72 43,1062.04
+ + - ^ 38 2 ^ 2 1 ^ 69 2 - - + + - 86 43 48 / / / 64 40 93 42 68 75,6151.0
+ + + - - + - * 75 ^ 90 2 * / 14 25 29 61 13 77 2 98 / 7 / 34 ^ 8 1,607556.41
- + + + + * / 72 4 25 * 27 69 * 42 42 - - ^ 20 2 94 23 * 46 85 * 8 81,7622.0
- - + - + - - 94 93 + * 7 ^ 56 1 65 / 48 87 / 50 9 ^ 29 2 31 * 23 31,-364.0
+ + + - + - 51 64 ^ 55 2 ^ 64 1 - 34 / / 60 63 35 / 34 58 + 61 / 16 43,3043.93
- + * 96 84 / 54 ^ 75 2 / 25 - + + + - - 14 45 7 16 98 * * 94 35 79 22,8064.01
- - - - + ^ 99 2 / 60 81 * / 44 93 55 ^ 57 1 ^ 88 2 * * / 49 8 30 60,-9050.28
- / / 85 93 67 * / 7 4 - + - - - ^ 95 1 * 81 ^ 11 1 / 23 59 98 16 56,1635.2
+ + + - - - + 76 ^ 2 2 42 44 73 14 / 60 84 / / / 89 90 34 - 83 - 13 58,-64.29
+ - - + - + + ^ 77 1 * 19 69 52 36 * 51 ^ 34 2 / 68 70 * 1 95 ^ 33 2,61353.03
+ - - + + + + + ^ 60 1 * 28 93 / * 56 14 90 83 99 ^ 21 2 15 83 * 49 99,8048.71
- 72 + + - 51 + + * 83 ^ 94 1 * 36 83 19 37 / 46 + - / 38 23 84 ^ 30 2,10792.94
+ + + ^ 81 2 75 ^ 65 2 / 80 + + / 90 ^ 60 2 10 / / 12 / * 46 29 12 13,10868.97
+ - - + * * 14 8 ^ 31 2 * 85 82 36 * 49 2 * 66 - * 72 ^ 58 1 + 48 86,381240
- + + * 61 79 / * / * 8 47 / / 14 3 85 57 19 * 87 74 + + / 21 82 36 60,31706.46
+ - - + - - 11 86 90 * - - ^ 90 2 * 70 ^ 45 1 86 26 / 26 10 75 * 57 31,127988.4
- - - + + - + - 13 ^ 36 1 * 52 34 * 88 84 ^ 8 1 ^ 14 1 21 ^ 17 2 29,-5964
+ + / 71 + + + - + 63 * 57 55 / / 63 88 ^ / 13 71 1 97 4 69 * 72 68 14,4910.02
+ + - ^ 55 1 ^ - - + / * 89 70 ^ 49 1 64 24 24 1 / / * 45 75 35 88 31,-56.05
- - + + - - - + - 1 59 / 99 87 * 30 61 4 25 30 * 30 ^ 70 1 * 96 92 90,-8707.86
+ + - / 70 + + - - + * 61 ^ 17 1 52 67 48 27 76 22 / * 96 30 ^ 7 2 84,120.84
+ + 57 61 / / * / 69 80 97 + - 46 ^ 79 1 5 + 38 - + + ^ 68 1 96 16 9,117.99
+ + + - - / 66 ^ 87 1 61 95 23 88 * 7 - + ^ 98 2 80 + * 71 5 * 60 16,58538.76
- + - + - - + ^ 58 1 ^ 38 1 4 10 ^ 59 2 * 91 40 * * 75 59 + 32 43 6,331792
