Formula,Result
/*-^-1832-427-327-776,-13834.29
---814^-2261^23372,-601.78
+++-36-722/-787-191-235,97.12
+-904+/181^4372138,-487.0
+++^-688191-29711,-31
-219*/*674-166-981-470,53822.96
-799--114/-706464799,2490.48
++*-776^8361852-855,57
+++-983-972177/-71694,-1542.1
-+78+2811*-295281,82692
+/117^-414-836/2391,0.0
+^-252--351^-7362,-625.0
^++955-866-14684-125,-10360
^--802/-586-274*-965-914,-813350.14
-688^-970**83-842-301,688.0
+//*-872-287-937-995-435,-762.63
*-*-796-619-219/-759805,-80972.06
--//784456332134235,-235.0
+*//-67232424-483-563,-482.5
++--954-956*23362226,538484
-^9031*/-48-727-407,929.87
++-^-7211-604617-47,1558
+146**-941-981/-305-971,290106.77
/^/*286653667-156830,-0.0
-+327--52814^-6321,93
/+/247106810^7042,496428.33
++--625687-2781-176,-1210
--+^9841-431-54-443,1050
--205--717-492-26,1453
+*419-849*/-51546867,-225072.63
-466/*/962400-230793,465.5
-+-815*-918-939*984315,-470507
--34**/-816-769-484791,258763.92
++-183783^962^-6832,-966.0
--410-481+996^2562,-65857
++^912-273^-456289,-206662
-*-749-700/568^-1852,524300.0
/+*/634-480-646293-813,1311.26
---4213/-662/-463-310,-638.76
-/-659^9561^2342,-54756.69
+--^-6552-475557-463,-429570
++-181-1*-333^9521,-615402
/-+*-439449518-113347,-196210
-++830763*-693-694-191,481134.09
-*/-147-149-148^-2242,50029.99
+-34+//163-677633-783,-662.0
+--318*176^-3071250,52726
/*/-781-370292*-899562,-0.0
-^-293436/*246-833-135,-1810.91
-^-7741/--685-512830,-329.16
+-/-8678503/-302487,-503.48
-346/155+/-687144-946,346.16
-//-178927-380^-3851,385.0
+^1341/*900525-398,1004.17
*^8892/595/290-296,790504.26
^+*424683-742^-501,-347895
*--394233+^8601592,-162624
+/211^461/-322557,4.52
--//-887-352-651470-495,-1865
/-/-206^-513-847910841,1.08
--/1381651/101538,-170
/+*^-736-893155989767,1175
++*597380/-6491702,226913
++352+/911604277-178,-221.99
-+*608^-4761-326-91,-290011
+^8332*191^-452,547576
+-486-+^-2901-9661,-1742
--648/464-19/591-242,645.74
-172---89^1511260,778
-/-1401/-960-922-663,-1475.02
/*-701-397*219-575924,-95835.2
--612+-^-197-627717-122,342
/--66^*-561758309155,855.17
-+*-716^-5851-961-256,418497
+-/-644-826-410^9012,643614.78
++-^6412-390-416491,224644
---564^-3501^-3961,723
/*^-5853-80+210224,23137.62
+/*-617-880^6821-94,1107.13
+-+659911*-432186270,-78512
++^22760-954--193-259,51436
++^9982188^2721,995993
+---551*-30252532143,-38715
-/*-81567-702-246-617,771.34
+^--567*-475-557-815471,-459761
-/70-101//34885-282,-0.32
/+38^-221*338-232,-201360
*+-115^4862--527281,235273
++751^6941^4302,186345
--246^-442/458195,2179.65
+-760/43^9312999,741.0
+---459993^-9792-171,956818
-^830/657^-131936,-55.46
--374/563+-952120182,-374.35
-^/-641-933-183-63925,2272
--*248265^9821-346,65339
-+/-363/96481171-234,615.19
--*^4081852-908-970,2009
+///432630656-967837,837.0
-+/-370368-837^1672,-58694.45
