Formula,Result
-32.4715.1311.58+75.98/*+-,-816.95
-23.47-74.16-12.89--^1^-,-106.16
83.65-80.17-2.0781.58+^1++,82.99
52.59-84.33/-45.8514.77/*+*,-4407.19
-47.26^87.31*/*79.73-2.18-,13499.59
-27.8933.244.4184.27/-^2*,925.99
89.2299.3297.07--84.6++/-,-264.78
**-19.91-35.3-//^2,-36.17
/44.350.82+/-^1-43.57,93.87
80.8461.439.958.45-50.83/+^-,19.59
34.06-77.55-42.07++^2^1,253043.15
21.4374.25-72.190.1-89.97/*+*,1663.17
-20.32-4.66+45.66-49.02/+^-,-43.11
-65.85++-34.15/39.3/*,-115.31
31.75-19.74*/-43.15*59.7253.41*,-19.74
-61.64+*-33.61+^-48.19+-,-157.37
71.1772.8832.6185.54*/+-/,32.71
81.5368.36++-39.37-94.6931.04**,121288.81
-28.24-95.96*58.3-^16.83+*,6028.74
-67.96/--15.26*-*^2,-343294.81
82.57-58.23-12.97///-96.79^88.62,-0.0
-16.35-14.96-75.51-82.37-+++2,-289.14
69.3615.64-+-84.0288.6631.88++,-17.2
-72.29-84.05-80.19--^1+,1.85
^38.57-94.27^-+^1+,154.73
49.5938.0+29.05-*++/,14.86
-76.51/^-73.34++^284.42,0.04
49.5592.77-57.22-+-/^1,24.12
-18.21-62.6+^2-^2-7.42,-4242.94
-17.35^99.7674.97+^2--,5733.8
97.17//47.49-^2*+,2195.58
6.4-10.89-56.9-1.83*/1/+,9.79
71.54+^1-40.82--^/,5653.67
96.645.35-68.33^/-/^1,0.92
53.6237.39-96.19+^^-66.53^2,-1573.28
67.03*13.23*--33.4264.48*,-145560.44
-1.77+-136.77-51.32/*-,-133.9
-44.46-18.1265.38/--/+-,-75.94
-50.443.8-17.79-52.58+-/*,14.67
+82.0128.01-65.09-^1/+,-97.83
63.9997.772.81--^2^1,-9536.47
*39.25/38.1660.89+^2-,167.2
-41.43-69.34-83.0251.8--2-*,-106.5
-78.2235.01-32.67+^-67.64-*-64.16,-6050.91
80.26-10.484.27-40.4267.03^/+-,-102.01
-38.18-14.6471.63-26.08--^2+,-5180.48
-42.18^24.78-13.77+--^98.89,-1359.07
-80.59-19.41-99.28*44.26//+*,1564.25
--91.3519.25-7.83^^2//,-61.36
-+^1-88.42*71.24--,74.4
82.71-9.28-91.4+++^47.22/,-18.83
*31.32*-16.215.85/*-*,-987.18
50.623.9471.98/-+90.84^/,-32.19
70.16--87.55-96.76+/-+/,87.41
-52.4899.9225.32-33.63+^39.82-*,4138.14
34.59+^2-20.56-44.85/^1,1198.65
+27.0629.4316.16-41.15*+*+,111.02
--98.07-92.0643.49-81.62+++-,-309.37
/*-80.38/-65.69-22.99*/-,2041.39
54.4231.18-91.6852.93/^^1/,-0.0
39.94-48.358.472.47/*-*2,-1655.14
84.01-65.96-90.72-+^1--,-194.37
58.6725.79-22.78*/-^82.25-,-80.36
-26.696.6618.65-^1-^1,38.68
-5.2-88.79/^/*^1,-5.32
94.1591.771.82--^2^55.46,-8514.06
-38.93+-98.64-^1-29.22+2,716.24
62.66-47.86-16.74/-2.2792.81-+-,9.12
/61.884.89-82.61-^^1+,-206.53
-87.1722.2495.41+***19.49+,115116.16
-16.52^21.2293.97-*2*+,9881.42
-93.24-33.8747.0952.71*-+**,-148681.13
-61.04*-56.8529.52+/+//,0.01
-5.76-54.15^12.07*-^1-,-697.12
-60.1574.94-3.42/^1+/1,-138.51
-91.27-63.57-22.94--83.6+-*-,-1502.36
-41.04-25.88/-12.5227.27-*-*,-212.78
-26.5455.48+^^2/^2,5896.63
*15.34-4.9-^2-+2,-2558.39
*43.9150.0250.02+*/^2,49.67
42.12-76.92-3.33/+**^85.28,10871.53
-0.27-32.85+96.2287.7**^-52.52,8440.89
-32.47-58.8811.95*^1*^1,-14.46
59.78-38.63-54.82-+++95.83+,180.55
4.5-48.6874.67-74.32+^1+/,-10.47
-21.14/38.97-83.3442.11+/--34.04,-0.29
*50.26-29.3-66.9813.05*/+/,11.27
-79.82*86.44-44.77/-+^2,-3969.11
-89.8645.6357.12*/++2*,-4100.29
-84.62+40.06*-86.739.86+*/,-758.51
-3.02-80.2132.38-97.96*-+2-,-102784.76
-62.67-97.9622.12-27.1+-*1*,-6144.13
-2.19/^16.63+/2^1,-0.01
-84.3-55.39^^1/-14.89^1,-61.05
25.5-99.31-70.95-48.05^-/^52.0,-115.11
/56.67-68.8-41.98-*++2,220977.59
23.94-/-20.8/*-^2,-542.8
-8.2364.48*/-43.24^-^-42.15,-20.67
74.2264.86*-74.75/--*-21.16,-4279.58
/-0.6-16.35-71.01/-^^1,44.63
