Formula,Result
/-19-/10^-27117,1.09
---11//-6823-68,56.99
++/-45^62224-54,-173010
-*-61^782^67-8,-370588
-/-49^-5461/-43-67,-2.12
++--986037/611,-123.35
++^-87213^-272,-7781
**/*6041-906270,172200.0
^^*90-12^-751-84,80916
/**10-5436*-261,1890.0
*8**82^-63173,-41912
+^-102/-82^1846,-104.56
//-2144-^50273,-0.0
-/51*/-93-7-660,-15.43
-/+47781*-8884,7518
/**/38-6876-725,-61.16
+^-5416**-2150-58,7031
/-76+-/-68-310-19,-0.04
--/-16^-1029627,-122.84
+82---50-97/-6-76,129.08
+-*-3660/-39-9119,-2090.43
+-41+-/-93-5364-66,-185.25
++20^8-61/-42-77,84.55
^**/-84-90-91-7475,-6823.24
-89/**-56-64439,-559015
*-38/*390^741,-43.0
/+-*96-2537286,-2360
-^871+33*3831,87.03
---/932958-66-51,172.21
+//13-6499*3837,739.99
--^-661/2-48-98,32.04
*/-5469++-27518,56.35
-^-491*29^2061,-11649
++*1175-18+-8639,-2547
+/38+/-11-59-66-34,-33.93
+-^-41218/2691,-1698.71
//83+^46-79-564,0.01
--*/1077-31-1-92,88.87
--+-46*21-78-8591,-1651
+/-16^-331^61,5.45
++8*-62*-67194,4324
-*-73-16**858121,-143417
++--29^-46197-44,70
-+-83**-5862-33-25,-97150
+-46--19*-86^192,-13422
----19^-512-87-27,2696
//-6477--97*-9912,-0.02
--45/-4^-771-35,118.95
-/37-24^-81/-2630,77.78
++^-841^-441-9,-137
+/-*44-5499-68-13,20.84
+-13-/-100/48-10-55,-13.38
-/-94^2051/90-80,-1.16
++5711+^-1248-14,-90
+/63-1^--842428,11601.0
-^6298*/-55-53-77,3875.96
-+47-95/28^-9676,-48.0
--+^91-97752,-147
+-^-3767-51/-6-21,-2427.71
-/-84-47--34*2-29,-22.21
-+-357^-97220,-9401
--^-74-85^-5711-51,-17.82
^^/25-27-20^-882,-0.0
-/66^-7547*-45-73,-3285.88
+*/*29-1772-550,4.06
*68++^521-3143,1904
/^491*-47^67-38,-16918
+-74//*-36243-55,-73.97
+-^161*-197940,1592
--/536635*7620,-1517
-*45^-672^-201,-61585
+-86-/20-60*53-23,1132.67
+*-63-5**-441-99,3307
-*76^-581^-671,-4475
*--6649-^-4251,216678
+-/93-49^-85288,7159.1
-*2/-48-98^-79-91,1.62
--/3-4336*-44-81,6200.93
-/-24-19-+-6384-63,5229.21
---48/-59^811-70,22.95
^-70*/7656^-642,5488.86
+-+22-77^-932-31,8816
++65-22/-16^-922,43.0
+^-51--22+-14-68,54
/-86/*/-82-72-70-48,-25.89
--57^60^-512-85,31354
*65-**69-84-6250,0.0
-*-85^761^-942,7909
-78*/3690^521,57.2
--25/-92-1*1727,-526.0
+//-4743-84/524,0.93
/*23-78/*-1228-2,-133.97
-++-19*-3-70-6953,489
+-94/--75-19-15-43,5.26
*-^-851-74^-762,-28880
-++59289*2751,2193
-+21/-45^-842-76,80.01
