Formula,Result
0.07 0.02 0.09 0.1 0.04 + - - + - 0.07 0.06 + / * 0.08 0.04 - 0.08 0.04 0.01 - * * 0.01 0.03 0.02 - -,0.32
0.03 0.01 0.08 - / * 0.03 - + 0.03 0.01 0.01 0.05 0.05 0.01 / / / / + 0.05 0.05 0.03 0.08 - + * * 0.06,-13333.26
0.02 0.04 0.05 0.07 0.06 0.07 0.04 0.01 / - - * - + * / 0.06 0.05 - / 0.03 0.03 / * 0.03 0.04 0.03 / /,0.14
0.03 0.06 0.01 0.04 0.1 0.1 0.02 0.05 0.01 0.07 + - * 0.06 0.1 * - - - - + + * + 0.1 0.05 0.06 - *,-0.17
0.1 0.01 0.1 0.01 0.07 0.02 0.05 0.05 0.01 0.06 0.01 0.07 0.08 - - * + * 0.03 0.02 / + / * * * * - *,0.02
0.01 0.03 0.05 0.08 0.07 0.04 0.05 0.06 + 0.03 0.07 / - - 0.05 0.05 0.01 0.04 0.03 - * / / * + / * + *,2.57
0.01 + 0.01 0.08 0.08 0.01 - / + + 0.04 0.02 0.06 - - - 0.1 0.08 0.07 0.1 0.1 0.05 + - / / / - 0.01,177.46
0.06 0.09 0.05 * + - 0.06 + 0.1 - 0.03 0.09 0.02 0.09 0.1 0.09 0.04 / / - + + * * 0.06 * 0.08 + 0.05,4.28
0.04 0.04 0.09 0.1 0.03 0.09 0.09 0.04 0.05 + 0.02 0.01 0.02 0.01 0.1 0.07 - * * + * + + / + * - * /,1.07
0.08 0.07 0.08 0.02 0.09 0.05 0.07 0.02 0.04 - - * * / - + - + 0.01 0.07 0.1 0.07 0.04 0.1 + - + - *,0.08
0.01 0.07 0.03 0.03 0.04 0.09 0.02 0.08 0.01 0.03 0.07 0.1 0.07 0.03 0.05 - + - - - * / - - - + - * +,-0.2
0.04 - 0.02 0.02 0.07 0.07 * + / + 0.05 0.1 0.01 / + + 0.03 0.04 0.09 + + / 0.07 0.08 0.05 0.03 * * -,0.82
0.07 0.09 0.04 0.06 0.06 0.04 0.01 0.09 0.1 0.06 0.01 0.04 0.05 0.04 0.03 * / + - * + / + - - - / - *,-0.42
0.03 0.01 0.1 * / * 0.06 0.09 0.08 0.04 * - * / 0.09 0.06 0.08 0.03 0.03 0.03 0.1 0.01 + - / - - / /,0.0
0.06 0.06 0.07 0.07 0.07 0.02 0.04 0.02 0.05 0.08 0.1 0.08 0.1 0.06 0.03 + * + * * / * / / * - * - +,0.05
0.04 0.1 0.08 - * / 0.06 0.08 0.1 0.02 0.03 0.01 0.06 * / * + + - * 0.08 0.1 0.09 0.05 0.02 * + - *,0.08
0.04 0.1 0.01 0.07 0.01 0.03 0.07 0.05 0.03 0.08 0.03 0.01 + * * + * - / + * + / / 0.06 0.09 0.04 / /,-2.65
0.08 0.08 0.02 0.08 0.05 0.1 0.05 0.06 0.01 0.01 0.04 0.09 - * * - - / * / / / + * 0.1 / 0.03 0.02 *,-181.95
0.07 0.04 + + 0.04 0.01 0.09 0.06 - / 0.09 0.01 0.08 + + - + - 0.05 / 0.07 + 0.06 0.02 0.02 0.01 / / *,0.35
0.07 0.09 0.01 0.07 0.04 0.02 0.08 0.01 0.1 0.1 0.02 0.09 0.05 * - / / 0.07 0.03 - - - / + - / - + +,4.38
0.01 0.08 0.1 0.03 0.08 0.08 0.04 0.04 0.04 0.01 0.02 0.06 0.09 0.07 + - / / / - * * + - - + - - 0.07,-7499.89
0.04 0.06 0.03 0.07 0.09 0.03 0.1 - * * / * / + 0.04 0.02 0.1 0.09 0.03 0.09 / + * 0.04 0.06 / * + /,5.1
0.06 0.07 0.04 0.1 0.05 - 0.01 0.08 + / - * + / 0.04 0.06 0.09 0.03 * - + 0.06 0.05 - - * 0.09 0.01 -,-1.35
0.06 0.08 0.07 0.01 0.07 0.1 0.08 0.04 0.05 0.04 0.07 0.03 0.08 0.1 0.1 + / / - + / - - - + / - + *,49.21
0.09 0.02 0.02 0.06 0.03 0.09 0.08 - * + + / + * 0.06 0.08 0.01 0.03 0.03 0.02 * * * + / * 0.08 0.03 *,1.14
0.05 0.09 0.09 0.01 0.02 0.07 0.08 0.05 + 0.04 0.03 0.09 + + - / + + * * + - 0.02 0.09 0.09 0.02 / + +,-1.19
0.03 0.05 0.08 0.01 0.1 + / + * * 0.08 0.06 + + 0.05 0.09 0.07 0.02 0.05 0.02 0.03 0.03 - + + * + + +,0.23
0.05 * 0.08 0.05 0.07 0.05 0.09 0.07 0.09 0.07 0.04 0.1 + * + * 0.01 0.1 - - * - + / 0.07 0.01 / / /,25.52
0.04 0.06 0.09 - - - 0.09 0.01 * * 0.04 0.03 * / * 0.02 0.03 * 0.09 0.01 0.03 0.03 0.04 0.1 * * * * /,-0.01
0.06 0.05 0.02 0.05 0.08 0.03 0.05 0.03 0.08 0.02 0.04 + / * * - - 0.04 0.02 0.06 0.02 / * * * - - + /,0.8
0.05 0.04 0.07 0.03 0.03 0.03 0.04 0.1 0.09 - - - * - + * 0.01 0.06 0.06 0.08 + / 0.01 0.06 / - / + +,-0.41
