Formula,Result
3.326.026.132.843.84+*8.05.574.79+*+*--*7.96-,230.92336767676767
/7.035.38*-/2.78-9.222.78++3.395.082.440.32++/,37.842915707276084
5.434.023.582.636.485.92*5.72//**/***3.24/4.73,256.9640549968573
6.971.944.99*2.516.051.46*-+/*--7.5+6.26*3.39,-29.080704609218436
0.284.287.019.69/5.88-+--+5.83*7.65//**2.3,-3.668486135751041
9.19.95-/*9.016.51**+/-1.96/0.695.44.55*-,0.009061812546395768
8.71*7.911.94.297.278.9++-0.080.660.980.83**-+/,156.03667253528042
7.31/2.08/+/6.575.98*9.03-++*6.721.61.16-/,3.210056398467609
8.492.31.67-*+8.92+4.161.489.03/4.834.01**++/,-3903.34772442723
9.370.481.97.927.495.618.795.587.59+**///+//*,82.46842585409689
4.728.376.553.449.427.92+/*+-/5.856.165.7+***,-146.8235427906977
7.498.423.384.835.88.323.6*8.494.13//-+-+-*-,-32.09740364442597
8.370.22.021.354.267.15--*-/1.454.98++/7.76*8.74,-31.863589445374977
3.862.2910.02.415.375.613.04+-*-*-+3.570.56+/0.19,-101.88066842105262
6.541.633.071.669.373.491.91.79**/--/5.417.57/+/,-0.5997952112401155
6.831.32.719.984.80.737.58--/--/+8.82*+/-,-10.59931103785726
1.476.631.144.91-/**9.628.30.85.496.13+///-2.47,3.963173834767675
9.64+9.9-9.89.63+/*/*/9.55.079.448.69//*,18.98718992262498
4.83-8.50.65.35-*//2.17-4.548.767.45/-///,5.393547837245321
9.09*2.956.37**8.999.067.26--+0.487.875.14/-/9.23,-1740.4127581326857
4.39+8.028.076.633.221.93//++*/9.642.44+**7.49,38.06243502923127
5.724.635.735.937.528.367.04/*++-++4.938.555.3--,10.902631578947368
4.66*7.643.45+//*7.687.696.547.658.375.16--/-*,-18.965985209375138
0.54.31.251.714.92*-/**3.194.283.197.354.87+*+/,3.1329674418604654
2.915.25+4.046.793.05/0.58-***//+*6.133.69+,-69.00134402735041
1.86/1.845.385.72*-+9.694.662.476.226.96.19/---/,0.040437064371703406
1.31*9.560.889.253.77-+/*-+9.052.58.456.98-**,-30.30418828451883
8.382.39+/5.164.371.42+-/3.35.46.688.855.49*/-+,-6.917489384820821
2.241.43/9.152.03/**3.55-5.758.986.546.843.08/*+/,7.376202462670108
2.236.071.91+2.996.67.887.717.57*//**/*-+1.81,272.07138609006495
4.221.681.661.036.15.8/6.94-/+**1.12--/--,-5.6763784794349785
0.297.9*+-2.891.494.710.82-*+/4.852.857.61+/8.96,8.39708901241244
2.028.535.29.181.558.12*8.42+++*8.389.44**+*-,315.42678
0.820.082.54/6.382.33+*--*-*5.51.991.04/-*,-26.94558341708543
4.04/4.417.689.317.313.572.413.79.923.76/--*/---,-0.1888741203800762
4.355.481.197.95--+/1.720.028.67//--8.20.73++,6.626512881158417
5.52.910.83*--7.058.69-8.97+5.252.94-+/-+/,6.3752288408169075
8.381.369.07*+++*1.663.53**6.348.993.38/***,1050.62173052
1.38.634.890.955.639.35*2.095.710.6+*-+*-/-+,48.91622597137013
6.919.319.5**0.329.816.658.971.33/-+-1.558.73//*,118.67374436182932
3.175.06.279.470.793.389.528.929.786.48+/+--//**,13.505530883214714
3.97.262.39-5.662.571.388.25+*7.4/*+*/*-*,111.2690587372634
7.47.211.854.328.355.13+7.486.496.28*-/+/--*/,33.94593536898329
9.464.267.621.416.863.528.97*8.552.29**+*-+-+-,132.10352045454545
6.475.614.686.21--*/3.599.827.224.355.019.08/+**/,1.2537709944609012
5.81.490.953.364.574.472.36/1.36*/-***+*/2.22,-61.22662332924111
5.9*4.318.735.29.29**/+0.023.938.57-+/0.588.04+,624.8814439379709
5.369.5-+5.6-5.370.593.163.788.082.148.46+-++/*,-25.321355932203396
0.749.767.163.515.548.480.51*5.018.49/+-+*+-*-,2.6114267784431107
5.429.473.888.741.564.689.724.370.283.68//*/-///-,-4.935141109431549
6.182.87--7.955.270.154.217.679.74/-+-/*7.336.07-,13.497483378022679
5.7-*5.945.331.47*+6.133.635.323.876.62.94--*/+,81.7198055371901
3.443.974.790.151.52-/8.159.347.213.71+/++/-//,0.3120111967446976
5.685.124.814.476.92*0.55/*9.118.629.1*+*/--+,16.087048054859643
7.839.610.991.74/-/3.86*7.185.494.217.44+--*-*,-75.3108934831412
3.042.85/1.8*2.985.652.73/---+/4.013.976.24**,-7.583663183467469
*0.55.56.253.59.969.240.222.95.02****/+-//,11.534309133671393
5.734.673.62*--/1.56-/7.516.39--6.56---0.81,7.735881927710843
6.390.84.56.84*+/*8.479.648.958.896.74.81*+---,34.66068857589985
3.220.652.991.114.328.117.99.868.727.8+/+-+//-+,22.681138095499154
2.652.459.357.541.93*0.491.350.05+-8.829.25+**//*,-33.509009486631015
1.282.486.25.632.99+-/*/2.45.114.677.561.64-*+*,8.769524325738745
0.448.440.397.231.120.69+/+/+*0.8-3.29/+/0.98,6.24202643902492
2.79+4.654.352.82+--8.85+/9.319.398.189.82*+/4.09,-23.426599733703807
9.926.91.338.992.084.91-0.984.328.38+++-/+*+-,19.820567521367522
6.736.577.426.66//+/2.88.361.797.12*+/+-9.0/,0.4126136424962938
2.972.29.051.55.222.731.046.49.150.73/-/*-/-/*,-13.11658221559861
8.776.68*+0.651.03.315.33.647.836.175.72+-+-+*/,58.79590769230769
3.232.644.051.948.195.66*/--/*8.785.626.257.68*-*,20.942710695477317
5.818.452.417.85////9.547.21*/7.535.232.439.67*--,0.010357705950502016
7.249.846.197.06+/8.268.340.71++4.279.03++--/3.31,2.5241925811507624
6.27.27+*4.715.153.697.12*/+-9.297.288.12+*+-,-349.042049708738
8.695.983.462.08*-/9.718.525.513.487.972.62*+*-**,-49.967281714433014
4.434.138.774.97--2.118.44//**//1.96.14-//,0.02049841151095772
9.834.845.483.583.823.280.26--*/+-*6.546.42/-4.04,-7.021387459441591
6.045.673.984.680.45*6.20.816.378.84+-+--***-,-41.63525959999999
*5.068.778.734.78*++/-4.340.919.841.055.02-/-+,44.81926521181002
8.554.520.835.650.367.4++/0.051.96-4.28--*+//,8.01191947420173
2.648.791.11.765.778.660.196.855.187.54/**+//*/+,4.641178294904971
4.61*1.175.889.942.468.22-+1.076.19.91/------,-20.46540983606557
/4.283.028.6-/8.659.597.147.176.115.74*+*-///,-54.25698575010527
6.41.360.797.776.319.42++4.245.26//*+/5.36.3*/,4.398697976936383
2.699.47.38+6.43//-+3.966.49/-*-4.910.69//,-7.470848843261027
1.287.37+-*2.184.21-9.975.619.578.833.166.95--+/*,-15.644323529411762
8.711.152.647.953.39***-*8.292.627.157.113.61-+++,147.17497563358782
*5.25-*+-+6.772.952.67/*9.14+9.362.93--*,75.32472372881357
0.530.990.950.368.42**8.458.461.325.58*-**-/*+,-212.44768379230322
5.281.497.12.380.030.92--+/**7.76+8.42/9.422.95*,201.37285477547607
4.890.39-7.270.38/8.792.978.040.578.55*-*-/+**,3.3074881505103892
3.02+3.965.27*---9.910.983.586.815.551.89*-/-+,-0.7261100558659201
4.991.525.92.14-++-+5.771.388.418.487.16+/+-3.56,4.043123424494651
-/0.555.595.28+-+5.573.631.363.75.923.66***/-,0.056920049696206856
2.685.670.846.854.481.875.4/6.383.714.7-/+*-/*/,-8.112514193054231
0.01/8.965.461.516.920.276.376.3/--+/*-7.510.65/,0.006613719687243907
