Formula,Result
-30//-53758783,30.0
+++127024/6874,129.92
+*-144754*9110,926.09
-+-749076*5670,-3860
++-+6855521479,164
-30+28+40/1267,30.7
-++/7553999080,23.27
+99-11//311526,59.12
--11+/3421033,-22.71
/*9247+-624843,75.86
+-8542-+313683,33
+*2727*/755376,115.0
/*/33093*6065,0.0
+54-7+-94452,148
+//616034-2415,1.63
-1/93**894518,53.0
+-24*7044/1645,112.36
/98*-44/551061,-91.1
*+9897//741159,195.15
-/3082-+723694,33.67
--/125781/6443,-82.49
///30*21578126,0.0
-//698865*1616,-1343.99
+/2825*4+1527,313.12
+-8835**411625,24070
-+-+8758258547,5059
---+3340615934,-161
/*211**582443,59878
+-94**6732141,-29968
+--+5097572813,56
+++96/36334569,1364
-+++109754235,140
-58-12*/357948,67.27
-/*83841*4191,-3722.26
+98/*1962*4177,107.98
/43/*6818+8628,53.74
*/-6985*6349,24.21
+-+35/56789258,2.18
+///2063967182,0.0
--*55572/3454,2582.37
+/*946674-7841,84.86
-/+982585*4367,-2816.53
-+*711587*5415,-648
+-/*1599104830,70.5
//2183/-53589,0.08
+89+71**84313,3363
-/*9997-318216,5869.71
++**397636574,106783
/16-+-95675882,4.0
+++/5946392486,162.28
-+/555252*2944,-1222.83
--/-51931977,-139
+-/9532/876477,229.64
++*1636*247839,2409
-40-*/37754168,39.7
/-*/7068672612,-103.97
--30+*916155,-34.6
--9710/+164978,47.17
-/964+42*1462,6056.14
/--/957266991,-2.38
+45+/4758-2995,44.99
+++-5145193557,117
-/512+-974416,-66.83
-+-189062/9663,17.57
*//*1858613099,99.57
-93+*1163*6418,-2071
/*1513++442289,1.01
+//84467*6425,1600.26
*-+232477/8991,-29.02
--16/3194/5172,54.96
+++621880/5411,143.91
-46--/8528385,131.0
-*/184646*3518,-2694
+/2379/*41151,372.0
---/9578886734,-108.78
-/7521+65/8319,-65.8
*6-49/74/6832,-233.47
+*7734/34+2216,2623.67
-35/97-+535813,34.98
//*/271606655,0.0
-+-482*408519,3337
--*77114*265,463
*/-90747+3296,-19.06
+-2879-+631510,-56.8
++94*738*9061,6168
++-+2399828780,207
+*9853//837699,5194.01
-+/+6945818370,14.17
-/-3/22782521,7.72
-97/*4059*8155,97.53
/+/395498*9739,-1621
//+952261-4317,0.95
+75/**16529870,3247.75
//+*9310827890,10.38
++88/*33253154,214.58
+*/775729*6264,132465
+/575//2965,0.07
+*-/7457442192,15.3
