Formula,Result
++-733858**/504921+36/92++-*3423/693926*2710,867.0423981933417
+8**/67265--+++++968880**778192929/788236,1250039341.3707867
--++9949*50911--+++96*/10182698797*/76924,-384.695652173913
+-+-41/686785*3234-/+37*533023**2659/67*6378,666.0697307115216
--++**/7995598955/233745/35-+-47/386480/2778,4376.943921790955
++27**//**545179297/146940--+536+532*9152,-4696.780621767897
-++--/8725*9799/875**54336294**84+*924323,-896437.6266666667
-+-++++**6359*74852984/*21916112*8128/726833,23379046.386692382
++-++52**6992628**501578/59+--3198*20197956,-42218.16032608696
+++-*549940*//1157693/**96798417-18/84/1049,42789.49074348275
+--1885/*/9728834+---42*125466/5319//945398,-742.586501929471
-+++-81*97-81*4379*72278632/*/88516+45/8759,321853.6275269932
+*//7768310/*/663472**/266692--*131579*5717,1.542194818871097
+-+--++*3055+2128/6139428851//**30831383162,1553.2483130904184
-+-/*7364---+443816*2250*96785194*+19*431448,-33615
--/****/40--/28//5663879274186221222014/1480,-11.621919766871835
++++-/427885//752299*9712+3-+11/625582/3713,872.8105107014197
-+-*96074/*706124+-12/***2016139977/*7653,5828.821428571428
-++-/-+-*/174742/*/90445938*7183478726111,675.015652041128
-++---+*/507710964844-+2761/9957**466515115,44801.03554340397
++--+-/64/*26465423**/76821603/+335391621,11940.915273132665
+-67/***435309611/*2691/*9940+57*//75278361,-28910.798334034793
-+-+/5682/-/891*173632/*7057-652164*/716892,-132.11540718965398
++--+-52//2779951/+/582*1974+-68299593221,-63.39211234495532
+-+8431**/*65++4876///26145743683324-+6183,-93836.86774734373
-9++-**85+98/*148630822824/46///429492*9984,-79587920.33333333
---++28**9147+39/2436*9684*9356*//8484311170,172467.69958847735
-*/8955+/184661-34--*/*23-3822520*9522*6449,-3688.657707509881
-*3069*18--++*944026*/144311*1035--4824*1510,-1753642.4651162792
+-+2499**86073/78-+/353761--8//554538/3724,-34915.59509520534
/56-+37---+-28*4386**51938153*4547/84+5979,-0.00014502939885539375
+---+-++/18548402120/64+11*171637/57/951234,80.173851590106
+***/3039554433*/*/9789**44295481/21*1*6850,62357.89414044096
-+3558-*8820++-39//754657+++29448**664111,28272.875
-+--++244351*3381*262114*82+-+-/709732296186,-4978.175257731959
*++17/**109774-+++7172/7069925256/11+1*7485,524.4071440819605
-*8846*/217-*6635*46-+//97-+4441427067/8135,6049.075747508305
-++589/5451-*-/64044*2283+-+-1143*82312723,775.0554144385026
+46//--+++659799***26128473604840---79518321,8.489144736842107
-+++44-+78-+52//2352562122/**/29347842824330,165.21369103457516
+----+-80/***977281258326167*369++12579973,-170778.77108433735
-+++14/**+18*+-387098791375589924/75++536195,88088.36528625639
++/67+--+699855*/5043394*5188/56++/96742977,4488.201340195003
+-/866255*/7770-/5313--23/16++*9688370/2934,-73.59150174644304
--++/7562//82391*/29077/6015/84///668821,-140151.29664736695
+-++-+81517772/292*6976-+-809433*45-33/842,-6574.406832298137
--43**/*+*5764/+-188501741443827+12**166047,-3531055.679144385
-13++++36*326482/63+3251--30*9636*60-16+9169,-7367.759036144578
----/34*/829326/**98432758*8774/1856**437915,-56385.93581492664
---58/6187//896162**3053**998++45*3223/2319,-1096956340.6194186
---+**8234826586*3394+20/96+*//36817436/9337,274.0009139375474
++7735/69--+6479*9189****+/*52204445725895,-82838456.81818183
*+/+-+-+402014/6664*9811*6165*2039**6849133,5519.03125
-+++-+89/7996/917621*2014**/21255820//64724,12569.518405388471
+++/-/+*/959280/*16186080336/242614**787188,487381.32452619844
-46*66+-/5141*/581387*15+22/20-++/279285689,4603.464116238511
+--/-43619879*7917-+66*//*7186403171*20+9565,-4206.375065023365
+--72/335****//109088145158-+-*269984542266,-131752.11601731603
---73/58--/*1348954/887*//*479521587-3551,-13296.416043542275
++--+-+/7150/5539/75447998/*/36116219/175752,23.74453073242547
--+++*4-+41/5658/624746*7261655**35+683760,-215948.41452677918
-/*/*41193868*8270-+2/421*/6480+*7826/4510,-0.00015351273252663897
/*/**2135873521//*755031++7189*/929-48-1759,38367.64368156259
+-+++/*45871564*909529/+3/484996/32//25621,9065.238545918368
++-**92114**/303132---496492/653021**74886,58337.903225806454
+-36*//*7-++96/99+/6229644928299470/75*4684,14.71953203866418
++--+---/71112443*582381/1664/14/5692-270,-305.79545454545456
+-+/2795/4076/30+-+6285/*821847-//6733770,5.148360475700492
*8-73**333--55**2033++-/733+172747*436686,1507865183.9999998
--++90/-5118+/4**/*83358376111820/2586-7163,101.71042929778274
-++/*23691924//---93365324051*-91/*41633628,-431.4636842105263
+++/*63421225*1736+*64--746526+33**447/9541,516.1585365853658
+-*16-/59823144*23**1597--+**78+819796742778,44603255816.51219
//*/1379---/78687/28159511+-7226-19*-82022,-0.013567301636988794
+/-+-++-35**558886434767556**61115/*916675,-415106.92
-78*40/--//453214-**90137899*/32941+-436782,40457.820526695534
-+--/3235/2949/*67428421++//3*7768769*561,-324.99388508992115
--+--+7111///*589597752957*4/831765+60-6568,5546.973883161512
/58/37+-++36*62-***4121444538*9124--97991549,165686076.2162162
+-/*39871567*7-+-+//7892423914/4014/+592011,304.0685770750988
--++--44*6477/3835/7628*822056////9892638185,-3298.371431027233
/*3261++**799015+/*41093/7121/*7*1529-9793,0.018302039758157463
/84--++-+586659+6898/+4978635--/303788*7144,0.02460309163320983
--+++*54*3286*2685190*/6+/22-34426512/957,148775.68547875714
-++-++++*/95871830-13701114/*9050392429+7340,-170.72944297082228
-+++-/428**93618214//975461*/4424-/32534,-45350.8691374254
-++-+2429816843/***4671+-+99*+180896132596,-6121115.4375
+/-+-/8326*+27*5229++2067*/928537/89767521,-135876.6009253904
-+-///10568*241*822456-*83/9012-89-65/901,-2696.8737745098038
-----407389**7643-+++60/*2598972573*64385943,7348679.731958762
--++-+6**59-728983*648/6218/**733746667445,-81990.34786218348
+*/*///*/19786181201282939*/2690-*178/9396,22.598853235419327
-++92//702/*273234/2325-+19-++/106554315288,130.08898148148148
+-+-+--+973026/129*892317**985794*/46937624,527193.4601408973
++--39*511+--//3929087*462649***185076858,548475.7833333333
--+-++-*7339253+8774*306971/451-21+51*6556,1967.0
-++-*9745**/*2573+443188219*9663*79-/7335,-11695.025641025642
+-+-+-6548/9059/*/40135393**125987**14712334,45546.77190842691
-+*+/**/*/97499774092449/8+787610/*675173,33.61054573047864
---*126724***/448669370*/---18/98568523592,-6630.378202601499
++---+*8575475342/804/****8291745793/9721,136409.16743471584
-//++**94+-589246998*++44*845*265864236981,70.99495904221803
--+85///241426*/4703475*/93-28/**574267261,49.30153047860198
++1288/*91----*4813//*/43345586489/94876911,3903.414735226048
+---984219/2243///197836/+--266899**224415,36.48837255555534
--++-++-9427**////2936397060773557015688,53.00115529479936
----+--7998191/451750*4650-++88/2281/778357,-2465.9789047256563
+++++4444/***-8280-/9022/7318697629341*2717,517.2615835777126
+-+---97464285//-5195924255**-/115880+354635,-31316.011387163562
+/+/*564475146****/-+*711565650829/465839,2634.149896211728
///964190-*/9341++-71185929/40-+55*/16485625,7.87539081964074e-05
---+--+*948153//*74215277534+351051+/888559,7164.238779956427
+//62--45514-4526+--/24-73*2189*811852*5646,1065.9648825850818
++---++2130//6530+3719478775/*//27334850261,-156.97972027972025
