Formula,Result
---/177*/*16*50585612/106663,-9845.995670995671
----35*/6988722218*62+-303793,-5314.85995085995
-17+3+--+*35392116*/69762,-4017.5714285714284
++7576+-+-**67681867/58182343,82074.22222222222
*27*43--/787038/*2512-83*5197,-42823.81700980968
++*6863/2163***+/803520229197,17537228.333333336
--/*/798944*-/659/6839376854,119.7655814846826
+-38/3857-+5831*8+-19*41118,-107.66666666666666
-++37293/38-+-*703318*46173,131.98457166057653
+-61*/936692+-23/194-61/6730,8.380303030303011
+++2919---***863999467194,15273974
++-+/7614**4485*701599/6856,21154.607142857145
-+--*622/7733*/15593673/4037,193.5785234386929
+-+++774267***3221143211*1810,-300701
+--+/**87292663*756284*42982,5311.238095238095
---/****5314-691242899471164,143414.27272727274
-*//*3648584491++4684+12*8991,-8149.322884012539
-27*/6529*91-**165849+*36847,-8707838.827586206
+-+---*438*795+999186334652,52
++-/*/+*76447+72056476126,12.420636118236843
-95*/8758--/7045/*164387/8057,80.0802538260545
*-9967+13/*///*83122887831246,86237.52388091668
--*557//40+195453--*32866550,281.98966141121736
--++2949/3538++43*/292465,7.056603773584911
--+--3552/55485231*/-80639894,-13.451955782312922
-+-4638/-13***4618655994-711,-41285.6914893617
++++++7292/4514*1459964/6145,401.5698412698413
+*/34++49/*687764882-+799127,30.637279596977322
//9785+-122--1028*43-35*5098,4.442970952811993e-06
+96*/68+8558+-71/33*1971*8873,3184.519835983142
-97--9495/70+-+34/*2097888350,101.03747534516765
/*2260++67*5862+-/*6718479083,0.3563080422010234
+--71*27152-+51*/*63966756,28830.5
+***42106152---17*7925*463311,218553
--/*/*368452974345//296*3752,126.26556431207594
-+---**/982699919193163*2414,334330.0
-+-80//535349/6989/*/89577617,73.77448057874835
//*127198-85-60/3*36-+299473,0.4750703694583626
-+3949**7757-/3124-/19/789062,-181478.74038461538
++++52655*5122*/3578-+7168,189594
-46--+-+39/-+895983087628875,195.13333333333333
--69/1491+/+972///807110902,-32.153691591354615
-+53*///153184025*31**141517,-347766.7453703704
-64-+9924-4/76--348+*67361,-54.67796610169492
+++294521**3879//6029+/581012,223.08988764044943
-73/65*45*/1974+--31760/2335,73.04349471720683
++--+5617*/659032*161733*2572,55.888888888888886
+++*6057/*12659398/57+*867628,3526.395780503627
--+86-*/1481501798---4775822,174.17283950617283
+-**29126413//6460-/881*9015,-7.563335291046724
-33*//47//*//3436887583566944,-264373.87558965624
-++*9252/671945//*/2124876442,4832.497995476973
+-/74*6796+24*9411+/*3937287,-916.6134950248756
++65/3912*45-*+/41923933*8536,-134371.69565217392
**19-+--*797953/631726/70738,4476612.352941176
-+-48*64*/132636*//33529531,45.292914979757086
*/996++56*////7022356538770,2079.5129716981132
+-++/*33981126/528792/*207671,250.00615185365064
-+*37-2817*4560++-+169866357,2879
+++/115932-/*156992//83619198,130.1738513660725
-+-*/394287-42193*-8680+797,-383.2142857142857
+/7123+**/60*7883494/*4589,13.378610027146529
+-/53**401590/848**/43209445,9084.000981481482
-+96*80++82+84*52868*+223179,317898
*/3247++-+-/7837*734035655361,-1929.458309373203
+++-10353988*//85427-13*4390,-1013.1190476190475
-57--++215352**692083/45-6173,114467.25
++--89***2115174786//37202143,-824.7942577030814
--++++61*7344*18255224/867429,3743.837837837838
*72-+*-++1986*49405*5326113,-107712
+--7393*8575*/6229--3462/1340,-6455.556896551724
+*/*70544618/55+/362+4/7272,1489.2977364224962
-++++/123267/18429/*6640671,465.3869047619048
+++3199*/928221+78*//14474784,219.8768025903214
/42+92-+/301378*/-1/94599532,0.5012725244992438
--+62*/582195***/869989217036,-113361.92207792209
-28+-5669**///4571613661-1831,337.6197183098592
+-5926+--51--3241//495414325,66.06481481481481
-+-+-1498*71979*/462895/9928,318.5357142857143
+--//*/935133367/4669*985122,-4976.427871148459
-+97+28/*68162*13-16//884230,-80.9952892985151
+++-6/65155198--+-8968319281,29.666666666666657
+-*--65/*/80797161*8361123452,-4975.178667773397
--+9372*//822987+659*57+9114,-5822.112564407452
*98-++--*725724*/561447117825,387688.0
-+54//**//28826422243271*8242,-3389.998760091034
++4946*44-14/73-++40*86568212,754.3479496548924
+-95/*616178/69*3-/5983*2113,-56316.560549891874
--+-/8213/7782**56317389/8414,126638.26715176716
++-92/2438//77495***74893420,19483308.11842105
+++-7781/*16443*5392+*543499,6164.488372093023
*/696-9**+-//29164877652332,15836828.249999998
-+*5791//362847/-82*59-480,5125.106302991521
++-+55*/712032*/123561/155388,147.21873315363882
-///753269+*+501287/1894-8042,-37.99977292263832
+32-+-*1051*903820--12*897257,-1445
+++/-+-759841744//2847115485,139.3041586073501
-+*-90*6893/225816-++439117,-6265.379310344828
-+/+-*994092-*64588646*21532,323052
++-23*1869**57241/29--909815,-2588.2608695652175
/+--*5423-9348*4672/*2961933,-2137.8947368421054
-/-+---325123*473592536-4761,-261.6666666666667
-/++/4734/**72677886*77788,3782.827242524917
+++-+/4071*/654163269729/6059,201.45837821472034
*92+/66+*/29*/7823336044*6431,-182426.03147263758
/29+92+---*79+377-704598117,0.0046385156749840055
---+++*5872356516/8077/556050,1432.0443722943721
+-70-+5/914673--*21576+639,1255.0217391304348
--+99*391/33-/*8268765/9449,137.28601221510502
-+-/717943/-*376959*1920*4726,-867.7144237175216
+**552724/10-+/5280/666/1638,67791.26402393419
+39//91-++750*9865/*11688069,39.00027517982321
+-+*36+34**288756/9444*339885,4909053.136363637
++/5364*+81*46876/-35*606391,-323850.171875
*12+++/*2698996450-/7562/9865,1673.2723061884353
+-*/*619977*106866/+*92906844,53423.79220779221
/+----*5513*343069506585/2816,-597.25
-84+*/311689*94////5197111195,-88.44179949372878
------633118*7294+74*81481113,-10783
/+*794340+//*8224048-/997197,-35.9842659985082
+++9453/4889/74++17*7462*19,147.55542680005084
+-/2059*/*30753677//3350+3371,-4812.153065141923
+-//343362*/146450/*/64653825,-9.424266824573275
+-4572*91---+*97761/95849650,53924.08333333333
++41*9581*43/-++99/40833771,14894.722891566264
----/7847296/*8861/1780/6533,-25359.486593089845
/*/*+//64955791153-*18778836,16407.408484661948
-*5369-+-42**/10815717*662366,2230.6296296296296
*/12+--+182992+486391**552765,-17820.0
--3823/**16+5780-*654766*3129,-7202.263626251391
--++23//80995702+*/44706897,-104.90643274853801
--++--52/+/9513633471212653,26.454545454545453
++-++*/519929390*8448/541564,-3844.0969696969696
+*//20--682218260--7487*5783,-4790.153846153846
*20--++8966446/*60++9161861,-2381.682134308811
-+**/+*92672449247*9393/4831,8966.83797653959
-++-+59**411618643772-9/4866,11903.727272727272
--++/7316*45441747-85*/663835,39.35197368421053
***18+--*58145**38846748647,-881075160
/+8391+80++++20+/583515815369,0.5592868556874605
--6571+----9*985799197*7765,1235
+-+-9865**59492*7618/*875098,41949.38775510204
-+--15672144/65-/3337**172693,-28.99841868801734
/*/162650***67013***97105315,7.307774428807452e-09
--/-/46+48//4723664810*528448,-4453.0422844289615
-+43/-299837/59++-7/7503214,41.89184191024632
/12+-+36*//15959456*4575/3588,-0.04634887955606109
-/+/8317+*69225920/**3686512,87986.88235294117
++2534/63--25/7752*/1892*6252,58.907145489073436
-+*+--4121*8784382262**7131,-9963
--+-36863*4314//8488*/941511,-604.0138473711975
-++3427**/39-+4129286522+3817,211.71428571428578
++++-++65+504427*604346111087,-2230
+-**84502727*89-/7088//468179,113443.15566707867
--*//*/8790+*9594815267492925,181.9430808918371
++13*5453//*318753--34*202039,2874.874353598882
+--33*2473//41+-/319963626331,-1687.0525210084033
+-//*652571057*-92*-89435486,-61.59966777408638
---733313+/3290/87--4237*530,26.71724779172478
+/4093//99*4771--7265**173766,0.43010681224333747
-+--/3371*4457*769332*/648823,-9560.262483994877
-++/5439+*971052++2410*564682,3551.6923076923076
---+++404/7714/846828/876566,-44.60316742081448
++*38158----+301*2537757757,-1007
+48-86-+**683677/9161/*14924,102.75765559577034
+///6779773-26*44-+64*697730,-235240.67016545098
/87-+97/1768-25+80+-954-3426,0.3561924257932446
-+++*5445592674-+30*/54672262,2603.268656716418
-*1072/99+-/9247*3079*/68473,130.08784051650903
-4*1*2++*//589928655/4540,-108.35503175378602
/10+--++73*40--83448059582971,-0.006385696040868455
-64/66+*//4818123//*97176014,65.06167082355044
+-+-+6649///*7832802937634062,199.97092264678471
+/+--*5957862425/6297-/416419,3259.001449742268
--+//148357/75231/19//98529,-79.21884099232591
*/62-696++++/*19863951153961,204.5974765974766
--+-+*914360/767071*5043*6291,227057.91428571427
-+-+--69/4366756467**7838150,18894.348484848484
-+**/8311419+/*9712839/1915,614.6521645021645
-/1537+68+46/*8721-78//64257,-4731.910861019607
-+--2031456*/7716*/*22147757,-1052.25
/**445194-36--+-/309320946542,3071.4025364020667
+--50*/*/662434491/+5947262,-56.56200941915228
*--//6370266242/*//411345339,-103.95999342537803
+--++++51+61289648638*153750,-303.82142857142856
++-/*134569/6098/*/9626223943,52.948856208292426
+-++*1464***3538172/13556771,927362.2363636363
--467//*633214+++69/4860571,38.06976744186046
/*179++//*/109914231921*9027,0.03219229658721872
-/33/8866**/***34884155858429,-193359911.25
+++++1086*9694*755221-*214754,14940
*59+-+-+86/1179/*782034838358,-3117.466865227103
+/9232+-+43-6324/7/*92491184,168.81887755102042
--/+++--5/959340573666675014,-8.021505376344095
-*6221+//6523-*/*815139693434,1267.9996115180084
*/76*/773412/31/18/86*76-9484,0.5449975949975951
++-/67547*///*58792470928153,11772.357173913042
*---//18656310864/-5372-6781,-101.35274725274726
+-//*6552376687*24+/*81954019,370.89569033147984
-+++*5366///652913761742*665,3167.002268602541
+++/-+33161257/415396-50/1721,239.96406109613656
+++---*849758*/826457365654,763.96875
-/369*+++/4482*5264*52974443,-15840835.219512194
++79*/*668412+/25254/6-9380,25862.615384615383
-+--++-9*40148/504394674972,-725.8372093023256
++//398671*/**6059957851/4642,249208.0247021785
+++*7149/*+3125+72525710*8447,4059.519155030433
-+89/85-*931162/*90+/67725648,-71.02873796826222
+/7239/*63-*50+48/*6058326982,5970.327861163228
