Formula,Result
-527.23 212.43 850.87 549.45 -239.21 -332.91 -852.12 -345.7 -31.22 -163.35 379.76 + 575.51 - / * -228.32 -34.33 / + / * - / / / / - -,-918.32
-810.12 -952.83 - - 608.93 202.21 -421.7 983.45 712.33 -373.64 + + + 917.37 + + + 676.4 690.71 -638.06 -744.21 276.95 * + + / - / -,205119.05
-89.47 -105.22 -736.92 425.77 -573.03 704.03 934.9 -337.09 495.96 311.54 -465.54 -901.09 -925.59 * - + * / - / * * / 267.93 - - - / +,835822.8
-599.44 -350.85 -707.75 -924.0 715.07 + * - + - -295.33 * -371.01 -143.89 -773.62 216.04 528.13 -97.86 / * + + / / - 73.8 673.55 / *,414131.86
-736.89 -395.0 617.58 -12.22 -631.02 299.76 957.26 675.15 717.17 876.4 -603.05 360.19 -611.86 + + - + + + * / 953.14 496.15 / * / * - *,-315901.19
-971.73 16.22 -267.61 - * - 15.42 - -478.47 + 495.27 201.88 375.48 - / -608.61 -854.01 16.87 + - + - 801.41 455.2 * * -713.69 -165.49 /,-69298.32
607.43 899.83 271.0 651.84 - / + + -892.9 -600.32 433.41 -318.22 286.85 682.25 - + / -498.83 -286.04 297.84 - / / * -193.24 -430.55 / + /,1939.29
-516.45 -21.86 112.45 -688.08 725.71 263.84 -396.37 -158.22 - / - - / -339.22 748.25 * / * * 301.05 -680.0 -719.54 - / * - * 730.23 -,-53529.98
-272.21 593.96 -929.38 80.07 324.51 -283.94 66.77 -791.64 490.14 688.57 -652.31 255.0 -853.01 -189.69 / - / / * / / / * + - + / / 574.77,1009.67
51.79 897.22 512.25 + - -192.68 633.23 -107.17 * / / - + 379.78 + -659.08 840.56 -588.03 -990.5 -480.79 + - / + / - -451.68 -670.56 -,76271.18
-962.26 87.68 -950.07 35.11 254.42 790.59 -864.06 709.05 + * + + / * - - 73.87 -375.17 998.48 * - / -405.58 804.99 * - 372.97 -163.18 -,-681658.13
328.8 / 839.71 820.32 950.38 124.03 264.22 451.52 -734.53 999.05 751.69 94.55 - 970.3 - * * / - / * / * + / + / / -605.05,-45259.87
+ -157.85 -803.54 - 591.68 74.8 469.22 -827.16 485.93 644.67 / / 380.17 751.66 - - - / / - - * / + -366.55 937.9 333.14 + -,3162.34
980.5 579.94 35.92 -761.53 -391.18 * -336.92 321.52 - / / - - -631.49 -91.27 - * 334.68 549.87 -584.35 / + / / - + -93.42 698.38 /,29151.34
674.2 / + -273.03 * - * + -438.88 -43.35 -289.08 -631.04 -538.53 / * -655.78 -874.52 836.42 / / - * - / 408.38 -243.13 140.59 + /,285036.96
838.23 165.77 -999.35 - - * -322.66 -51.41 665.36 233.02 -729.88 927.55 545.92 / / - / - + * * -122.45 -468.45 - 586.6 / - + 342.93,223365.69
-921.46 -337.44 698.82 626.33 - 27.62 -873.54 637.61 / - - * -730.16 257.49 762.87 * / / + / + -284.04 * * -957.8 - 371.66 -645.6 +,-165864.15
46.52 830.23 / + -647.17 * 211.02 393.23 -235.06 / + * / / 298.12 -339.6 218.01 847.62 -433.05 876.24 -16.57 -201.66 / + / - - / /,16.97
525.46 * -972.63 987.68 337.13 351.56 596.2 543.67 568.84 * + / 993.53 -1.63 - + + + * - / / 130.27 626.34 -292.09 -547.16 + * -,-959673.07
-954.03 -217.94 897.16 19.14 859.52 103.33 746.42 804.38 -358.8 -864.94 919.93 -490.78 868.82 25.63 978.85 + + - - - / - + / * * + * +,-77005.88
-744.8 -537.93 599.95 22.01 -834.36 + / * * - + -991.93 -49.86 / -484.37 -75.02 -979.07 335.4 -527.53 -533.29 436.49 -35.98 * + - * - / -,-146360.56
-318.89 - -648.92 * -926.03 -606.23 -875.97 363.32 -81.71 * - - - -342.98 700.16 561.54 * + + - / * / + 232.98 - -9.0 828.64 +,-422538.74
-137.31 -10.39 956.5 508.55 112.53 -794.29 -996.2 642.11 912.97 -358.19 931.64 -32.9 -772.84 * - - * / * - * - + / + - 980.77 -36.24 -,-394663.46
/ -190.83 642.9 814.19 65.5 + / / * - -318.39 -939.55 908.5 - - * 280.4 -802.05 -599.43 117.46 * / + -209.85 568.47 361.2 / * /,-49929.5
165.09 -525.83 -358.68 862.3 -860.41 -173.9 -945.8 -177.5 / + / -648.84 -240.42 * + / * + + + 695.65 - -572.11 -212.95 - + -599.75 -331.71 +,1136.37
-860.62 46.56 + - -332.31 -368.29 -282.76 -733.74 551.91 477.57 + / 554.97 -331.95 / / + - + / -433.13 - 341.64 193.24 -361.67 / + / -423.1,-101.19
* -999.67 -35.52 -192.14 978.2 * - - + / 355.89 872.62 204.12 -517.88 992.36 * + * + / 0.74 943.37 337.03 -543.35 -829.22 - * - -,-186916.16
-324.1 559.26 779.45 400.67 711.47 450.47 112.27 + - + / - * - / / 327.3 -820.78 / -832.82 382.15 446.97 - / 262.34 22.5 289.67 - +,-93322.0
-261.15 -781.94 -704.55 * / - / -858.44 -267.55 / -892.74 961.74 / - 11.85 743.95 -48.07 - / / -862.31 / 410.72 -823.58 184.61 + * - -772.55,-2109.58
* -861.81 * + * -987.71 30.22 -463.91 / / -492.69 443.77 475.19 900.96 -444.42 -357.55 340.0 33.87 + + / / / - + * -615.66 -589.66 /,-238617.76
-600.65 + 765.76 -684.02 -482.18 888.52 -198.87 -411.33 -675.95 -256.3 + + / + + * * * -985.62 + 815.89 -723.83 177.93 -786.83 + + - - -,-370060.09
-145.74 792.32 821.72 -168.48 255.82 649.52 313.32 409.67 235.53 448.63 774.12 968.49 420.32 * + - + + * + / * - * 108.35 -230.69 + * *,702978.45
832.11 -607.3 195.6 919.8 / + / * -63.75 241.68 -325.1 + * / 350.67 -572.16 -244.08 - * - 592.24 / -680.5 -166.76 -355.47 909.31 / / *,242.03
-86.24 -174.72 -967.06 + + / -538.3 -956.97 -703.85 * - + -929.06 - 956.2 219.42 * / * -96.91 214.74 / -403.79 + -516.7 859.35 + + 441.56,-1141.78
445.77 -17.45 -473.73 234.68 642.39 + + * + + 524.22 778.52 -123.63 160.27 + / + - 809.46 - 502.89 -75.35 962.56 - - + -529.22 / /,9999.88
-233.68 -270.6 152.43 -754.68 248.22 -349.89 34.02 / + - 643.11 65.6 394.46 - - -636.91 / 774.93 / - / / / * -946.15 124.87 / * *,220.8
797.11 745.76 -598.3 -577.72 - * * / 875.98 937.62 -390.06 878.38 -598.03 -693.46 + * / * * + 461.51 86.63 -681.32 448.34 -133.88 / * + -,-577.4
-459.74 -719.74 532.62 -583.66 4.37 -380.27 -555.93 -681.27 -250.76 267.2 125.77 -31.88 733.33 / / / + + - / - + + + / * 771.5 -398.94 +,532.02
-616.5 146.32 -314.44 727.47 * - / / 347.52 547.99 147.71 + * 911.36 -451.18 - * / -550.8 44.56 -529.59 -531.12 * / / + 304.98 -964.85 /,-228745.67
-228.9 * -742.77 + 279.78 715.24 + + / 774.94 564.56 698.13 629.09 -369.36 - + * -571.82 139.24 78.97 - - / + -767.1 + 189.59 -88.84 -,-57650.47
-900.72 -431.66 / 125.01 / + * - -901.97 -653.13 -922.67 -705.52 94.24 435.3 524.09 -264.49 -522.94 273.93 + * * / + + + - / / -370.1,223540.56
299.25 -664.33 899.88 821.23 225.04 971.96 * + + / -638.17 993.25 350.93 -507.16 701.2 -780.29 108.35 732.96 603.73 + / / * - * * / * -,423307.65
-297.2 326.11 330.32 839.19 -238.39 403.08 -156.18 * 688.2 / -326.17 190.41 622.01 126.0 -32.94 / * * - - + / * - / / / - -,-29105.2
-48.73 634.36 914.12 917.68 -760.72 -252.13 -620.66 -497.48 875.99 839.16 295.94 -176.64 -117.97 50.75 560.58 / * / - / / * / / - + + * /,-10214.1
664.11 0.24 -262.8 -983.92 * -33.58 -392.44 -815.4 503.1 -164.4 - - / - / - - / * - -627.15 / 581.92 -364.85 -931.86 / + / +,727940.85
72.23 231.21 -964.55 115.77 -530.75 116.92 -123.18 684.84 + / / 536.47 28.49 - - + + * + * 73.97 -530.3 - / 915.26 + - + 992.04,-259988.75
377.36 -940.08 701.85 -368.92 -99.94 88.73 -787.7 -461.44 731.91 796.34 + - - + + 882.4 -69.44 873.41 40.38 -796.28 / + * / * - - / *,-22662.91
202.73 -733.65 676.15 -68.15 813.4 -731.66 318.98 -458.42 + 189.93 905.81 -595.14 958.21 -989.56 391.44 * - * + / / * - - + / / - *,332709.35
-924.31 -137.46 + - -587.0 163.77 / + 789.79 + / 335.28 573.83 764.37 -386.86 498.32 500.05 368.23 -961.39 + + * / - / - -560.88 -954.8 +,-49.95
798.74 / 48.48 -480.99 -816.5 -716.26 465.13 * * + / + -237.73 -284.44 -32.37 -479.82 -71.83 / -324.69 -176.84 103.68 / + * - * - * +,0.0
-54.92 173.26 74.72 478.68 614.01 + / - + / 496.48 * -593.68 279.15 196.84 + - -768.92 443.96 * * - -227.57 773.05 + + 513.53 / 703.2,19838.02
-97.45 195.7 / 877.46 / -211.17 -896.05 841.12 -520.3 -244.46 224.53 -323.92 699.0 943.42 240.62 99.59 / * + / - + - * / + - * /,-949.93
946.47 -97.96 247.39 - -64.93 979.91 610.46 143.1 / - * / 211.17 684.19 - + / * -81.94 -835.34 718.8 811.76 -12.36 -164.96 * * - + /,-138044.9
931.99 -297.39 226.26 -39.85 / + / / -213.77 749.22 / / -219.49 -940.08 981.23 665.16 -734.41 - + + 837.84 -239.27 -576.02 -764.78 - / * + -,-0.18
-452.81 -590.69 589.58 388.99 804.94 208.24 -586.78 739.52 -867.04 -888.42 951.11 * -449.44 232.76 -323.92 + + - / - + + - - + / + * -,-347115.24
-647.36 689.76 963.2 437.06 594.98 243.71 -206.81 -846.57 -933.07 - - + * / - * * 450.99 909.42 + * / - - 612.88 -220.37 998.47 + -,266833.6
-105.08 -887.36 - - -368.2 + -330.92 889.18 -552.29 691.16 -101.95 21.66 -129.43 -639.25 -686.5 362.48 -349.52 -111.63 + / * * + * - - - / /,426245.01
-716.07 -442.4 517.16 259.23 - - 57.46 852.88 -835.34 -720.06 691.59 -407.34 / - * - * * / + 0.93 822.7 258.89 - - 71.36 -9.12 * -,650527.78
274.36 -710.79 571.69 386.62 312.59 821.48 + / / + + - -340.6 449.73 - * 876.28 154.82 -764.82 -825.71 245.98 423.57 -552.9 / + * / + -,205661.91
-771.44 -6.77 433.26 -290.87 635.64 - 145.21 -217.59 202.27 / - / + + + + -675.04 310.14 -763.23 299.91 546.94 865.63 900.42 - / - * / /,829.63
-798.1 766.31 -222.28 -407.92 -484.6 801.15 -549.9 71.1 * -713.58 278.07 988.45 / + / / + / + - * - * 87.48 750.87 / -166.03 - 637.46,618267.66
160.95 -183.14 -864.9 -261.01 -603.03 875.36 90.83 293.01 807.38 -842.97 -619.77 - - / 364.54 -470.64 - * / + + * + / / + -126.13 457.54 *,100789.27
-479.57 -463.87 -895.42 962.86 -802.42 / * + - -588.6 923.78 940.92 -45.33 + / - / / 929.21 -822.22 / -518.86 -409.18 583.88 / + + - -507.9,-785.54
-793.28 112.45 796.51 -956.33 569.21 -475.64 / + / * -165.03 -960.19 - + * -674.53 77.84 -936.69 - * / + - 19.43 951.08 657.54 - - *,-89204.33
-166.68 430.98 -225.06 -331.8 -337.52 -126.29 - -722.38 122.72 / - -79.98 -263.9 -504.3 969.29 - + * + - + 666.02 -635.49 - - + - - *,67345.45
-509.16 -729.66 -687.08 398.03 900.66 -956.5 / 110.47 222.63 371.44 679.5 -685.84 -900.84 * * / * + / - + -180.44 673.14 / - / - / /,1496.02
524.33 535.3 + - -463.21 -512.17 499.17 675.16 - - / - -668.14 + / 197.29 328.49 559.71 537.18 * * * -265.02 -535.16 * - -621.46 656.86 /,-140944.41
-22.22 * 808.89 152.4 -47.21 686.15 717.06 -164.39 168.89 - + + + * - - / * 240.19 - / 30.54 -684.69 - 640.84 -871.58 - + -228.72,684.77
580.76 -340.35 + - 636.9 139.04 + * 325.6 529.85 * + / 648.36 -429.15 -228.97 252.6 - * / 148.97 84.69 677.25 / / + 261.18 - 844.71,-340006.11
-940.17 255.41 / * 145.29 -317.73 -987.04 + - / -258.57 - / 21.19 / 240.18 -478.42 -894.17 + 58.97 * * * / + / -542.76 * 798.09,353.41
+ 353.99 805.31 -475.62 -813.07 -952.42 774.26 892.37 647.09 * * / - - 772.58 211.62 97.34 + / + + - + * 467.97 / 267.6 538.01 *,578136.89
713.13 497.69 + * -641.88 -452.58 768.46 + / * -598.68 / + -259.69 - - -335.93 + / -543.35 764.65 -829.73 + / -626.08 -301.44 * - -,548992.77
-209.04 -364.59 - + / 661.24 -562.77 / * + - / -53.2 -586.27 -419.71 50.09 -737.25 -90.59 -857.93 -167.83 -628.13 / - + - - / * +,-945.24
552.25 896.7 384.09 571.58 / - - + 515.31 -769.79 / / -442.59 -97.82 -288.12 -551.29 * + + + -466.51 -221.65 * - 569.57 39.06 / - -,-896.71
-861.71 462.79 207.8 -826.76 + + 274.94 -936.14 - -684.35 -389.12 16.05 -6.13 - + + / - * - 583.52 / -705.16 * * * 644.23 -658.43 *,-2310.71
-619.19 + 452.99 374.45 / / 650.81 - 293.06 -219.79 + / -565.86 -788.37 -192.2 * / * -58.78 356.68 -70.29 225.43 -339.41 -46.41 + + + * +,-619.19
-208.48 590.42 -563.89 114.36 990.7 / -386.97 -71.37 -312.69 -475.0 36.42 -310.12 -955.43 153.25 606.42 / / * + - / * * - / * + - /,-42365.04
-499.92 631.54 -6.26 * / - 988.1 -836.88 * + -210.03 * 558.59 / -202.02 -469.5 - * -206.89 + -494.63 232.52 + * -809.57 + 753.66 - +,826929.03
48.56 -683.79 -876.87 10.97 -48.3 / * / / - 836.1 414.19 218.93 398.19 -478.78 41.96 28.77 * + - * / + * - - -377.38 -357.44 -,-89321.57
-345.94 -558.08 343.06 -263.16 164.95 -270.22 489.37 15.26 / / - / / 392.88 -715.3 -595.73 -89.07 * * - + / 293.83 130.44 * / * * 260.1,18012.81
912.64 -744.87 -614.81 -855.78 -73.53 37.63 951.46 12.73 -838.03 -589.02 * -523.18 687.86 680.42 -50.95 + / - + + * - * - - + + * /,481761.8
959.35 -318.87 88.7 394.4 -14.58 + + * / * / -965.82 579.5 401.69 -472.27 381.69 393.78 -40.82 -153.78 * + * + / - * -87.59 -868.85 *,376.66
-827.76 -521.16 / * * 687.45 -155.74 -638.24 76.55 33.9 670.55 + + + - / -664.51 / 94.99 -754.89 -441.86 149.51 - / / - / + 680.76,74629.15
-746.58 -189.9 - / -731.49 232.49 -114.98 375.42 -178.17 / 641.11 51.3 -772.81 73.81 816.32 - - - 572.44 329.3 / / + - / + / / -,-189.55
514.14 307.56 54.81 419.99 558.26 / / / 440.2 430.31 * + / * * -686.61 -527.93 - 529.17 -481.88 - / 654.39 -990.39 262.58 -762.13 + * +,97512.05
