Formula,Result
-+496499/*603-884819,-4919.04
+//*967971793-126314,1624.06
+-595*/-420/260966267,-417238.23
+-991//378178+311892,213.06
+/*-816-585543/912303,477906.01
*-943/**-505228427355,368977.32
+*470//-992-291-432-326,-330.71
-899/-181+*256967545,899.0
--883267--723*389-113,-42618
//-730686-326/-546-149,-0.0
-+--619131-895-606582,-1646.04
-++-664856*566708326,400594
-//353481963/773-722,3.02
--594/**-160-30-611557,-65708.83
*/-911-980*/731-324-535,1207.98
/-//-715-416686784-820,36.0
*-939/-35892*-96561,536517.89
*+//737231-15773212,743.98
+//-631308-676*-605987,-596872.05
+-829-426-43*-468-844,473478.91
+/497131--224-903-890,-921.21
-+-78632-252/-880-432,-985.96
*-**-155-611-404585-851,-1538.49
----101933-650/197306,-762.64
*266/340-465-220715,266.62
--758*13/--891676-580,-524
-/-340971/-82*163906,0.76
-/-33316-/330298-656,-677.92
+-639///597741117-787,-639.0
--500/465+/-821179-388,-502.12
--/*-349341-988528-490,82.45
-++-599-324-583/637239,-153749
-++--328988403-659-755,548
-+/*-397180659-871-350,-781.03
+*/397788-762/-739579,-385.18
----81-708566-86824,893
+761/321--861*691299,761.0
---164275+*842-883-389,744424
++-537-156*-701662-477,-464538.46
*//-174-595-903-795752,-108.45
*346++-181593/565-885,-264564.89
/-43/-+-54294928-358,-0.06
---281//87021964835,74.01
+-64*-616-150*-122-101,-73854
/**/-458386-47-20778,2.25
//*-768-209-800/-809,-81.65
---978-701747+423-612,259808
--20//-606-29545179,-59.0
--551-23/--735410500,-243.3
-+/-31575-332+555467,-1499.05
//--674*773-624219-786,786.0
+/-539-560900*213-780,717600.0
--+667602-646-658-548,1039
-14-+-823703/-777-891,-1242.13
--544--372*568--346157,-285876
-+//-803-78786129979,-950.0
++--232-113-137/-928-582,-865.01
+---728/973-391502-358,-1585.51
-++91*-10512-98071,-29940
+/*-8-157877/417-405,141.29
---457*-811637*-585643,670091
-++667/-427-71251525,1315.6
---51180+421*-574359,-206236
-++*398-436-141-122443,-172843
++-767*/692-270991827,-1944.9
+---797-72071/-339404,826.16
+-*-737995536/-392-472,-733852.49
-+//-513-330-384-72281,-353.0
+---824-311-868/109287,-436.62
-/*182310222/26-396,254.21
-+*-329597-771+878-938,-197124
--/-86389*-973116995,111872.78
/--55111/-903611-586,-0.18
+-+685780656-35229,615
--562**/-156-367717-241,-561.86
**//-83525-714856-347,-0.0
+/137-693*159/-259-210,194.71
-/61798/-702+270232,6.92
*715-163//211-865-774,22.72
-845+--183430/10330,-770.03
-*+-675-603*651-408579,-266964
-+/-80671495*-345824,284526.91
-+--887630-526/310-724,-1307.01
+/-862-559+*-431-375-396,260587
++++798298409-392-801,1044
++112-395/*-89-703492,-769.17
+/873-110*/-380436307,-266.49
+379/**-613835-477527,463670.91
---827250*/-589-596-505,-577.0
/-67474+/380-430-997,-0.0
--*134-488-377/796250,22825.93
+-65*-662-/438328307,-65.96
++489690*/-685-872938,1615.77
+/-117695*-5+-176303,2.74
++-909/*-624-924280999,2149.2
-++828-561*366-525-120,-191763
--/562115-436/-807-554,-2132.17
--500/**126540644-177,290495.93
+++59-760*-237213-233,-10181
-+/-693-465-602/97940,-624.23
