Formula,Result
26.75 -87.94 57.37 -71.21 -74.86 - / - *,2278.78
-47.88 99.19 93.16 * + * -78.32 12.47 /,9248.16
9.09 + -27.69 -40.53 95.13 * - / *,-15.03
-39.27 86.6 -18.86 -0.99 -8.14 / / * /,0.0
78.35 81.34 * -92.26 -42.35 / + * -,7844.63
/ 91.48 41.32 8.3 -33.35 * + + +,-384.82
-56.97 36.71 -38.21 * + + -83.5 -17.25 -,7.78
89.06 -60.05 * 62.57 6.93 / / / -26.22,22.59
-8.38 / 85.49 76.32 -52.35 * * * /,-3999.74
-88.64 * -100.0 19.27 - - -99.38 - *,5764.62
34.98 83.83 -30.65 -62.97 -37.4 / * / /,-0.01
57.5 / -72.66 0.57 61.19 -21.75 - - +,-0.37
10.06 / - - -62.85 62.91 -3.74 + *,3907.35
-7.32 * - / -65.74 -52.83 48.74 + *,-46.07
+ -70.39 35.96 * / -62.36 -95.2 / /,-16.62
97.81 + 40.77 43.32 -23.38 41.13 / / +,179.17
79.18 77.62 + -92.18 - - / * -40.37,-91.96
- -99.84 -54.62 96.29 + * / / -74.49,41.69
-43.44 -24.25 -39.01 -45.56 -71.75 * + + *,3162.23
-1.69 * 26.8 + -74.61 / * / /,-0.0
/ -87.19 -52.51 -99.9 -69.9 + + + -,-72.88
-58.85 47.51 -99.05 -4.97 / + + / *,-13.42
-97.9 21.51 15.73 - - -9.05 72.83 + +,-124.44
-64.01 37.8 -32.12 -7.74 61.0 + - - +,1203.39
41.58 54.66 * -43.15 91.21 + + * -,-4944.23
- 16.49 -63.28 -16.67 -84.03 * / * *,-365.43
63.25 / -74.24 -83.44 - * - / /,7516.29
-85.09 -47.18 93.33 72.87 -74.83 + - - +,-133.2
30.62 -59.35 + - 32.66 32.4 82.83 * -,-110.9
-56.72 87.49 -57.18 -57.49 - + + - -,-88.02
-27.26 -99.46 + + -58.47 -76.87 -90.97 - *,-408999.47
-8.16 + 70.75 71.45 65.05 / / + 12.67,-20.84
-37.63 -59.65 43.95 51.15 / - - - /,-187.91
29.45 11.15 + - -4.86 * 26.1 * -,752.97
- -77.67 -15.06 84.15 -78.87 + / - /,-83.46
/ 55.87 12.62 * / -9.47 - + 26.21,0.31
25.03 -45.36 5.22 + - / * 59.17 *,-40.13
0.48 - / 7.7 61.88 + / + -,16.35
-13.16 -63.76 / -46.59 - - + + -,-61.51
24.93 -84.67 0.83 37.53 + + - - /,109.29
-65.2 / 98.59 * - + 36.83 96.76 *,3695.21
22.45 51.02 -4.02 / / - - / -69.5,0.35
69.26 -39.11 + / 82.04 11.68 37.59 - *,69.96
- 46.08 + + / + -73.3 -87.66 +,-87.62
