Formula,Result
* -22 + 6 + - 51 -34 -12,-109
+ - / 32 83 / -77 -16 -53,-50.92
- + + 47 57 8 * -62 56,-280
+ + 75 * 48 61 + 25 19,-3476
* - * * -28 -56 23 -96 92,134852
+ - * - 42 55 66 33 3,2340
- - * * -51 -43 68 63 71,149027
- / - 44 -84 -53 * -37 -60,-2150.26
/ / * + 76 -91 9 -63 41,2.62
- - + -62 86 -97 / -82 -62,81.68
- + / * -8 -91 -49 37 -77,25.14
/ + -92 * -92 54 * 14 -99,-3674
- * / -70 80 * -79 -73 20,-5066.12
/ - -64 / 97 60 / 54 -31,-67.36
+ + / 83 -10 - -44 90 -16,-82.4
+ * - / -51 48 -92 -17 -67,-889.31
+ - * / -22 14 99 -55 -99,51.57
/ + - -52 / 78 -39 36 99,106.0
/ / * * 94 -46 -42 13 -95,-139.7
/ -43 - - + -15 82 21 51,-1.26
/ + 10 13 * -13 - 32 -2,-419
+ 19 * / / -3 -43 75 -88,91.08
* - -24 -45 / / -86 19 68,20.93
+ / -34 / 19 31 * -47 72,-3418.61
+ * * -65 -53 28 - 29 -38,3408
+ - 53 20 - 56 * 94 -5,559
/ * -78 -24 / -61 * -66 57,198.78
+ + 98 45 - 14 - -3 -87,113
+ -75 * * * -36 -16 -31 35,815845
- - - 83 -31 -46 * -73 97,7224
* - + 68 -79 / -5 -57 -78,55.91
- / -93 -35 / * -12 -87 -10,-277.41
/ / 20 -40 - 51 / -34 75,-1300.5
- - 84 / -91 / -57 61 19,14.61
+ / 31 25 / * 9 15 53,3.79
- -24 - + 35 93 / 74 -7,-162.57
+ + - 29 -99 * 0 -90 31,52
+ - * * -83 87 -67 46 40,108309
- + * -75 33 38 / 76 -99,-64.36
- - + 34 -87 -78 / 65 25,-2882.1
+ * 41 44 - 88 * 85 4,-1508
+ + / * 89 21 -1 -51 23,1176.0
* 97 - + -99 99 / 56 -44,94.76
* / / -54 28 -25 * 59 -19,-863.92
+ + - - -25 98 30 43 20,-90
- + 21 * * -51 -88 93 -83,417322
- - + - 61 89 23 31 75,-228
- / 82 92 + * 13 78 50,-140.11
+ - / 19 -30 45 * 21 -25,-525.01
- + * -96 85 + -83 80 -26,-14774
- -17 / * * 29 -79 -96 -56,-2748.14
- + -92 + -97 * -9 26 -99,144
+ * -62 -45 * / 87 -3 9,3051.0
+ - + / 76 -96 -75 47 62,-59.06
- + * -25 4 * -16 53 -15,-934
/ / -46 -63 + -44 + -6 -32,-1672.5
/ * * / -34 41 91 14 -90,10.03
+ - * + -43 -13 69 -25 -8,46
/ + / -14 85 * -82 20 69,-1734.16
- + + 19 -64 52 / 35 -59,123.59
+ * 64 -84 * 44 * 73 13,245684
+ - / -91 42 24 / -92 23,-30.24
- - + -99 91 / -24 79 58,-65.7
+ - -11 / 39 75 + 47 -98,-62.52
+ - 92 -59 / * 77 85 47,314.26
* - -55 67 * / 23 10 -53,-243.9
- - - -86 35 + -43 83 96,-79
+ - + -96 * 19 23 -24 -96,1409
+ / 25 25 + - -23 43 -93,91978.0
+ + 77 88 / / 53 -35 -16,12.09
- * 84 + / 50 76 86 72,7120.61
- + / * 63 -9 -81 31 -29,67.0
- + -8 / * 47 1 -81 30,-37.42
- - - / -26 -35 63 -45 -80,972
- - - -37 + 28 21 -10 -48,19.67
- + + * 32 95 12 51 34,-3239
+ / -76 / -94 13 / -57 -53,-68.73
- -70 + / + -67 -85 79 -40,-70.48
+ - * -11 -100 * -7 -42 -20,786
+ - + / 37 56 -10 1 -65,35
- - 40 / 33 -67 * 22 -79,-2722.51
- + + -21 -87 / -59 30 24,-148.97
+ 99 * -46 + - 46 48 -11,2813
- - -97 19 - 22 / -80 63,-135.9
* -16 / - + -33 -46 42 -5,7950
- -26 + 99 - + -93 63 2,-93
+ -26 * / * -55 -93 -31 4,-991778
+ 0 + -97 + -66 / 6 66,-79.91
+ * - / -76 15 -42 -21 -49,-46.53
* -73 - + 98 -91 + 7 -9,657
* + + / 43 -11 -88 -46 0,-0.0
+ / + 19 -34 / 93 -2 -55,-23.5
* - / + 73 15 -15 -16 45,233.6
+ 45 - -55 / + -30 -80 -94,112.83
- * -65 -86 * -21 / -89 28,5523.25
- * -50 93 + - -26 -81 -99,-4551.32
/ / -100 2 / * -17 47 -28,47.36
* * 75 - + 34 -19 71 68,4188
+ + / -90 -12 35 - 10 0,42.5
- + 79 -69 / 27 + -90 6,-31.11
