Formula,Result
6.13/3.92+6.53/8.41*5.3-8.58-2.95-8.4/1.26*9.33+3.61*1.29+4.67/7.45-9.95,/6.13+3.92/6.53*8.41-5.3-8.58-2.95/8.4*1.26+9.33*3.61+1.29/4.67-*9.95
5.58-8.65+3.41*0.87*0.25*8.11-2.2-0.16+4.2-6.84*1.84+5.24*7.11/4.32/2.91,*5.58+8.65*/*0.87*0.25-8.11-2.2+0.16-4.2*6.84+1.84*5.24*7.11/4.322.91
3.52/3.47-2.81-4.99/1.46-3.21+1.05/1.48/9.53-2.08/0.21/1.14-9.04*8.97-2.78,/3.52-3.47-2.81/4.99*1.46+3.21/1.05/1.48-9.53/2.08/+-1.14*9.04-8.972.78
1.91+7.92/7.5*9.08+0.27*5.38-6.8/9.66*3.59-9.05/3.68/5.43/4.6*6.77+4.64,+1.91/7.92*7.5+9.08*0.27-5.38/6.8*9.66-3.59/9.05/3.68/5.43*4.6*6.774.64
7.57-1.3/4.5+6.35+0.58*7.94-8.73*2.74*5.24/6.77+0.14*3.71/3.28+9.96*3.51,-7.57/1.3+++6.35*0.58-7.94*+*2.74/5.24+6.77*0.14/++3.28*9.963.51
2.47-2.64-7.2+2.45+6.79-1.87+2.32/1.29/2.58-9.09-2.55*7.96+7.6+2.6-3.2,-2.47-2.64+7.2+2.45-6.79+1.87/2.32+/-2.58-9.09*2.55+7.96+7.6-2.63.2
9.15-5.44+4.57/1.28+8.02/1.61*4.92*0.76-5.85-5.08-9.59*6.0-8.55-1.75-4.07,-9.15+5.44/4.57+1.28/8.02*1.61*4.92-0.76-5.85-5.08-9.59-6.0-8.55-1.754.07
8.88-0.37*2.95-7.67*1.31/7.66+3.57+5.49+5.03-3.72-8.29-6.81/6.99*1.38*9.39,-8.88*0.37-2.95*7.67/1.31+7.66+3.57+5.49-5.03-/-8.29/6.81*6.99*1.389.39
9.28+8.84/3.88+8.83+2.94+8.5+9.57-2.14+2.38/4.77*4.15/9.35-4.23*6.3/1.68,+9.28/8.84+/+8.83+2.94+8.5-9.57+2.14/2.38*4.77/4.15-9.35*4.23/6.31.68
5.97*6.47*8.05/3.5*5.83-6.22/7.0-8.33/4.33*9.56*3.67-3.9/0.5*8.07/8.68,*5.97*6.47/8.05**-5.83/6.22-7.0/8.33*4.33*9.56-3.67/+*0.5/8.078.68
2.83*5.51+1.23/0.86*5.5-9.22-5.82+0.63-3.09+8.2/2.45-8.6/2.5*3.92-5.42,*2.83+5.51+1.23*0.86-/-9.22+5.82-0.63+3.09/8.2-2.45/8.6*2.5-3.925.42
