Formula,Result
30-79/88+66+12/78-28/50-18/47*52/61+93/68-34,307988/-66+1278/+2850/-947/52*61/-9368/+34-
82-90-29*60*28*33/43+37*86+11+71*14+79+15*22,8290-2960*28*33*43/-3786*+11+7114*+79+822*+
48*69-93+85*20/64*32+86+61/32/70/41/62*44+16,4869*93-8520*64/32*+86+8032/70/41/62/44*+16+
35-92+30*68-89/25/52-23-26*7*10/95/54+91+35,3570-3068*+8925/52/-23-267*10*95/54/-4+35+
28-51*21+67+20+72+8*12/75/11-49*24*75*11-6,965121*-67+20+72+812*75/11/+4924*75*30*-6-
96/65-15*95+41+25*32-88-30-79/64*77-19+40*87,9665/1595*-41+2532*+88-30-7964/77*-19-4087*+
47/49-77*77-56/31/31-77+7+15/45*38-24-95-42,4736/7777*-5631-31/-77-7+1545/38*+24-95-42-
49+7*74/11/48*38-23/47-34/80*78+82+77+46*51,49774*11/48*38*+2347/-3480/78*+82+77+4651*+
6/9-22/27*97/90*86-13/51-12*47/13*63/80+83,69+2227/97*90/86*-1351/-1247*13/63*80/-83+
51+97+47-30*76*41/15/35/56-85/64-41*33*22/57,5197-47+3076*41*15/24/56/-8564/-4133*22*57/-
98+68+41-80+19/59*5*89/68*92+52*5/88+13-88,9868+41+74-1959*5*89*68/92*+525*88/+13+88-
14*47/76*65-63+68*11+4/80*66+71/76+44*20/44,1447*76/65*63-6811*+480/81*+7176/-4420*44/+
86*74*19+11+31-34/71*9/38/13+62+77-52*74+85,8674*19*11+31+3471/9*38/13/-62+77+5274*-85+
2*36*25-68*5-81-22/14+68+74-41-82/55-45+98,236*25*685*-81-2214/-45/74+41-8255/-45-98+
47-53*1*73+82-3*86-29-89/20*86/68+35/96+49,47531*73*-60-386*-29-8920/86*68/-3596/+49+
67-89-88+78-10-14/90-27/75*39*99/91+45/81+55,6789-88-78+10-1416/-2775*39*99*91/-4581/+55+
32-29/45*77-53/87+69+13+75+52*21-92/53+67*47,322945/77*-5387/-69+13+75+5221/+9253/-6747-+
47/84+82+50+23-40*44*89+39*71/98+81+46-58-75,4784/82+51+23+4044*89*-3971*98/+81+46+58-75-
80+37*45/75-64-9+71*60+43+18+67+28-87+10-1,803745*75/+64-9-7160*+43+18+67/28+87-10*1-
41+20+95-85*39/90-97+65+48*40+54+25-85/23/22,4120+95+8539*90/-97-65+4840*+54+25+8523/22/-
7*81*10+10+78+53-8/10-99-56-94/47-82/99*25,781*76*10+78+53+810/+99*56-9447/-8299/25*-
84/24*89-93/99/40+76-99+88+18-47+53/5+29-48,8424/89*9399/40/-76-99-88+34+47-535/+29+48-
74-40-48*18+5*46/21+13-7*15*80+88/87/33-65,7440-4818*-546*21/+13+715*33--8887/33/+65-
47*58+32*12/1/33/39+49-28+51/93/91*91+96-36,4758*3212*1/33/39/+49-28-5193/91/91*+96+36-
58-98-80-82-26+58+97*37*15*15+80-27+49*76+54,5898-80-82-26-58+9737*15*15*+80+82-4976*+54+
96-15-16+97/85-54-77+8-13*75/15+55*90-99*90,9615-16-9785/+68-77-8+1375*15/-5590*+9990*-
30/42/88+71-68/32/54*11+53-9-70+85-94*67-66,3042/88/71+6832/54/11*-9+9-70-85+9467*-66-
77-14+51*37+66/84+78/3/21/83/50-11*37-82/62,7714-5137*+6684/+783*21/83/50/+1137*-8216/-
29*98/4+81-30/71*5/51*54+69+89/25+77+5-12,2998*4/81+3071/5*51/54*-69+8925/+77+5+12-
77-57-61*51*72/17/6+89/86*49-62-80+12-67-78,7757-6151*72*17/6/-8986/49*+62-80-12+67-78/
92-25-42-26*69+9+58/59*19*96/70*32+46+6+72,9225-42-2669*-80+5859/19*96*70/32*+46+6+72+
47-86*63/81/17-84*1-29*50-84*80+14/26*16/58,478663*81/17/-841*-2961*-8489*-1426/16*58/+
61+80/20*94-75/42+75-2/1*42/97-5*41/96/18,618020/94*+7542/-75+21/42*97/-541*96/18/-
89+73/29-96/50*49*78-13+33*83/89+95*53/18+41,899129/+9650/49*78/-13-3310*89/+9553*18/+41+
32*22/31/37+34+96/55/93/60-31/90+47-50-80/45,3222*31/37/9+9655/93/60/+7690/-47+50-8045/-
47-58*83-46*95-9+99+53*11+51*33*86-42*29/41,475883*-4695--9-99+5311*+5133*86*+4229*41/-
89+87+17*89/94/73+94*25*31-23/20+66/39*47*35,8987+2789*94/73/+9425*31*+2320/-6639/47*35*+
96/44/68/55-90/96/20+4/37/26-31-48/49+43*16,2044/68/55/9096/20/-437*26++31-4849/-4316*+
4*79+46-20+82*93+38-42/74/66+59-57-72*77*47,479*46+20-8293*+38+4274/66/-59+57-2477*47*-
87-4*74/70/41+27*86+53+46-59*42/17/94/26*69,87474*70/41/-2786*+53+46+5945*17/94/26+69*-
35-94-35/33-77*83+99/4-38-79+18-1-6*51+53,2694-3533/-7783*-994/+38-79-18+1-651*-53+
30-15-19+97-10+40+27+47/14*23/94-58*80+18/24,3015-19-46/10-40+27+4714/23*94/+5880*-1824/+
82-92-17*51-41+8+20*56*1*57/17/74/36*24-49,8292-1751*-41-8/2056*1*57+17/74/36/24*+49-
43-65-1-15+26+64-93-8-35*30+19/72/12+81*77,4365-1-15-26+64+93-8-3530*-1972/5/+8177*+
98-10-26/95*70/1*33-6/42+1*31*40-19-62/63,9810-2695/70*1/1*-642/-131*40*+19-6263/-
48+19-48-40+76*54+76/17*3*55+5+39/89+83*62,4819+48-40-7654*+7617/3*55*+5+3989/+8362*+
51*57+54/95*95/22/45-20-57/83+11*48/92-3-50,5157*5495/95*22/45/+20-8283/-1148*92/+3-50-
54/85/33-14-98*54*39-38*67-21-58-55+39-96/10,5485/33/14-9854*39*-3845*-21-58-55-39+9693/-
32+52+12*65-39*48*53+90*57/79+90/6*70*59/88,3252+1265*+5248*53*-9057*79/+906/70*59*88/+
22-36/16+44-53/69/96/70/33/99/63*34/48+26+3,223616/-44+5369-96/70/33/99/63/34*48/-20+3+
95+91-80+38*17*84-77*27+62+28-55/77-54-64-43,9591+80-3817*84*+7727*-62+28+5577/-54-84-43-
48+64+60+51+87+15/88/11-54/37/48*19/11*8/52,4864+60+51+87+1588/11/+5437/49/19*11/8*52/-
63*22-50-97*36/93+29/61-13/37+35+36/44*51-41,6322*17-9736*93/-2961-+1337/-35+3644/51*+41-
89+73*90/29-62/87/60+96*24/61/16+22*57/15*11,897390*29/+6287/60/-9624*73/16/+2257*15/11*+
17/91/88-15-5-53+49*24/81*8-49*43/58-12-75,1791/88/15-5-53-4924*81/8*+4943*58/-12-75-
66-17*66+84-63*38*42-49/15-59/82+86+25+3+96,661766*-84+6338*42*-4915/-5982/-86+25+3+96+
27*2*68/79/26/78-24*86+83+78*23*59+72*33+72,2735*68*79/26/78/2486*-83+7823*59*+7233*+72+
